Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
15,Milos Raonic,CAN,4,890,94.8%,16.0%,92,22.2%,19,4.6%,66.7%,84.8%,62.3%,77.3%,21,81.0%,36.6%,38,31.6%,55.5%,1.61,9:45
2,Roger Federer,SUI,7,1572,93.9%,25.6%,81,11.0%,15,2.0%,64.8%,80.0%,61.5%,73.5%,30,73.3%,40.3%,70,47.1%,55.9%,1.52,17:23
4,Kevin Anderson,RSA,3,625,93.9%,18.0%,54,19.0%,8,2.8%,63.0%,83.8%,58.1%,74.3%,19,84.2%,37.5%,24,37.5%,54.2%,1.46,7:19
3,Rafael Nadal,ESP,6,1107,93.7%,30.0%,57,10.6%,14,2.6%,61.9%,80.8%,60.7%,73.1%,24,75.0%,39.3%,63,42.9%,55.8%,1.46,13:47
22,Stan Wawrinka,SUI,2,463,92.7%,17.9%,24,11.1%,9,4.1%,59.4%,79.8%,68.2%,75.1%,10,70.0%,35.4%,23,30.4%,54.0%,1.42,4:40
23,Roberto Bautista Agut,ESP,6,1162,90.3%,25.8%,24,4.3%,11,2.0%,68.1%,75.3%,57.6%,69.7%,32,71.9%,41.0%,63,36.5%,54.6%,1.35,12:44
1,Novak Djokovic,SRB,7,1545,89.7%,29.8%,59,7.7%,29,3.8%,64.3%,78.0%,52.7%,69.0%,37,64.9%,41.0%,79,46.8%,54.8%,1.32,18:01
,John Millman,AUS,3,558,90.9%,28.6%,11,4.0%,3,1.1%,61.7%,74.6%,61.0%,69.3%,20,80.0%,39.1%,23,52.2%,53.9%,1.27,5:39
27,Lucas Pouille,FRA,3,581,89.4%,19.6%,28,10.0%,11,3.9%,58.4%,76.7%,58.6%,69.2%,15,66.7%,38.7%,24,37.5%,53.4%,1.26,5:31
24,Diego Schwartzman,ARG,3,783,88.5%,25.0%,6,1.7%,9,2.5%,67.7%,72.4%,62.1%,69.1%,20,65.0%,38.7%,44,34.1%,52.6%,1.25,8:21
8,Kei Nishikori,JPN,5,999,86.3%,27.5%,15,3.2%,12,2.5%,64.2%,71.0%,59.2%,66.7%,29,62.1%,40.8%,52,42.3%,53.1%,1.23,11:07
,Daniel Evans,GBR,3,748,82.5%,26.8%,15,4.3%,11,3.2%,64.7%,71.1%,56.9%,66.1%,26,61.5%,41.5%,53,28.3%,52.9%,1.22,8:36
25,Alex De Minaur,AUS,2,499,92.1%,20.0%,18,7.6%,4,1.7%,66.2%,75.8%,57.5%,69.6%,12,75.0%,37.0%,18,44.4%,52.5%,1.22,5:23
21,David Goffin,BEL,5,1061,81.0%,23.5%,38,7.8%,21,4.3%,55.1%,79.4%,50.5%,66.4%,29,44.8%,39.2%,58,34.5%,51.6%,1.17,11:58
11,Daniil Medvedev,RUS,3,755,85.7%,20.0%,45,12.1%,16,4.3%,60.6%,77.0%,56.5%,68.9%,21,57.1%,36.4%,37,32.4%,52.5%,1.17,8:10
33,Jan Lennard Struff,GER,3,725,93.0%,17.2%,65,18.2%,19,5.3%,54.7%,82.7%,53.7%,69.6%,19,78.9%,35.4%,25,40.0%,52.3%,1.16,7:01
Q,Jiri Vesely,CZE,3,768,93.8%,14.1%,46,12.4%,13,3.5%,72.3%,79.6%,52.4%,72.0%,21,81.0%,32.3%,25,36.0%,51.6%,1.16,8:13
,Marton Fucsovics,HUN,2,579,78.3%,25.5%,19,7.1%,14,5.2%,60.1%,73.3%,53.3%,65.3%,16,37.5%,39.9%,33,36.4%,51.6%,1.15,6:12
,Sam Querrey,USA,5,1110,92.2%,15.7%,122,22.1%,22,4.0%,61.7%,83.6%,50.5%,70.9%,32,78.1%,33.2%,35,40.0%,52.0%,1.14,11:02
,Andreas Seppi,ITA,2,556,84.1%,23.8%,22,8.3%,14,5.3%,58.6%,76.9%,53.6%,67.3%,21,66.7%,37.2%,31,32.3%,51.6%,1.14,6:00
,Fernando Verdasco,ESP,4,934,84.6%,22.1%,58,12.3%,26,5.5%,61.9%,77.1%,51.7%,67.4%,36,66.7%,37.0%,41,41.5%,52.4%,1.13,10:49
,Hubert Hurkacz,POL,3,803,90.5%,11.7%,31,8.0%,12,3.1%,67.3%,73.2%,56.7%,67.8%,29,79.3%,36.1%,26,26.9%,51.4%,1.12,8:29
,Jordan Thompson,AUS,1,311,81.8%,26.9%,12,8.2%,3,2.1%,65.1%,66.3%,60.8%,64.4%,8,50.0%,40.0%,14,50.0%,51.4%,1.12,3:26
,Jeremy Chardy,FRA,2,387,74.2%,23.3%,18,9.8%,8,4.3%,64.1%,74.6%,47.0%,64.7%,20,60.0%,39.4%,21,33.3%,51.4%,1.12,4:00
,Ivo Karlovic,CRO,2,478,92.9%,4.4%,59,25.8%,11,4.8%,67.2%,86.4%,56.0%,76.4%,7,57.1%,26.1%,5,40.0%,50.2%,1.11,4:48
20,Gilles Simon,FRA,2,529,70.0%,35.0%,7,2.6%,12,4.5%,64.9%,67.4%,43.0%,58.9%,26,53.8%,45.1%,25,56.0%,52.0%,1.10,6:20
,Tennys Sandgren,USA,4,1032,84.3%,22.9%,54,10.4%,11,2.1%,63.6%,73.9%,54.3%,66.7%,30,56.7%,36.5%,39,48.7%,51.6%,1.10,11:24
,Feliciano Lopez,ESP,2,406,88.6%,17.1%,34,16.6%,11,5.4%,63.4%,82.3%,49.3%,70.2%,10,60.0%,32.3%,17,35.3%,51.5%,1.09,4:18
,Miomir Kecmanovic,SRB,2,357,85.7%,21.4%,7,3.8%,6,3.2%,63.4%,72.0%,52.9%,65.1%,12,66.7%,38.0%,20,30.0%,52.1%,1.09,3:36
,Mikhail Kukushkin,KAZ,4,1030,90.0%,17.9%,27,5.2%,2,0.4%,72.7%,69.8%,55.9%,66.0%,39,79.5%,36.6%,43,32.6%,51.6%,1.08,11:04
,Robin Haase,NED,2,365,93.1%,25.0%,16,8.5%,5,2.7%,64.9%,72.1%,62.1%,68.6%,10,80.0%,33.9%,14,57.1%,51.8%,1.08,3:54
,Leonardo Mayer,ARG,2,467,85.7%,17.1%,13,5.8%,19,8.5%,58.9%,74.2%,52.2%,65.2%,11,54.5%,37.4%,21,28.6%,50.7%,1.08,5:12
,Jo-Wilfried Tsonga,FRA,3,440,85.0%,24.4%,45,19.9%,7,3.1%,61.1%,80.4%,54.5%,70.4%,15,60.0%,31.8%,16,62.5%,51.6%,1.07,4:32
Q,Marcel Granollers,ESP,2,448,82.9%,18.2%,7,3.4%,6,2.9%,64.9%,74.8%,49.3%,65.9%,20,70.0%,36.7%,26,23.1%,50.2%,1.07,5:15
19,Felix Auger Aliassime,CAN,3,682,83.3%,22.6%,28,8.0%,29,8.3%,61.7%,73.1%,51.5%,64.9%,30,70.0%,37.7%,29,41.4%,51.6%,1.07,7:59
17,Matteo Berrettini,ITA,4,919,85.5%,13.7%,60,13.3%,17,3.8%,60.0%,81.1%,50.0%,68.7%,31,64.5%,33.3%,32,31.3%,50.6%,1.06,10:11
,Taylor Fritz,USA,2,429,89.2%,13.9%,33,15.7%,6,2.9%,64.3%,78.5%,56.0%,70.5%,10,60.0%,30.6%,11,45.5%,50.1%,1.04,3:49
,Ugo Humbert,FRA,4,883,82.4%,21.1%,26,5.9%,19,4.3%,60.4%,72.1%,52.3%,64.2%,35,65.7%,37.2%,39,38.5%,50.6%,1.04,9:49
,Joao Sousa,POR,4,894,79.2%,27.5%,30,6.5%,4,0.9%,61.4%,68.1%,55.4%,63.2%,47,68.1%,38.2%,39,48.7%,51.0%,1.04,10:09
