Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
WC,Taylor Dent,USA,3,567,85.4%,33.3%,33,12.1%,11,4.0%,60.4%,76.4%,57.4%,68.9%,13,46.2%,43.5%,27,59.3%,55.7%,1.40,4:55
26,Jiri Novak,CZE,6,1262,79.6%,45.1%,51,8.0%,15,2.4%,67.9%,68.2%,53.9%,63.6%,48,56.3%,46.4%,79,58.2%,55.1%,1.28,13:05
16,Thomas Johansson,SWE,7,1635,86.0%,27.5%,119,15.5%,29,3.8%,54.8%,81.4%,53.0%,68.6%,38,52.6%,40.0%,99,36.4%,53.4%,1.27,17:56
11,Roger Federer,SUI,4,958,90.7%,23.3%,51,11.3%,11,2.4%,63.9%,78.2%,52.1%,68.8%,25,72.0%,38.9%,42,40.5%,53.0%,1.25,10:02
Q,Cyril Saulnier,FRA,1,334,72.0%,41.7%,2,1.2%,11,6.6%,51.8%,74.4%,45.0%,60.2%,18,61.1%,48.8%,22,45.5%,54.5%,1.23,3:24
7,Tommy Haas,GER,6,1582,85.8%,23.0%,84,11.0%,26,3.4%,53.2%,78.9%,56.0%,68.2%,51,66.7%,38.8%,73,38.4%,53.0%,1.22,16:49
9,Marat Safin,RUS,7,1466,88.4%,29.5%,95,13.3%,17,2.4%,51.4%,76.2%,57.5%,67.1%,43,69.8%,39.9%,72,45.8%,53.1%,1.21,16:03
,Mark Philippoussis,AUS,2,393,87.5%,16.7%,34,18.2%,7,3.7%,54.5%,80.4%,61.2%,71.7%,14,71.4%,34.0%,11,45.5%,51.9%,1.20,4:11
,Marcelo Rios,CHI,5,1162,85.1%,31.0%,46,7.8%,20,3.4%,58.1%,73.3%,52.8%,64.7%,41,68.3%,41.2%,59,45.8%,53.1%,1.17,12:09
6,Tim Henman,GBR,4,802,85.0%,28.8%,12,3.0%,7,1.8%,68.3%,64.7%,61.6%,63.7%,38,76.3%,42.2%,49,34.7%,52.7%,1.16,9:17
23,Nicolas Lapentti,ECU,4,881,73.2%,36.6%,49,10.8%,23,5.1%,61.7%,73.8%,42.8%,61.9%,37,48.6%,44.1%,45,57.8%,53.2%,1.16,10:18
21,Younes El Aynaoui,MAR,3,608,78.0%,26.9%,46,14.9%,12,3.9%,64.4%,73.4%,49.1%,64.7%,28,60.7%,40.5%,21,66.7%,52.8%,1.15,6:11
,Albert Costa,ESP,4,937,86.7%,20.8%,47,10.1%,7,1.5%,71.9%,73.1%,55.7%,68.2%,32,68.8%,36.5%,50,32.0%,52.3%,1.15,10:30
,Kenneth Carlsen,DEN,1,309,85.2%,18.5%,18,12.5%,2,1.4%,68.8%,75.8%,55.6%,69.4%,7,42.9%,35.2%,16,31.3%,51.1%,1.15,3:21
13,Andy Roddick,USA,2,378,88.9%,17.2%,18,9.8%,2,1.1%,61.4%,75.2%,57.7%,68.5%,9,66.7%,36.1%,22,22.7%,51.9%,1.14,4:01
,Wayne Ferreira,RSA,5,1326,83.7%,23.2%,76,11.5%,20,3.0%,53.9%,75.8%,51.6%,64.6%,51,68.6%,40.0%,66,33.3%,52.3%,1.13,14:08
,Mikhail Youzhny,RUS,3,599,81.3%,32.6%,9,2.9%,7,2.3%,67.6%,66.7%,58.6%,64.1%,19,52.6%,40.6%,29,51.7%,52.6%,1.13,5:54
,Jonas Bjorkman,SWE,5,929,78.6%,31.9%,34,7.5%,9,2.0%,54.2%,72.8%,51.0%,62.8%,41,63.4%,41.9%,63,34.9%,52.1%,1.13,10:40
12,Guillermo Canas,ARG,3,617,78.3%,34.0%,15,5.1%,10,3.4%,66.2%,65.3%,55.0%,61.8%,27,63.0%,43.0%,44,36.4%,52.0%,1.13,6:44
,Francisco Clavet,ESP,3,637,77.1%,28.0%,7,2.3%,9,2.9%,66.4%,68.1%,51.5%,62.5%,21,47.6%,42.1%,30,46.7%,52.0%,1.12,6:49
Q,Fernando Gonzalez,CHI,4,748,83.3%,30.0%,30,7.7%,24,6.2%,65.1%,69.7%,52.9%,63.8%,33,69.7%,40.2%,35,51.4%,52.5%,1.11,7:37
,Dominik Hrbaty,SVK,4,916,78.1%,32.4%,30,6.5%,25,5.4%,59.7%,72.9%,48.7%,63.1%,36,55.6%,40.9%,44,54.5%,52.2%,1.11,9:31
,Todd Martin,USA,3,661,82.4%,26.9%,44,12.8%,17,5.0%,56.6%,76.3%,51.7%,65.6%,27,66.7%,38.1%,27,51.9%,52.3%,1.11,7:15
,Bohdan Ulihrach,CZE,1,385,82.1%,17.2%,9,4.8%,8,4.3%,59.9%,70.5%,62.7%,67.4%,12,58.3%,35.9%,17,29.4%,51.2%,1.10,3:35
28,Greg Rusedski,GBR,3,630,85.4%,19.6%,21,6.6%,9,2.8%,64.9%,76.6%,52.3%,68.0%,26,73.1%,35.0%,23,43.5%,51.6%,1.10,6:41
,Jerome Golmard,FRA,3,742,86.7%,10.2%,31,8.7%,11,3.1%,62.1%,79.2%,55.6%,70.2%,19,57.9%,32.4%,22,27.3%,50.5%,1.09,7:28
25,Andrei Pavel,ROU,3,490,84.6%,27.5%,16,6.5%,6,2.4%,67.9%,71.3%,57.0%,66.7%,18,66.7%,36.5%,24,45.8%,51.6%,1.09,5:00
,Agustin Calleri,ARG,1,298,86.4%,23.8%,7,4.9%,6,4.2%,60.4%,74.7%,52.6%,66.0%,13,76.9%,37.0%,15,33.3%,51.0%,1.09,3:06
,Juan Ignacio Chela,ARG,2,468,78.9%,31.6%,21,9.3%,6,2.7%,63.7%,66.7%,54.9%,62.4%,15,46.7%,40.5%,24,50.0%,51.1%,1.08,4:47
,Kristian Pless,DEN,3,621,78.7%,30.6%,16,5.0%,21,6.5%,61.7%,70.2%,48.8%,62.0%,34,70.6%,41.0%,29,51.7%,51.9%,1.08,5:43
,Gaston Gaudio,ARG,3,818,72.6%,30.6%,14,3.5%,17,4.2%,58.8%,67.6%,49.7%,60.2%,38,55.3%,42.6%,43,44.2%,51.3%,1.07,9:58
,Rainer Schuettler,GER,3,837,80.6%,25.8%,19,4.5%,17,4.1%,58.5%,71.8%,50.6%,63.0%,32,62.5%,39.5%,29,55.2%,51.3%,1.07,8:43
,Alberto Martin,ESP,3,746,73.1%,31.4%,8,2.2%,19,5.3%,62.0%,64.4%,47.1%,57.8%,40,65.0%,44.6%,44,36.4%,50.9%,1.06,8:41
,Alex Calatrava,ESP,2,609,73.9%,29.8%,21,6.8%,3,1.0%,62.3%,68.2%,47.4%,60.4%,29,58.6%,41.9%,30,46.7%,51.2%,1.06,6:45
,Ramon Delgado,PAR,2,651,70.2%,30.4%,14,4.5%,13,4.2%,63.4%,66.3%,45.1%,58.6%,34,58.8%,43.9%,37,37.8%,50.8%,1.06,7:09
8,Pete Sampras,USA,4,1080,85.4%,19.3%,76,14.0%,35,6.5%,59.0%,75.9%,50.5%,65.5%,34,64.7%,36.1%,41,39.0%,50.8%,1.05,11:24
Q,Byron Black,ZIM,2,447,66.7%,28.9%,5,2.3%,3,1.4%,75.6%,62.8%,50.9%,59.9%,25,48.0%,42.2%,20,55.0%,50.8%,1.05,4:37
15,Arnaud Clement,FRA,2,485,72.2%,27.8%,10,4.5%,6,2.7%,58.6%,63.8%,55.4%,60.4%,20,50.0%,40.7%,27,37.0%,49.7%,1.03,5:45
,Lars Burgsmuller,GER,1,300,70.8%,30.4%,6,4.3%,1,0.7%,60.0%,67.9%,46.4%,59.3%,16,56.3%,41.9%,18,38.9%,50.0%,1.03,3:25
Q,Alex Kim,USA,3,582,75.6%,28.3%,6,2.1%,6,2.1%,72.9%,61.8%,55.7%,60.1%,25,56.0%,40.9%,38,34.2%,50.5%,1.03,5:28
,Jan Vacek,CZE,1,325,72.7%,30.4%,8,5.0%,10,6.3%,57.9%,68.5%,49.3%,60.4%,17,64.7%,40.4%,14,50.0%,50.2%,1.02,3:03
30,Nicolas Escude,FRA,3,899,78.3%,22.1%,32,7.1%,20,4.4%,60.5%,66.8%,54.2%,61.8%,45,66.7%,38.6%,40,37.5%,50.3%,1.01,9:59
,Michel Kratochvil,SUI,2,410,70.0%,35.5%,2,0.9%,9,3.9%,65.2%,65.3%,41.3%,57.0%,27,66.7%,43.3%,20,55.0%,51.0%,1.01,4:21
