Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
2,Andy Roddick,USA,5,868,94.6%,36.1%,87,22.4%,11,2.8%,66.8%,84.6%,61.2%,76.8%,16,75.0%,44.8%,59,44.1%,59.1%,1.93,8:47
4,Lleyton Hewitt,AUS,7,1153,88.3%,35.9%,48,8.6%,21,3.7%,59.2%,75.0%,59.0%,68.4%,40,72.5%,44.4%,66,50.0%,56.1%,1.41,12:11
1,Roger Federer,SUI,7,1216,88.8%,35.4%,63,10.4%,24,4.0%,61.6%,77.4%,54.3%,68.5%,27,59.3%,42.8%,67,50.7%,55.6%,1.36,12:40
6,Andre Agassi,USA,5,1006,84.8%,32.9%,38,8.0%,15,3.2%,64.2%,76.1%,54.1%,68.2%,32,62.5%,42.9%,57,45.6%,54.9%,1.35,9:31
,Karol Beck,SVK,4,859,80.9%,23.1%,40,9.6%,19,4.6%,53.6%,78.5%,51.8%,66.1%,33,60.6%,41.1%,36,41.7%,53.2%,1.21,8:51
,Tommy Haas,GER,5,1013,76.8%,32.5%,55,11.5%,23,4.8%,57.9%,71.8%,54.2%,64.4%,39,51.3%,42.4%,62,41.9%,52.8%,1.19,10:32
,Hyung Taik Lee,KOR,3,595,82.6%,26.7%,13,4.4%,10,3.4%,62.8%,70.4%,54.5%,64.5%,22,63.6%,41.8%,34,35.3%,53.1%,1.18,6:29
10,Nicolas Massu,CHI,2,524,81.6%,33.3%,21,8.0%,6,2.3%,60.5%,70.3%,54.4%,64.0%,17,58.8%,42.2%,29,44.8%,53.1%,1.17,7:04
25,Jiri Novak,CZE,3,517,76.2%,36.6%,19,7.5%,8,3.1%,67.7%,71.5%,43.9%,62.6%,27,63.0%,43.7%,25,60.0%,53.0%,1.17,5:01
22,Dominik Hrbaty,SVK,5,1105,72.2%,36.3%,39,7.1%,33,6.0%,62.3%,68.8%,50.5%,61.9%,51,51.0%,44.6%,64,51.6%,53.2%,1.17,11:47
