Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
9,Marin Cilic,CRO,5,1020,93.9%,24.7%,99,21.0%,16,3.4%,59.7%,87.2%,54.7%,74.1%,20,75.0%,39.0%,58,34.5%,55.2%,1.50,10:28
2,Andy Murray,GBR,7,1349,92.7%,31.4%,58,8.7%,8,1.2%,62.9%,79.7%,56.7%,71.1%,29,72.4%,42.3%,74,44.6%,56.5%,1.46,15:52
11,David Goffin,BEL,4,788,89.6%,33.3%,31,8.3%,16,4.3%,58.3%,77.4%,60.0%,70.2%,22,68.2%,42.1%,47,46.8%,55.3%,1.41,8:09
3,Roger Federer,SUI,6,1373,94.5%,18.7%,81,12.5%,7,1.1%,63.3%,81.4%,59.9%,73.5%,24,75.0%,37.0%,64,31.3%,54.2%,1.40,13:12
10,Tomas Berdych,CZE,6,1352,85.0%,26.7%,61,9.8%,18,2.9%,60.6%,82.2%,51.2%,70.0%,40,60.0%,39.9%,60,46.7%,53.7%,1.33,15:11
6,Milos Raonic,CAN,7,1661,95.6%,11.8%,145,18.0%,29,3.6%,68.1%,81.1%,60.7%,74.6%,34,82.4%,33.2%,51,31.4%,53.3%,1.31,17:50
25,Viktor Troicki,SRB,2,437,88.6%,22.9%,27,13.0%,8,3.9%,67.1%,76.3%,54.4%,69.1%,11,63.6%,39.1%,24,33.3%,53.3%,1.27,4:28
4,Stan Wawrinka,SUI,2,507,87.5%,20.0%,21,9.1%,6,2.6%,60.2%,77.7%,57.6%,69.7%,13,61.5%,38.0%,17,47.1%,52.5%,1.26,5:06
,Nicolas Mahut,FRA,4,796,87.7%,21.5%,34,8.8%,11,2.9%,64.2%,73.7%,60.9%,69.1%,21,61.9%,37.7%,25,56.0%,52.9%,1.22,8:12
12,Jo-Wilfried Tsonga,FRA,5,1133,90.3%,18.3%,55,10.2%,14,2.6%,66.9%,82.7%,50.6%,72.1%,24,62.5%,33.7%,50,34.0%,51.9%,1.21,12:01
7,Richard Gasquet,FRA,4,733,89.1%,27.8%,15,4.1%,10,2.8%,63.6%,78.4%,47.0%,66.9%,27,77.8%,40.0%,38,39.5%,53.3%,1.21,7:59
,Martin Klizan,SVK,1,268,76.5%,29.4%,12,10.5%,1,0.9%,68.4%,66.7%,58.3%,64.0%,7,42.9%,43.5%,22,22.7%,52.2%,1.21,2:50
8,Dominic Thiem,AUT,2,431,97.1%,11.8%,23,11.3%,7,3.4%,61.6%,83.2%,56.4%,72.9%,4,75.0%,32.5%,12,33.3%,51.5%,1.20,4:21
,Juan Martin del Potro,ARG,3,663,83.3%,26.4%,21,6.7%,8,2.6%,66.8%,76.1%,53.8%,68.7%,16,43.8%,37.1%,39,35.9%,52.0%,1.19,7:01
21,Philipp Kohlschreiber,GER,1,208,84.2%,5.0%,10,10.8%,4,4.3%,58.1%,81.5%,69.2%,76.3%,4,25.0%,27.8%,2,50.0%,49.5%,1.18,1:55
28,Sam Querrey,USA,5,1287,89.4%,19.4%,112,17.8%,17,2.7%,60.5%,84.2%,50.0%,70.7%,31,64.5%,34.3%,58,34.5%,52.1%,1.17,12:22
1,Novak Djokovic,SRB,3,696,88.0%,22.4%,20,5.9%,11,3.3%,65.7%,73.9%,54.3%,67.2%,33,81.8%,38.0%,34,32.4%,52.2%,1.16,7:02
27,Jack Sock,USA,3,631,96.1%,17.6%,31,9.9%,14,4.5%,62.3%,77.4%,57.6%,70.0%,19,89.5%,34.3%,24,37.5%,52.0%,1.14,6:03
,Jeremy Chardy,FRA,2,480,88.9%,20.0%,19,8.3%,8,3.5%,63.9%,76.2%,50.6%,67.0%,16,75.0%,37.6%,21,33.3%,51.7%,1.14,4:38
13,David Ferrer,ESP,2,296,70.8%,37.5%,5,3.4%,5,3.4%,67.6%,66.3%,48.9%,60.7%,14,50.0%,44.4%,21,42.9%,52.4%,1.13,3:11
23,Ivo Karlovic,CRO,2,440,94.6%,5.4%,60,28.0%,7,3.3%,69.2%,81.1%,71.2%,78.0%,5,60.0%,24.8%,5,40.0%,50.7%,1.13,4:32
,Grigor Dimitrov,BUL,3,678,82.1%,22.2%,15,4.5%,9,2.7%,66.7%,78.8%,44.1%,67.3%,23,56.5%,36.8%,32,37.5%,51.8%,1.12,7:24
31,Joao Sousa,POR,3,706,78.3%,18.6%,29,9.2%,4,1.3%,74.9%,75.4%,45.6%,67.9%,20,35.0%,35.8%,36,30.6%,50.1%,1.12,6:45
,Denis Kudla,USA,1,317,70.8%,37.5%,11,7.3%,11,7.3%,51.7%,64.1%,53.4%,58.9%,14,50.0%,45.2%,18,50.0%,51.7%,1.10,3:06
,Jiri Vesely,CZE,4,927,91.8%,16.4%,73,15.4%,16,3.4%,64.4%,78.1%,56.8%,70.5%,27,77.8%,32.3%,26,46.2%,51.9%,1.10,10:16
22,Feliciano Lopez,ESP,3,767,81.7%,23.3%,48,13.2%,19,5.2%,59.2%,75.5%,51.7%,65.8%,26,57.7%,37.6%,34,41.2%,51.0%,1.10,7:31
,Vasek Pospisil,CAN,1,228,84.2%,5.3%,16,16.5%,2,2.1%,66.0%,82.8%,42.4%,69.1%,3,0.0%,33.6%,11,9.1%,48.7%,1.09,2:26
,Andrey Kuznetsov,RUS,3,635,85.7%,16.4%,25,8.0%,7,2.3%,63.0%,75.5%,58.3%,69.1%,17,52.9%,33.6%,19,47.4%,51.0%,1.09,6:18
32,Lucas Pouille,FRA,5,1181,85.7%,21.9%,79,13.1%,21,3.5%,57.2%,77.6%,52.9%,67.1%,36,61.1%,35.7%,46,45.7%,51.7%,1.08,11:07
,Julien Benneteau,FRA,2,436,82.4%,17.6%,20,9.2%,6,2.8%,65.4%,70.4%,57.3%,65.9%,12,50.0%,37.0%,12,50.0%,51.4%,1.08,4:49
,Denis Istomin,UZB,3,763,84.7%,17.2%,33,8.7%,7,1.8%,63.9%,70.7%,59.1%,66.5%,21,57.1%,35.7%,29,34.5%,51.0%,1.06,7:38
,Adrian Mannarino,FRA,2,388,80.0%,25.8%,17,9.1%,11,5.9%,59.9%,79.5%,40.0%,63.6%,13,53.8%,38.3%,19,42.1%,50.5%,1.05,4:06
Q,Radu Albot,MDA,2,509,80.5%,20.0%,10,4.1%,2,0.8%,69.4%,67.9%,60.8%,65.7%,15,46.7%,36.0%,14,57.1%,50.1%,1.05,5:12
5,Kei Nishikori,JPN,4,720,81.0%,29.8%,11,3.1%,12,3.4%,64.9%,67.7%,51.6%,62.0%,26,57.7%,39.8%,32,53.1%,50.7%,1.05,7:24
18,John Isner,USA,3,868,91.8%,6.8%,114,25.8%,16,3.6%,73.1%,83.0%,56.3%,75.8%,9,33.3%,25.1%,17,29.4%,50.9%,1.04,8:56
24,Alexander Zverev,GER,3,679,77.8%,30.8%,38,10.6%,19,5.3%,60.5%,72.7%,43.3%,61.1%,28,57.1%,40.7%,27,59.3%,51.4%,1.04,7:33
15,Nick Kyrgios,AUS,4,954,87.0%,19.5%,90,18.9%,12,2.5%,74.3%,72.2%,55.7%,68.0%,27,63.0%,33.2%,43,34.9%,50.5%,1.04,8:53
19,Bernard Tomic,AUS,4,1121,86.2%,21.8%,70,11.7%,17,2.9%,68.8%,74.6%,44.1%,65.1%,51,76.5%,36.0%,41,46.3%,51.5%,1.03,10:17
30,Alexandr Dolgopolov,UKR,2,409,76.5%,17.6%,20,10.2%,8,4.1%,59.2%,73.3%,57.5%,66.8%,15,46.7%,34.3%,15,40.0%,49.9%,1.03,3:56
,John Millman,AUS,3,749,82.0%,18.3%,9,2.5%,7,1.9%,69.6%,72.0%,50.5%,65.5%,23,52.2%,35.4%,25,44.0%,50.1%,1.03,7:38
,Marcel Granollers,ESP,2,505,78.4%,16.2%,14,6.0%,6,2.6%,65.1%,66.7%,54.9%,62.6%,24,66.7%,38.1%,26,23.1%,49.5%,1.02,5:26
,Andreas Seppi,ITA,2,331,85.2%,25.9%,10,5.7%,4,2.3%,57.4%,75.2%,52.0%,65.3%,10,60.0%,35.5%,11,63.6%,51.4%,1.02,3:31
,Santiago Giraldo,COL,1,402,94.3%,2.8%,14,7.1%,2,1.0%,73.2%,80.7%,66.0%,76.8%,7,71.4%,23.5%,5,20.0%,49.8%,1.01,4:15
,Steve Johnson,USA,4,884,81.8%,23.9%,45,9.6%,16,3.4%,64.0%,73.2%,47.0%,63.8%,39,69.2%,36.7%,36,44.4%,51.0%,1.01,8:38
,Mikhail Kukushkin,KAZ,2,425,64.7%,47.1%,22,9.6%,9,3.9%,68.7%,71.5%,45.8%,63.5%,28,78.6%,36.4%,16,50.0%,51.1%,1.00,4:30
,Yen Hsun Lu,TPE,2,313,69.2%,24.0%,9,5.8%,5,3.2%,60.0%,72.0%,40.3%,59.4%,15,46.7%,40.5%,12,50.0%,49.8%,1.00,3:12
,Rogerio Dutra Silva,BRA,1,323,84.0%,11.5%,11,6.7%,3,1.8%,65.6%,75.7%,50.0%,66.9%,9,55.6%,33.1%,7,42.9%,50.2%,1.00,3:05
16,Gilles Simon,FRA,2,510,80.5%,22.0%,9,3.4%,3,1.1%,59.5%,65.4%,60.4%,63.4%,23,65.2%,36.3%,15,60.0%,50.2%,0.99,6:31
,Federico Delbonis,ARG,1,281,65.2%,21.7%,11,7.7%,4,2.8%,64.8%,72.8%,36.0%,59.9%,11,27.3%,39.6%,9,55.6%,49.8%,0.99,2:48
Q,Franko Skugor,CRO,1,385,75.0%,25.0%,8,3.8%,4,1.9%,66.3%,65.9%,47.1%,59.6%,18,61.1%,39.5%,15,46.7%,50.4%,0.98,3:53
,Fernando Verdasco,ESP,1,316,78.3%,16.7%,28,19.4%,7,4.9%,66.0%,71.6%,46.9%,63.2%,15,66.7%,36.0%,17,23.5%,48.4%,0.98,2:45
Q,Albano Olivetti,FRA,1,433,94.3%,0.0%,56,25.7%,17,7.8%,58.7%,84.4%,60.0%,74.3%,13,84.6%,25.1%,1,0.0%,49.9%,0.98,4:02
,Thomaz Bellucci,BRA,2,428,78.9%,10.5%,11,5.5%,10,5.0%,61.5%,75.6%,57.1%,68.5%,16,50.0%,30.7%,14,28.6%,48.4%,0.97,4:14
,Dusan Lajovic,SRB,1,269,87.0%,8.3%,14,10.9%,3,2.3%,64.3%,72.3%,63.0%,69.0%,5,40.0%,30.0%,10,20.0%,48.7%,0.97,2:07
