Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,2,(2)Andy Murray[GBR] [yr|ev],d.,1,(1)Novak Djokovic[SRB] [yr|ev],6-4 7-5 6-4,1.22,8.6%,63.8%,71.6%,42.1%,9/13,3.8%,64.8%,58.8%,40.5%,10/17,3:09,1
SF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,8,(8)Juan Martin del Potro[ARG] [yr|ev],7-5 4-6 7-6(2) 6-7(6) 6-3,1.15,12.4%,69.5%,82.9%,38.9%,5/7,2.1%,59.7%,71.9%,54.5%,12/15,4:43,1
SF,2,(2)Andy Murray[GBR] [yr|ev],d.,22,(24)Jerzy Janowicz[POL] [yr|ev],6-7(2) 6-4 6-4 6-3,1.47,17.7%,69.9%,75.9%,70.6%,6/7,6.9%,55.4%,75.0%,46.6%,8/13,2:52,1
QF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,6,(7)Tomas Berdych[CZE] [yr|ev],7-6(5) 6-4 6-3,1.35,18.0%,60.7%,77.8%,60.0%,0/2,6.1%,52.5%,63.5%,57.4%,6/10,2:15,1
QF,8,(8)Juan Martin del Potro[ARG] [yr|ev],d.,4,(4)David Ferrer[ESP] [yr|ev],6-2 6-4 7-6(5),1.65,13.8%,72.4%,87.3%,45.8%,2/2,7.8%,68.0%,64.3%,51.5%,5/8,2:16,3
QF,22,(24)Jerzy Janowicz[POL] [yr|ev],d.,130,Lukasz Kubot[POL] [yr|ev],7-5 6-4 6-4,1.32,29.1%,68.0%,90.0%,36.4%,6/6,9.0%,57.0%,77.2%,46.5%,7/10,2:07,14
QF,2,(2)Andy Murray[GBR] [yr|ev],d.,54,Fernando Verdasco[ESP] [yr|ev],4-6 3-6 6-1 6-4 7-5,1.28,10.4%,68.9%,77.4%,54.8%,4/7,7.4%,58.8%,72.4%,47.5%,6/11,3:27,1
R16,1,(1)Novak Djokovic[SRB] [yr|ev],d.,13,(13)Tommy Haas[GER] [yr|ev],6-1 6-4 7-6(4),1.49,14.6%,65.2%,75.9%,54.8%,5/7,3.7%,72.9%,55.1%,48.3%,7/13,2:12,1
R16,6,(7)Tomas Berdych[CZE] [yr|ev],d.,59,Bernard Tomic[AUS] [yr|ev],7-6(4) 6-7(5) 6-4 6-4,1.32,17.3%,58.3%,84.0%,51.7%,6/7,11.2%,70.6%,68.3%,44.0%,12/15,2:59,4
R16,4,(4)David Ferrer[ESP] [yr|ev],d.,49,Ivan Dodig[CRO] [yr|ev],6-7(3) 7-6(6) 6-1 6-1,1.47,5.6%,66.4%,74.7%,69.0%,6/6,9.5%,65.5%,66.0%,49.0%,10/15,2:47,3
R16,8,(8)Juan Martin del Potro[ARG] [yr|ev],d.,28,(23)Andreas Seppi[ITA] [yr|ev],6-4 7-6(2) 6-3,1.38,8.8%,71.6%,75.3%,62.1%,2/2,4.7%,58.9%,74.6%,40.9%,9/11,2:22,3
R16,130,Lukasz Kubot[POL] [yr|ev],d.,111,Adrian Mannarino[FRA] [yr|ev],4-6 6-3 3-6 6-3 6-4,1.35,19.8%,67.2%,81.8%,58.1%,3/5,8.1%,59.4%,72.6%,53.8%,13/16,3:18,41
R16,22,(24)Jerzy Janowicz[POL] [yr|ev],d.,37,Jurgen Melzer[AUT] [yr|ev],3-6 7-6(1) 6-4 4-6 6-4,1.03,10.8%,57.4%,80.0%,57.1%,9/12,7.3%,71.3%,71.0%,65.1%,6/9,3:12,14
R16,54,Fernando Verdasco[ESP] [yr|ev],d.,80,Kenny De Schepper[FRA] [yr|ev],6-4 6-4 6-4,1.79,11.7%,63.6%,85.7%,64.3%,1/2,9.4%,66.7%,67.2%,46.9%,10/14,1:49,7
R16,2,(2)Andy Murray[GBR] [yr|ev],d.,26,(20)Mikhail Youzhny[RUS] [yr|ev],6-4 7-6(5) 6-1,1.29,13.9%,63.0%,80.9%,40.0%,3/5,1.1%,61.3%,63.2%,44.4%,5/10,2:37,1
