Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
18,John Isner,USA,2,200,100.0%,12.5%,23,23.0%,1,1.0%,75.0%,78.7%,80.0%,79.0%,0,-,34.0%,4,50.0%,56.5%,1.62,1:58
27,Kevin Anderson,RSA,3,581,87.8%,22.9%,62,23.3%,7,2.6%,65.8%,80.6%,62.6%,74.4%,19,68.4%,39.4%,30,36.7%,55.4%,1.54,6:05
3,Roger Federer,SUI,2,440,94.4%,20.0%,23,10.7%,1,0.5%,71.5%,82.4%,62.3%,76.6%,7,71.4%,34.5%,16,43.8%,55.0%,1.48,4:09
10,Marin Cilic,CRO,2,151,93.3%,28.6%,16,20.0%,2,2.5%,70.0%,80.4%,66.7%,76.3%,1,0.0%,33.8%,6,66.7%,56.3%,1.42,1:33
1,Novak Djokovic,SRB,7,1498,88.9%,25.4%,80,11.8%,11,1.6%,65.5%,78.4%,57.3%,71.1%,36,63.9%,40.7%,96,30.2%,54.5%,1.41,17:35
2,Andy Murray,GBR,7,1472,89.9%,30.5%,89,12.6%,13,1.8%,64.9%,78.7%,54.2%,70.1%,43,72.1%,41.8%,83,43.4%,55.4%,1.40,18:00
29,Grigor Dimitrov,BUL,2,527,95.5%,16.7%,37,14.6%,8,3.2%,68.0%,82.6%,58.0%,74.7%,10,80.0%,35.0%,29,24.1%,54.1%,1.39,5:26
8,Juan Martin del Potro,ARG,6,1298,95.1%,21.0%,58,9.1%,10,1.6%,66.4%,78.4%,55.9%,70.8%,28,82.1%,38.4%,54,38.9%,54.2%,1.32,15:03
22,Juan Monaco,ARG,3,621,89.6%,24.5%,14,4.9%,3,1.0%,71.1%,73.5%,62.7%,70.4%,15,66.7%,39.2%,33,36.4%,53.6%,1.32,6:03
