Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
14,Milos Raonic,CAN,4,867,92.9%,23.9%,82,21.1%,16,4.1%,61.4%,83.7%,60.0%,74.6%,16,68.8%,38.9%,47,36.2%,54.9%,1.53,10:09
2,Rafael Nadal,ESP,5,932,92.6%,31.3%,40,9.0%,10,2.3%,67.8%,79.4%,60.1%,73.2%,17,64.7%,40.2%,57,43.9%,55.9%,1.50,12:14
6,Alexander Zverev,GER,5,1094,88.5%,26.5%,86,17.3%,21,4.2%,68.8%,80.9%,53.5%,72.4%,23,56.5%,38.8%,63,34.9%,54.0%,1.40,12:20
21,Alex De Minaur,AUS,3,523,85.7%,30.2%,9,3.8%,4,1.7%,58.5%,78.8%,56.7%,69.7%,11,45.5%,42.2%,29,44.8%,54.5%,1.39,5:55
9,Matteo Berrettini,ITA,4,690,94.3%,17.3%,51,15.3%,4,1.2%,67.7%,83.6%,52.8%,73.7%,20,85.0%,36.2%,22,40.9%,54.3%,1.38,8:01
4,Daniil Medvedev,RUS,7,1226,86.0%,35.9%,80,13.3%,21,3.5%,62.3%,79.4%,50.9%,68.7%,36,58.3%,42.8%,66,56.1%,55.5%,1.37,14:13
18,Grigor Dimitrov,BUL,5,786,82.3%,37.7%,51,13.9%,14,3.8%,66.8%,74.4%,53.3%,67.4%,27,59.3%,44.3%,56,41.1%,55.1%,1.36,9:09
20,Felix Auger Aliassime,CAN,4,728,87.7%,34.9%,45,12.6%,10,2.8%,62.8%,76.4%,57.1%,69.3%,20,60.0%,41.9%,36,61.1%,55.4%,1.36,9:18
5,Stefanos Tsitsipas,GRE,6,1090,90.0%,25.0%,46,9.1%,17,3.4%,63.2%,77.2%,60.2%,70.9%,17,47.1%,37.7%,52,42.3%,53.1%,1.30,13:52
1,Novak Djokovic,SRB,7,1557,89.8%,29.8%,103,13.2%,23,3.0%,68.1%,76.4%,55.6%,69.8%,39,66.7%,39.0%,74,50.0%,54.4%,1.29,18:38
7,Andrey Rublev,RUS,5,838,88.4%,23.2%,57,14.5%,9,2.3%,57.9%,79.4%,59.6%,71.1%,25,68.0%,37.2%,46,34.8%,53.1%,1.28,8:44
