Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
R32,21,(18)Grigor Dimitrov[BUL] [yr|ev],d.,16,(15)Pablo Carreno Busta[ESP] [yr|ev],6-0 1-0 RET,2.28,16.7%,55.6%,90.0%,50.0%,1/1,3.3%,80.0%,37.5%,33.3%,4/8,0:38,3
R32,19,(20)Felix Auger Aliassime[CAN] [yr|ev],d.,12,(11)Denis Shapovalov[CAN] [yr|ev],7-5 7-5 6-3,1.49,8.4%,64.2%,77.0%,58.8%,3/5,4.1%,57.1%,60.7%,50.0%,6/11,2:28,6
R32,114,(Q)Aslan Karatsev[RUS] [yr|ev],d.,9,(8)Diego Schwartzman[ARG] [yr|ev],6-3 6-3 6-3,1.46,10.0%,71.1%,71.9%,61.5%,10/11,0.0%,75.0%,56.3%,50.0%,1/6,1:52,14
R32,8,(7)Andrey Rublev[RUS] [yr|ev],d.,65,Feliciano Lopez[ESP] [yr|ev],7-5 6-2 6-3,1.67,14.8%,51.9%,92.9%,61.5%,3/3,14.1%,56.4%,72.7%,50.0%,5/9,1:32,5
R32,28,(24)Casper Ruud[NOR] [yr|ev],d.,85,Radu Albot[MDA] [yr|ev],6-1 5-7 6-4 6-4,1.73,8.9%,57.4%,86.2%,62.8%,3/5,2.3%,58.9%,63.2%,52.8%,7/12,2:58,2
R32,192,Mackenzie Mcdonald[USA] [yr|ev],d.,91,Lloyd Harris[RSA] [yr|ev],7-6(7) 6-1 6-4,1.55,13.6%,65.9%,81.0%,53.3%,2/4,8.3%,68.8%,68.0%,29.4%,4/9,2:01,37
R32,4,(4)Daniil Medvedev[RUS] [yr|ev],d.,33,(28)Filip Krajinovic[SRB] [yr|ev],6-3 6-3 4-6 3-6 6-0,1.20,11.5%,53.8%,77.1%,51.7%,8/11,1.4%,64.8%,64.1%,48.0%,11/18,3:06,1
R32,6,(5)Stefanos Tsitsipas[GRE] [yr|ev],d.,95,Mikael Ymer[SWE] [yr|ev],6-4 6-1 6-1,1.83,12.1%,60.6%,77.5%,61.5%,0/1,0.0%,76.3%,53.4%,27.8%,5/12,1:34,3
R32,10,(9)Matteo Berrettini[ITA] [yr|ev],d.,20,(19)Karen Khachanov[RUS] [yr|ev],7-6(1) 7-6(5) 7-6(5),1.20,14.8%,62.3%,84.2%,50.0%,2/4,9.8%,63.1%,72.7%,53.3%,4/6,2:59,6
R32,17,(16)Fabio Fognini[ITA] [yr|ev],d.,23,(21)Alex De Minaur[AUS] [yr|ev],6-4 6-3 6-4,1.20,3.4%,52.8%,74.5%,54.8%,1/3,4.8%,51.2%,62.8%,53.7%,3/8,2:08,9
