Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
1,Novak Djokovic,SRB,7,1053,81.5%,38.8%,23,4.7%,29,5.9%,59.4%,73.8%,55.1%,66.2%,41,63.4%,46.2%,83,37.3%,55.5%,1.37,12:52
7,Marin Cilic,CRO,3,459,85.4%,30.0%,23,10.4%,12,5.4%,47.1%,82.7%,57.3%,69.2%,12,50.0%,40.3%,24,50.0%,54.2%,1.31,5:18
4,Rafael Nadal,ESP,4,788,83.9%,45.8%,6,1.5%,15,3.9%,59.4%,72.7%,51.3%,64.0%,32,68.8%,46.9%,50,54.0%,55.3%,1.30,10:27
2,Andy Murray,GBR,5,1026,81.9%,40.5%,44,9.0%,18,3.7%,52.6%,76.6%,52.8%,65.3%,31,51.6%,45.3%,69,46.4%,54.8%,1.30,13:26
,Mikhail Youzhny,RUS,3,392,78.6%,59.3%,16,7.8%,11,5.3%,51.9%,64.5%,54.5%,59.7%,20,70.0%,51.6%,27,59.3%,55.9%,1.28,4:35
10,Gael Monfils,FRA,6,1100,84.3%,33.0%,60,11.1%,26,4.8%,64.2%,74.6%,51.8%,66.4%,35,60.0%,42.2%,67,43.3%,54.1%,1.26,12:23
14,Nick Kyrgios,AUS,3,543,86.4%,20.0%,59,23.2%,9,3.5%,60.6%,79.2%,54.0%,69.3%,13,53.8%,38.4%,32,28.1%,52.9%,1.25,5:48
,Juan Martin del Potro,ARG,5,890,84.7%,26.8%,37,8.1%,21,4.6%,57.9%,78.5%,53.4%,67.9%,29,62.1%,38.7%,39,48.7%,53.7%,1.20,11:33
3,Stan Wawrinka,SUI,7,1812,88.5%,25.9%,61,6.6%,27,2.9%,57.1%,75.9%,56.1%,67.4%,71,77.5%,38.8%,82,42.7%,53.4%,1.19,21:45
9,Jo-Wilfried Tsonga,FRA,5,1017,89.6%,22.4%,60,12.2%,28,5.7%,55.6%,83.2%,47.9%,67.5%,27,70.4%,38.2%,68,25.0%,52.4%,1.18,12:12
15,Roberto Bautista Agut,ESP,3,854,78.5%,31.7%,9,2.1%,14,3.3%,65.5%,72.4%,44.8%,62.9%,34,58.8%,43.3%,47,42.6%,52.9%,1.17,9:42
26,Jack Sock,USA,4,881,78.3%,27.5%,41,9.7%,27,6.4%,59.2%,74.1%,51.4%,64.9%,29,48.3%,40.7%,42,45.2%,52.3%,1.16,9:37
6,Kei Nishikori,JPN,6,1338,80.4%,31.2%,29,4.3%,28,4.2%,55.8%,75.3%,52.3%,65.1%,55,60.0%,40.4%,76,44.7%,52.8%,1.16,16:07
Q,Karen Khachanov,RUS,2,463,81.6%,21.1%,32,14.3%,9,4.0%,54.3%,80.2%,49.0%,65.9%,21,66.7%,39.2%,21,38.1%,52.1%,1.15,5:05
,Paul Henri Mathieu,FRA,2,297,80.0%,33.3%,10,6.5%,13,8.4%,51.9%,72.5%,52.7%,63.0%,10,50.0%,42.7%,17,47.1%,53.2%,1.15,3:26
23,Kevin Anderson,RSA,3,619,87.2%,19.1%,46,15.6%,22,7.5%,58.3%,79.1%,50.4%,67.1%,23,73.9%,37.3%,35,25.7%,51.5%,1.14,7:47
,Marcos Baghdatis,CYP,4,742,75.0%,31.0%,15,4.3%,14,4.1%,46.1%,69.8%,56.5%,62.6%,36,58.3%,42.3%,38,47.4%,51.8%,1.13,8:29
