Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,3,(3)Stan Wawrinka[SUI] [yr|ev],d.,1,(1)Novak Djokovic[SRB] [yr|ev],6-7(1) 6-4 7-5 6-3,0.90,5.5%,56.1%,70.7%,51.4%,14/17,4.9%,51.2%,77.8%,53.3%,4/10,3:54,3
SF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,12,(10)Gael Monfils[FRA] [yr|ev],6-3 6-2 3-6 6-2,1.31,0.9%,64.2%,67.6%,52.6%,7/11,9.9%,54.1%,61.7%,37.3%,12/20,2:32,1
SF,3,(3)Stan Wawrinka[SUI] [yr|ev],d.,7,(6)Kei Nishikori[JPN] [yr|ev],4-6 7-5 6-4 6-2,1.24,8.6%,62.1%,76.4%,50.0%,11/15,2.5%,58.2%,73.2%,37.3%,6/13,3:07,3
QF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,11,(9)Jo-Wilfried Tsonga[FRA] [yr|ev],6-3 6-2 RET,1.76,2.0%,58.0%,82.8%,57.1%,1/2,5.1%,55.9%,69.7%,26.9%,5/9,1:23,1
QF,12,(10)Gael Monfils[FRA] [yr|ev],d.,25,(24)Lucas Pouille[FRA] [yr|ev],6-4 6-3 6-3,1.81,17.3%,62.7%,85.1%,60.7%,0/0,5.4%,56.5%,75.0%,32.5%,5/9,2:01,6
QF,3,(3)Stan Wawrinka[SUI] [yr|ev],d.,142,Juan Martin del Potro[ARG] [yr|ev],7-6(5) 4-6 6-3 6-2,1.19,8.5%,56.8%,76.1%,64.7%,4/6,2.5%,58.2%,76.1%,51.0%,6/10,3:12,3
QF,7,(6)Kei Nishikori[JPN] [yr|ev],d.,2,(2)Andy Murray[GBR] [yr|ev],1-6 6-4 4-6 6-1 7-5,1.13,0.8%,59.5%,71.8%,43.4%,7/15,5.7%,54.6%,68.8%,39.1%,4/13,3:57,4
R16,1,(1)Novak Djokovic[SRB] [yr|ev],d.,84,Kyle Edmund[GBR] [yr|ev],6-2 6-1 6-4,1.50,3.7%,62.2%,74.5%,45.2%,4/6,3.4%,64.0%,52.6%,31.3%,7/15,1:55,1
R16,11,(9)Jo-Wilfried Tsonga[FRA] [yr|ev],d.,27,(26)Jack Sock[USA] [yr|ev],6-3 6-3 6-7(7) 6-2,1.17,8.1%,53.3%,83.3%,44.4%,3/4,3.9%,62.5%,67.5%,45.8%,7/13,3:13,5
R16,25,(24)Lucas Pouille[FRA] [yr|ev],d.,5,(4)Rafael Nadal[ESP] [yr|ev],6-1 2-6 6-4 3-6 7-6(6),0.98,6.8%,45.7%,66.2%,58.0%,6/11,0.7%,59.3%,71.9%,49.2%,9/14,4:06,10
