Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,2,(2)Rafael Nadal[ESP] [yr|ev],d.,1,(1)Roger Federer[SUI] [yr|ev],6-4 6-4 6-7(5) 6-7(8) 9-7,0.98,2.8%,73.4%,69.4%,58.6%,12/13,12.8%,65.1%,72.4%,57.4%,9/13,4:48,1
SF,1,(1)Roger Federer[SUI] [yr|ev],d.,75,Marat Safin[RUS] [yr|ev],6-3 7-6(3) 6-4,1.45,16.7%,66.7%,76.7%,80.0%,2/2,14.0%,66.7%,74.2%,54.8%,3/5,1:43,1
SF,2,(2)Rafael Nadal[ESP] [yr|ev],d.,94,Rainer Schuettler[GER] [yr|ev],6-1 7-6(3) 6-4,1.95,8.0%,80.0%,81.7%,66.7%,1/2,3.4%,67.4%,65.0%,44.8%,7/12,2:02,1
QF,1,(1)Roger Federer[SUI] [yr|ev],d.,43,Mario Ancic[CRO] [yr|ev],6-1 7-5 6-4,2.77,21.1%,69.0%,87.8%,81.8%,0/0,9.5%,61.1%,70.7%,45.9%,6/10,1:42,1
QF,75,Marat Safin[RUS] [yr|ev],d.,35,(32)Feliciano Lopez[ESP] [yr|ev],3-6 7-5 7-6(1) 6-3,1.21,14.8%,56.6%,76.8%,58.5%,5/8,13.4%,58.3%,77.0%,41.5%,3/8,2:40,1
QF,94,Rainer Schuettler[GER] [yr|ev],d.,145,Arnaud Clement[FRA] [yr|ev],6-3 5-7 7-6(6) 6-7(7) 8-6,1.08,6.4%,57.4%,68.1%,53.5%,8/15,4.2%,55.1%,62.7%,54.2%,11/19,5:12,5
QF,2,(2)Rafael Nadal[ESP] [yr|ev],d.,11,(11)Andy Murray[GBR] [yr|ev],6-3 6-2 6-4,3.05,6.1%,62.1%,87.8%,80.0%,0/0,5.5%,50.5%,67.4%,40.0%,6/10,1:55,1
R16,1,(1)Roger Federer[SUI] [yr|ev],d.,27,(24)Lleyton Hewitt[AUS] [yr|ev],7-6(7) 6-2 6-4,1.21,21.4%,61.2%,85.0%,52.6%,8/8,9.2%,62.1%,77.8%,48.5%,0/3,1:50,1
R16,43,Mario Ancic[CRO] [yr|ev],d.,18,(19)Fernando Verdasco[ESP] [yr|ev],3-6 4-6 6-3 6-4 13-11,0.96,8.2%,60.7%,77.5%,48.6%,5/9,5.8%,70.9%,73.8%,52.0%,3/8,3:50,7
R16,75,Marat Safin[RUS] [yr|ev],d.,9,(10)Stan Wawrinka[SUI] [yr|ev],6-4 6-3 5-7 6-1,1.33,4.8%,52.4%,74.2%,55.0%,11/14,7.0%,55.3%,63.5%,41.2%,6/13,2:41,1
