Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
32,Fernando Verdasco,ESP,2,449,87.8%,28.2%,19,8.8%,6,2.8%,67.4%,73.8%,70.0%,72.6%,9,44.4%,38.9%,20,55.0%,55.0%,1.42,4:48
14,Jo-Wilfried Tsonga,FRA,6,1304,88.3%,30.7%,51,8.3%,14,2.3%,64.8%,78.8%,55.3%,70.5%,34,64.7%,41.1%,85,36.5%,54.9%,1.40,16:02
1,Novak Djokovic,SRB,7,1388,89.4%,32.1%,34,5.1%,4,0.6%,69.9%,72.5%,62.0%,69.3%,43,72.1%,41.8%,103,35.0%,55.0%,1.36,17:25
9,Marin Cilic,CRO,4,654,88.7%,28.8%,40,12.5%,4,1.2%,61.4%,76.6%,57.3%,69.2%,21,71.4%,41.1%,24,62.5%,54.9%,1.33,7:11
2,Roger Federer,SUI,5,950,89.5%,28.0%,24,5.3%,2,0.4%,64.6%,73.3%,63.7%,69.9%,22,63.6%,40.2%,49,42.9%,54.3%,1.33,9:24
8,Stan Wawrinka,SUI,7,1529,92.3%,28.9%,62,8.3%,27,3.6%,53.2%,78.9%,56.6%,68.4%,51,82.4%,41.2%,100,33.0%,54.5%,1.31,16:39
,Sergiy Stakhovsky,UKR,2,415,88.2%,29.4%,13,6.6%,6,3.0%,66.7%,75.0%,60.6%,70.2%,9,55.6%,38.7%,20,50.0%,53.7%,1.30,3:50
,Pablo Carreno Busta,ESP,2,454,84.4%,30.3%,8,4.1%,3,1.5%,59.4%,71.8%,56.3%,65.5%,10,50.0%,44.0%,30,33.3%,53.3%,1.27,4:50
7,David Ferrer,ESP,5,971,84.4%,38.2%,17,3.6%,29,6.2%,60.2%,74.9%,50.3%,65.1%,35,65.7%,44.1%,63,46.0%,54.3%,1.26,11:11
22,Philipp Kohlschreiber,GER,2,435,85.3%,35.3%,17,7.6%,8,3.6%,57.4%,74.2%,54.7%,65.9%,12,58.3%,42.9%,22,54.5%,54.7%,1.26,4:57
,Lukas Rosol,CZE,3,482,86.0%,26.2%,17,7.4%,9,3.9%,58.7%,78.5%,58.9%,70.4%,7,14.3%,36.9%,30,36.7%,52.9%,1.25,4:51
,Simone Bolelli,ITA,3,623,85.4%,25.0%,11,3.7%,6,2.0%,68.5%,74.0%,50.0%,66.4%,29,75.9%,41.5%,29,41.4%,53.5%,1.24,6:52
6,Rafael Nadal,ESP,5,898,78.9%,42.3%,10,2.3%,9,2.1%,64.4%,68.3%,53.5%,63.1%,40,62.5%,45.9%,65,46.2%,54.2%,1.24,11:28
3,Andy Murray,GBR,6,1321,81.0%,35.8%,46,7.3%,14,2.2%,60.4%,74.8%,49.2%,64.7%,53,62.3%,43.6%,70,54.3%,53.7%,1.23,16:30
4,Tomas Berdych,CZE,4,920,86.1%,27.1%,24,5.4%,10,2.2%,59.0%,74.9%,55.7%,67.0%,27,63.0%,39.9%,41,46.3%,53.0%,1.21,10:41
,Jeremy Chardy,FRA,4,829,83.1%,26.1%,28,6.7%,17,4.1%,64.8%,74.0%,55.5%,67.5%,26,53.8%,38.6%,37,48.6%,53.1%,1.19,9:23
5,Kei Nishikori,JPN,5,840,83.3%,31.8%,20,4.8%,17,4.1%,61.1%,75.4%,49.1%,65.2%,27,59.3%,41.3%,50,42.0%,53.2%,1.19,10:12
,Martin Klizan,SVK,2,331,70.4%,33.3%,8,5.5%,8,5.5%,63.0%,71.7%,48.1%,63.0%,16,50.0%,43.8%,21,42.9%,52.3%,1.18,3:48
,Andrey Kuznetsov,RUS,3,571,72.3%,29.8%,13,4.8%,9,3.3%,55.1%,70.0%,56.6%,64.0%,23,43.5%,42.1%,29,48.3%,52.5%,1.17,6:13
,Damir Dzumhur,BIH,3,486,74.4%,35.0%,5,2.2%,5,2.2%,66.4%,66.2%,53.8%,62.1%,16,37.5%,44.1%,38,36.8%,52.7%,1.16,4:54
12,Gilles Simon,FRA,4,842,79.4%,33.8%,17,4.0%,18,4.2%,49.5%,73.0%,54.0%,63.4%,43,67.4%,41.8%,44,52.3%,52.7%,1.14,10:02
,Dominic Thiem,AUT,2,662,84.4%,18.6%,15,4.9%,8,2.6%,54.4%,77.1%,48.2%,63.9%,17,58.8%,40.6%,38,21.1%,51.4%,1.13,7:13
,Sam Querrey,USA,1,232,83.3%,16.7%,16,14.8%,3,2.8%,60.2%,75.4%,55.8%,67.6%,5,40.0%,36.3%,8,37.5%,50.9%,1.12,2:40
,Teymuraz Gabashvili,RUS,4,721,89.7%,19.6%,24,6.3%,11,2.9%,64.4%,71.3%,60.7%,67.5%,36,83.3%,36.3%,24,45.8%,52.7%,1.12,7:27
18,Tommy Robredo,ESP,2,551,72.1%,32.6%,11,4.2%,3,1.1%,63.6%,69.9%,47.4%,61.7%,26,53.8%,42.4%,32,43.8%,51.5%,1.11,6:19
15,Kevin Anderson,RSA,3,712,91.2%,17.5%,52,14.8%,10,2.8%,67.0%,77.4%,49.1%,68.1%,28,82.1%,35.5%,37,27.0%,51.5%,1.11,8:13
WC,Thanasi Kokkinakis,AUS,3,731,80.0%,18.3%,42,12.2%,15,4.4%,62.2%,76.6%,50.0%,66.6%,34,64.7%,37.2%,36,30.6%,51.0%,1.11,8:06
19,Roberto Bautista Agut,ESP,2,297,73.1%,28.0%,7,4.7%,0,0.0%,71.1%,70.8%,48.8%,64.4%,19,63.2%,39.2%,14,50.0%,51.9%,1.10,2:53
17,David Goffin,BEL,3,620,74.0%,30.8%,20,6.6%,11,3.7%,55.1%,72.9%,50.4%,62.8%,25,48.0%,40.8%,33,48.5%,51.5%,1.10,6:40
