Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,21,(12)Novak Djokovic[SRB] [yr|ev],d.,8,(8)Kevin Anderson[RSA] [yr|ev],6-2 6-2 7-6(3),1.46,6.4%,72.3%,76.5%,65.4%,7/7,12.5%,61.3%,69.4%,48.4%,0/4,2:19,1
SF,8,(8)Kevin Anderson[RSA] [yr|ev],d.,10,(9)John Isner[USA] [yr|ev],7-6(6) 6-7(5) 6-7(9) 6-4 26-24,1.25,17.6%,71.2%,83.8%,58.8%,3/5,18.2%,74.9%,78.4%,47.9%,7/11,6:36,5
SF,21,(12)Novak Djokovic[SRB] [yr|ev],d.,1,(2)Rafael Nadal[ESP] [yr|ev],6-4 3-6 7-6(9) 3-6 10-8,1.12,13.1%,71.0%,76.0%,47.1%,7/11,4.3%,71.4%,66.7%,56.7%,15/19,5:15,1
QF,8,(8)Kevin Anderson[RSA] [yr|ev],d.,2,(1)Roger Federer[SUI] [yr|ev],2-6 6-7(5) 7-5 6-4 13-11,0.85,13.0%,66.8%,76.3%,52.2%,9/12,9.6%,69.5%,78.9%,59.3%,3/7,4:14,5
QF,10,(9)John Isner[USA] [yr|ev],d.,32,(13)Milos Raonic[CAN] [yr|ev],6-7(5) 7-6(7) 6-4 6-3,1.43,21.7%,72.5%,89.7%,54.5%,1/1,24.1%,69.9%,79.6%,52.5%,3/6,2:42,8
QF,21,(12)Novak Djokovic[SRB] [yr|ev],d.,28,(24)Kei Nishikori[JPN] [yr|ev],6-3 3-6 6-2 6-2,1.56,6.6%,67.0%,85.2%,40.0%,4/7,2.6%,68.4%,58.8%,43.2%,7/14,2:35,1
QF,1,(2)Rafael Nadal[ESP] [yr|ev],d.,4,(5)Juan Martin del Potro[ARG] [yr|ev],7-5 6-7(7) 4-6 6-4 6-4,1.16,1.8%,69.9%,74.1%,62.0%,5/7,18.9%,63.4%,77.5%,45.3%,6/10,4:48,1
R16,2,(1)Roger Federer[SUI] [yr|ev],d.,26,(22)Adrian Mannarino[FRA] [yr|ev],6-0 7-5 6-4,2.10,17.1%,67.1%,90.2%,52.0%,4/4,6.0%,77.0%,54.5%,47.8%,7/12,1:45,1
R16,8,(8)Kevin Anderson[RSA] [yr|ev],d.,44,Gael Monfils[FRA] [yr|ev],7-6(4) 7-6(2) 5-7 7-6(4),1.18,12.7%,65.2%,81.6%,54.5%,1/5,5.5%,70.3%,75.9%,46.9%,9/12,3:29,5
R16,32,(13)Milos Raonic[CAN] [yr|ev],d.,103,Mackenzie Mcdonald[USA] [yr|ev],6-3 6-4 6-7(5) 6-2,1.69,34.6%,66.4%,88.7%,58.3%,0/0,4.0%,67.7%,67.9%,55.0%,10/14,2:31,3
R16,10,(9)John Isner[USA] [yr|ev],d.,35,(31)Stefanos Tsitsipas[GRE] [yr|ev],6-4 7-6(8) 7-6(4),1.53,22.0%,77.0%,88.3%,60.9%,1/1,16.5%,59.6%,80.0%,61.4%,2/3,2:06,8
R16,21,(12)Novak Djokovic[SRB] [yr|ev],d.,40,Karen Khachanov[RUS] [yr|ev],6-4 6-2 6-2,1.85,3.1%,70.8%,78.3%,57.9%,1/3,4.8%,59.5%,56.0%,38.2%,7/14,1:46,1
R16,28,(24)Kei Nishikori[JPN] [yr|ev],d.,138,(Q)Ernests Gulbis[LAT] [yr|ev],4-6 7-6(5) 7-6(10) 6-1,1.04,4.8%,65.3%,79.2%,52.9%,7/8,13.6%,59.8%,75.9%,58.5%,6/8,3:28,4
R16,4,(5)Juan Martin del Potro[ARG] [yr|ev],d.,53,Gilles Simon[FRA] [yr|ev],7-6(1) 7-6(5) 5-7 7-6(5),1.14,16.0%,65.7%,74.8%,46.6%,10/15,6.5%,57.7%,76.7%,37.6%,16/20,4:24,3
