Player,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,M,PeakRank
Daniel Elsner,0.467,0.375,5.0,0.051,12.0,0.122,0.45899999999999996,0.644,0.34,0.48,15.0,0.467,0.418,14.0,0.429,0.447,0.8,1.0,92.0
Daniel Evans,0.7865,0.25525,17.5,0.051000000000000004,16.625,0.047125,0.578125,0.719,0.516,0.633,30.5,0.604125,0.3905,34.0,0.413375,0.5105,1.07375,24.0,21.0
Daniel Gimeno Traver,0.7538571428571429,0.13385714285714287,8.714285714285714,0.06585714285714285,5.714285714285714,0.041999999999999996,0.5455714285714286,0.7057142857142856,0.5047142857142857,0.615,12.142857142857142,0.5082857142857143,0.32071428571428573,9.0,0.3455714285714286,0.46885714285714286,0.8385714285714286,9.0,48.0
Daniel Koellerer,0.765,0.294,4.0,0.011000000000000001,4.0,0.011000000000000001,0.691,0.631,0.514,0.595,34.0,0.647,0.38,29.0,0.517,0.495,0.94,3.0,55.0
Daniel Nestor,0.857,0.067,21.0,0.126,9.0,0.054000000000000006,0.665,0.73,0.5539999999999999,0.6709999999999999,9.0,0.556,0.305,12.0,0.16699999999999998,0.47700000000000004,0.93,2.0,58.0
Daniel Vacek,0.85,0.048,15.0,0.09699999999999999,5.0,0.032,0.581,0.7440000000000001,0.462,0.626,14.0,0.7859999999999999,0.28600000000000003,8.0,0.125,0.478,0.76,1.0,26.0
Daniele Bracciali,0.6825,0.089,9.0,0.08549999999999999,4.0,0.03900000000000001,0.5015000000000001,0.7329999999999999,0.4455,0.5880000000000001,11.5,0.5640000000000001,0.34450000000000003,7.5,0.1965,0.4615,0.845,2.0,49.0
Daniil Medvedev,0.80825,0.31775000000000003,55.875,0.108375,26.125,0.057,0.591125,0.744125,0.502,0.6455,33.375,0.627,0.416625,56.75,0.463125,0.52675,1.23875,40.0,1.0
Darian King,0.765,0.11800000000000001,2.0,0.015,3.0,0.022000000000000002,0.606,0.639,0.48100000000000004,0.5770000000000001,11.0,0.636,0.36,10.0,0.2,0.473,0.85,1.0,106.0
David Ferrer,0.72775,0.276625,14.9375,0.0386875,12.375,0.047125,0.611,0.6730625,0.502875,0.6056875,28.125,0.5801875,0.40675,37.5,0.429125,0.5043125,1.0625,49.0,3.0
David Goffin,0.7190833333333333,0.252,19.833333333333332,0.06908333333333333,14.5,0.05933333333333333,0.5715833333333333,0.7023333333333334,0.4765,0.6055,24.5,0.5851666666666667,0.40025,29.583333333333332,0.35958333333333337,0.5023333333333334,1.0333333333333334,30.0,7.0
David Nalbandian,0.7802,0.2467,20.3,0.0546,17.0,0.047200000000000006,0.5704,0.7124,0.5194,0.6296,31.0,0.6193000000000001,0.3942,38.1,0.3766,0.5101,1.072,31.0,3.0
David Prinosil,0.594,0.16949999999999998,6.0,0.0635,12.0,0.1235,0.497,0.659,0.432,0.5455,13.5,0.5575,0.34750000000000003,6.0,0.4165,0.4515,0.77,2.0,28.0
David Sanchez,0.6616,0.1778,5.2,0.0354,5.2,0.0402,0.579,0.6874,0.4098,0.5692,15.2,0.579,0.347,11.0,0.39740000000000003,0.46299999999999997,0.82,6.0,41.0
