median_matches,player_name,current_rank,peak_rank,tour-years_A%,tour-years_DF%,tour-years_1stIn,tour-years_1st%,tour-years_2nd%,winners-errors_Wnr/Pt,winners-errors_UFE/Pt,winners-errors_FH Wnr/Pt,winners-errors_BH Wnr/Pt,serve-speed_1st Avg,serve-speed_1st T Avg,serve-speed_1st Wide Avg,serve-speed_2nd Avg,serve-speed_2nd T Avg,serve-speed_2nd Wide Avg,pbp-stats_Deuce A%,pbp-stats_Deuce SPW%,pbp-stats_Ad A%,pbp-stats_Ad SPW%,pbp-stats_Deuce RPW%,pbp-stats_Ad RPW%,mcp-serve_Percent of points won when return was put in play,mcp-serve_1st: Unret%,mcp-serve_Percent of first serve points won on either the serve or second shot,mcp-serve_Percentage of first serve points won when return was put in play,mcp-serve_D Wide%,mcp-serve_A Wide%,mcp-serve_2nd: Unret%,mcp-serve_Percent of second serve points won on either the serve or second shot,mcp-serve_Percentage of second serve points won when return was put in play,mcp-serve_2ndAgg,mcp-return_RiP%,mcp-return_Percent of points won when return was put in play,mcp-return_Return Depth Index (higher = deeper),mcp-return_Slice/chip returns as a percentage of all in-play first-serve returns,mcp-return_Return winners (and induced forced errors) as a percentage of second-serve return points,mcp-rally_RallyLen,mcp-rally_1-3 W%,mcp-rally_4-6 W%,mcp-rally_7-9 W%,mcp-rally_10+ W%,mcp-rally_FH/GS,mcp-rally_BH Slice%,mcp-rally_FHP/100,mcp-rally_BHP/100,mcp-tactics_SnV Freq,mcp-tactics_SnV W%,mcp-tactics_Net Freq,mcp-tactics_Net W%,mcp-tactics_FH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line forehand,mcp-tactics_IO Wnr%,mcp-tactics_BH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line backhand,mcp-tactics_Drop: Freq,mcp-tactics_Winners (and induced forced errors) per (baseline) dropshot,mcp-tactics_RallyAgg,mcp-tactics_ReturnAgg
1,Ekaterina Makarova,220,158,0.3%,6.6%,67.0%,52.1%,40.0%,3.4%,15.8%,0.7%,2.9%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,56.8%,0.0%,59.4%,53.7%,33.3%,48.9%,18.8%,25.0%,51.3%,22.2%,14.3%,50.0%,50.0%,37.5%,183,84.4%,50.8%,2.88,0.0%,3.7%,4.1,51.2%,52.9%,52.6%,36.4%,44.0%,11.3%,2.7,7.9,0.0%,-,0.7%,100.0%,5.3%,0.0%,0.0%,9.9%,33.3%,1.6%,25.0%,-92,-48
3,Raluka Serban,221,152,1.3%,13.2%,59.0%,61.3%,39.3%,12.3%,21.6%,8.7%,4.2%,N/A,N/A,N/A,N/A,N/A,N/A,0.7%,55.6%,0.6%,54.8%,47.9%,48.5%,41.0%,21.8%,29.3%,44.2%,56.4%,28.3%,20.8%,25.7%,35.0%,78,73.1%,48.4%,2.55,4.8%,22.2%,3.9,47.8%,42.5%,46.5%,48.6%,56.5%,2.4%,2.1,-1.7,0.0%,-,7.9%,75.0%,10.9%,15.4%,21.7%,6.6%,22.2%,0.6%,60.0%,-45,-25
2,Kayla Cross,222,221,0.0%,11.3%,50.9%,51.9%,57.7%,16.9%,22.6%,14.7%,2.3%,N/A,N/A,N/A,N/A,N/A,N/A,8.3%,61.1%,0.0%,60.9%,41.7%,39.5%,59.8%,22.4%,43.4%,54.2%,20.0%,52.6%,25.0%,29.5%,69.7%,92,72.5%,46.6%,2.03,10.2%,4.3%,4.1,47.4%,56.3%,46.9%,55.2%,47.6%,23.3%,16.1,0.5,3.1%,75.0%,8.4%,72.0%,23.5%,30.0%,7.7%,7.9%,33.3%,1.0%,20.0%,28,53
6,Lizette Cabrera,223,119,1.5%,5.3%,64.6%,56.9%,38.8%,10.6%,21.9%,6.3%,3.1%,N/A,N/A,N/A,N/A,N/A,N/A,1.5%,53.5%,1.2%,52.1%,45.6%,45.1%,45.5%,22.8%,32.3%,45.9%,34.3%,44.7%,14.4%,20.5%,44.8%,14,71.2%,52.4%,2.66,7.5%,10.4%,3.9,49.3%,48.0%,50.0%,43.8%,48.2%,9.3%,2.7,1.1,0.2%,100.0%,7.9%,66.2%,12.5%,20.4%,20.0%,8.2%,17.6%,0.6%,40.0%,8,15
5,Leonie Kung,225,144,3.1%,4.1%,61.9%,58.7%,47.7%,10.7%,17.2%,4.4%,5.3%,N/A,N/A,N/A,N/A,N/A,N/A,1.0%,51.4%,0.6%,52.5%,47.4%,48.5%,43.6%,23.8%,31.1%,49.7%,16.2%,47.4%,9.3%,16.0%,29.4%,-22,69.3%,54.6%,2.22,7.6%,18.3%,4.3,46.8%,49.0%,63.6%,48.3%,53.3%,10.7%,4.2,3.6,0.0%,-,7.3%,69.8%,10.4%,13.6%,100.0%,10.4%,42.6%,2.6%,37.0%,-32,-29
50,Kristina Mladenovic,226,10,4.9%,7.5%,58.2%,65.7%,42.8%,16.7%,19.7%,9.3%,4.1%,100.1,103.5,95.2,79.7,77.9,81.9,5.6%,57.4%,3.2%,55.9%,43.8%,42.8%,47.1%,28.7%,42.5%,51.1%,43.6%,60.8%,16.8%,22.6%,41.6%,46,72.0%,51.7%,2.38,16.3%,14.6%,3.8,48.5%,50.9%,50.4%,47.4%,49.3%,22.1%,9.1,-1.3,1.5%,57.4%,11.1%,71.5%,18.1%,22.3%,14.9%,7.8%,15.7%,3.3%,26.8%,49,50
2,Julia Avdeeva,227,188,2.6%,13.2%,50.0%,52.6%,26.3%,15.5%,25.0%,10.8%,3.3%,N/A,N/A,N/A,N/A,N/A,N/A,6.3%,57.0%,3.8%,52.6%,39.5%,38.0%,45.2%,36.0%,53.5%,47.3%,46.7%,22.2%,14.0%,22.8%,42.9%,11,70.7%,47.1%,2.11,14.8%,10.9%,3.1,48.0%,39.2%,52.4%,77.8%,55.8%,34.1%,5.8,-1.8,0.0%,-,5.3%,87.5%,20.3%,34.8%,0.0%,18.5%,14.3%,4.4%,23.5%,130,131
1,Georgia Pedone,229,183,0.0%,0.0%,79.3%,46.7%,33.3%,3.7%,21.1%,0.9%,2.8%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,42.9%,0.0%,46.9%,36.4%,20.0%,43.9%,0.0%,12.2%,51.0%,0.0%,75.0%,5.6%,5.6%,23.5%,-104,88.1%,29.7%,2.65,4.1%,30.8%,5.7,36.6%,39.5%,27.3%,47.4%,54.4%,9.2%,-6.0,2.7,0.0%,-,8.3%,55.6%,2.7%,10.5%,0.0%,5.4%,25.0%,1.5%,0.0%,-110,-132
2,Marie Benoit,230,188,2.7%,5.4%,61.3%,51.5%,39.5%,11.3%,22.5%,6.7%,4.6%,N/A,N/A,N/A,N/A,N/A,N/A,1.4%,53.0%,0.9%,55.5%,47.3%,47.8%,35.5%,15.3%,17.6%,34.7%,16.7%,71.4%,19.2%,19.2%,38.1%,61,70.9%,48.2%,2.41,2.8%,5.9%,5.2,45.0%,41.1%,50.0%,39.5%,52.0%,9.4%,-0.6,-0.9,0.0%,-,7.1%,70.6%,6.5%,5.5%,13.3%,5.3%,20.0%,1.9%,20.0%,-74,-72
1,Petra Marcinko,231,132,1.7%,5.9%,63.7%,63.5%,42.5%,14.6%,24.9%,8.0%,6.3%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,54.9%,2.1%,58.3%,46.7%,48.8%,46.7%,27.3%,36.4%,50.0%,8.3%,33.3%,10.0%,13.3%,40.7%,-14,77.9%,52.2%,2.18,2.1%,9.5%,4.5,57.1%,51.0%,45.8%,42.1%,46.8%,6.8%,-1.6,6.2,0.0%,-,6.5%,41.7%,10.9%,11.4%,0.0%,10.0%,25.0%,1.4%,0.0%,12,13
