median_matches,player_name,current_rank,peak_rank,tour-years_A%,tour-years_DF%,tour-years_1stIn,tour-years_1st%,tour-years_2nd%,winners-errors_Wnr/Pt,winners-errors_UFE/Pt,winners-errors_FH Wnr/Pt,winners-errors_BH Wnr/Pt,serve-speed_1st Avg,serve-speed_1st T Avg,serve-speed_1st Wide Avg,serve-speed_2nd Avg,serve-speed_2nd T Avg,serve-speed_2nd Wide Avg,pbp-stats_Deuce A%,pbp-stats_Deuce SPW%,pbp-stats_Ad A%,pbp-stats_Ad SPW%,pbp-stats_Deuce RPW%,pbp-stats_Ad RPW%,mcp-serve_Percent of points won when return was put in play,mcp-serve_1st: Unret%,mcp-serve_Percent of first serve points won on either the serve or second shot,mcp-serve_Percentage of first serve points won when return was put in play,mcp-serve_D Wide%,mcp-serve_A Wide%,mcp-serve_2nd: Unret%,mcp-serve_Percent of second serve points won on either the serve or second shot,mcp-serve_Percentage of second serve points won when return was put in play,mcp-serve_2ndAgg,mcp-return_RiP%,mcp-return_Percent of points won when return was put in play,mcp-return_Return Depth Index (higher = deeper),mcp-return_Slice/chip returns as a percentage of all in-play first-serve returns,mcp-return_Return winners (and induced forced errors) as a percentage of second-serve return points,mcp-rally_RallyLen,mcp-rally_1-3 W%,mcp-rally_4-6 W%,mcp-rally_7-9 W%,mcp-rally_10+ W%,mcp-rally_FH/GS,mcp-rally_BH Slice%,mcp-rally_FHP/100,mcp-rally_BHP/100,mcp-tactics_SnV Freq,mcp-tactics_SnV W%,mcp-tactics_Net Freq,mcp-tactics_Net W%,mcp-tactics_FH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line forehand,mcp-tactics_IO Wnr%,mcp-tactics_BH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line backhand,mcp-tactics_Drop: Freq,mcp-tactics_Winners (and induced forced errors) per (baseline) dropshot,mcp-tactics_RallyAgg,mcp-tactics_ReturnAgg
3,Carol Zhao,246,131,2.8%,9.4%,61.6%,61.7%,36.2%,9.8%,24.9%,7.2%,2.3%,N/A,N/A,N/A,N/A,N/A,N/A,2.4%,55.2%,1.9%,54.5%,43.0%,42.9%,34.8%,28.7%,31.9%,41.8%,22.9%,44.7%,11.0%,11.0%,27.7%,-13,78.4%,46.9%,2.56,17.9%,7.4%,4.7,44.3%,39.1%,36.2%,41.9%,56.6%,26.9%,-4.8,-2.6,1.1%,50.0%,7.4%,33.3%,6.1%,11.4%,0.0%,4.8%,20.0%,0.7%,20.0%,-62,-33
2,Himeno Sakatsume,247,164,3.1%,5.1%,61.3%,63.7%,48.5%,10.7%,20.2%,8.1%,2.8%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,60.2%,0.0%,46.7%,39.8%,42.2%,55.3%,16.9%,33.7%,52.2%,47.8%,16.7%,17.1%,24.4%,61.8%,-48,74.8%,37.9%,2.38,10.1%,5.7%,4.3,46.8%,47.7%,46.2%,43.5%,48.7%,5.1%,6.8,-2.0,0.0%,-,6.7%,52.9%,17.3%,19.2%,23.1%,3.3%,4.2%,0.2%,0.0%,0,-24
1,Valeriya Strakhova,248,231,2.1%,2.1%,65.0%,49.5%,32.0%,17.6%,34.5%,9.5%,9.5%,N/A,N/A,N/A,N/A,N/A,N/A,2.2%,55.9%,1.0%,53.5%,46.4%,49.7%,36.4%,8.3%,13.9%,42.4%,12.5%,25.0%,8.3%,8.3%,18.2%,-55,70.8%,54.3%,2.46,0.0%,3.1%,5.5,38.6%,32.1%,58.3%,50.0%,47.2%,7.5%,-1.5,0.0,0.0%,-,8.4%,60.0%,8.8%,9.4%,100.0%,8.5%,32.1%,0.0%,-,-9,-2
3,Despina Papamichail,249,143,1.0%,2.8%,64.6%,54.6%,41.8%,13.6%,18.4%,4.8%,8.8%,N/A,N/A,N/A,N/A,N/A,N/A,0.9%,53.4%,0.6%,53.9%,47.9%,49.5%,52.3%,10.2%,19.7%,58.3%,15.8%,73.2%,15.2%,20.3%,40.3%,-19,83.6%,53.3%,2.53,5.4%,5.6%,5.7,55.9%,48.7%,55.1%,50.0%,45.4%,5.3%,2.6,4.0,0.0%,-,11.6%,65.5%,8.5%,15.5%,4.0%,8.4%,23.5%,0.6%,37.5%,-64,-72
1,Carole Monnet,250,162,0.6%,9.8%,58.3%,60.7%,45.7%,10.8%,20.1%,9.5%,2.4%,N/A,N/A,N/A,N/A,N/A,N/A,0.6%,49.4%,0.3%,47.4%,49.3%,46.6%,49.0%,22.2%,40.0%,51.4%,30.0%,41.7%,27.3%,36.4%,43.8%,119,73.1%,38.8%,2.24,11.4%,4.5%,4.3,54.2%,46.7%,36.0%,25.0%,60.4%,6.2%,-4.0,1.7,0.0%,-,10.8%,60.0%,12.0%,25.0%,14.3%,1.5%,12.5%,1.2%,66.7%,-42,-27
1,Francisca Jorge,251,176,2.8%,2.0%,69.3%,55.8%,48.5%,9.6%,3.8%,5.4%,3.2%,N/A,N/A,N/A,N/A,N/A,N/A,0.7%,54.9%,0.6%,51.1%,45.1%,46.3%,67.9%,50.0%,57.7%,61.5%,0.0%,63.6%,25.0%,35.0%,73.3%,-46,61.4%,51.4%,2.32,23.1%,9.5%,3.1,58.2%,60.9%,60.0%,75.0%,46.7%,15.4%,22.4,13.6,0.0%,-,5.8%,83.3%,18.9%,42.9%,0.0%,20.0%,60.0%,0.0%,-,-54,-3
1,Sophie Chang,252,217,7.6%,8.8%,62.6%,65.4%,31.3%,17.3%,20.2%,11.0%,6.0%,N/A,N/A,N/A,N/A,N/A,N/A,2.5%,53.6%,2.1%,52.6%,45.0%,45.0%,34.9%,10.0%,30.0%,40.7%,85.7%,9.1%,11.1%,11.1%,25.0%,-4,75.9%,61.0%,2.35,18.5%,15.8%,3.9,36.2%,58.1%,45.5%,25.0%,49.7%,5.0%,6.5,14.0,0.0%,-,11.5%,66.7%,23.9%,23.8%,33.3%,15.4%,25.0%,0.0%,-,99,59
2,Margaux Rouvroy,253,211,4.3%,2.1%,65.7%,59.8%,43.8%,11.4%,17.1%,8.7%,2.6%,N/A,N/A,N/A,N/A,N/A,N/A,1.1%,52.2%,0.0%,51.7%,59.1%,48.8%,49.5%,18.6%,31.4%,54.3%,78.9%,4.0%,25.0%,27.3%,39.4%,101,92.1%,56.0%,2.36,15.7%,8.3%,5.3,59.8%,50.6%,51.4%,56.1%,59.5%,58.3%,4.2,9.4,4.4%,83.3%,13.6%,77.8%,6.2%,11.1%,0.0%,16.0%,37.5%,2.7%,25.0%,-100,-69
1,Mei Yamaguchi,254,254,4.9%,3.5%,63.4%,60.0%,42.3%,14.0%,16.9%,8.4%,6.1%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,59.8%,0.0%,53.0%,44.9%,44.1%,42.2%,8.2%,10.2%,48.9%,0.0%,7.1%,20.8%,25.0%,26.3%,-11,72.1%,50.0%,2.62,6.7%,20.0%,4.0,41.2%,45.8%,45.5%,66.7%,49.0%,2.8%,16.0,1.5,0.0%,-,7.4%,60.0%,21.9%,16.7%,0.0%,7.6%,16.7%,0.0%,-,14,-25
7,Maria Timofeeva,255,93,1.7%,3.6%,67.1%,61.0%,49.1%,14.7%,19.1%,8.2%,5.6%,N/A,N/A,N/A,N/A,N/A,N/A,1.5%,56.6%,1.7%,57.6%,38.6%,46.6%,51.3%,15.7%,23.4%,53.5%,66.1%,31.8%,14.0%,24.0%,46.5%,-28,77.2%,51.4%,2.41,8.2%,10.0%,5.2,45.9%,51.6%,55.6%,50.3%,50.8%,14.2%,5.3,2.1,0.0%,-,10.5%,68.8%,11.0%,16.5%,2.4%,6.9%,17.6%,1.3%,13.3%,-35,-43
1,Marina Bassols Ribera,256,105,0.9%,5.2%,59.0%,54.7%,46.1%,7.5%,24.0%,3.6%,3.6%,85.9,88.1,79.5,74.5,75.3,74.5,1.3%,55.9%,0.8%,51.3%,48.2%,48.5%,44.2%,18.2%,22.7%,38.9%,25.0%,55.6%,5.9%,11.8%,56.3%,-58,68.5%,42.0%,2.94,0.0%,8.3%,4.4,39.4%,54.3%,46.7%,26.7%,50.0%,3.8%,-1.2,0.4,0.0%,-,3.7%,40.0%,5.7%,4.2%,0.0%,12.1%,25.0%,0.4%,100.0%,-14,-30
1,Su Jeong Jang,257,114,2.1%,5.0%,66.5%,59.9%,44.4%,8.7%,18.5%,4.7%,3.5%,N/A,N/A,N/A,N/A,N/A,N/A,1.9%,55.1%,1.0%,51.8%,45.1%,46.1%,29.4%,22.6%,25.8%,37.5%,50.0%,33.3%,0.0%,0.0%,10.0%,-119,83.3%,40.0%,2.24,9.1%,18.2%,4.9,41.0%,50.0%,40.0%,7.1%,49.7%,8.5%,-4.7,0.0,0.0%,-,10.9%,60.0%,6.2%,12.5%,0.0%,4.6%,33.3%,0.0%,-,-114,-85
1,Wushuang Zheng,259,250,2.3%,4.9%,60.5%,59.0%,43.8%,8.5%,26.3%,3.6%,3.6%,N/A,N/A,N/A,N/A,N/A,N/A,1.0%,53.0%,0.5%,50.8%,45.7%,45.4%,40.8%,24.3%,29.7%,46.4%,100.0%,25.0%,8.7%,13.0%,33.3%,-30,76.4%,38.1%,2.56,14.3%,12.5%,4.9,42.1%,45.8%,33.3%,43.8%,49.4%,6.3%,-5.6,1.3,0.0%,-,6.8%,62.5%,5.1%,5.0%,22.2%,11.5%,26.3%,0.8%,0.0%,-4,-13
26,Viktoria Hruncakova,261,43,7.2%,6.5%,56.6%,68.2%,43.5%,18.1%,21.2%,9.0%,5.7%,101.5,103.9,99.2,83.8,88.2,82.4,5.0%,58.4%,4.8%,56.6%,44.5%,43.7%,45.6%,31.9%,44.0%,48.6%,25.9%,34.7%,20.3%,27.0%,41.7%,74,68.3%,53.9%,2.41,23.0%,11.7%,3.5,48.6%,48.0%,50.6%,55.2%,50.2%,11.4%,8.8,1.4,0.0%,-,5.2%,76.4%,18.2%,29.1%,10.3%,10.5%,21.8%,1.7%,50.0%,79,82
7,Katarina Zavatska,262,103,1.1%,4.5%,63.7%,55.1%,42.5%,9.9%,18.9%,3.4%,4.1%,N/A,N/A,N/A,N/A,N/A,N/A,1.2%,54.1%,1.0%,52.9%,45.9%,46.2%,44.2%,17.3%,28.8%,52.1%,14.3%,47.1%,16.8%,20.0%,31.0%,28,71.3%,53.7%,2.50,5.2%,6.0%,4.6,48.5%,44.2%,57.8%,43.6%,43.7%,7.4%,-0.6,3.1,0.0%,-,7.5%,67.7%,6.2%,8.7%,6.3%,9.6%,25.3%,1.5%,32.0%,-42,-41
4,Eva Vedder,264,221,5.4%,4.8%,54.5%,58.2%,48.7%,13.7%,18.3%,9.3%,3.0%,N/A,N/A,N/A,N/A,N/A,N/A,2.7%,57.0%,1.4%,59.0%,45.0%,45.5%,41.0%,25.2%,33.1%,40.7%,9.8%,50.9%,24.1%,27.8%,41.5%,35,75.7%,48.5%,2.29,17.0%,16.7%,4.5,50.2%,45.0%,47.9%,40.4%,55.2%,18.7%,4.1,2.3,0.8%,100.0%,8.5%,54.3%,13.0%,12.5%,14.3%,4.4%,18.2%,1.2%,41.7%,-37,-26
2,Alina Charaeva,265,197,2.1%,8.5%,57.4%,51.9%,25.0%,13.2%,14.2%,9.2%,4.3%,N/A,N/A,N/A,N/A,N/A,N/A,1.6%,48.4%,0.8%,43.7%,44.1%,53.0%,43.5%,26.3%,29.8%,40.5%,28.6%,58.8%,16.7%,33.3%,50.0%,21,63.5%,62.1%,2.49,4.8%,9.3%,3.5,44.1%,57.1%,63.6%,66.7%,52.2%,16.4%,16.8,10.8,0.0%,-,7.2%,78.6%,19.2%,32.3%,0.0%,20.3%,30.4%,1.1%,0.0%,2,17
1,Ye Xin Ma,267,177,2.0%,7.1%,54.4%,58.4%,40.9%,9.6%,23.0%,5.1%,4.6%,N/A,N/A,N/A,N/A,N/A,N/A,1.3%,53.7%,0.6%,56.1%,42.2%,39.5%,41.2%,25.6%,37.2%,48.3%,52.2%,62.5%,17.0%,17.0%,30.8%,46,76.4%,55.7%,2.46,19.3%,14.6%,4.9,49.6%,48.5%,51.3%,57.6%,54.6%,8.4%,-0.2,6.3,0.0%,-,7.7%,65.0%,8.8%,17.8%,0.0%,11.2%,33.3%,0.0%,-,-26,-8
1,Jia Jing Lu,269,162,3.1%,8.0%,57.8%,60.3%,39.5%,11.6%,32.7%,8.4%,3.8%,N/A,N/A,N/A,N/A,N/A,N/A,3.0%,56.2%,1.8%,54.6%,44.9%,46.3%,45.3%,35.3%,47.1%,50.0%,15.0%,53.3%,11.4%,14.3%,41.9%,-16,67.6%,43.5%,2.20,0.0%,0.0%,3.5,42.4%,47.6%,30.8%,71.4%,50.7%,6.5%,-7.4,-0.5,0.0%,-,10.2%,60.0%,11.8%,19.0%,0.0%,9.4%,30.0%,0.5%,0.0%,116,128
1,Mariia Tkacheva,271,266,1.6%,4.9%,77.0%,61.7%,28.6%,9.4%,25.9%,7.7%,1.5%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,61.1%,0.6%,44.9%,39.2%,45.7%,51.0%,12.8%,29.8%,56.1%,0.0%,42.9%,9.1%,18.2%,30.0%,-36,70.5%,45.5%,2.60,7.3%,7.7%,4.0,38.6%,53.8%,66.7%,43.8%,50.4%,5.9%,-4.0,4.1,1.7%,0.0%,5.0%,85.7%,10.5%,0.0%,0.0%,11.0%,33.3%,0.4%,0.0%,80,38
4,Stacey Fung,272,222,0.0%,3.3%,54.4%,51.0%,48.8%,9.2%,18.7%,6.0%,2.6%,N/A,N/A,N/A,N/A,N/A,N/A,2.8%,66.9%,1.5%,51.5%,47.2%,42.7%,54.3%,18.8%,29.5%,54.5%,26.1%,63.8%,14.0%,18.3%,53.8%,24,68.7%,51.9%,2.39,14.7%,8.8%,4.8,51.4%,58.8%,50.0%,46.5%,60.1%,4.4%,6.2,3.9,0.4%,100.0%,5.9%,72.7%,10.6%,11.9%,13.8%,9.0%,17.2%,0.2%,50.0%,-40,-42
2,Emerson Jones,273,252,0.0%,7.3%,62.2%,61.8%,30.6%,13.0%,19.6%,6.4%,8.4%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,50.8%,0.0%,40.4%,37.3%,39.6%,37.5%,19.2%,27.4%,45.8%,6.7%,14.3%,19.4%,19.4%,20.7%,60,67.9%,52.6%,2.77,6.8%,10.5%,3.9,38.5%,42.6%,61.9%,45.0%,48.5%,5.8%,1.5,8.0,0.0%,-,0.4%,100.0%,10.6%,17.1%,0.0%,13.3%,47.8%,0.3%,0.0%,6,-7
11,Irina Bara,274,104,0.4%,4.8%,70.2%,54.1%,43.1%,10.8%,17.0%,4.9%,3.4%,86.5,,,77.8,,,0.2%,51.7%,0.1%,52.0%,52.2%,50.1%,44.4%,10.7%,13.4%,44.0%,16.0%,19.8%,11.8%,12.4%,45.8%,-12,79.4%,54.3%,2.55,0.4%,9.2%,5.9,47.9%,46.8%,51.6%,49.8%,51.1%,14.4%,0.9,1.4,0.0%,-,7.2%,68.3%,6.0%,9.3%,1.7%,3.9%,13.6%,2.2%,46.4%,-108,-101
18,Aleksandra Krunic,275,39,2.8%,3.6%,60.7%,60.5%,47.9%,14.4%,17.7%,8.1%,4.1%,96.1,99.1,90.2,78.6,82.1,77.8,3.4%,56.4%,1.8%,55.7%,43.6%,44.0%,45.0%,22.0%,32.2%,44.3%,12.4%,60.5%,15.1%,22.9%,46.1%,-22,71.1%,49.3%,2.56,19.8%,10.3%,3.9,47.6%,44.8%,49.0%,49.3%,46.7%,30.1%,4.5,0.2,0.0%,-,9.2%,72.9%,16.0%,20.1%,13.3%,7.6%,17.8%,3.6%,27.3%,17,3
1,Mary Stoiana,276,275,N/A,N/A,N/A,N/A,N/A,9.6%,14.0%,3.7%,5.6%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,73.1%,4.8%,57.1%,48.6%,59.4%,56.8%,22.2%,37.0%,57.1%,45.5%,88.9%,20.0%,35.0%,56.3%,-104,83.6%,57.1%,2.07,9.5%,6.7%,4.6,65.4%,57.9%,41.7%,50.0%,33.5%,14.2%,5.9,6.2,10.9%,60.0%,23.7%,66.7%,11.1%,0.0%,0.0%,7.7%,12.5%,0.5%,0.0%,4,-11
2,Elvina Kalieva,279,168,3.7%,6.8%,53.5%,53.2%,43.6%,6.9%,27.6%,3.8%,1.7%,N/A,N/A,N/A,N/A,N/A,N/A,1.6%,47.2%,2.0%,50.4%,46.0%,49.7%,35.6%,27.5%,29.0%,36.0%,8.3%,36.4%,10.5%,15.8%,35.3%,-14,53.6%,53.3%,2.42,2.0%,12.3%,3.7,47.3%,35.9%,52.2%,39.1%,51.1%,5.1%,-1.2,-8.3,0.0%,-,2.9%,37.5%,10.8%,12.9%,16.7%,3.1%,5.0%,1.6%,28.6%,-2,27
6,Alina Korneeva,280,128,4.7%,5.8%,53.3%,60.9%,48.9%,19.2%,24.6%,10.6%,8.4%,N/A,N/A,N/A,N/A,N/A,N/A,4.3%,50.5%,2.9%,57.7%,51.6%,42.0%,48.7%,21.0%,36.4%,52.1%,31.4%,49.5%,8.7%,19.1%,44.3%,-34,77.2%,56.7%,2.40,5.7%,8.0%,5.0,50.6%,50.6%,49.6%,50.8%,52.7%,9.6%,5.3,2.2,1.1%,60.0%,12.6%,70.4%,10.8%,17.2%,11.5%,10.1%,29.7%,1.8%,32.4%,22,19
6,Amandine Hesse,281,154,5.8%,5.9%,53.7%,58.4%,41.4%,14.0%,24.4%,8.0%,2.8%,99.5,98.7,90.0,80.8,75.0,74.0,4.8%,56.0%,2.8%,53.4%,43.6%,43.9%,38.0%,31.8%,40.9%,40.0%,25.7%,48.5%,19.1%,25.0%,36.4%,64,74.6%,52.7%,2.40,6.8%,11.6%,4.6,49.0%,40.4%,53.3%,41.2%,57.7%,10.6%,1.7,-4.8,0.0%,-,4.9%,46.2%,10.0%,20.9%,10.0%,3.1%,5.3%,0.9%,0.0%,-18,2
6,Sachia Vickery,282,73,2.5%,5.0%,58.2%,59.5%,45.0%,12.6%,18.7%,7.4%,3.9%,90.3,91.2,89.3,71.8,67.5,71.9,2.0%,53.9%,1.5%,52.9%,44.8%,47.7%,43.9%,18.0%,27.9%,47.3%,49.0%,29.5%,14.5%,15.5%,38.3%,26,75.3%,42.6%,2.60,5.4%,12.6%,4.6,40.8%,39.7%,58.6%,45.6%,52.1%,9.1%,1.2,-1.8,0.0%,-,4.1%,72.0%,8.7%,24.1%,2.8%,6.3%,25.5%,0.9%,27.3%,-42,-41
9,Harmony Tan,284,90,2.2%,4.2%,56.7%,60.4%,42.9%,13.5%,19.5%,5.4%,5.0%,99.5,100.9,97.2,77.6,78.9,80.0,2.0%,53.8%,1.9%,52.7%,46.1%,47.0%,45.2%,18.9%,31.6%,51.6%,17.3%,27.0%,10.5%,15.1%,36.4%,-9,79.1%,46.2%,2.45,12.0%,21.9%,5.0,47.8%,44.7%,51.6%,45.3%,51.7%,25.8%,0.6,2.8,3.6%,54.2%,15.0%,62.9%,7.1%,9.6%,3.1%,11.2%,27.0%,2.8%,35.7%,-40,-41
1,Carolina Alves,286,165,1.7%,3.9%,65.7%,59.2%,46.3%,17.0%,27.0%,6.3%,10.5%,N/A,N/A,N/A,N/A,N/A,N/A,0.4%,52.0%,0.6%,52.6%,49.5%,48.8%,40.5%,10.8%,21.6%,45.5%,50.0%,16.7%,10.0%,10.0%,22.2%,-30,82.0%,36.6%,2.16,3.2%,0.0%,6.5,35.3%,52.0%,36.8%,27.3%,54.1%,24.2%,-5.7,3.4,0.0%,-,14.0%,64.3%,4.0%,11.1%,0.0%,6.5%,18.2%,4.3%,16.7%,-72,-66
1,Alice Tubello,287,219,N/A,N/A,N/A,N/A,N/A,11.2%,24.0%,6.5%,4.3%,N/A,N/A,N/A,N/A,N/A,N/A,1.4%,53.1%,0.8%,53.1%,47.5%,48.3%,42.5%,13.7%,17.8%,44.4%,29.4%,50.0%,22.6%,22.6%,37.5%,34,80.7%,52.1%,2.67,4.8%,11.5%,5.3,43.6%,54.4%,47.1%,42.4%,53.6%,23.1%,0.2,-3.5,0.0%,-,9.2%,61.1%,6.9%,11.6%,25.0%,3.8%,7.7%,4.2%,36.8%,-26,-29
1,Camilla Rosatello,288,225,0.9%,4.4%,58.8%,54.5%,42.5%,9.8%,25.3%,6.9%,2.5%,N/A,N/A,N/A,N/A,N/A,N/A,2.3%,53.3%,1.5%,55.9%,46.9%,46.3%,38.2%,23.5%,31.4%,41.0%,0.0%,75.0%,3.3%,10.0%,34.5%,-87,75.9%,54.5%,2.46,7.9%,0.0%,4.7,51.7%,45.0%,26.3%,46.2%,43.1%,26.4%,5.4,-3.9,0.0%,-,10.9%,68.4%,12.0%,20.0%,11.1%,6.5%,25.0%,3.2%,36.4%,4,1
1,Akasha Urhobo,289,282,0.0%,5.0%,76.7%,47.8%,28.6%,20.6%,23.8%,9.1%,12.4%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,40.6%,0.0%,46.4%,44.1%,43.8%,40.4%,8.7%,21.7%,42.9%,14.3%,50.0%,9.1%,9.1%,30.0%,-36,78.8%,51.9%,2.38,2.4%,0.0%,4.5,45.8%,41.5%,35.7%,50.0%,50.7%,15.7%,-4.8,1.1,28.3%,52.9%,32.5%,48.8%,6.1%,15.8%,0.0%,9.5%,16.7%,4.6%,20.0%,51,17
13,Brenda Fruhvirtova,290,87,2.6%,7.2%,62.5%,58.3%,38.6%,11.4%,19.5%,5.1%,6.1%,91.3,96.4,88.5,82.7,84.8,79.8,1.2%,54.4%,0.6%,50.8%,39.3%,44.9%,49.1%,17.4%,28.3%,50.5%,27.2%,57.6%,15.6%,22.8%,46.0%,31,75.4%,50.7%,2.42,4.8%,7.9%,4.7,48.8%,46.6%,51.6%,50.0%,51.1%,8.5%,3.1,3.5,0.0%,-,3.6%,70.7%,8.3%,8.1%,11.1%,9.0%,28.8%,2.3%,29.3%,-62,-53
1,Ayano Shimizu,292,175,0.0%,7.1%,63.3%,43.5%,38.9%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5%,52.4%,0.0%,51.1%,46.7%,48.8%,33.3%,14.3%,17.1%,40.0%,12.5%,77.8%,11.8%,11.8%,20.0%,-9,87.7%,52.0%,2.86,0.0%,20.0%,5.3,31.8%,56.7%,44.0%,50.0%,51.5%,0.8%,3.2,-2.5,0.0%,-,12.4%,71.4%,10.0%,25.0%,0.0%,8.3%,25.0%,1.2%,66.7%,20,14
1,Ipek Oz,293,163,0.9%,3.0%,70.9%,56.7%,44.8%,11.4%,23.4%,2.6%,8.4%,N/A,N/A,N/A,N/A,N/A,N/A,1.0%,51.4%,0.6%,54.8%,45.1%,47.9%,44.6%,21.7%,30.4%,52.8%,54.5%,50.0%,13.0%,17.4%,30.0%,9,73.4%,50.7%,2.48,19.4%,8.7%,4.0,47.1%,52.9%,52.6%,20.0%,51.8%,10.4%,-2.8,6.4,0.0%,-,11.4%,68.4%,8.2%,21.4%,0.0%,15.0%,26.7%,4.3%,16.7%,66,48
12,Julia Grabher,294,54,2.0%,6.7%,64.2%,61.8%,41.2%,16.0%,23.1%,13.5%,2.3%,97.8,103.0,87.5,75.8,,75.0,1.8%,56.2%,0.9%,57.6%,49.0%,48.0%,49.9%,21.2%,34.7%,51.1%,29.2%,44.3%,13.2%,22.6%,47.3%,2,69.4%,51.2%,2.45,5.3%,6.6%,3.9,44.5%,50.0%,54.3%,56.3%,70.4%,23.5%,10.1,-10.3,0.0%,-,6.2%,73.0%,19.1%,17.0%,20.0%,5.9%,9.7%,1.4%,51.4%,75,65
2,Lina Gjorcheska,295,170,0.0%,1.6%,59.6%,66.1%,50.0%,11.5%,26.1%,9.4%,2.5%,N/A,N/A,N/A,N/A,N/A,N/A,1.9%,56.7%,1.7%,57.1%,48.0%,48.3%,24.7%,22.0%,25.4%,32.6%,50.0%,50.0%,8.8%,14.7%,12.9%,-36,75.2%,50.5%,2.59,4.4%,7.5%,3.9,39.5%,43.5%,34.8%,40.0%,54.0%,11.2%,-1.8,-9.0,0.0%,-,7.1%,56.3%,8.3%,12.5%,12.5%,5.8%,11.8%,2.5%,22.2%,19,16
1,Amarissa Kiara Toth,296,294,0.8%,5.5%,70.9%,45.6%,37.8%,8.2%,26.4%,5.7%,2.8%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,46.7%,0.0%,32.1%,40.7%,40.0%,36.4%,6.5%,10.9%,34.9%,20.0%,42.9%,0.0%,0.0%,41.7%,-119,78.8%,43.9%,2.57,0.0%,0.0%,6.2,47.1%,45.9%,30.0%,26.3%,57.7%,7.9%,-1.0,-1.7,0.0%,-,14.5%,50.0%,6.2%,12.5%,0.0%,4.0%,6.7%,1.7%,0.0%,-58,-84
1,En Shuo Liang,297,150,2.7%,4.4%,61.1%,57.4%,46.8%,16.4%,21.9%,,,N/A,N/A,N/A,N/A,N/A,N/A,2.1%,57.8%,2.1%,57.0%,45.4%,46.5%,52.0%,31.1%,46.7%,54.8%,7.7%,86.7%,32.1%,42.9%,47.4%,-23,75.3%,60.7%,1.98,22.6%,6.1%,3.1,52.4%,60.0%,75.0%,100.0%,56.9%,14.1%,6.8,15.8,0.0%,-,5.1%,75.0%,25.8%,35.0%,0.0%,17.6%,42.9%,2.5%,40.0%,139,94
1,Dayeon Back,299,295,1.6%,4.0%,56.0%,52.9%,37.3%,5.4%,6.4%,4.8%,,N/A,N/A,N/A,N/A,N/A,N/A,1.1%,48.9%,0.0%,49.4%,51.0%,51.5%,42.3%,22.8%,24.6%,50.0%,50.0%,71.4%,34.1%,36.6%,29.6%,50,74.0%,52.7%,2.59,9.1%,29.7%,3.4,54.8%,51.8%,27.8%,50.0%,62.5%,77.3%,13.3,-17.6,0.0%,-,1.5%,66.7%,9.6%,25.0%,22.2%,0.0%,0.0%,0.4%,0.0%,-171,-97
1,Cadence Brace,300,296,0.0%,5.6%,64.5%,61.3%,50.0%,12.4%,20.4%,9.4%,3.9%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,65.8%,0.0%,54.5%,57.1%,32.3%,57.1%,17.4%,26.1%,60.5%,11.1%,25.0%,14.3%,23.8%,50.0%,19,74.2%,55.1%,2.25,21.1%,25.0%,4.3,50.0%,51.3%,66.7%,60.0%,56.9%,3.7%,13.7,0.5,0.0%,-,10.2%,57.1%,18.5%,29.4%,33.3%,7.4%,28.6%,0.4%,0.0%,0,7
4,Katherine Sebov,302,136,2.2%,4.4%,72.8%,57.8%,43.2%,13.8%,23.8%,9.7%,4.6%,N/A,N/A,N/A,N/A,N/A,N/A,1.1%,53.1%,1.0%,52.1%,45.2%,48.2%,38.9%,21.1%,30.6%,40.5%,41.4%,47.4%,4.5%,10.4%,35.9%,-75,67.0%,46.2%,2.37,5.2%,20.3%,4.4,37.4%,37.8%,40.8%,62.8%,51.7%,1.4%,1.6,-1.9,0.0%,-,8.1%,58.8%,11.5%,19.6%,20.0%,8.4%,18.2%,0.7%,20.0%,20,11
3,Ankita Raina,304,160,0.5%,2.0%,70.8%,55.4%,45.5%,11.3%,26.5%,5.1%,6.4%,N/A,N/A,N/A,N/A,N/A,N/A,0.5%,51.9%,0.4%,53.6%,47.0%,47.9%,38.0%,9.4%,13.2%,35.4%,26.9%,40.5%,14.3%,15.9%,42.6%,-67,80.2%,40.3%,2.71,0.0%,11.7%,5.2,42.8%,29.7%,41.9%,51.7%,49.3%,2.6%,-3.0,-2.1,0.0%,-,12.5%,39.5%,6.6%,8.5%,0.0%,6.0%,14.9%,0.3%,100.0%,-26,-47
