Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
24,Arthur Fils,FRA,2,482,79.5%,23.1%,17,6.9%,5,2.0%,57.7%,72.5%,51.0%,63.4%,17,52.9%,38.1%,22,40.9%,51.0%,1.04,6:04
17,Ugo Humbert,FRA,2,411,83.3%,20.0%,31,15.1%,15,7.3%,57.1%,74.4%,55.7%,66.3%,15,60.0%,35.0%,22,31.8%,50.6%,1.04,5:18
WC,Tristan Schoolkate,AUS,2,669,76.9%,23.1%,33,10.2%,19,5.9%,57.6%,76.3%,46.0%,63.5%,21,42.9%,37.9%,26,46.2%,50.2%,1.04,8:04
,Zizou Bergs,BEL,2,590,74.4%,22.7%,23,8.2%,18,6.4%,54.8%,73.4%,45.7%,60.9%,24,54.2%,40.1%,27,37.0%,50.0%,1.03,7:47
18,Lorenzo Musetti,ITA,3,804,76.2%,21.0%,27,7.0%,20,5.2%,58.0%,69.8%,54.6%,63.4%,35,57.1%,37.7%,37,35.1%,50.1%,1.03,9:53
,Adam Walton,AUS,1,260,78.9%,19.0%,11,9.5%,4,3.4%,63.8%,73.0%,50.0%,64.7%,5,20.0%,36.1%,13,30.8%,48.8%,1.02,3:03
29,Francisco Cerundolo,ARG,2,531,81.0%,25.6%,14,5.2%,16,5.9%,55.7%,71.5%,53.3%,63.5%,22,63.6%,37.3%,18,61.1%,50.7%,1.02,6:30
Q,Otto Virtanen,FIN,2,448,85.7%,17.6%,16,7.3%,12,5.5%,55.0%,74.4%,52.5%,64.5%,16,68.8%,36.0%,17,35.3%,50.0%,1.01,5:00
31,Flavio Cobolli,ITA,3,686,78.8%,26.4%,21,6.0%,15,4.3%,48.7%,71.9%,50.6%,61.0%,33,66.7%,39.4%,31,45.2%,50.4%,1.01,8:18
,Yoshihito Nishioka,JPN,1,295,68.2%,37.5%,8,5.3%,5,3.3%,52.0%,65.4%,50.0%,58.0%,15,53.3%,42.1%,16,56.3%,50.2%,1.00,3:36
,Miomir Kecmanovic,SRB,2,605,68.8%,29.8%,10,3.3%,17,5.6%,56.0%,68.0%,48.1%,59.3%,29,48.3%,40.9%,33,42.4%,50.1%,1.00,7:23
,Alex Michelsen,USA,2,293,53.8%,42.3%,7,4.6%,11,7.2%,56.6%,67.4%,36.4%,53.9%,23,47.8%,45.4%,18,61.1%,49.8%,0.99,3:37
,Daniel Evans,GBR,3,794,66.1%,27.6%,21,5.2%,25,6.1%,54.1%,72.3%,43.9%,59.2%,46,56.5%,40.6%,39,41.0%,50.1%,0.99,11:00
,Francisco Comesana,ARG,3,672,80.0%,18.5%,24,6.9%,16,4.6%,58.2%,75.7%,47.6%,64.0%,26,57.7%,35.7%,24,41.7%,50.3%,0.99,8:07
Q,Mattia Bellucci,ITA,2,434,85.3%,14.7%,35,15.4%,10,4.4%,67.1%,77.1%,49.3%,68.0%,21,76.2%,31.6%,9,55.6%,50.7%,0.99,5:01
,Laslo Djere,SRB,2,500,77.1%,30.6%,27,10.8%,15,6.0%,57.4%,70.6%,40.6%,57.8%,22,63.6%,41.8%,26,42.3%,49.8%,0.99,6:09
,Lorenzo Sonego,ITA,1,239,68.4%,10.5%,4,4.0%,5,5.0%,61.4%,67.7%,53.8%,62.4%,10,40.0%,37.0%,13,15.4%,47.7%,0.98,3:01
,Alexander Shevchenko,KAZ,2,380,70.0%,27.6%,12,6.6%,15,8.2%,55.2%,60.4%,52.4%,56.8%,20,55.0%,42.1%,21,38.1%,49.2%,0.98,4:30
,Fabian Marozsan,HUN,2,459,69.4%,25.7%,20,8.6%,13,5.6%,59.9%,70.5%,45.2%,60.3%,23,52.2%,38.8%,21,42.9%,49.7%,0.98,5:20
,Adrian Mannarino,FRA,2,453,65.7%,37.1%,9,3.9%,10,4.3%,49.1%,64.6%,50.4%,57.4%,32,62.5%,41.3%,28,46.4%,49.4%,0.97,6:05
23,Karen Khachanov,RUS,1,392,71.4%,28.6%,13,7.1%,7,3.8%,56.0%,64.1%,54.3%,59.8%,18,55.6%,38.9%,23,34.8%,48.7%,0.97,5:35
,Pedro Martinez,ESP,2,462,61.1%,30.6%,10,4.4%,20,8.8%,59.2%,63.0%,46.2%,56.1%,25,44.0%,42.3%,20,55.0%,49.1%,0.96,6:10
Q,Gabriel Diallo,CAN,3,819,74.2%,27.4%,44,10.6%,18,4.3%,61.9%,69.3%,42.4%,59.0%,35,54.3%,39.4%,45,37.8%,49.3%,0.96,10:18
,Jakub Mensik,CZE,3,852,72.6%,29.0%,54,12.1%,31,6.9%,54.8%,75.1%,39.1%,58.8%,37,54.1%,39.5%,41,43.9%,49.6%,0.96,10:05
,Arthur Rinderknech,FRA,2,629,76.6%,14.6%,39,13.4%,11,3.8%,57.0%,74.1%,50.4%,63.9%,27,59.3%,34.6%,33,21.2%,48.2%,0.96,7:55
,Jaume Munar,ESP,1,268,65.0%,25.0%,2,1.6%,8,6.3%,58.6%,64.0%,47.2%,57.0%,20,65.0%,41.4%,12,41.7%,48.9%,0.96,3:23
,Christopher Oconnell,AUS,3,624,84.0%,16.0%,33,11.0%,10,3.3%,53.2%,74.8%,53.6%,64.9%,18,55.6%,33.8%,34,23.5%,48.7%,0.96,7:37
,Taro Daniel,JPN,1,315,84.6%,15.4%,8,5.0%,6,3.7%,55.9%,75.6%,52.1%,65.2%,9,55.6%,33.1%,8,50.0%,49.5%,0.95,3:50
32,Jiri Lehecka,CZE,3,713,79.6%,17.9%,49,13.5%,25,6.9%,54.5%,73.2%,50.3%,62.8%,37,70.3%,34.9%,35,28.6%,49.1%,0.94,8:24
21,Sebastian Baez,ARG,2,361,75.0%,28.0%,6,3.1%,4,2.1%,71.2%,61.0%,50.9%,58.1%,26,76.9%,39.4%,20,35.0%,49.3%,0.94,4:29
,Roberto Carballes Baena,ESP,2,536,80.5%,18.4%,21,7.4%,16,5.7%,53.0%,69.3%,53.4%,61.8%,34,76.5%,35.6%,23,30.4%,49.4%,0.93,7:15
26,Nicolas Jarry,CHI,1,232,78.9%,5.3%,13,11.0%,7,5.9%,60.2%,77.5%,48.9%,66.1%,16,75.0%,31.6%,5,20.0%,49.1%,0.93,2:56
,Alejandro Davidovich Fokina,ESP,1,278,60.0%,35.0%,6,4.1%,6,4.1%,63.4%,62.0%,43.4%,55.2%,16,50.0%,41.4%,16,43.8%,48.6%,0.92,3:17
,Thanasi Kokkinakis,AUS,2,489,82.1%,13.2%,27,10.6%,13,5.1%,47.1%,80.8%,49.6%,64.3%,21,66.7%,32.9%,14,35.7%,49.3%,0.92,6:43
27,Alexander Bublik,KAZ,1,295,76.0%,20.0%,22,14.6%,10,6.6%,53.6%,82.7%,41.4%,63.6%,15,60.0%,33.3%,11,45.5%,48.8%,0.92,3:34
,Jan Lennard Struff,GER,1,338,60.0%,16.7%,11,6.8%,20,12.3%,53.1%,76.7%,31.6%,55.6%,18,44.4%,40.3%,12,33.3%,47.6%,0.91,3:53
,Dominic Stricker,SUI,1,267,73.7%,19.0%,7,5.7%,10,8.1%,41.5%,76.5%,48.6%,60.2%,8,37.5%,36.1%,12,33.3%,47.2%,0.91,3:06
,Daniel Altmaier,GER,1,208,62.5%,18.8%,6,5.8%,7,6.7%,60.6%,76.2%,29.3%,57.7%,13,53.8%,38.5%,7,42.9%,48.1%,0.91,2:37
,Luca Nardi,ITA,1,260,66.7%,27.8%,5,4.0%,11,8.9%,52.4%,69.2%,42.4%,56.5%,11,45.5%,39.7%,14,35.7%,47.7%,0.91,3:16
,Pavel Kotov,RUS,1,322,66.7%,26.1%,9,5.2%,6,3.4%,57.5%,65.0%,44.6%,56.3%,22,63.6%,39.2%,12,50.0%,48.4%,0.90,4:23
,Max Purcell,AUS,2,314,76.9%,16.7%,14,8.0%,7,4.0%,50.6%,69.3%,54.7%,62.1%,18,66.7%,34.3%,9,44.4%,49.7%,0.90,3:31
,Dusan Lajovic,SRB,1,232,64.7%,11.8%,1,0.9%,2,1.9%,65.4%,64.3%,48.6%,58.9%,11,45.5%,36.8%,8,25.0%,47.0%,0.89,2:33
,Roberto Bautista Agut,ESP,2,431,75.0%,18.2%,11,4.9%,16,7.1%,51.6%,70.7%,48.6%,60.0%,24,66.7%,35.4%,13,46.2%,48.3%,0.89,5:24
,Luciano Darderi,ITA,1,287,65.0%,15.0%,10,7.2%,9,6.5%,50.0%,63.8%,50.7%,57.2%,17,58.8%,38.3%,15,20.0%,47.4%,0.89,3:34
,Marton Fucsovics,HUN,1,184,73.3%,14.3%,11,11.7%,8,8.5%,55.3%,63.5%,57.1%,60.6%,12,66.7%,34.4%,7,28.6%,47.8%,0.88,2:22
Q,Hamad Medjedovic,SRB,1,265,76.2%,14.3%,17,12.9%,9,6.8%,61.4%,76.5%,39.2%,62.1%,15,66.7%,33.1%,9,33.3%,47.5%,0.87,3:16
11,Stefanos Tsitsipas,GRE,1,275,81.0%,13.6%,10,7.5%,6,4.5%,49.3%,71.2%,54.4%,62.7%,8,50.0%,32.6%,9,33.3%,47.3%,0.87,3:54
,Mariano Navone,ARG,2,398,66.7%,30.0%,7,3.4%,7,3.4%,55.1%,64.9%,44.1%,55.6%,23,56.5%,38.7%,21,42.9%,47.5%,0.87,5:14
,Marcos Giron,USA,1,277,70.0%,19.0%,2,1.4%,6,4.3%,49.3%,63.2%,48.6%,55.8%,14,57.1%,38.1%,13,30.8%,46.9%,0.86,3:30
,Dominik Koepfer,GER,1,260,65.0%,19.0%,1,0.8%,8,6.0%,63.2%,63.1%,40.8%,54.9%,16,56.3%,38.6%,9,44.4%,46.9%,0.86,2:54
Q,Jan Choinski,GBR,1,333,75.0%,11.5%,9,5.5%,5,3.0%,61.8%,69.6%,47.6%,61.2%,18,66.7%,33.3%,17,17.6%,47.1%,0.86,4:31
WC,Christopher Eubanks,USA,1,319,92.0%,8.0%,17,9.8%,7,4.0%,64.2%,76.6%,53.2%,68.2%,9,77.8%,26.7%,4,50.0%,49.2%,0.84,3:49
,Rinky Hijikata,AUS,2,446,60.6%,27.3%,13,5.6%,11,4.7%,60.3%,64.5%,40.9%,55.1%,28,53.6%,37.7%,17,52.9%,46.9%,0.84,5:27
,Matteo Berrettini,ITA,2,350,85.2%,16.7%,25,14.4%,11,6.3%,52.9%,81.5%,48.8%,66.1%,8,50.0%,28.4%,9,55.6%,47.1%,0.84,4:30
,Sebastian Ofner,AUT,1,239,70.0%,15.0%,12,9.8%,9,7.3%,54.5%,70.1%,44.6%,58.5%,11,45.5%,34.5%,6,50.0%,46.9%,0.83,2:26
WC,Alexandre Muller,FRA,2,460,77.1%,14.7%,18,7.0%,4,1.6%,65.9%,70.0%,44.3%,61.2%,25,68.0%,31.7%,7,71.4%,48.3%,0.82,5:29
Q,Hugo Grenier,FRA,1,277,75.0%,14.3%,19,13.5%,10,7.1%,57.4%,70.4%,40.0%,57.4%,10,50.0%,34.6%,7,42.9%,46.2%,0.81,3:37
22,Alejandro Tabilo,CHI,1,216,60.0%,18.8%,9,7.7%,8,6.8%,50.4%,71.2%,37.9%,54.7%,19,68.4%,36.4%,7,42.9%,46.3%,0.80,2:21
Q,Maks Kasnikowski,POL,1,318,66.7%,20.8%,6,3.6%,5,3.0%,58.8%,61.9%,45.6%,55.2%,16,50.0%,35.9%,9,55.6%,45.9%,0.80,4:21
,Aleksandar Kovacevic,USA,1,266,80.0%,9.5%,25,18.5%,6,4.4%,52.6%,76.1%,42.2%,60.0%,14,71.4%,31.3%,8,25.0%,45.9%,0.78,3:16
,Aleksandar Vukic,AUS,1,200,73.3%,6.3%,15,16.1%,5,5.4%,51.6%,66.7%,48.9%,58.1%,9,55.6%,32.7%,4,25.0%,44.5%,0.78,2:15
,James Duckworth,AUS,1,237,68.4%,11.1%,5,4.3%,7,6.0%,53.8%,69.8%,42.6%,57.3%,10,40.0%,33.3%,8,25.0%,45.1%,0.78,2:36
,Denis Shapovalov,CAN,1,192,62.5%,18.8%,4,4.0%,11,11.1%,53.5%,69.8%,39.1%,55.6%,10,40.0%,34.4%,8,37.5%,45.3%,0.77,2:20
,Borna Coric,CRO,1,162,57.1%,13.3%,7,9.1%,5,6.5%,48.1%,70.3%,45.0%,57.1%,9,33.3%,32.9%,6,33.3%,44.4%,0.77,2:18
WC,Learner Tien,USA,1,217,58.8%,17.6%,2,1.9%,5,4.7%,57.9%,54.8%,51.1%,53.3%,19,63.2%,35.5%,7,42.9%,44.2%,0.76,2:35
