Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,
F,6,(6)Andre Agassi[USA] [yr|ev],d.,18,(15)Arnaud Clement[FRA] [yr|ev],6-4 6-2 6-2,1.29,8.6%,65.4%,71.7%,46.4%,4/6,5.6%,52.2%,59.6%,44.2%,8/15,1:46
SF,18,(15)Arnaud Clement[FRA] [yr|ev],d.,19,(16)Sebastien Grosjean[FRA] [yr|ev],5-7 2-6 7-6(4) 7-5 6-2,0.92,4.1%,56.2%,65.1%,55.3%,14/20,12.8%,50.6%,77.2%,50.6%,6/12,4:08
SF,6,(6)Andre Agassi[USA] [yr|ev],d.,15,(12)Patrick Rafter[AUS] [yr|ev],7-5 2-6 6-7(5) 6-2 6-3,1.29,6.8%,71.6%,78.3%,61.9%,2/4,14.4%,62.7%,82.3%,38.6%,7/11,3:07
QF,18,(15)Arnaud Clement[FRA] [yr|ev],d.,5,(4)Yevgeny Kafelnikov[RUS] [yr|ev],6-4 5-7 7-6(3) 7-6(3),0.98,7.2%,55.7%,68.8%,50.0%,8/13,15.9%,60.0%,69.0%,50.0%,10/15,3:11
QF,19,(16)Sebastien Grosjean[FRA] [yr|ev],d.,42,Carlos Moya[ESP] [yr|ev],6-1 6-4 6-2,1.56,3.9%,62.3%,81.3%,58.6%,0/0,4.4%,61.8%,61.9%,50.0%,5/10,1:38
QF,6,(6)Andre Agassi[USA] [yr|ev],d.,54,Todd Martin[USA] [yr|ev],7-5 6-3 6-4,1.66,7.3%,67.1%,87.3%,40.7%,4/6,13.6%,65.0%,55.2%,50.0%,7/13,1:58
QF,15,(12)Patrick Rafter[AUS] [yr|ev],d.,16,(14)Dominik Hrbaty[SVK] [yr|ev],6-2 6-7(4) 7-5 6-0,1.32,9.3%,55.9%,87.9%,42.3%,2/4,5.5%,52.8%,64.2%,50.0%,6/14,2:31
R16,18,(15)Arnaud Clement[FRA] [yr|ev],d.,65,Greg Rusedski[GBR] [yr|ev],6-3 6-2 7-5,1.50,1.2%,72.9%,74.2%,60.9%,4/5,17.4%,54.1%,74.6%,34.0%,10/15,1:52
R16,5,(4)Yevgeny Kafelnikov[RUS] [yr|ev],d.,52,Andreas Vinciguerra[SWE] [yr|ev],7-5 7-5 6-1,1.59,8.3%,63.1%,77.4%,58.1%,1/4,3.7%,47.2%,66.7%,40.4%,10/17,1:46
R16,19,(16)Sebastien Grosjean[FRA] [yr|ev],d.,4,(5)Magnus Norman[SWE] [yr|ev],7-6(7) 6-3 0-6 6-4,0.85,6.8%,49.3%,68.5%,48.0%,8/13,7.1%,56.3%,71.4%,55.1%,4/8,2:58
R16,42,Carlos Moya[ESP] [yr|ev],d.,58,Rainer Schuettler[GER] [yr|ev],7-6(2) 6-3 6-4,1.43,11.1%,55.6%,84.0%,65.0%,0/1,7.0%,62.8%,77.8%,43.8%,2/5,1:58
R16,6,(6)Andre Agassi[USA] [yr|ev],d.,49,Andrew Ilie[AUS] [yr|ev],6-7(1) 6-3 6-0 6-3,1.47,4.9%,75.5%,74.0%,52.0%,4/6,4.3%,62.4%,62.5%,39.6%,18/26,2:15
R16,54,Todd Martin[USA] [yr|ev],d.,3,(3)Pete Sampras[USA] [yr|ev],6-7(2) 6-3 6-4 6-4,1.30,13.6%,68.6%,77.8%,64.9%,2/3,17.1%,61.8%,82.9%,38.3%,3/7,2:32
R16,15,(12)Patrick Rafter[AUS] [yr|ev],d.,10,(8)Tim Henman[GBR] [yr|ev],6-2 6-3 6-3,1.47,8.3%,67.9%,78.9%,48.1%,2/2,4.1%,55.7%,64.8%,41.9%,5/10,2:07
R16,16,(14)Dominik Hrbaty[SVK] [yr|ev],d.,2,(2)Marat Safin[RUS] [yr|ev],6-2 7-6(6) 6-4,1.58,8.1%,48.8%,76.2%,68.2%,1/3,9.5%,51.7%,73.3%,37.5%,8/13,2:03
R32,65,Greg Rusedski[GBR] [yr|ev],d.,185,(Q)Lars Burgsmuller[GER] [yr|ev],6-1 6-2 6-1,3.50,23.1%,71.2%,89.2%,73.3%,0/0,0.0%,61.5%,60.4%,23.3%,7/14,1:25
R32,18,(15)Arnaud Clement[FRA] [yr|ev],d.,29,Roger Federer[SUI] [yr|ev],7-6(5) 6-4 6-4,1.35,3.0%,60.4%,72.1%,60.0%,5/8,11.0%,62.7%,64.9%,40.9%,6/11,2:08
R32,52,Andreas Vinciguerra[SWE] [yr|ev],d.,13,(10)Wayne Ferreira[RSA] [yr|ev],6-0 3-6 6-4 6-3,1.36,7.0%,50.0%,84.0%,58.0%,2/3,14.6%,44.9%,77.5%,46.9%,2/7,1:54
R32,5,(4)Yevgeny Kafelnikov[RUS] [yr|ev],d.,68,Chris Woodruff[USA] [yr|ev],6-7(3) 7-5 6-2 6-3,1.33,7.9%,48.0%,90.2%,50.0%,3/5,11.0%,63.8%,67.9%,43.5%,4/10,2:38
R32,4,(5)Magnus Norman[SWE] [yr|ev],d.,50,Alex Calatrava[ESP] [yr|ev],7-6(2) 3-6 7-6(2) 6-3,1.16,12.0%,78.4%,76.5%,51.9%,5/9,11.1%,59.0%,71.0%,60.4%,4/7,2:35
R32,19,(16)Sebastien Grosjean[FRA] [yr|ev],d.,34,Thomas Johansson[SWE] [yr|ev],6-4 6-1 6-4,1.42,8.0%,60.9%,75.5%,52.9%,8/10,2.2%,50.6%,66.7%,38.6%,11/17,2:01
R32,58,Rainer Schuettler[GER] [yr|ev],d.,218,Daniel Nestor[CAN] [yr|ev],6-4 6-2 7-5,1.43,3.1%,66.0%,76.6%,54.5%,5/6,5.8%,60.6%,65.1%,41.5%,7/12,2:05
