Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
6,Andre Agassi,USA,7,1350,87.9%,45.1%,46,7.6%,11,1.8%,71.4%,76.3%,53.8%,69.9%,34,61.8%,46.4%,112,41.1%,56.9%,1.54,13:11
16,Sebastien Grosjean,FRA,6,1262,85.4%,31.6%,50,8.2%,15,2.4%,56.0%,77.3%,55.2%,67.5%,39,64.1%,42.1%,75,41.3%,54.4%,1.30,14:12
,Carlos Moya,ESP,5,954,84.4%,29.5%,42,9.4%,5,1.1%,58.9%,76.0%,58.5%,68.8%,31,61.3%,40.3%,53,43.4%,53.6%,1.29,10:46
4,Yevgeny Kafelnikov,RUS,5,1186,81.1%,35.1%,52,9.1%,29,5.1%,54.6%,74.4%,54.6%,65.4%,44,61.4%,44.7%,70,47.1%,54.7%,1.29,12:14
10,Wayne Ferreira,RSA,3,570,88.0%,18.4%,29,11.1%,8,3.1%,49.2%,86.8%,55.6%,71.0%,9,33.3%,36.4%,24,37.5%,52.3%,1.25,5:31
,Francisco Clavet,ESP,2,300,79.2%,32.0%,9,6.3%,1,0.7%,60.1%,70.9%,59.6%,66.4%,10,50.0%,41.4%,15,53.3%,53.3%,1.23,3:03
,Tommy Haas,GER,2,389,78.6%,34.5%,12,6.6%,11,6.1%,47.5%,80.2%,49.5%,64.1%,20,70.0%,44.2%,32,31.3%,53.5%,1.23,4:31
12,Patrick Rafter,AUS,6,1308,90.3%,25.2%,74,11.5%,29,4.5%,64.0%,81.1%,48.3%,69.3%,30,66.7%,38.0%,52,51.9%,53.4%,1.23,13:48
,Juan Ignacio Chela,ARG,3,783,84.5%,29.8%,35,9.5%,10,2.7%,58.4%,74.1%,51.9%,64.9%,28,67.9%,42.9%,43,39.5%,53.3%,1.22,7:30
5,Magnus Norman,SWE,4,923,80.8%,28.2%,36,8.1%,1,0.2%,67.0%,74.7%,50.7%,66.7%,33,57.6%,40.5%,42,47.6%,53.1%,1.22,10:11
,Thomas Johansson,SWE,3,507,77.5%,36.6%,18,7.3%,13,5.3%,53.1%,75.4%,51.3%,64.1%,27,66.7%,43.1%,35,42.9%,53.3%,1.20,5:36
14,Dominik Hrbaty,SVK,5,1083,77.1%,32.9%,38,7.3%,35,6.7%,53.3%,74.1%,52.0%,63.8%,39,51.3%,43.3%,60,45.0%,53.2%,1.20,10:44
15,Arnaud Clement,FRA,7,1551,79.5%,30.3%,38,4.9%,25,3.2%,59.2%,70.4%,54.1%,63.7%,65,63.1%,41.9%,83,43.4%,52.8%,1.16,16:23
