Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,3,(3)Carlos Alcaraz[ESP] [yr|ev],d.,2,(2)Novak Djokovic[SRB] [yr|ev],6-2 6-2 7-6(4),1.41,5.3%,58.9%,83.9%,51.3%,2/3,7.9%,70.3%,66.2%,40.0%,9/14,2:27,1
SF,3,(3)Carlos Alcaraz[ESP] [yr|ev],d.,5,(5)Daniil Medvedev[RUS] [yr|ev],6-7(1) 6-3 6-4 6-4,1.20,5.3%,56.6%,73.4%,61.2%,0/3,3.8%,68.7%,65.6%,53.7%,9/15,2:55,1
SF,2,(2)Novak Djokovic[SRB] [yr|ev],d.,25,(25)Lorenzo Musetti[ITA] [yr|ev],6-4 7-6(2) 6-4,1.26,5.8%,67.0%,75.4%,44.1%,2/4,1.8%,73.9%,61.0%,41.4%,9/13,2:48,1
QF,5,(5)Daniil Medvedev[RUS] [yr|ev],d.,1,(1)Jannik Sinner[ITA] [yr|ev],6-7(7) 6-4 7-6(4) 2-6 6-3,0.88,8.6%,68.4%,76.5%,45.5%,3/6,11.3%,64.7%,80.4%,52.8%,4/7,4:00,1
QF,3,(3)Carlos Alcaraz[ESP] [yr|ev],d.,13,(12)Tommy Paul[USA] [yr|ev],5-7 6-4 6-2 6-2,1.29,5.9%,61.3%,65.8%,63.0%,6/10,1.5%,60.3%,57.3%,50.0%,19/27,3:11,1
QF,25,(25)Lorenzo Musetti[ITA] [yr|ev],d.,12,(13)Taylor Fritz[USA] [yr|ev],3-6 7-6(5) 6-2 3-6 6-1,1.16,5.1%,60.6%,75.9%,53.7%,5/9,6.9%,61.1%,64.8%,57.1%,7/13,3:27,11
QF,2,(2)Novak Djokovic[SRB] [yr|ev],d.,9,(9)Alex De Minaur[AUS] [yr|ev],W/O,,,,,,,,,,,,,1
R16,1,(1)Jannik Sinner[ITA] [yr|ev],d.,14,(14)Ben Shelton[USA] [yr|ev],6-2 6-4 7-6(9),1.51,7.8%,70.0%,76.2%,70.4%,1/2,15.6%,71.9%,69.6%,40.7%,2/6,2:09,1
R16,5,(5)Daniil Medvedev[RUS] [yr|ev],d.,10,(10)Grigor Dimitrov[BUL] [yr|ev],5-3 RET,1.50,26.1%,60.9%,64.3%,66.7%,1/2,4.0%,56.0%,57.1%,36.4%,1/3,0:40,1
R16,3,(3)Carlos Alcaraz[ESP] [yr|ev],d.,16,(16)Ugo Humbert[FRA] [yr|ev],6-3 6-4 1-6 7-5,0.98,10.4%,70.4%,66.3%,42.5%,8/13,9.7%,65.0%,67.2%,47.2%,2/8,3:00,1
R16,13,(12)Tommy Paul[USA] [yr|ev],d.,112,Roberto Bautista Agut[ESP] [yr|ev],6-2 7-6(3) 6-2,1.63,12.5%,61.4%,79.6%,61.8%,3/4,0.0%,76.1%,53.7%,61.9%,2/7,2:02,9
R16,25,(25)Lorenzo Musetti[ITA] [yr|ev],d.,58,(LL)Giovanni Mpetshi Perricard[FRA] [yr|ev],4-6 6-3 6-3 6-2,1.97,3.4%,71.6%,79.4%,84.0%,0/1,9.3%,64.8%,67.1%,52.6%,10/15,2:03,11
