Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
10,Grigor Dimitrov,BUL,4,682,91.7%,23.7%,42,13.5%,12,3.8%,59.0%,88.6%,57.8%,76.0%,12,58.3%,37.6%,28,50.0%,55.1%,1.56,7:37
4,Alexander Zverev,GER,4,809,97.0%,20.3%,64,16.9%,9,2.4%,73.9%,85.0%,57.6%,77.8%,9,77.8%,34.0%,32,43.8%,54.5%,1.53,9:27
13,Taylor Fritz,USA,5,1152,91.9%,16.8%,78,14.5%,6,1.1%,63.8%,81.0%,65.1%,75.3%,21,61.9%,34.9%,43,37.2%,53.7%,1.41,12:38
2,Novak Djokovic,SRB,7,1215,89.9%,22.1%,62,10.7%,18,3.1%,67.5%,78.7%,55.9%,71.3%,28,64.3%,38.5%,60,35.0%,54.1%,1.34,15:21
9,Alex De Minaur,AUS,5,702,77.6%,38.5%,26,8.2%,11,3.5%,53.0%,75.0%,51.7%,64.0%,27,59.3%,47.5%,52,38.5%,55.0%,1.32,8:03
1,Jannik Sinner,ITA,5,1187,89.4%,19.4%,61,10.7%,11,1.9%,63.7%,80.4%,56.0%,71.6%,28,64.3%,37.0%,34,52.9%,53.6%,1.30,14:25
,Brandon Nakashima,USA,3,620,98.0%,18.8%,41,13.5%,4,1.3%,69.7%,76.4%,60.9%,71.7%,12,91.7%,36.1%,25,36.0%,53.5%,1.28,7:09
16,Ugo Humbert,FRA,4,1026,87.7%,23.1%,56,11.9%,6,1.3%,62.7%,77.0%,59.1%,70.3%,23,56.5%,38.1%,50,36.0%,52.9%,1.28,12:09
3,Carlos Alcaraz,ESP,7,1599,84.4%,32.3%,63,8.0%,27,3.4%,63.3%,73.5%,56.4%,67.3%,46,56.5%,40.7%,93,44.1%,53.8%,1.24,19:33
12,Tommy Paul,USA,5,1083,84.6%,27.0%,41,7.6%,9,1.7%,62.8%,75.0%,56.7%,68.2%,47,70.2%,39.3%,48,50.0%,53.7%,1.24,12:13
Q,Quentin Halys,FRA,3,706,91.9%,14.8%,70,20.0%,12,3.4%,63.1%,86.9%,51.9%,74.0%,20,75.0%,32.3%,19,47.4%,53.0%,1.24,7:02
8,Casper Ruud,NOR,2,514,84.2%,13.5%,33,14.2%,7,3.0%,61.6%,77.6%,55.1%,69.0%,18,66.7%,37.9%,26,19.2%,51.9%,1.22,5:31
25,Lorenzo Musetti,ITA,6,1589,86.1%,23.8%,41,5.4%,9,1.2%,68.7%,71.7%,59.3%,67.8%,50,66.0%,38.8%,79,36.7%,52.6%,1.21,18:41
23,Alexander Bublik,KAZ,3,658,89.1%,13.0%,66,22.0%,12,4.0%,66.0%,82.8%,48.0%,71.0%,16,62.5%,35.2%,28,25.0%,51.5%,1.21,6:58
15,Holger Rune,DEN,4,816,89.7%,17.9%,51,13.1%,15,3.8%,61.3%,79.1%,59.6%,71.5%,27,74.1%,34.0%,37,32.4%,52.0%,1.20,8:48
7,Hubert Hurkacz,POL,2,521,88.1%,19.5%,36,14.0%,5,1.9%,62.4%,77.6%,56.7%,69.8%,15,66.7%,35.4%,22,36.4%,52.4%,1.17,6:19
Q,Zizou Bergs,BEL,1,358,88.9%,0.0%,13,8.1%,4,2.5%,66.9%,82.2%,54.7%,73.1%,12,75.0%,31.3%,7,0.0%,50.0%,1.17,4:34
,Roman Safiullin,RUS,3,836,82.4%,25.0%,24,6.0%,12,3.0%,65.5%,74.6%,53.3%,67.3%,35,65.7%,38.3%,43,39.5%,52.0%,1.17,9:18
30,Tomas Martin Etcheverry,ARG,2,450,89.2%,22.2%,13,5.7%,3,1.3%,67.0%,75.3%,55.3%,68.7%,7,42.9%,35.9%,20,40.0%,52.7%,1.15,5:45
29,Frances Tiafoe,USA,3,764,83.6%,24.2%,31,8.3%,12,3.2%,60.6%,80.1%,48.3%,67.6%,20,50.0%,37.1%,31,48.4%,52.0%,1.14,8:59
,Adam Walton,AUS,2,512,87.2%,22.0%,13,5.2%,6,2.4%,68.0%,70.0%,63.7%,68.0%,14,64.3%,36.3%,17,52.9%,51.8%,1.13,6:13
5,Daniil Medvedev,RUS,6,1321,86.8%,20.0%,69,10.4%,32,4.8%,67.5%,74.2%,55.3%,68.1%,37,62.2%,36.2%,44,47.7%,52.2%,1.13,15:06
11,Stefanos Tsitsipas,GRE,2,496,92.3%,13.9%,35,14.4%,8,3.3%,67.9%,78.8%,53.8%,70.8%,13,76.9%,32.4%,13,38.5%,51.2%,1.11,5:10
,Mackenzie Mcdonald,USA,1,352,85.7%,14.8%,14,8.2%,1,0.6%,68.8%,71.8%,60.4%,68.2%,8,50.0%,35.2%,8,50.0%,51.1%,1.11,3:44
21,Karen Khachanov,RUS,2,512,92.7%,9.8%,25,10.1%,8,3.2%,70.0%,79.8%,52.7%,71.7%,12,75.0%,31.3%,17,23.5%,50.8%,1.11,5:37
,Flavio Cobolli,ITA,2,618,91.7%,14.6%,28,9.5%,10,3.4%,49.0%,77.1%,61.3%,69.0%,13,69.2%,34.0%,28,25.0%,50.6%,1.10,6:48
,Arthur Rinderknech,FRA,2,531,86.7%,15.9%,50,19.6%,8,3.1%,65.5%,78.4%,52.3%,69.4%,16,62.5%,33.7%,24,29.2%,50.8%,1.10,5:47
,Cameron Norrie,GBR,3,632,83.7%,22.0%,24,7.6%,10,3.2%,70.3%,73.4%,55.3%,68.0%,18,55.6%,34.8%,17,64.7%,51.4%,1.09,7:22
LL,Giovanni Mpetshi Perricard,FRA,4,939,92.6%,13.0%,115,24.0%,27,5.6%,68.8%,81.2%,54.7%,72.9%,29,79.3%,29.4%,23,43.5%,51.7%,1.09,8:47
