Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,3,(1)Novak Djokovic[SRB] [yr|ev],d.,40,Nick Kyrgios[AUS] [yr|ev],4-6 6-3 6-4 7-6(3),1.36,12.6%,63.0%,82.7%,61.4%,5/6,24.0%,72.8%,70.3%,52.9%,2/4,3:01,1
SF,3,(1)Novak Djokovic[SRB] [yr|ev],d.,12,(9)Cameron Norrie[GBR] [yr|ev],2-6 6-3 6-2 6-4,1.61,14.8%,64.8%,82.5%,58.1%,1/4,6.1%,57.0%,70.8%,40.8%,9/14,2:35,1
SF,40,Nick Kyrgios[AUS] [yr|ev],d.,4,(2)Rafael Nadal[ESP] [yr|ev],W/O,,,,,,,,,,,,,13
QF,3,(1)Novak Djokovic[SRB] [yr|ev],d.,13,(10)Jannik Sinner[ITA] [yr|ev],5-7 2-6 6-3 6-2 6-2,1.27,6.3%,66.4%,82.4%,41.9%,5/9,6.0%,53.7%,69.4%,50.0%,9/15,3:35,1
QF,12,(9)Cameron Norrie[GBR] [yr|ev],d.,58,David Goffin[BEL] [yr|ev],3-6 7-5 2-6 6-3 7-5,0.93,3.3%,63.6%,71.9%,47.3%,5/10,4.1%,60.7%,70.5%,57.9%,3/8,3:28,8
QF,40,Nick Kyrgios[AUS] [yr|ev],d.,43,Cristian Garin[CHI] [yr|ev],6-4 6-3 7-6(5),1.01,14.9%,69.3%,73.4%,42.9%,8/9,2.3%,71.6%,68.3%,52.0%,3/6,2:13,13
QF,4,(2)Rafael Nadal[ESP] [yr|ev],d.,14,(11)Taylor Fritz[USA] [yr|ev],3-6 7-5 3-6 7-5 7-6(4),1.02,3.0%,65.2%,70.1%,47.4%,6/14,11.0%,63.4%,69.7%,47.6%,7/14,4:21,1
R16,3,(1)Novak Djokovic[SRB] [yr|ev],d.,104,Tim Van Rijthoven[NED] [yr|ev],6-2 4-6 6-1 6-2,1.68,7.2%,62.9%,75.4%,69.4%,3/4,16.1%,64.5%,66.3%,34.1%,11/17,2:38,1
R16,13,(10)Jannik Sinner[ITA] [yr|ev],d.,7,(5)Carlos Alcaraz[ESP] [yr|ev],6-1 6-4 6-7(8) 6-3,1.27,2.8%,57.3%,74.4%,65.6%,7/7,7.4%,66.9%,65.4%,57.5%,8/12,3:35,1
R16,58,David Goffin[BEL] [yr|ev],d.,28,(23)Frances Tiafoe[USA] [yr|ev],7-6(3) 5-7 5-7 6-4 7-5,1.02,8.5%,62.6%,72.7%,45.6%,12/18,8.3%,47.9%,77.2%,48.0%,10/16,4:36,7
R16,12,(9)Cameron Norrie[GBR] [yr|ev],d.,32,(30)Tommy Paul[USA] [yr|ev],6-4 7-5 6-4,1.13,2.7%,73.0%,70.4%,53.3%,6/7,4.9%,62.1%,64.1%,56.4%,4/8,2:21,8
R16,43,Cristian Garin[CHI] [yr|ev],d.,27,(19)Alex De Minaur[AUS] [yr|ev],2-6 5-7 7-6(3) 6-4 7-6(6),0.99,2.9%,60.6%,67.0%,47.8%,4/12,2.6%,55.3%,64.8%,54.1%,16/22,4:34,17
R16,40,Nick Kyrgios[AUS] [yr|ev],d.,56,Brandon Nakashima[USA] [yr|ev],4-6 6-4 7-6(2) 3-6 6-2,1.09,24.8%,73.8%,77.9%,48.6%,4/7,6.8%,58.8%,79.3%,50.8%,4/7,3:11,13
R16,14,(11)Taylor Fritz[USA] [yr|ev],d.,99,Jason Kubler[AUS] [yr|ev],6-3 6-1 6-4,1.71,21.3%,62.7%,85.1%,50.0%,4/5,3.3%,67.8%,63.9%,27.6%,7/13,2:00,4
R16,4,(2)Rafael Nadal[ESP] [yr|ev],d.,25,(21)Botic Van De Zandschulp[NED] [yr|ev],6-4 6-2 7-6(6),1.41,10.2%,63.6%,73.2%,65.6%,2/4,10.9%,61.4%,67.7%,43.6%,6/11,2:22,1
R32,3,(1)Novak Djokovic[SRB] [yr|ev],d.,30,(25)Miomir Kecmanovic[SRB] [yr|ev],6-0 6-3 6-4,1.98,8.8%,50.0%,88.2%,61.8%,3/4,1.1%,64.5%,56.7%,39.4%,8/14,1:53,1
