Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
17,Roberto Bautista Agut,ESP,2,152,100.0%,63.6%,5,7.4%,6,8.8%,69.1%,85.1%,52.4%,75.0%,4,100.0%,54.8%,16,43.8%,63.8%,2.19,1:32
1,Novak Djokovic,SRB,7,1456,90.4%,29.1%,65,9.6%,24,3.6%,63.0%,82.4%,56.8%,72.9%,34,64.7%,41.5%,85,40.0%,56.1%,1.53,18:09
,Quentin Halys,FRA,2,469,95.0%,20.5%,35,15.8%,6,2.7%,70.3%,82.1%,57.6%,74.8%,6,66.7%,35.2%,19,42.1%,53.9%,1.40,4:18
11,Taylor Fritz,USA,5,1022,86.0%,31.8%,77,15.2%,13,2.6%,67.0%,79.4%,49.7%,69.6%,35,65.7%,41.1%,52,51.9%,55.2%,1.35,11:49
30,Tommy Paul,USA,4,713,89.5%,32.1%,16,4.7%,7,2.0%,65.5%,72.3%,60.2%,68.1%,21,71.4%,42.0%,40,42.5%,54.6%,1.32,7:34
,Brandon Nakashima,USA,4,893,93.7%,21.3%,28,6.3%,10,2.3%,63.6%,80.8%,59.6%,73.1%,13,61.5%,34.6%,43,37.2%,53.6%,1.28,9:51
23,Frances Tiafoe,USA,4,1026,87.8%,21.0%,44,9.1%,14,2.9%,56.3%,81.3%,54.7%,69.7%,29,65.5%,37.5%,43,39.5%,52.7%,1.24,10:56
19,Alex De Minaur,AUS,4,981,84.8%,32.1%,39,8.0%,18,3.7%,54.9%,73.0%,56.2%,65.4%,40,70.0%,42.6%,48,52.1%,53.9%,1.23,11:48
,Benjamin Bonzi,FRA,2,370,89.7%,20.0%,14,8.2%,3,1.8%,62.6%,71.0%,65.6%,69.0%,11,72.7%,38.2%,16,37.5%,52.4%,1.23,4:08
21,Botic Van De Zandschulp,NED,4,796,85.1%,24.2%,50,12.9%,26,6.7%,59.0%,80.8%,51.6%,68.8%,23,56.5%,38.5%,37,43.2%,53.3%,1.23,8:55
10,Jannik Sinner,ITA,5,1214,89.0%,22.1%,27,4.5%,23,3.9%,57.9%,75.9%,59.6%,69.0%,33,66.7%,37.7%,59,35.6%,53.0%,1.22,15:14
,Alexander Bublik,KAZ,3,641,94.1%,21.2%,58,18.4%,23,7.3%,60.0%,82.5%,50.0%,69.5%,15,80.0%,37.1%,25,44.0%,53.0%,1.22,6:20
2,Rafael Nadal,ESP,6,1162,82.1%,30.1%,34,6.0%,20,3.5%,66.2%,71.9%,54.5%,66.0%,42,59.5%,40.9%,63,44.4%,53.1%,1.20,15:22
4,Stefanos Tsitsipas,GRE,3,771,88.1%,20.3%,34,9.2%,17,4.6%,60.0%,78.4%,53.4%,68.4%,33,78.8%,37.9%,32,37.5%,52.5%,1.20,8:53
5,Carlos Alcaraz,ESP,4,985,90.5%,14.5%,51,11.2%,17,3.7%,64.0%,75.6%,58.5%,69.5%,27,74.1%,36.4%,50,22.0%,51.7%,1.19,11:30
,David Goffin,BEL,5,1305,82.7%,29.7%,46,7.0%,28,4.3%,60.8%,73.7%,52.9%,65.5%,49,63.3%,40.7%,68,44.1%,53.2%,1.18,14:30
13,Denis Shapovalov,CAN,2,504,88.4%,17.8%,27,11.3%,20,8.3%,50.0%,83.3%,63.3%,73.3%,12,58.3%,31.4%,16,50.0%,51.4%,1.18,5:42
,Cristian Garin,CHI,5,1109,80.5%,28.1%,20,3.8%,23,4.4%,61.6%,72.6%,50.2%,64.0%,36,52.8%,42.5%,63,39.7%,52.8%,1.18,13:19
,Andy Murray,GBR,2,478,90.5%,12.2%,26,11.3%,4,1.7%,61.0%,83.0%,56.7%,72.7%,5,20.0%,32.0%,13,38.5%,51.7%,1.17,6:06
,Jack Sock,USA,3,786,83.1%,19.4%,43,11.4%,14,3.7%,66.9%,73.1%,57.6%,68.0%,29,62.1%,37.3%,31,38.7%,52.0%,1.16,9:29
,Tim Van Rijthoven,NED,4,841,87.1%,18.8%,73,17.6%,21,5.1%,64.6%,82.8%,51.0%,71.6%,29,69.0%,33.1%,33,39.4%,52.1%,1.16,9:07
12,Diego Schwartzman,ARG,2,475,75.8%,38.9%,3,1.3%,11,4.8%,65.5%,61.3%,57.0%,59.8%,26,69.2%,46.3%,28,50.0%,52.8%,1.15,6:11
,Nick Kyrgios,AUS,7,1495,93.4%,16.1%,150,20.3%,27,3.7%,70.5%,77.0%,52.8%,69.8%,38,78.9%,34.3%,54,37.0%,51.8%,1.14,16:12
29,Jenson Brooksby,USA,3,591,83.3%,28.3%,8,2.7%,2,0.7%,66.1%,66.0%,57.4%,63.1%,19,57.9%,41.6%,30,43.3%,52.5%,1.13,7:17
9,Cameron Norrie,GBR,6,1326,83.8%,30.6%,35,5.3%,10,1.5%,64.2%,70.8%,54.2%,64.8%,49,65.3%,39.6%,67,49.3%,52.2%,1.13,15:29
3,Casper Ruud,NOR,2,476,77.8%,21.6%,20,8.7%,12,5.2%,66.5%,71.2%,49.4%,63.9%,17,52.9%,39.4%,24,33.3%,51.3%,1.09,5:20
,Jaume Munar,ESP,2,436,73.7%,27.0%,17,8.1%,8,3.8%,59.3%,68.5%,58.8%,64.6%,18,44.4%,38.8%,25,40.0%,51.1%,1.09,5:22
,Christian Harrison,USA,2,235,85.0%,23.5%,8,6.8%,3,2.6%,67.5%,68.4%,60.5%,65.8%,5,40.0%,37.3%,12,33.3%,51.5%,1.09,2:39
,Lukas Klein,SVK,1,322,76.9%,14.8%,12,8.3%,6,4.2%,68.1%,68.4%,63.0%,66.7%,11,45.5%,36.0%,14,28.6%,49.7%,1.08,3:31
,Emil Ruusuvuori,FIN,2,455,86.1%,16.7%,17,7.8%,10,4.6%,68.8%,72.0%,52.9%,66.1%,16,68.8%,36.3%,25,24.0%,50.5%,1.07,5:03
,Jiri Lehecka,CZE,1,348,75.9%,20.7%,19,11.2%,4,2.4%,66.3%,73.2%,49.1%,65.1%,13,46.2%,37.4%,12,50.0%,50.9%,1.07,3:47
