Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,6,(6)Juan Martin del Potro[ARG] [yr|ev],d.,1,(1)Roger Federer[SUI] [yr|ev],3-6 7-6(5) 4-6 7-6(4) 6-2,1.09,4.7%,65.5%,72.3%,55.9%,17/22,7.7%,51.4%,72.0%,54.5%,10/15,4:06,3
SF,1,(1)Roger Federer[SUI] [yr|ev],d.,4,(4)Novak Djokovic[SRB] [yr|ev],7-6(3) 7-5 7-5,1.24,7.3%,57.8%,77.8%,60.9%,2/3,5.2%,67.8%,67.9%,54.1%,7/10,2:34,1
SF,6,(6)Juan Martin del Potro[ARG] [yr|ev],d.,3,(3)Rafael Nadal[ESP] [yr|ev],6-2 6-2 6-2,1.43,7.1%,65.9%,78.6%,41.4%,5/5,4.4%,77.8%,57.1%,30.0%,10/16,2:20,3
QF,1,(1)Roger Federer[SUI] [yr|ev],d.,12,(12)Robin Soderling[SWE] [yr|ev],6-0 6-3 6-7(6) 7-6(6),1.50,21.9%,66.4%,85.9%,55.8%,5/5,8.7%,66.9%,72.9%,45.2%,7/11,2:33,1
QF,4,(4)Novak Djokovic[SRB] [yr|ev],d.,10,(10)Fernando Verdasco[ESP] [yr|ev],7-6(2) 1-6 7-5 6-2,1.13,6.5%,67.4%,71.0%,51.1%,10/14,4.1%,55.7%,69.1%,48.1%,8/12,3:05,1
QF,3,(3)Rafael Nadal[ESP] [yr|ev],d.,11,(11)Fernando Gonzalez[CHI] [yr|ev],7-6(4) 7-6(2) 6-0,2.13,1.1%,74.7%,84.6%,72.7%,2/2,8.4%,60.7%,66.2%,52.4%,7/10,2:37,1
QF,6,(6)Juan Martin del Potro[ARG] [yr|ev],d.,17,(16)Marin Cilic[CRO] [yr|ev],4-6 6-3 6-2 6-1,1.43,6.4%,66.0%,80.6%,43.8%,4/7,6.7%,59.0%,64.5%,39.5%,0/8,2:33,3
R16,1,(1)Roger Federer[SUI] [yr|ev],d.,15,(14)Tommy Robredo[ESP] [yr|ev],7-5 6-2 6-2,2.26,12.0%,62.7%,87.2%,67.9%,4/4,2.2%,68.8%,62.5%,37.9%,5/10,1:48,1
R16,12,(12)Robin Soderling[SWE] [yr|ev],d.,8,(8)Nikolay Davydenko[RUS] [yr|ev],7-5 3-6 6-2 RET,1.10,8.9%,55.6%,86.0%,37.5%,2/5,4.2%,68.4%,66.2%,50.0%,9/13,2:09,4
R16,4,(4)Novak Djokovic[SRB] [yr|ev],d.,16,(15)Radek Stepanek[CZE] [yr|ev],6-1 6-3 6-3,1.61,6.8%,62.2%,76.1%,57.1%,2/3,5.0%,61.3%,53.1%,45.2%,7/13,1:46,1
R16,10,(10)Fernando Verdasco[ESP] [yr|ev],d.,55,John Isner[USA] [yr|ev],4-6 6-4 6-4 6-4,1.17,6.9%,74.5%,75.0%,61.5%,1/4,12.7%,70.6%,72.2%,53.3%,3/8,2:26,7
R16,11,(11)Fernando Gonzalez[CHI] [yr|ev],d.,7,(7)Jo-Wilfried Tsonga[FRA] [yr|ev],3-6 6-3 7-6(3) 6-4,1.14,5.9%,63.0%,78.8%,58.0%,13/14,11.8%,63.0%,80.0%,44.7%,5/7,2:41,5
R16,3,(3)Rafael Nadal[ESP] [yr|ev],d.,13,(13)Gael Monfils[FRA] [yr|ev],6-7(3) 6-3 6-1 6-3,1.45,0.0%,73.6%,72.8%,62.1%,3/6,10.2%,61.1%,69.7%,35.7%,6/14,2:45,1
R16,6,(6)Juan Martin del Potro[ARG] [yr|ev],d.,25,(24)Juan Carlos Ferrero[ESP] [yr|ev],6-3 6-3 6-3,1.44,24.4%,67.8%,80.3%,51.7%,4/4,4.8%,66.7%,64.3%,46.4%,5/9,2:08,3
R16,17,(16)Marin Cilic[CRO] [yr|ev],d.,2,(2)Andy Murray[GBR] [yr|ev],7-5 6-2 6-2,1.27,10.8%,51.6%,79.2%,57.8%,7/7,6.4%,64.1%,66.0%,50.0%,4/9,2:08,3
R32,1,(1)Roger Federer[SUI] [yr|ev],d.,32,(31)Lleyton Hewitt[AUS] [yr|ev],4-6 6-3 7-5 6-4,1.06,11.2%,56.0%,74.7%,52.5%,11/14,4.5%,51.8%,70.2%,54.7%,6/11,2:33,1
R32,15,(14)Tommy Robredo[ESP] [yr|ev],d.,23,(21)James Blake[USA] [yr|ev],7-6(2) 6-4 6-4,1.17,8.7%,65.4%,77.9%,47.2%,3/5,2.0%,52.0%,73.6%,49.0%,1/5,2:19,5
R32,12,(12)Robin Soderling[SWE] [yr|ev],d.,22,(22)Sam Querrey[USA] [yr|ev],6-2 7-5 6-7(6) 6-1,1.66,19.5%,52.8%,86.2%,63.8%,8/9,13.7%,66.4%,71.3%,36.4%,5/11,2:21,4
R32,8,(8)Nikolay Davydenko[RUS] [yr|ev],d.,161,(Q)Marco Chiudinelli[SUI] [yr|ev],6-4 7-5 7-5,1.29,9.6%,65.4%,67.6%,58.3%,7/10,3.7%,56.9%,54.8%,53.2%,4/10,2:34,3
R32,4,(4)Novak Djokovic[SRB] [yr|ev],d.,276,(Q)Jesse Witten[USA] [yr|ev],6-7(2) 6-3 7-6(2) 6-4,1.12,5.9%,61.0%,69.9%,45.3%,5/11,3.5%,46.5%,59.1%,52.6%,9/18,3:28,1
R32,16,(15)Radek Stepanek[CZE] [yr|ev],d.,24,(23)Philipp Kohlschreiber[GER] [yr|ev],4-6 6-2 6-3 6-3,1.40,11.9%,55.0%,80.0%,55.1%,7/9,8.9%,61.6%,65.2%,41.9%,8/14,2:35,8
R32,10,(10)Fernando Verdasco[ESP] [yr|ev],d.,21,(20)Tommy Haas[GER] [yr|ev],3-6 7-5 7-6(8) 1-6 6-4,0.91,11.0%,62.6%,71.6%,44.3%,8/14,13.8%,61.9%,73.7%,50.8%,6/11,3:45,7
R32,55,John Isner[USA] [yr|ev],d.,5,(5)Andy Roddick[USA] [yr|ev],7-6(3) 6-3 3-6 5-7 7-6(5),0.87,23.3%,65.0%,80.2%,59.6%,7/9,13.0%,66.2%,83.3%,63.5%,6/7,3:51,8
R32,7,(7)Jo-Wilfried Tsonga[FRA] [yr|ev],d.,43,Julien Benneteau[FRA] [yr|ev],7-6(4) 6-2 6-4,1.56,11.2%,65.2%,84.5%,61.3%,3/3,6.1%,60.2%,69.5%,53.8%,7/10,2:12,5
R32,11,(11)Fernando Gonzalez[CHI] [yr|ev],d.,18,(17)Tomas Berdych[CZE] [yr|ev],7-5 6-4 6-4,1.19,15.2%,56.6%,82.1%,58.1%,4/4,4.1%,51.0%,72.0%,60.4%,6/9,2:12,5
R32,13,(13)Gael Monfils[FRA] [yr|ev],d.,47,Jose Acasuso[ARG] [yr|ev],6-3 6-4 1-0 RET,1.52,16.9%,69.5%,80.5%,61.1%,1/1,3.5%,50.9%,75.9%,46.4%,3/6,1:25,6
R32,3,(3)Rafael Nadal[ESP] [yr|ev],d.,33,(32)Nicolas Almagro[ESP] [yr|ev],7-5 6-4 6-4,1.28,2.0%,62.4%,61.9%,55.3%,8/13,4.9%,51.0%,59.6%,36.0%,5/12,2:39,1
R32,6,(6)Juan Martin del Potro[ARG] [yr|ev],d.,62,Daniel Koellerer[AUT] [yr|ev],6-1 3-6 6-3 6-3,1.45,21.5%,62.4%,81.0%,37.1%,5/10,0.0%,69.9%,50.6%,44.1%,7/16,2:37,3
R32,25,(24)Juan Carlos Ferrero[ESP] [yr|ev],d.,9,(9)Gilles Simon[FRA] [yr|ev],1-6 6-4 7-6(5) 1-0 RET,1.07,9.9%,59.3%,68.5%,59.5%,5/8,7.1%,58.0%,70.8%,51.1%,9/12,2:29,1
R32,17,(16)Marin Cilic[CRO] [yr|ev],d.,108,Denis Istomin[UZB] [yr|ev],6-1 6-4 6-3,1.73,2.5%,48.1%,81.6%,65.9%,3/3,1.2%,69.4%,57.6%,46.2%,3/8,1:53,3
R32,2,(2)Andy Murray[GBR] [yr|ev],d.,195,(WC)Taylor Dent[USA] [yr|ev],6-3 6-2 6-2,1.94,10.3%,47.1%,90.6%,61.1%,1/2,2.9%,61.4%,58.1%,40.7%,5/11,1:30,1
R64,1,(1)Roger Federer[SUI] [yr|ev],d.,65,Simon Greul[GER] [yr|ev],6-3 7-5 7-5,1.37,8.1%,66.7%,72.7%,69.7%,5/6,0.0%,49.5%,69.6%,53.2%,4/8,1:58,1
R64,32,(31)Lleyton Hewitt[AUS] [yr|ev],d.,137,Juan Ignacio Chela[ARG] [yr|ev],6-3 6-3 6-4,1.57,3.4%,53.4%,78.7%,61.0%,8/9,4.6%,57.4%,64.5%,39.1%,12/17,2:10,1
