Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
1,Rafael Nadal,ESP,7,1281,89.0%,43.6%,14,2.3%,20,3.2%,61.1%,74.0%,59.6%,68.4%,48,77.1%,47.7%,93,44.1%,57.7%,1.51,18:06
9,John Isner,USA,4,877,95.8%,5.7%,95,23.3%,9,2.2%,69.8%,84.9%,65.0%,78.9%,10,70.0%,30.0%,27,14.8%,52.7%,1.42,9:29
7,Dominic Thiem,AUT,7,1366,87.3%,33.3%,40,6.0%,34,5.1%,63.7%,76.5%,52.9%,67.9%,47,70.2%,42.1%,75,48.0%,54.7%,1.31,16:18
6,Kevin Anderson,RSA,4,951,85.5%,27.6%,76,16.3%,21,4.5%,61.3%,80.0%,51.1%,68.8%,29,62.1%,39.5%,55,38.2%,53.8%,1.27,11:04
5,Juan Martin del Potro,ARG,6,1140,86.3%,24.7%,55,9.9%,10,1.8%,64.7%,74.5%,56.9%,68.3%,33,60.6%,39.7%,60,38.3%,53.7%,1.25,14:23
20,Novak Djokovic,SRB,5,1138,81.4%,35.7%,27,5.0%,11,2.1%,68.4%,68.0%,58.0%,64.9%,37,56.8%,43.9%,63,47.6%,53.8%,1.25,14:02
27,Richard Gasquet,FRA,3,470,79.5%,37.5%,20,8.5%,5,2.1%,62.3%,73.5%,48.3%,64.0%,13,38.5%,44.0%,30,50.0%,54.0%,1.22,5:50
,Karen Khachanov,RUS,4,960,84.0%,31.1%,44,9.4%,14,3.0%,61.6%,74.6%,53.6%,66.5%,29,58.6%,40.9%,56,41.1%,53.3%,1.22,10:58
11,Diego Schwartzman,ARG,5,1045,73.8%,41.0%,12,2.4%,17,3.4%,63.8%,68.2%,47.8%,60.8%,46,54.3%,47.2%,81,39.5%,53.8%,1.21,12:58
3,Marin Cilic,CRO,5,1233,90.7%,24.2%,57,9.6%,19,3.2%,58.9%,77.3%,56.0%,68.5%,33,72.7%,38.0%,71,32.4%,52.6%,1.21,14:04
16,Kyle Edmund,GBR,3,623,81.1%,34.6%,6,1.9%,17,5.5%,53.6%,77.0%,51.7%,65.3%,28,64.3%,41.9%,31,58.1%,53.5%,1.21,7:46
,Borna Coric,CRO,3,612,80.0%,28.6%,26,8.7%,10,3.3%,61.9%,75.7%,50.0%,65.9%,23,56.5%,41.2%,29,48.3%,53.3%,1.21,7:24
,Jan Lennard Struff,GER,2,373,76.7%,36.7%,21,11.8%,10,5.6%,49.4%,69.3%,57.8%,63.5%,17,58.8%,43.6%,23,47.8%,53.1%,1.19,3:48
31,Albert Ramos,ESP,3,533,76.7%,32.6%,12,5.0%,9,3.8%,64.2%,74.7%,46.5%,64.6%,20,50.0%,42.0%,34,41.2%,52.2%,1.19,6:32
,Matteo Berrettini,ITA,3,662,83.6%,21.8%,20,6.5%,10,3.2%,63.5%,72.6%,61.1%,68.4%,19,52.6%,37.5%,31,38.7%,52.0%,1.19,7:20
,Maximilian Marterer,GER,4,785,82.8%,29.7%,15,3.8%,11,2.8%,61.8%,70.0%,58.8%,65.8%,30,63.3%,40.3%,34,55.9%,53.2%,1.18,9:14
8,David Goffin,BEL,4,1022,74.7%,39.7%,27,5.4%,21,4.2%,55.2%,70.2%,49.3%,60.8%,54,63.0%,45.0%,53,58.5%,52.7%,1.15,11:25
32,Gael Monfils,FRA,3,723,71.4%,41.8%,12,3.4%,12,3.4%,62.0%,65.3%,50.7%,59.8%,36,55.6%,45.9%,46,50.0%,52.7%,1.14,8:03
19,Kei Nishikori,JPN,4,828,84.1%,23.9%,6,1.4%,10,2.3%,61.8%,76.9%,50.9%,67.0%,39,71.8%,37.7%,35,45.7%,52.8%,1.14,9:47
4,Grigor Dimitrov,BUL,3,723,81.7%,22.0%,30,8.6%,19,5.4%,62.6%,75.8%,52.7%,67.1%,20,45.0%,37.3%,32,40.6%,51.7%,1.13,8:42
15,Lucas Pouille,FRA,3,631,80.0%,24.5%,25,8.0%,11,3.5%,53.2%,71.1%,56.2%,64.1%,30,66.7%,40.4%,30,40.0%,52.1%,1.13,6:46
,Nicolas Jarry,CHI,1,258,82.6%,12.5%,12,10.4%,2,1.7%,65.2%,73.3%,65.0%,70.4%,8,50.0%,32.9%,10,30.0%,49.6%,1.11,2:50
,Pablo Cuevas,URU,2,405,85.3%,24.2%,17,8.0%,10,4.7%,54.2%,73.0%,59.8%,67.0%,16,68.8%,36.8%,16,50.0%,52.6%,1.11,4:54
30,Fernando Verdasco,ESP,4,946,76.8%,35.3%,21,4.4%,18,3.7%,68.0%,67.0%,47.4%,60.7%,44,63.6%,43.7%,51,47.1%,52.3%,1.11,11:09
26,Damir Dzumhur,BIH,3,830,68.3%,38.1%,5,1.3%,9,2.3%,65.3%,62.8%,51.8%,59.0%,42,52.4%,45.1%,44,54.5%,51.8%,1.10,9:32
18,Fabio Fognini,ITA,4,941,78.1%,33.3%,21,4.4%,17,3.6%,65.1%,68.4%,49.4%,61.8%,34,52.9%,42.2%,50,48.0%,52.1%,1.10,11:06
,Marco Cecchinato,ITA,6,1483,81.6%,24.6%,37,4.9%,15,2.0%,71.5%,69.8%,53.5%,65.2%,51,58.8%,38.0%,76,36.8%,51.9%,1.09,16:12
LL,Ruben Bemelmans,BEL,2,530,71.1%,36.8%,11,4.2%,11,4.2%,61.0%,65.8%,45.5%,57.9%,23,52.2%,45.8%,36,38.9%,51.7%,1.09,5:45
2,Alexander Zverev,GER,5,1201,75.0%,29.5%,47,7.8%,22,3.7%,64.6%,68.3%,51.6%,62.4%,58,58.6%,40.8%,68,41.2%,51.6%,1.09,13:46
24,Denis Shapovalov,CAN,2,468,84.2%,23.7%,10,4.4%,16,7.0%,53.3%,77.0%,54.2%,66.4%,17,64.7%,36.0%,23,39.1%,50.9%,1.07,5:14
,Federico Delbonis,ARG,2,498,91.9%,21.1%,15,5.9%,11,4.3%,63.2%,73.1%,52.7%,65.6%,23,87.0%,36.3%,30,26.7%,51.2%,1.06,5:28
,Gilles Simon,FRA,3,645,81.6%,22.0%,25,8.4%,7,2.4%,55.9%,73.5%,51.1%,63.6%,22,59.1%,38.2%,31,35.5%,49.9%,1.05,7:30
Q,Hubert Hurkacz,POL,2,479,81.1%,16.2%,16,6.7%,6,2.5%,63.0%,72.0%,52.3%,64.7%,30,76.7%,36.9%,15,40.0%,50.7%,1.05,5:01
,Mischa Zverev,GER,3,679,92.6%,17.0%,20,5.8%,7,2.0%,55.9%,80.9%,54.2%,69.2%,24,83.3%,32.2%,25,36.0%,51.1%,1.05,7:50
Q,Elias Ymer,SWE,2,374,69.2%,25.9%,9,5.2%,3,1.7%,56.3%,68.4%,46.1%,58.6%,16,50.0%,43.5%,18,38.9%,50.5%,1.05,4:09
,Dusan Lajovic,SRB,2,448,80.0%,28.6%,5,2.1%,5,2.1%,53.6%,72.7%,50.5%,62.3%,29,75.9%,39.7%,18,55.6%,51.8%,1.05,4:56
LL,Sergiy Stakhovsky,UKR,2,446,75.8%,27.3%,15,6.7%,9,4.0%,56.5%,73.8%,46.4%,61.9%,28,71.4%,39.5%,20,45.0%,50.7%,1.04,5:06
12,Sam Querrey,USA,2,393,84.4%,22.6%,22,10.6%,9,4.3%,50.0%,78.8%,49.0%,63.9%,13,61.5%,37.3%,12,58.3%,51.4%,1.03,4:22
,Marton Fucsovics,HUN,2,382,73.3%,23.3%,11,5.9%,9,4.8%,54.5%,69.6%,54.1%,62.6%,14,42.9%,38.5%,16,43.8%,50.3%,1.03,4:27
,Pierre Hugues Herbert,FRA,3,751,88.3%,18.6%,32,8.2%,9,2.3%,68.5%,71.9%,52.0%,65.6%,24,70.8%,34.9%,31,35.5%,50.9%,1.02,8:15
,Guillermo Garcia Lopez,ESP,2,594,75.0%,20.0%,2,0.7%,10,3.6%,60.2%,67.9%,56.0%,63.1%,22,50.0%,37.5%,28,32.1%,49.3%,1.02,6:42
10,Pablo Carreno Busta,ESP,3,792,80.3%,20.3%,13,3.2%,3,0.7%,67.6%,71.8%,48.1%,64.1%,39,69.2%,36.6%,38,31.6%,50.6%,1.02,8:37
,Marcos Baghdatis,CYP,1,105,100.0%,25.0%,2,3.5%,2,3.5%,45.6%,80.8%,51.6%,64.9%,2,100.0%,35.4%,4,50.0%,51.4%,1.01,1:18
17,Tomas Berdych,CZE,1,354,84.0%,19.2%,24,13.2%,7,3.8%,60.4%,81.8%,38.9%,64.8%,20,80.0%,35.5%,9,55.6%,50.6%,1.01,4:13
,Stefanos Tsitsipas,GRE,2,523,85.0%,20.5%,14,5.3%,5,1.9%,54.9%,73.1%,53.8%,64.4%,18,66.7%,35.9%,21,38.1%,50.3%,1.01,6:11
,Radu Albot,MDA,2,569,60.9%,41.3%,5,1.7%,10,3.5%,64.5%,58.9%,49.0%,55.4%,32,43.8%,45.0%,26,73.1%,50.3%,1.01,6:20
,Steve Johnson,USA,3,560,84.8%,21.3%,16,5.5%,14,4.8%,58.0%,74.1%,55.3%,66.2%,27,74.1%,34.1%,19,52.6%,50.9%,1.01,6:05
,Denis Istomin,UZB,1,288,73.9%,20.8%,11,8.0%,2,1.4%,70.3%,71.1%,48.8%,64.5%,17,64.7%,35.3%,12,41.7%,49.3%,1.00,3:30
,Benoit Paire,FRA,2,538,73.8%,31.0%,37,13.8%,18,6.7%,46.8%,81.0%,44.8%,61.7%,20,45.0%,38.3%,26,50.0%,50.0%,1.00,5:44
LL,Jurgen Zopp,EST,3,790,76.2%,21.0%,20,5.2%,7,1.8%,62.0%,71.7%,45.6%,61.8%,33,54.5%,38.0%,34,38.2%,49.6%,0.99,8:59
13,Roberto Bautista Agut,ESP,3,762,75.4%,28.8%,13,3.3%,5,1.3%,56.8%,71.5%,49.4%,62.0%,35,57.1%,37.8%,37,45.9%,50.1%,0.99,9:25
,Cameron Norrie,GBR,2,322,76.9%,28.0%,10,5.9%,6,3.5%,62.9%,64.5%,50.8%,59.4%,18,66.7%,39.5%,17,41.2%,50.0%,0.97,3:24
Q,Guido Andreozzi,ARG,2,481,72.2%,22.2%,15,6.3%,19,7.9%,56.1%,70.9%,44.8%,59.4%,29,65.5%,39.3%,20,40.0%,49.3%,0.97,5:36
,David Ferrer,ESP,1,370,74.1%,33.3%,5,2.7%,9,4.8%,67.9%,59.8%,53.3%,57.8%,12,41.7%,40.4%,25,36.0%,49.2%,0.96,4:15
,Mikhail Youzhny,RUS,1,297,65.0%,23.8%,5,3.5%,7,5.0%,51.8%,58.9%,54.4%,56.7%,20,65.0%,41.7%,18,27.8%,48.8%,0.96,3:33
Q,Jozef Kovalik,SVK,1,269,70.0%,19.0%,7,5.8%,1,0.8%,55.8%,76.1%,39.6%,60.0%,14,57.1%,38.3%,10,40.0%,48.0%,0.96,3:01
,Horacio Zeballos,ARG,2,531,92.9%,11.9%,30,10.9%,8,2.9%,62.9%,82.7%,53.9%,72.0%,14,78.6%,27.0%,11,45.5%,50.3%,0.96,5:48
Q,Ernests Gulbis,LAT,2,462,78.4%,19.4%,17,7.3%,22,9.4%,53.0%,71.0%,52.7%,62.4%,28,71.4%,36.0%,13,53.8%,49.4%,0.96,5:37
Q,Martin Klizan,SVK,2,435,71.4%,23.5%,13,6.1%,8,3.8%,59.2%,67.5%,50.6%,60.6%,20,50.0%,37.8%,16,50.0%,49.0%,0.96,5:18
,Gregoire Barrere,FRA,1,242,57.1%,36.4%,6,5.0%,7,5.8%,68.6%,54.2%,52.6%,53.7%,12,25.0%,43.8%,15,53.3%,48.8%,0.95,2:33
,Jeremy Chardy,FRA,2,661,80.4%,16.0%,25,7.6%,15,4.6%,65.0%,73.8%,43.5%,63.2%,23,56.5%,34.9%,29,27.6%,49.0%,0.95,7:39
Q,Jaume Munar,ESP,2,563,67.4%,23.3%,7,2.5%,5,1.8%,62.5%,66.5%,46.2%,58.8%,32,56.3%,38.8%,19,52.6%,48.7%,0.94,6:33
,Julien Benneteau,FRA,2,420,78.1%,12.5%,18,9.0%,9,4.5%,59.7%,71.7%,50.6%,63.2%,18,61.1%,34.7%,15,26.7%,48.3%,0.94,5:00
Q,Casper Ruud,NOR,2,445,66.7%,27.8%,12,5.2%,5,2.1%,63.5%,63.5%,47.1%,57.5%,23,47.8%,39.2%,20,50.0%,48.8%,0.92,5:07
,Matthew Ebden,AUS,1,331,60.9%,25.0%,15,8.7%,9,5.2%,65.7%,67.3%,33.9%,55.8%,21,57.1%,40.3%,18,33.3%,48.3%,0.91,3:40
,Roberto Carballes Baena,ESP,1,265,60.0%,20.0%,4,3.2%,5,4.0%,67.5%,61.2%,58.5%,60.3%,14,42.9%,36.0%,7,57.1%,47.5%,0.91,2:45
Q,Adam Pavlasek,CZE,2,388,80.6%,15.6%,18,9.4%,3,1.6%,67.7%,70.0%,48.4%,63.0%,16,62.5%,33.7%,11,45.5%,48.2%,0.91,3:51
,Jordan Thompson,AUS,1,266,63.6%,27.3%,3,2.3%,5,3.8%,70.7%,62.8%,38.5%,55.6%,15,46.7%,39.8%,12,50.0%,47.7%,0.90,3:00
,Jared Donaldson,USA,2,604,83.3%,15.1%,19,5.9%,7,2.2%,49.4%,74.4%,57.9%,66.0%,23,60.9%,30.7%,15,53.3%,49.7%,0.90,7:09
,Guido Pella,ARG,2,318,72.0%,16.7%,18,10.7%,4,2.4%,60.7%,73.5%,40.9%,60.7%,23,69.6%,34.7%,12,33.3%,48.4%,0.88,3:53
,Marius Copil,ROU,1,347,86.2%,6.9%,23,13.1%,4,2.3%,56.3%,76.8%,55.8%,67.6%,14,71.4%,28.7%,7,28.6%,48.4%,0.88,3:41
,Laslo Djere,SRB,1,263,70.0%,19.0%,5,3.7%,5,3.7%,60.0%,71.6%,42.6%,60.0%,10,40.0%,35.2%,10,40.0%,47.9%,0.88,3:23
LL,Marco Trungelliti,ARG,2,463,70.6%,23.5%,18,7.7%,9,3.8%,56.6%,63.2%,49.0%,57.0%,32,68.8%,37.3%,24,33.3%,47.3%,0.87,4:52
,Thomas Fabbiano,ITA,2,518,62.5%,30.8%,4,1.5%,7,2.7%,66.5%,54.9%,54.5%,54.8%,34,55.9%,39.2%,25,48.0%,47.1%,0.87,5:54
Q,Bernard Tomic,AUS,1,272,76.2%,14.3%,12,8.5%,1,0.7%,61.7%,69.0%,46.3%,60.3%,18,72.2%,34.4%,12,25.0%,47.8%,0.86,2:54
,Taylor Fritz,USA,1,308,69.6%,16.7%,13,8.7%,3,2.0%,60.0%,70.0%,40.0%,58.0%,13,46.2%,36.1%,15,26.7%,46.8%,0.86,3:35
,Malek Jaziri,TUN,2,484,70.3%,22.2%,8,3.1%,9,3.5%,45.3%,67.0%,48.2%,56.7%,30,63.3%,37.4%,23,34.8%,47.5%,0.86,5:59
,Yoshihito Nishioka,JPN,1,372,59.3%,25.0%,0,0.0%,0,0.0%,67.7%,62.5%,37.7%,54.5%,22,50.0%,39.3%,17,41.2%,47.0%,0.86,4:22
29,Gilles Muller,LUX,1,232,72.2%,15.8%,10,8.6%,7,6.0%,52.6%,73.8%,45.5%,60.3%,9,44.4%,33.6%,16,18.8%,47.0%,0.85,2:52
,Yuichi Sugita,JPN,1,272,75.0%,5.0%,10,7.6%,3,2.3%,57.3%,70.7%,51.8%,62.6%,11,54.5%,31.9%,7,14.3%,46.7%,0.85,2:59
14,Jack Sock,USA,1,324,76.0%,15.4%,11,6.3%,4,2.3%,66.3%,63.8%,52.5%,60.0%,19,68.4%,32.9%,8,50.0%,47.5%,0.82,3:45
Q,Santiago Giraldo,COL,2,299,65.2%,8.3%,5,3.2%,0,0.0%,65.2%,64.4%,50.0%,59.4%,16,50.0%,33.3%,7,28.6%,46.8%,0.82,3:25
23,Stan Wawrinka,SUI,1,316,79.2%,12.5%,5,2.8%,4,2.2%,56.2%,73.0%,46.2%,61.2%,19,73.7%,31.2%,9,33.3%,48.1%,0.80,3:30
,Corentin Moutet,FRA,2,374,71.4%,10.3%,4,2.0%,6,2.9%,74.6%,62.7%,63.5%,62.9%,17,52.9%,29.6%,7,42.9%,47.9%,0.80,4:12
,Leonardo Mayer,ARG,1,261,83.3%,10.5%,9,6.4%,6,4.3%,55.3%,73.1%,46.0%,61.0%,13,76.9%,30.8%,6,33.3%,47.1%,0.79,3:05
,Yuki Bhambri,IND,1,208,38.5%,28.6%,0,0.0%,6,5.7%,60.0%,49.2%,38.1%,44.8%,18,55.6%,42.7%,8,50.0%,43.8%,0.77,2:10
,Vasek Pospisil,CAN,1,202,66.7%,13.3%,5,4.7%,7,6.6%,62.3%,74.2%,27.5%,56.6%,10,50.0%,33.3%,3,66.7%,45.5%,0.77,2:11
LL,Simone Bolelli,ITA,1,216,73.3%,12.5%,2,1.9%,1,0.9%,76.6%,56.1%,64.0%,57.9%,10,60.0%,32.1%,7,28.6%,44.9%,0.76,2:57
LL,Peter Polansky,CAN,1,221,64.7%,11.1%,2,1.9%,1,1.0%,70.5%,56.8%,58.1%,57.1%,16,62.5%,32.8%,8,25.0%,44.3%,0.76,2:26
,Nicolas Mahut,FRA,1,187,68.8%,12.5%,3,3.2%,3,3.2%,60.2%,75.0%,35.1%,59.1%,10,50.0%,30.9%,4,50.0%,44.9%,0.76,2:07
,Ivo Karlovic,CRO,1,194,87.5%,0.0%,26,27.7%,9,9.6%,68.1%,87.5%,43.3%,73.4%,5,60.0%,20.0%,4,0.0%,45.9%,0.75,2:08
,Frances Tiafoe,USA,1,177,69.2%,0.0%,6,7.3%,5,6.1%,50.0%,61.0%,53.7%,57.3%,7,42.9%,31.6%,6,0.0%,43.5%,0.74,1:50
,Robin Haase,NED,1,257,52.4%,22.7%,8,6.0%,2,1.5%,64.9%,62.1%,31.9%,51.5%,17,41.2%,35.8%,14,35.7%,44.0%,0.74,2:52
,Nikoloz Basilashvili,GEO,1,267,68.4%,5.3%,4,2.7%,9,6.0%,53.7%,58.8%,53.6%,56.4%,18,66.7%,32.2%,5,20.0%,45.7%,0.74,2:57
