Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,1,(1)Rafael Nadal[ESP] [yr|ev],d.,8,(7)Dominic Thiem[AUT] [yr|ev],6-4 6-3 6-2,1.57,0.0%,68.3%,82.1%,46.2%,2/3,6.9%,57.8%,67.8%,34.9%,12/17,2:42,1
SF,1,(1)Rafael Nadal[ESP] [yr|ev],d.,6,(5)Juan Martin del Potro[ARG] [yr|ev],6-4 6-1 6-2,1.48,0.0%,61.4%,72.5%,65.6%,7/7,3.1%,75.4%,57.1%,50.0%,4/9,2:14,1
SF,8,(7)Dominic Thiem[AUT] [yr|ev],d.,72,Marco Cecchinato[ITA] [yr|ev],7-5 7-6(10) 6-1,1.65,6.4%,67.0%,82.5%,61.3%,5/6,2.6%,80.7%,62.0%,50.0%,5/9,2:17,3
QF,1,(1)Rafael Nadal[ESP] [yr|ev],d.,12,(11)Diego Schwartzman[ARG] [yr|ev],4-6 6-3 6-2 6-2,1.26,0.8%,57.4%,60.8%,54.5%,15/20,0.8%,58.5%,55.1%,36.7%,9/18,3:42,1
QF,6,(5)Juan Martin del Potro[ARG] [yr|ev],d.,4,(3)Marin Cilic[CRO] [yr|ev],7-6(5) 5-7 6-3 7-5,1.31,13.5%,61.7%,79.3%,53.7%,8/11,11.8%,56.9%,71.3%,45.5%,9/13,3:50,3
QF,72,Marco Cecchinato[ITA] [yr|ev],d.,22,(20)Novak Djokovic[SRB] [yr|ev],6-3 7-6(4) 1-6 7-6(11),0.91,3.8%,74.5%,62.4%,47.5%,11/17,3.9%,68.5%,65.5%,55.0%,6/10,3:26,16
QF,8,(7)Dominic Thiem[AUT] [yr|ev],d.,3,(2)Alexander Zverev[GER] [yr|ev],6-4 6-2 6-1,1.95,7.5%,62.7%,78.6%,68.0%,2/2,2.2%,71.9%,53.1%,44.0%,6/12,1:50,3
R16,1,(1)Rafael Nadal[ESP] [yr|ev],d.,70,Maximilian Marterer[GER] [yr|ev],6-3 6-2 7-6(4),1.40,4.4%,65.9%,70.0%,61.3%,3/5,2.2%,67.7%,52.4%,56.7%,5/10,2:30,1
R16,12,(11)Diego Schwartzman[ARG] [yr|ev],d.,7,(6)Kevin Anderson[RSA] [yr|ev],1-6 2-6 7-5 7-6(0) 6-2,1.03,1.3%,65.2%,60.4%,46.3%,11/21,11.5%,57.0%,68.1%,35.2%,12/21,3:51,8
R16,4,(3)Marin Cilic[CRO] [yr|ev],d.,18,(18)Fabio Fognini[ITA] [yr|ev],6-4 6-1 3-6 6-7(4) 6-3,1.16,5.2%,59.5%,74.7%,53.2%,9/12,6.2%,66.7%,65.7%,50.0%,4/11,3:37,3
R16,6,(5)Juan Martin del Potro[ARG] [yr|ev],d.,10,(9)John Isner[USA] [yr|ev],6-4 6-4 6-4,1.29,6.6%,64.8%,76.3%,62.5%,2/2,13.8%,64.4%,73.2%,45.2%,4/7,1:59,3
R16,72,Marco Cecchinato[ITA] [yr|ev],d.,9,(8)David Goffin[BEL] [yr|ev],7-5 4-6 6-0 6-3,1.33,7.1%,68.1%,72.7%,58.3%,2/4,2.4%,54.5%,70.1%,42.9%,12/18,2:31,16
R16,22,(20)Novak Djokovic[SRB] [yr|ev],d.,35,(30)Fernando Verdasco[ESP] [yr|ev],6-3 6-4 6-2,1.25,3.1%,72.9%,62.9%,69.2%,4/5,3.0%,66.7%,56.1%,54.5%,5/10,2:25,1
R16,8,(7)Dominic Thiem[AUT] [yr|ev],d.,21,(19)Kei Nishikori[JPN] [yr|ev],6-2 6-0 5-7 6-4,1.62,9.5%,68.4%,84.6%,56.7%,0/1,1.0%,61.8%,73.0%,41.0%,5/11,2:28,3
R16,3,(2)Alexander Zverev[GER] [yr|ev],d.,38,Karen Khachanov[RUS] [yr|ev],4-6 7-6(4) 2-6 6-3 6-3,1.09,11.2%,67.8%,73.8%,49.0%,12/17,6.0%,64.0%,65.6%,57.4%,8/13,3:29,2
