Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
33,Olivier Rochus,BEL,2,401,93.1%,17.2%,1,0.5%,2,1.0%,69.1%,73.5%,57.6%,68.6%,11,81.8%,33.8%,17,29.4%,50.4%,1.08,4:13
24,Taylor Dent,USA,4,1016,89.6%,15.8%,68,13.4%,42,8.3%,57.8%,82.0%,49.3%,68.2%,38,78.9%,34.3%,35,34.3%,51.3%,1.08,10:04
6,Tim Henman,GBR,2,659,82.0%,20.0%,16,5.4%,17,5.7%,64.5%,72.5%,50.0%,64.5%,15,40.0%,38.1%,39,25.6%,50.1%,1.07,7:08
,Guillermo Garcia Lopez,ESP,2,553,78.0%,35.0%,8,2.9%,10,3.6%,59.6%,71.5%,48.2%,62.1%,24,62.5%,40.6%,28,50.0%,51.4%,1.07,6:13
Q,Yen Hsun Lu,TPE,2,553,75.6%,20.0%,30,11.4%,9,3.4%,64.6%,74.7%,47.3%,65.0%,23,52.2%,37.6%,25,36.0%,50.6%,1.07,6:29
,Kevin Kim,USA,2,439,75.8%,30.3%,25,11.8%,6,2.8%,66.8%,69.5%,45.7%,61.6%,20,60.0%,41.2%,29,34.5%,51.0%,1.07,3:53
,Jurgen Melzer,AUT,3,638,88.2%,22.0%,27,7.9%,19,5.5%,58.3%,74.5%,51.7%,65.0%,28,78.6%,37.3%,25,44.0%,52.2%,1.07,6:06
,Davide Sanguinetti,ITA,2,378,80.0%,30.0%,12,6.2%,8,4.1%,55.7%,75.9%,46.5%,62.9%,12,50.0%,39.1%,21,42.9%,51.3%,1.05,3:43
27,Richard Gasquet,FRA,4,904,88.4%,17.6%,45,9.8%,10,2.2%,71.0%,74.2%,48.9%,66.9%,26,69.2%,34.8%,32,37.5%,51.1%,1.05,8:53
29,Nicolas Massu,CHI,2,494,91.9%,13.5%,22,9.0%,13,5.3%,56.7%,77.7%,52.8%,66.9%,11,72.7%,34.5%,18,27.8%,50.6%,1.04,6:00
,Michael Llodra,FRA,1,350,81.5%,19.2%,10,6.0%,6,3.6%,65.9%,69.1%,59.6%,65.9%,14,64.3%,35.5%,12,41.7%,50.0%,1.04,3:39
14,Radek Stepanek,CZE,2,471,80.0%,23.5%,23,9.7%,6,2.5%,68.8%,72.4%,44.6%,63.7%,24,70.8%,37.6%,25,32.0%,50.7%,1.04,4:40
,Karol Kucera,SVK,2,412,81.3%,15.2%,24,12.4%,9,4.7%,60.1%,71.6%,54.5%,64.8%,18,66.7%,36.5%,14,35.7%,49.8%,1.04,4:25
,Julien Benneteau,FRA,1,334,77.8%,20.0%,19,11.0%,8,4.6%,66.5%,73.0%,44.8%,63.6%,10,40.0%,37.9%,12,41.7%,51.2%,1.04,4:10
,Andrei Pavel,ROU,2,493,90.0%,20.5%,26,10.2%,3,1.2%,64.1%,77.4%,51.1%,68.0%,19,78.9%,32.9%,20,40.0%,51.1%,1.03,5:01
25,Nicolas Kiefer,GER,3,750,74.6%,24.2%,39,11.1%,12,3.4%,57.3%,77.6%,42.0%,62.4%,25,40.0%,38.3%,32,46.9%,49.6%,1.02,8:51
,Jonas Bjorkman,SWE,3,702,76.0%,25.5%,18,5.2%,16,4.6%,58.6%,72.3%,43.4%,60.3%,30,60.0%,40.3%,35,37.1%,50.1%,1.02,7:09
Q,Danai Udomchoke,THA,2,612,76.6%,23.4%,5,1.6%,14,4.5%,63.6%,70.9%,49.1%,62.9%,29,62.1%,37.8%,25,44.0%,50.7%,1.02,6:27
LL,Justin Gimelstob,USA,3,698,89.1%,11.3%,50,13.7%,17,4.6%,58.2%,76.5%,51.6%,66.1%,31,80.6%,33.7%,17,35.3%,50.7%,1.00,7:58
9,Sebastien Grosjean,FRA,5,1334,85.0%,20.8%,54,7.7%,20,2.9%,55.8%,74.3%,53.6%,65.1%,49,67.3%,35.0%,54,40.7%,50.7%,1.00,14:25
,Hyung Taik Lee,KOR,2,569,86.7%,17.8%,16,5.5%,7,2.4%,64.7%,77.5%,42.2%,65.1%,20,70.0%,34.6%,21,38.1%,50.1%,0.99,6:14
,Jean Rene Lisnard,MON,2,329,84.6%,16.0%,9,5.1%,8,4.6%,54.9%,78.1%,50.6%,65.7%,17,76.5%,33.8%,13,30.8%,50.8%,0.98,3:23
LL,Daniele Bracciali,ITA,2,695,93.1%,3.3%,48,14.0%,13,3.8%,55.3%,86.2%,60.8%,74.9%,15,73.3%,24.6%,7,28.6%,49.4%,0.98,7:11
,Peter Wessels,NED,1,210,66.7%,18.8%,13,14.3%,3,3.3%,68.1%,69.4%,41.4%,60.4%,13,61.5%,38.7%,10,30.0%,48.1%,0.98,1:38
,Florian Mayer,GER,3,586,79.2%,21.7%,9,2.9%,5,1.6%,63.0%,70.1%,49.1%,62.3%,32,68.8%,37.1%,18,55.6%,50.3%,0.98,5:37
WC,James Blake,USA,1,288,81.0%,25.0%,7,4.8%,4,2.7%,65.3%,70.8%,47.1%,62.6%,14,71.4%,36.2%,12,41.7%,49.7%,0.97,2:44
,Alexander Popp,GER,3,882,88.6%,13.7%,38,8.5%,18,4.0%,65.7%,74.4%,52.9%,67.0%,35,77.1%,31.9%,35,28.6%,49.7%,0.97,8:26
,Jarkko Nieminen,FIN,1,334,80.0%,11.5%,9,5.2%,3,1.7%,67.2%,65.8%,61.4%,64.4%,17,70.6%,34.4%,6,50.0%,50.0%,0.96,3:31
,Gael Monfils,FRA,3,650,76.9%,17.3%,32,9.9%,19,5.9%,48.1%,78.7%,50.3%,64.0%,27,55.6%,34.1%,20,45.0%,48.9%,0.95,6:29
,Gilles Muller,LUX,3,469,87.5%,10.5%,23,9.4%,8,3.3%,63.7%,73.7%,57.3%,67.8%,24,79.2%,30.4%,14,28.6%,49.9%,0.94,4:56
,Kenneth Carlsen,DEN,1,356,88.9%,7.1%,16,8.7%,5,2.7%,65.2%,78.3%,48.4%,67.9%,10,70.0%,30.2%,7,28.6%,49.7%,0.94,3:44
,Janko Tipsarevic,SRB,3,497,73.2%,22.0%,20,8.3%,6,2.5%,56.7%,67.6%,53.8%,61.7%,22,50.0%,36.2%,21,42.9%,48.5%,0.94,5:08
,Alessio Di Mauro,ITA,2,417,74.2%,20.7%,19,8.8%,9,4.2%,63.0%,66.2%,48.8%,59.7%,22,63.6%,37.3%,12,50.0%,48.9%,0.93,4:24
28,Jiri Novak,CZE,3,753,83.1%,23.2%,27,6.4%,5,1.2%,72.9%,64.4%,58.3%,62.7%,43,76.7%,34.7%,28,46.4%,50.5%,0.93,7:04
,Sargis Sargsian,ARM,1,219,86.7%,0.0%,9,8.9%,4,4.0%,65.3%,68.2%,62.9%,66.3%,6,66.7%,31.4%,6,0.0%,47.5%,0.93,2:32
,Ivo Karlovic,CRO,1,391,97.1%,3.0%,51,25.8%,8,4.0%,72.2%,85.3%,58.2%,77.8%,5,80.0%,20.7%,4,25.0%,49.6%,0.93,4:17
WC,David Sherwood,GBR,2,325,78.6%,14.8%,12,7.1%,10,5.9%,50.9%,72.1%,55.4%,63.9%,13,53.8%,33.3%,6,66.7%,49.2%,0.92,3:01
,Alex Calatrava,ESP,2,336,86.2%,6.7%,11,6.5%,3,1.8%,63.1%,77.4%,58.1%,70.2%,12,66.7%,27.4%,5,40.0%,48.8%,0.92,3:18
,Jan Hernych,CZE,2,519,74.4%,15.0%,11,4.2%,7,2.7%,70.8%,67.9%,51.3%,63.1%,24,58.3%,34.0%,18,33.3%,48.6%,0.92,5:08
,Stefan Koubek,AUT,1,372,67.9%,25.9%,16,8.9%,9,5.0%,57.0%,64.7%,44.2%,55.9%,17,47.1%,40.4%,22,31.8%,47.8%,0.92,3:49
20,Ivan Ljubicic,CRO,1,179,80.0%,0.0%,12,14.5%,3,3.6%,59.0%,71.4%,58.8%,66.3%,3,0.0%,30.2%,5,0.0%,46.9%,0.90,1:48
Q,Dick Norman,BEL,1,332,88.9%,3.8%,23,13.9%,4,2.4%,69.9%,76.7%,56.0%,70.5%,8,62.5%,25.9%,6,16.7%,48.2%,0.88,3:22
,Michal Tabara,CZE,1,191,73.3%,6.7%,9,9.9%,5,5.5%,58.2%,64.2%,57.9%,61.5%,6,33.3%,34.0%,4,25.0%,47.1%,0.88,1:34
,Victor Hanescu,ROU,2,508,85.4%,7.3%,19,7.6%,5,2.0%,73.7%,70.8%,53.0%,66.1%,14,57.1%,29.2%,12,25.0%,47.4%,0.86,5:21
,Felix Mantilla,ESP,1,59,75.0%,20.0%,2,6.5%,1,3.2%,48.4%,80.0%,37.5%,58.1%,2,50.0%,35.7%,3,33.3%,47.5%,0.85,0:47
11,Joachim Johansson,SWE,3,658,88.7%,5.8%,45,13.0%,16,4.6%,69.7%,76.3%,53.3%,69.4%,17,64.7%,25.6%,15,20.0%,48.6%,0.84,6:05
Q,Noam Okun,ISR,1,271,85.0%,14.3%,8,5.7%,3,2.1%,64.5%,74.7%,48.0%,65.2%,9,66.7%,29.2%,8,37.5%,48.0%,0.84,2:51
Q,Jeff Morrison,USA,1,277,72.7%,18.2%,10,6.8%,5,3.4%,64.9%,69.8%,34.6%,57.4%,14,57.1%,35.7%,12,33.3%,47.3%,0.84,2:41
Q,Arnaud Clement,FRA,1,265,81.0%,22.7%,20,13.8%,3,2.1%,55.9%,74.1%,46.9%,62.1%,11,63.6%,31.7%,12,41.7%,48.3%,0.83,3:12
Q,Antony Dupuis,FRA,1,301,91.3%,9.1%,21,13.0%,6,3.7%,67.3%,70.6%,54.7%,65.4%,11,81.8%,28.8%,6,33.3%,48.5%,0.83,3:15
