Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
2,Rafael Nadal,ESP,7,1228,96.0%,39.0%,17,2.9%,9,1.5%,66.6%,76.7%,62.8%,72.0%,23,82.6%,44.7%,74,52.7%,57.7%,1.60,16:20
7,Roger Federer,SUI,4,675,88.9%,37.7%,31,10.2%,8,2.6%,57.9%,81.3%,57.0%,71.1%,14,57.1%,46.4%,54,37.0%,57.5%,1.60,6:53
1,Novak Djokovic,SRB,7,1341,84.8%,39.8%,48,7.9%,14,2.3%,68.8%,71.6%,58.7%,67.6%,42,61.9%,47.0%,97,42.3%,56.3%,1.45,16:16
,Gael Monfils,FRA,2,369,87.1%,31.3%,12,7.0%,3,1.7%,83.1%,74.8%,51.7%,70.9%,10,60.0%,40.1%,20,50.0%,54.5%,1.38,4:02
13,John Isner,USA,3,628,94.5%,20.8%,65,20.8%,10,3.2%,71.6%,81.7%,53.9%,73.8%,12,75.0%,34.6%,23,47.8%,54.1%,1.32,6:58
10,Milos Raonic,CAN,4,1033,90.9%,25.3%,106,21.6%,23,4.7%,61.1%,81.7%,49.7%,69.2%,37,81.1%,40.4%,60,31.7%,54.1%,1.31,11:31
5,Tomas Berdych,CZE,4,803,79.7%,38.6%,35,9.2%,10,2.6%,56.6%,78.6%,46.7%,64.7%,32,62.5%,45.2%,50,44.0%,54.4%,1.28,9:09
4,David Ferrer,ESP,5,1261,78.4%,29.5%,45,7.7%,14,2.4%,61.0%,71.8%,54.2%,64.9%,47,55.3%,43.7%,82,34.1%,53.5%,1.25,14:48
WC,Bradley Klahn,USA,2,565,88.6%,13.6%,22,8.6%,4,1.6%,71.2%,77.6%,58.1%,72.0%,10,50.0%,34.4%,20,30.0%,51.5%,1.23,5:58
3,Andy Murray,GBR,5,955,91.0%,25.6%,25,5.1%,14,2.9%,60.1%,71.6%,61.9%,67.7%,27,74.1%,39.2%,40,50.0%,53.7%,1.21,11:40
9,Stan Wawrinka,SUI,6,1435,87.2%,26.4%,53,7.4%,29,4.1%,54.1%,77.5%,55.3%,67.3%,44,68.2%,39.2%,65,43.1%,53.2%,1.20,17:21
,Marcos Baghdatis,CYP,3,570,88.9%,28.3%,42,14.6%,17,5.9%,49.8%,76.9%,59.0%,67.9%,16,68.8%,38.2%,31,41.9%,53.2%,1.19,6:17
18,Janko Tipsarevic,SRB,4,885,90.1%,28.4%,41,8.8%,12,2.6%,54.7%,73.4%,59.4%,67.1%,34,79.4%,38.6%,43,44.2%,53.7%,1.17,10:51
26,Sam Querrey,USA,2,569,92.9%,12.2%,48,17.3%,11,4.0%,57.8%,85.6%,51.3%,71.1%,13,76.9%,33.6%,26,19.2%,51.8%,1.16,5:34
Q,Stephane Robert,FRA,2,379,80.0%,22.6%,11,6.3%,7,4.0%,55.7%,77.6%,52.6%,66.5%,13,53.8%,38.9%,23,30.4%,51.7%,1.16,3:46
6,Juan Martin del Potro,ARG,2,607,80.9%,17.4%,24,8.4%,12,4.2%,58.7%,70.8%,59.3%,66.1%,22,59.1%,38.9%,22,36.4%,51.7%,1.15,8:16
22,Philipp Kohlschreiber,GER,4,862,87.1%,21.1%,41,9.5%,8,1.9%,64.0%,75.0%,56.1%,68.2%,30,70.0%,36.4%,38,39.5%,52.3%,1.15,9:57
Q,Donald Young,USA,2,366,76.9%,40.0%,8,4.1%,15,7.8%,66.8%,62.8%,46.9%,57.5%,29,79.3%,48.6%,25,40.0%,53.3%,1.14,3:43
12,Tommy Haas,GER,3,575,73.9%,32.6%,33,11.4%,15,5.2%,56.2%,77.3%,44.9%,63.1%,28,57.1%,41.8%,26,57.7%,52.5%,1.13,6:24
,Jarkko Nieminen,FIN,2,480,78.9%,31.6%,15,6.4%,12,5.1%,62.0%,71.0%,49.4%,62.8%,19,57.9%,41.5%,23,52.2%,51.9%,1.12,5:12
,Yen Hsun Lu,TPE,2,425,77.4%,22.6%,8,4.1%,9,4.6%,67.2%,70.2%,51.6%,64.1%,12,41.7%,40.0%,22,31.8%,51.1%,1.11,4:31
,Lleyton Hewitt,AUS,4,1080,72.4%,33.3%,37,6.9%,25,4.7%,49.5%,70.7%,53.1%,61.8%,44,45.5%,42.5%,56,53.6%,52.1%,1.11,14:02
WC,Tim Smyczek,USA,3,883,76.6%,27.3%,34,8.4%,9,2.2%,62.8%,71.8%,48.3%,63.1%,33,54.5%,40.5%,47,38.3%,50.8%,1.10,10:19
,Denis Istomin,UZB,4,855,79.2%,31.0%,47,10.7%,13,3.0%,63.6%,69.9%,53.8%,64.0%,44,65.9%,39.7%,36,61.1%,52.2%,1.10,9:49
24,Benoit Paire,FRA,1,372,85.2%,22.2%,29,16.3%,11,6.2%,50.6%,80.0%,45.5%,62.9%,11,63.6%,40.7%,23,26.1%,51.3%,1.10,4:01
,Rajeev Ram,USA,2,417,80.6%,31.4%,20,9.4%,3,1.4%,68.1%,72.4%,48.5%,64.8%,14,50.0%,38.7%,26,42.3%,52.0%,1.10,4:48
Q,Peter Gojowczyk,GER,2,537,78.0%,23.3%,23,8.9%,14,5.4%,53.9%,77.0%,49.6%,64.3%,26,65.4%,39.1%,21,47.6%,51.2%,1.10,5:34
19,Tommy Robredo,ESP,5,1030,76.9%,32.1%,39,7.6%,18,3.5%,60.2%,72.6%,46.3%,62.1%,56,67.9%,41.4%,47,55.3%,51.7%,1.09,11:58
21,Mikhail Youzhny,RUS,5,1094,76.4%,32.6%,36,6.9%,22,4.2%,57.7%,69.8%,52.5%,62.5%,44,52.3%,40.9%,66,43.9%,51.2%,1.09,13:28
Q,Maximo Gonzalez,ARG,2,423,84.8%,23.5%,12,6.1%,8,4.0%,66.2%,73.3%,44.8%,63.6%,16,68.8%,39.6%,24,33.3%,50.8%,1.09,4:47
,Florian Mayer,GER,3,534,82.5%,26.8%,15,5.5%,9,3.3%,60.7%,71.9%,48.1%,62.5%,25,72.0%,40.2%,30,36.7%,51.7%,1.07,5:46
20,Andreas Seppi,ITA,3,771,74.6%,26.7%,27,7.0%,16,4.2%,57.1%,75.0%,44.8%,62.1%,35,57.1%,40.4%,41,39.0%,51.2%,1.07,8:44
,James Blake,USA,1,337,88.9%,14.3%,9,5.4%,6,3.6%,63.3%,77.1%,60.7%,71.1%,11,72.7%,30.4%,11,36.4%,50.4%,1.05,3:24
8,Richard Gasquet,FRA,6,1477,82.3%,24.5%,48,6.5%,34,4.6%,60.7%,70.9%,51.6%,63.3%,60,66.7%,38.5%,80,33.8%,50.8%,1.05,17:08
31,Julien Benneteau,FRA,3,565,71.7%,27.1%,21,7.7%,14,5.1%,57.9%,71.5%,47.8%,61.5%,29,55.2%,40.4%,26,50.0%,50.6%,1.05,6:33
Q,Somdev Devvarman,IND,2,521,72.5%,33.3%,12,4.6%,7,2.7%,56.2%,69.2%,48.2%,60.0%,24,54.2%,41.8%,30,43.3%,50.9%,1.04,5:51
27,Fernando Verdasco,ESP,1,289,73.9%,25.0%,4,3.0%,14,10.6%,58.3%,75.3%,41.8%,61.4%,9,33.3%,40.1%,17,35.3%,49.8%,1.04,3:18
,Bernard Tomic,AUS,2,581,76.2%,25.0%,17,6.3%,4,1.5%,64.3%,67.4%,52.6%,62.1%,30,66.7%,39.2%,28,39.3%,49.9%,1.03,6:16
,Edouard Roger-Vasselin,FRA,2,382,81.3%,18.8%,13,6.6%,4,2.0%,61.9%,70.5%,57.3%,65.5%,22,72.7%,35.7%,13,46.2%,51.0%,1.03,4:01
,Evgeny Donskoy,RUS,3,757,81.7%,17.5%,27,7.1%,5,1.3%,56.1%,77.5%,47.3%,64.2%,27,59.3%,36.6%,34,29.4%,50.5%,1.02,8:56
Q,Daniel Evans,GBR,3,704,72.2%,30.8%,25,6.8%,19,5.2%,56.7%,67.8%,48.4%,59.4%,34,55.9%,41.2%,35,45.7%,50.7%,1.02,7:30
,Adrian Mannarino,FRA,3,695,84.3%,15.1%,24,7.1%,10,3.0%,57.4%,73.6%,55.9%,66.1%,28,71.4%,34.5%,20,40.0%,49.8%,1.02,7:09
,Tobias Kamke,GER,2,438,76.5%,14.7%,13,6.1%,12,5.6%,50.9%,69.7%,57.1%,63.6%,18,55.6%,37.1%,16,31.3%,50.0%,1.02,4:54
23,Feliciano Lopez,ESP,3,799,88.7%,14.8%,51,12.8%,21,5.3%,56.5%,75.6%,55.5%,66.8%,20,65.0%,33.9%,29,31.0%,50.3%,1.02,8:12
WC,Guillaume Rufin,FRA,2,397,79.3%,20.0%,14,7.4%,10,5.3%,52.4%,80.8%,43.3%,63.0%,15,60.0%,37.5%,23,26.1%,49.6%,1.01,4:17
,Alexandr Dolgopolov,UKR,2,396,67.9%,28.6%,16,8.1%,8,4.0%,49.0%,71.1%,45.5%,58.1%,27,66.7%,42.4%,30,26.7%,50.3%,1.01,3:50
,Jan Lennard Struff,GER,1,298,77.3%,22.7%,11,7.4%,13,8.7%,55.0%,74.4%,47.8%,62.4%,15,66.7%,37.6%,13,38.5%,50.0%,1.00,3:05
,Denis Kudla,USA,2,507,80.6%,29.7%,8,3.1%,11,4.3%,61.4%,67.3%,54.1%,62.2%,20,65.0%,37.9%,31,35.5%,50.1%,1.00,5:29
32,Dmitry Tursunov,RUS,3,529,84.1%,23.8%,44,15.0%,10,3.4%,54.8%,75.8%,48.1%,63.3%,28,75.0%,36.6%,18,55.6%,51.4%,1.00,6:10
30,Ernests Gulbis,LAT,1,319,83.3%,21.7%,15,9.5%,8,5.1%,57.6%,74.7%,46.3%,62.7%,14,71.4%,37.3%,22,22.7%,49.8%,1.00,3:36
