Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,2,(2)Rafael Nadal[ESP] [yr|ev],d.,1,(1)Novak Djokovic[SRB] [yr|ev],6-2 3-6 6-4 6-1,1.19,0.8%,64.5%,65.4%,55.8%,8/11,5.9%,67.6%,58.0%,48.5%,5/11,3:21,1
SF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,10,(9)Stan Wawrinka[SUI] [yr|ev],2-6 7-6(4) 3-6 6-3 6-4,1.11,6.5%,66.7%,68.5%,56.5%,4/9,4.2%,50.0%,70.8%,50.0%,15/20,4:09,1
SF,2,(2)Rafael Nadal[ESP] [yr|ev],d.,9,(8)Richard Gasquet[FRA] [yr|ev],6-4 7-6(1) 6-2,1.30,3.2%,70.5%,76.1%,57.1%,5/6,7.7%,63.7%,70.7%,45.5%,0/4,2:21,1
QF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,24,(21)Mikhail Youzhny[RUS] [yr|ev],6-3 6-2 3-6 6-0,1.40,4.9%,68.0%,70.0%,57.6%,8/10,2.0%,55.6%,52.7%,52.3%,5/12,2:34,1
QF,10,(9)Stan Wawrinka[SUI] [yr|ev],d.,3,(3)Andy Murray[GBR] [yr|ev],6-4 6-3 6-2,1.83,5.3%,55.3%,88.1%,58.8%,0/0,4.6%,63.3%,53.6%,55.0%,7/10,2:15,3
QF,9,(8)Richard Gasquet[FRA] [yr|ev],d.,4,(4)David Ferrer[ESP] [yr|ev],6-3 6-1 4-6 2-6 6-3,1.03,4.2%,58.7%,67.9%,52.5%,11/14,3.7%,63.2%,61.6%,58.0%,8/14,3:23,7
QF,2,(2)Rafael Nadal[ESP] [yr|ev],d.,22,(19)Tommy Robredo[ESP] [yr|ev],6-0 6-2 6-2,2.36,3.4%,61.0%,86.1%,60.9%,0/0,4.5%,51.5%,58.8%,28.1%,3/10,1:40,1
R16,1,(1)Novak Djokovic[SRB] [yr|ev],d.,43,Marcel Granollers[ESP] [yr|ev],6-3 6-0 6-0,3.94,3.8%,71.7%,84.2%,86.7%,1/1,2.9%,47.8%,48.5%,33.3%,7/14,1:19,1
R16,24,(21)Mikhail Youzhny[RUS] [yr|ev],d.,66,Lleyton Hewitt[AUS] [yr|ev],6-3 3-6 6-7(3) 6-4 7-5,0.99,6.2%,58.6%,64.7%,48.3%,4/12,5.5%,50.7%,63.5%,52.8%,4/14,3:58,8
R16,3,(3)Andy Murray[GBR] [yr|ev],d.,65,Denis Istomin[UZB] [yr|ev],6-7(5) 6-1 6-4 6-4,1.20,4.2%,62.5%,77.3%,51.1%,2/4,3.3%,69.1%,64.7%,52.6%,9/15,3:07,1
R16,10,(9)Stan Wawrinka[SUI] [yr|ev],d.,5,(5)Tomas Berdych[CZE] [yr|ev],3-6 6-1 7-6(6) 6-2,1.19,12.3%,58.2%,78.9%,51.0%,3/6,2.6%,57.4%,74.2%,42.9%,5/11,2:47,3
R16,9,(8)Richard Gasquet[FRA] [yr|ev],d.,11,(10)Milos Raonic[CAN] [yr|ev],6-7(4) 7-6(4) 2-6 7-6(9) 7-5,0.91,2.9%,59.3%,66.9%,54.2%,16/22,19.7%,56.1%,75.7%,51.7%,16/21,4:40,7
R16,4,(4)David Ferrer[ESP] [yr|ev],d.,21,(18)Janko Tipsarevic[SRB] [yr|ev],7-6(2) 3-6 7-5 7-6(3),1.16,9.2%,65.5%,73.1%,46.9%,9/15,4.6%,58.9%,66.0%,47.2%,11/15,3:57,3
R16,22,(19)Tommy Robredo[ESP] [yr|ev],d.,7,(7)Roger Federer[SUI] [yr|ev],7-6(3) 6-3 6-4,0.99,4.8%,70.4%,69.3%,45.9%,14/16,5.8%,60.5%,73.1%,47.1%,3/7,2:24,5
R16,2,(2)Rafael Nadal[ESP] [yr|ev],d.,25,(22)Philipp Kohlschreiber[GER] [yr|ev],6-7(4) 6-4 6-3 6-1,1.54,2.8%,65.7%,76.1%,70.3%,1/1,8.6%,63.6%,66.3%,49.0%,16/21,3:12,1
R32,1,(1)Novak Djokovic[SRB] [yr|ev],d.,95,Joao Sousa[POR] [yr|ev],6-0 6-2 6-2,2.26,5.4%,67.9%,78.9%,66.7%,1/2,2.2%,58.7%,55.6%,26.3%,5/12,1:40,1
R32,43,Marcel Granollers[ESP] [yr|ev],d.,109,(WC)Tim Smyczek[USA] [yr|ev],6-4 4-6 0-6 6-3 7-5,0.99,6.6%,58.9%,74.2%,45.2%,9/16,7.0%,60.6%,73.3%,46.4%,6/12,3:24,19
R32,24,(21)Mikhail Youzhny[RUS] [yr|ev],d.,13,(12)Tommy Haas[GER] [yr|ev],6-3 6-2 2-6 6-3,1.20,9.0%,57.0%,75.4%,48.8%,5/8,4.8%,50.0%,71.2%,42.3%,5/12,2:29,8
R32,66,Lleyton Hewitt[AUS] [yr|ev],d.,102,Evgeny Donskoy[RUS] [yr|ev],6-3 7-6(5) 3-6 6-1,1.18,8.8%,52.0%,75.4%,61.7%,6/7,11.4%,57.0%,83.1%,36.7%,3/7,2:55,1
R32,3,(3)Andy Murray[GBR] [yr|ev],d.,47,Florian Mayer[GER] [yr|ev],7-6(2) 6-2 6-2,1.71,8.6%,50.6%,90.2%,62.5%,2/2,0.0%,61.1%,70.9%,42.9%,5/9,1:59,1
