Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,1,(1)Novak Djokovic[SRB] [yr|ev],d.,5,(5)Stefanos Tsitsipas[GRE] [yr|ev],6-7(6) 2-6 6-3 6-2 6-4,1.32,3.7%,67.9%,78.0%,53.5%,5/8,7.9%,61.6%,67.0%,50.0%,11/16,4:11,1
SF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,3,(3)Rafael Nadal[ESP] [yr|ev],3-6 6-3 7-6(4) 6-2,1.17,4.5%,63.9%,64.7%,50.0%,10/16,4.5%,64.7%,59.3%,40.4%,14/22,4:11,1
SF,5,(5)Stefanos Tsitsipas[GRE] [yr|ev],d.,6,(6)Alexander Zverev[GER] [yr|ev],6-3 6-3 4-6 4-6 6-3,1.13,5.8%,68.1%,75.5%,52.3%,3/6,7.7%,69.7%,74.7%,39.5%,9/14,3:37,3
QF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,9,(9)Matteo Berrettini[ITA] [yr|ev],6-3 6-2 6-7(5) 7-5,1.47,7.6%,69.7%,77.2%,65.0%,3/3,7.6%,65.3%,71.3%,42.0%,5/9,3:28,1
QF,3,(3)Rafael Nadal[ESP] [yr|ev],d.,10,(10)Diego Schwartzman[ARG] [yr|ev],6-3 4-6 6-4 6-0,1.60,6.6%,65.9%,73.3%,67.7%,1/4,3.2%,62.8%,59.3%,45.7%,7/14,2:45,1
QF,6,(6)Alexander Zverev[GER] [yr|ev],d.,46,Alejandro Davidovich Fokina[ESP] [yr|ev],6-4 6-1 6-1,1.83,4.8%,54.8%,76.5%,57.1%,3/6,0.0%,60.3%,47.7%,31.0%,6/15,1:36,2
QF,5,(5)Stefanos Tsitsipas[GRE] [yr|ev],d.,2,(2)Daniil Medvedev[RUS] [yr|ev],6-3 7-6(3) 7-5,1.52,2.9%,64.7%,72.7%,75.0%,6/8,4.7%,67.3%,59.7%,60.0%,3/7,2:19,3
R16,1,(1)Novak Djokovic[SRB] [yr|ev],d.,76,Lorenzo Musetti[ITA] [yr|ev],6-7(7) 6-7(2) 6-1 6-0 4-0 RET,1.57,8.3%,70.5%,75.3%,53.8%,2/4,0.8%,62.0%,50.7%,52.2%,0/9,3:27,1
R16,9,(9)Matteo Berrettini[ITA] [yr|ev],d.,8,(8)Roger Federer[SUI] [yr|ev],W/O,,,,,,,,,,,,,6
R16,3,(3)Rafael Nadal[ESP] [yr|ev],d.,19,(18)Jannik Sinner[ITA] [yr|ev],7-5 6-3 6-0,1.69,4.8%,57.8%,81.3%,42.9%,3/7,0.0%,65.8%,42.0%,38.5%,5/14,2:17,1
R16,10,(10)Diego Schwartzman[ARG] [yr|ev],d.,42,Jan Lennard Struff[GER] [yr|ev],7-6(9) 6-4 7-5,1.10,0.0%,73.1%,60.0%,48.6%,8/14,9.6%,53.3%,63.9%,39.7%,7/15,3:02,8
