Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,
F,3,(3)Carlos Alcaraz[ESP] [yr|ev],d.,4,(4)Alexander Zverev[GER] [yr|ev],6-3 2-6 5-7 6-1 6-2,1.09,1.9%,60.4%,64.6%,49.2%,17/23,6.0%,72.9%,62.9%,33.3%,7/16,
SF,3,(3)Carlos Alcaraz[ESP] [yr|ev],d.,2,(2)Jannik Sinner[ITA] [yr|ev],2-6 6-3 3-6 6-4 6-3,0.94,5.1%,65.6%,66.0%,46.3%,4/10,5.2%,56.3%,73.7%,45.8%,8/14,
SF,4,(4)Alexander Zverev[GER] [yr|ev],d.,7,(7)Casper Ruud[NOR] [yr|ev],2-6 6-2 6-4 6-2,1.66,23.2%,68.3%,85.7%,53.8%,1/3,3.8%,67.0%,69.0%,40.0%,7/12,
QF,7,(7)Casper Ruud[NOR] [yr|ev],d.,1,(1)Novak Djokovic[SRB] [yr|ev],W/O,,,,,,,,,,,,
QF,2,(2)Jannik Sinner[ITA] [yr|ev],d.,10,(10)Grigor Dimitrov[BUL] [yr|ev],6-2 6-4 7-6(3),1.61,9.0%,59.6%,81.1%,63.9%,1/2,4.7%,63.2%,67.2%,43.6%,6/10,
QF,3,(3)Carlos Alcaraz[ESP] [yr|ev],d.,9,(9)Stefanos Tsitsipas[GRE] [yr|ev],6-3 7-6(3) 6-4,1.52,3.6%,72.6%,73.8%,73.9%,1/2,2.0%,61.2%,65.0%,52.6%,2/6,
QF,4,(4)Alexander Zverev[GER] [yr|ev],d.,11,(11)Alex De Minaur[AUS] [yr|ev],6-4 7-6(5) 6-4,1.04,1.8%,69.1%,69.7%,44.1%,5/8,3.3%,49.5%,62.2%,58.7%,1/6,
R16,1,(1)Novak Djokovic[SRB] [yr|ev],d.,27,(23)Francisco Cerundolo[ARG] [yr|ev],6-1 5-7 3-6 7-5 6-3,1.03,3.3%,67.2%,69.1%,50.0%,15/19,2.1%,65.1%,61.1%,62.7%,5/11,
R16,2,(2)Jannik Sinner[ITA] [yr|ev],d.,79,Corentin Moutet[FRA] [yr|ev],2-6 6-3 6-2 6-1,1.39,5.3%,65.3%,72.6%,42.4%,2/6,1.0%,71.7%,54.9%,28.6%,6/14,
R16,3,(3)Carlos Alcaraz[ESP] [yr|ev],d.,21,(21)Felix Auger Aliassime[CAN] [yr|ev],6-3 6-3 6-1,1.54,1.3%,67.1%,75.5%,53.8%,4/5,0.0%,57.1%,60.4%,38.9%,10/16,
R16,4,(4)Alexander Zverev[GER] [yr|ev],d.,13,(13)Holger Rune[DEN] [yr|ev],4-6 6-1 5-7 7-6(2) 6-2,1.28,11.7%,70.1%,77.1%,41.5%,4/10,6.0%,57.1%,65.6%,45.8%,15/23,
R16,11,(11)Alex De Minaur[AUS] [yr|ev],d.,5,(5)Daniil Medvedev[RUS] [yr|ev],4-6 6-2 6-1 6-3,1.40,6.9%,54.5%,76.4%,56.5%,8/10,6.1%,57.0%,61.5%,44.9%,7/14,
R16,7,(7)Casper Ruud[NOR] [yr|ev],d.,12,(12)Taylor Fritz[USA] [yr|ev],7-6(6) 3-6 6-4 6-2,1.27,8.6%,58.6%,69.3%,60.4%,8/12,11.7%,55.8%,71.4%,37.5%,21/27,
R16,10,(10)Grigor Dimitrov[BUL] [yr|ev],d.,8,(8)Hubert Hurkacz[POL] [yr|ev],7-6(5) 6-4 7-6(3),1.24,3.5%,62.3%,77.5%,60.5%,6/7,16.7%,64.2%,72.7%,48.8%,6/8,
R16,9,(9)Stefanos Tsitsipas[GRE] [yr|ev],d.,35,Matteo Arnaldi[ITA] [yr|ev],3-6 7-6(4) 6-2 6-2,1.29,6.0%,66.4%,74.0%,53.8%,4/6,4.6%,58.3%,64.8%,47.6%,16/21,
