Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
,Jan Lennard Struff,GER,3,551,81.4%,37.2%,24,9.8%,11,4.5%,55.3%,74.1%,58.7%,67.2%,13,38.5%,45.9%,44,36.4%,55.4%,1.40,
2,Jannik Sinner,ITA,6,1215,86.5%,32.0%,38,6.7%,21,3.7%,62.6%,76.9%,52.8%,67.9%,35,62.9%,44.0%,64,48.4%,55.1%,1.37,
21,Felix Auger Aliassime,CAN,4,728,81.8%,31.0%,21,6.4%,15,4.5%,58.2%,77.1%,54.3%,67.6%,25,60.0%,43.5%,40,45.0%,54.4%,1.34,
14,Tommy Paul,USA,3,506,73.2%,51.3%,14,5.7%,2,0.8%,54.1%,66.7%,55.4%,61.5%,22,50.0%,50.4%,37,54.1%,55.7%,1.31,
11,Alex De Minaur,AUS,5,985,81.8%,42.1%,18,3.8%,17,3.6%,56.7%,66.3%,61.7%,64.3%,38,63.2%,45.6%,58,55.2%,54.6%,1.28,
3,Carlos Alcaraz,ESP,7,1514,80.3%,39.7%,25,3.3%,19,2.5%,68.0%,68.6%,54.2%,64.0%,62,62.9%,45.8%,97,47.4%,54.8%,1.27,
1,Novak Djokovic,SRB,5,948,84.4%,32.9%,20,4.2%,7,1.5%,66.5%,72.2%,54.4%,66.2%,28,57.1%,42.5%,45,55.6%,54.4%,1.26,
9,Stefanos Tsitsipas,GRE,5,1026,90.1%,26.3%,23,4.7%,14,2.9%,66.1%,72.5%,59.6%,68.2%,20,60.0%,39.6%,47,44.7%,53.2%,1.24,
8,Hubert Hurkacz,POL,4,1023,91.1%,19.7%,66,13.2%,9,1.8%,66.3%,77.0%,53.6%,69.1%,30,76.7%,37.8%,46,32.6%,53.1%,1.22,
23,Francisco Cerundolo,ARG,4,888,79.4%,35.7%,15,3.7%,11,2.7%,66.8%,67.4%,57.5%,64.1%,27,48.1%,43.8%,59,42.4%,53.0%,1.22,
4,Alexander Zverev,GER,7,1688,80.3%,29.1%,72,9.1%,29,3.7%,72.3%,72.5%,47.5%,65.6%,60,56.7%,41.4%,110,35.5%,52.7%,1.20,
,Brandon Nakashima,USA,2,500,89.7%,13.5%,29,11.9%,3,1.2%,65.4%,78.0%,57.1%,70.8%,13,69.2%,34.6%,23,21.7%,52.2%,1.19,
Q,Zizou Bergs,BEL,3,724,74.1%,35.1%,30,8.5%,13,3.7%,68.2%,68.3%,52.7%,63.4%,34,58.8%,42.7%,37,54.1%,52.8%,1.17,
6,Andrey Rublev,RUS,3,703,87.8%,24.0%,36,10.3%,15,4.3%,55.7%,75.8%,51.9%,65.2%,24,75.0%,40.8%,32,37.5%,52.9%,1.17,
28,Tomas Martin Etcheverry,ARG,3,666,75.5%,35.3%,18,5.8%,10,3.2%,61.5%,70.0%,51.3%,62.8%,28,57.1%,43.1%,48,37.5%,52.3%,1.16,
Q,Gabriel Diallo,CAN,1,405,76.9%,30.8%,15,7.9%,5,2.6%,72.3%,58.0%,41.5%,53.4%,18,66.7%,52.8%,14,57.1%,53.1%,1.13,
,Miomir Kecmanovic,SRB,2,285,72.0%,25.0%,12,8.4%,4,2.8%,62.9%,74.4%,49.1%,65.0%,14,50.0%,39.4%,10,60.0%,52.3%,1.13,
30,Lorenzo Musetti,ITA,3,640,77.8%,30.8%,7,2.2%,5,1.5%,62.3%,71.3%,51.6%,63.9%,23,47.8%,40.5%,28,57.1%,52.3%,1.12,
10,Grigor Dimitrov,BUL,5,992,84.0%,25.6%,28,5.6%,19,3.8%,60.9%,76.9%,50.8%,66.7%,38,65.8%,37.3%,42,47.6%,52.2%,1.12,
,Matteo Arnaldi,ITA,4,895,75.8%,37.5%,36,7.7%,6,1.3%,60.3%,67.1%,51.1%,60.8%,60,73.3%,43.9%,52,46.2%,52.7%,1.12,
,Tomas Machac,CZE,3,758,72.7%,38.2%,6,1.6%,13,3.6%,73.2%,56.3%,66.3%,59.0%,28,46.4%,45.9%,41,51.2%,52.2%,1.12,
18,Karen Khachanov,RUS,2,492,81.1%,28.9%,19,7.8%,9,3.7%,63.3%,74.2%,47.8%,64.5%,22,68.2%,39.7%,31,35.5%,52.0%,1.12,
7,Casper Ruud,NOR,6,1158,77.8%,27.5%,33,5.8%,15,2.6%,69.4%,69.7%,50.3%,63.7%,57,64.9%,40.2%,66,37.9%,51.8%,1.11,
Q,Giulio Zeppieri,ITA,2,494,82.1%,30.8%,16,6.2%,9,3.5%,58.3%,68.2%,58.3%,64.1%,21,66.7%,40.0%,22,54.5%,52.6%,1.11,
,Flavio Cobolli,ITA,2,581,83.7%,29.5%,27,9.1%,11,3.7%,55.2%,73.8%,50.4%,63.3%,29,75.9%,40.5%,31,41.9%,52.2%,1.10,
5,Daniil Medvedev,RUS,4,818,74.6%,29.7%,28,7.0%,15,3.7%,64.2%,69.8%,45.8%,61.2%,33,51.5%,42.5%,40,47.5%,51.7%,1.10,
,Soon Woo Kwon,KOR,2,450,74.2%,34.4%,6,2.9%,7,3.3%,62.4%,61.8%,57.0%,60.0%,19,57.9%,44.2%,36,30.6%,51.6%,1.10,
,Fabian Marozsan,HUN,2,284,68.0%,32.0%,9,6.6%,5,3.6%,67.2%,69.6%,44.4%,61.3%,16,50.0%,42.2%,17,47.1%,51.4%,1.09,
20,Sebastian Baez,ARG,2,659,75.0%,33.3%,12,3.6%,3,0.9%,76.7%,61.8%,55.8%,60.4%,30,60.0%,43.3%,33,48.5%,51.9%,1.09,
,Corentin Moutet,FRA,4,816,71.2%,38.5%,10,2.5%,3,0.7%,68.8%,65.4%,48.0%,60.0%,43,55.8%,43.8%,47,53.2%,51.8%,1.09,
31,Mariano Navone,ARG,2,496,58.3%,50.0%,9,3.9%,8,3.4%,79.8%,52.7%,57.4%,53.6%,28,46.4%,50.2%,36,50.0%,51.8%,1.08,
26,Tallon Griekspoor,NED,3,718,78.6%,28.6%,29,8.0%,18,5.0%,63.8%,65.4%,57.3%,62.4%,37,67.6%,40.2%,31,51.6%,51.4%,1.07,
,Stan Wawrinka,SUI,2,428,88.2%,28.6%,6,2.8%,2,0.9%,54.2%,72.6%,57.6%,65.7%,9,55.6%,36.3%,25,40.0%,51.2%,1.06,
12,Taylor Fritz,USA,4,992,83.8%,27.6%,55,10.3%,15,2.8%,60.6%,76.2%,45.5%,64.1%,43,69.8%,38.1%,40,52.5%,52.1%,1.06,
,Zhizhen Zhang,CHN,3,642,80.8%,19.2%,37,11.9%,5,1.6%,60.9%,76.3%,50.0%,66.0%,17,41.2%,35.8%,23,43.5%,50.5%,1.05,
13,Holger Rune,DEN,4,1030,81.0%,23.8%,26,5.0%,20,3.9%,55.2%,70.9%,54.5%,63.6%,43,65.1%,38.1%,51,37.3%,50.9%,1.05,
WC,Alexandre Muller,FRA,2,354,57.7%,42.3%,5,3.0%,5,3.0%,62.4%,58.3%,45.2%,53.3%,24,54.2%,48.7%,31,35.5%,50.8%,1.04,
,Jaume Munar,ESP,2,415,68.8%,32.3%,5,2.4%,15,7.3%,60.7%,65.6%,46.9%,58.3%,24,58.3%,43.5%,23,43.5%,50.8%,1.04,
,Luciano Darderi,ITA,2,395,83.3%,18.5%,14,7.3%,7,3.6%,61.1%,71.2%,54.7%,64.8%,11,54.5%,36.6%,23,21.7%,50.4%,1.04,
,Thanasi Kokkinakis,AUS,3,924,80.8%,16.2%,31,7.1%,11,2.5%,63.2%,72.4%,53.8%,65.5%,30,53.3%,36.0%,32,37.5%,49.9%,1.04,
,Alejandro Davidovich Fokina,ESP,2,537,83.7%,23.8%,11,3.8%,6,2.1%,71.0%,66.0%,56.6%,63.3%,19,63.2%,37.8%,23,43.5%,51.4%,1.03,
,David Goffin,BEL,2,484,81.6%,17.5%,13,5.4%,11,4.6%,55.4%,77.4%,52.3%,66.3%,13,46.2%,34.8%,19,36.8%,50.4%,1.03,
,Daniel Altmaier,GER,2,644,79.2%,14.3%,21,7.0%,9,3.0%,66.7%,70.0%,51.0%,63.7%,22,54.5%,37.2%,18,38.9%,49.5%,1.02,
,Aslan Karatsev,RUS,1,291,59.1%,38.1%,1,0.8%,3,2.3%,68.5%,66.3%,31.7%,55.4%,15,40.0%,45.3%,22,36.4%,49.8%,1.02,
,Arthur Rinderknech,FRA,2,422,81.3%,19.4%,15,7.4%,4,2.0%,65.2%,71.4%,49.3%,63.7%,13,53.8%,37.2%,24,25.0%,50.0%,1.02,
32,Cameron Norrie,GBR,1,305,75.0%,20.8%,1,0.7%,3,2.0%,60.8%,74.2%,41.7%,61.4%,18,66.7%,38.8%,11,45.5%,50.2%,1.01,
,Marcos Giron,USA,1,301,77.3%,23.8%,9,5.9%,2,1.3%,62.5%,69.5%,47.4%,61.2%,17,70.6%,38.9%,15,33.3%,50.2%,1.00,
,Maximilian Marterer,GER,2,352,75.9%,33.3%,8,4.5%,4,2.2%,60.1%,65.4%,54.9%,61.2%,13,46.2%,38.5%,25,36.0%,50.0%,0.99,
,Gael Monfils,FRA,2,382,71.9%,24.2%,13,7.5%,9,5.2%,64.7%,73.2%,41.0%,61.8%,17,47.1%,37.8%,20,40.0%,48.7%,0.99,
,Lorenzo Sonego,ITA,2,478,78.4%,18.4%,15,6.4%,9,3.8%,66.5%,70.1%,50.6%,63.6%,17,52.9%,35.5%,20,35.0%,49.4%,0.98,
27,Sebastian Korda,USA,3,643,79.2%,24.5%,20,6.0%,8,2.4%,61.3%,66.0%,51.6%,60.4%,26,61.5%,38.8%,26,46.2%,49.9%,0.98,
,Dusan Lajovic,SRB,2,562,73.3%,26.1%,4,1.4%,3,1.1%,67.6%,64.7%,53.8%,61.2%,30,60.0%,37.7%,22,54.5%,49.5%,0.97,
,Denis Shapovalov,CAN,3,689,90.4%,18.5%,34,9.6%,21,5.9%,61.7%,68.5%,61.0%,65.6%,32,84.4%,33.2%,25,40.0%,49.9%,0.97,
,Alexander Shevchenko,KAZ,2,499,62.2%,35.9%,16,6.2%,6,2.3%,55.2%,60.1%,48.3%,54.8%,32,56.3%,43.8%,26,53.8%,49.5%,0.97,
Q,Henri Squire,GER,2,525,70.7%,26.2%,15,5.8%,11,4.2%,61.9%,71.4%,45.5%,61.5%,24,50.0%,36.6%,21,52.4%,49.0%,0.95,
Q,Jesper De Jong,NED,2,539,65.1%,32.6%,13,4.7%,13,4.7%,53.6%,65.1%,48.8%,57.6%,29,48.3%,40.2%,22,63.6%,49.2%,0.95,
,Sebastian Ofner,AUT,3,876,69.6%,25.7%,18,4.0%,9,2.0%,62.6%,63.6%,53.8%,60.0%,45,53.3%,38.0%,39,46.2%,49.3%,0.95,
25,Frances Tiafoe,USA,2,589,84.4%,11.4%,15,5.0%,6,2.0%,64.4%,59.9%,73.6%,64.8%,17,58.8%,33.0%,33,15.2%,49.1%,0.94,
,Fabio Fognini,ITA,2,288,60.9%,33.3%,1,0.7%,7,4.7%,58.7%,59.1%,50.0%,55.3%,18,50.0%,42.0%,14,57.1%,49.0%,0.94,
,Luca Van Assche,FRA,1,168,78.6%,0.0%,1,1.3%,1,1.3%,57.9%,72.7%,62.5%,68.4%,6,50.0%,29.3%,3,0.0%,47.0%,0.93,
