Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,1,(1)Novak Djokovic[SRB] [yr|ev],d.,2,(2)Roger Federer[SUI] [yr|ev],6-4 5-7 6-4 6-4,0.98,1.9%,61.9%,65.6%,54.2%,19/23,8.0%,63.5%,71.3%,46.0%,7/13,3:20,1
SF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,9,(9)Marin Cilic[CRO] [yr|ev],6-0 6-1 6-2,2.61,5.4%,66.1%,75.7%,78.9%,0/1,6.1%,45.5%,60.0%,22.2%,6/14,,1
SF,2,(2)Roger Federer[SUI] [yr|ev],d.,5,(5)Stan Wawrinka[SUI] [yr|ev],6-4 6-3 6-1,1.78,13.0%,64.9%,80.0%,63.0%,4/4,7.7%,48.7%,57.9%,50.0%,6/11,,1
QF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,19,(18)Feliciano Lopez[ESP] [yr|ev],6-1 3-6 6-3 7-6(2),1.26,7.7%,58.1%,76.5%,67.3%,5/6,11.2%,51.7%,76.7%,53.6%,5/8,,1
QF,9,(9)Marin Cilic[CRO] [yr|ev],d.,18,(19)Jo-Wilfried Tsonga[FRA] [yr|ev],6-4 6-4 3-6 6-7(3) 6-4,1.20,18.5%,58.0%,78.0%,65.2%,9/10,8.0%,60.2%,73.6%,57.1%,11/14,,3
QF,5,(5)Stan Wawrinka[SUI] [yr|ev],d.,14,(15)Kevin Anderson[RSA] [yr|ev],6-4 6-4 6-0,2.23,9.1%,48.5%,93.8%,67.6%,1/1,14.6%,57.3%,70.2%,37.1%,3/8,,3
QF,2,(2)Roger Federer[SUI] [yr|ev],d.,12,(12)Richard Gasquet[FRA] [yr|ev],6-3 6-3 6-1,2.04,22.9%,75.7%,86.8%,47.1%,0/0,1.4%,60.3%,61.4%,41.4%,8/13,,1
R16,1,(1)Novak Djokovic[SRB] [yr|ev],d.,23,(23)Roberto Bautista Agut[ESP] [yr|ev],6-3 4-6 6-4 6-3,1.21,6.5%,61.0%,69.3%,52.1%,4/8,3.4%,59.0%,58.0%,50.0%,7/14,,1
R16,19,(18)Feliciano Lopez[ESP] [yr|ev],d.,32,(32)Fabio Fognini[ITA] [yr|ev],6-3 7-6(5) 6-1,1.50,6.7%,55.1%,81.6%,62.5%,4/5,9.5%,60.7%,58.8%,60.6%,3/7,,12
R16,18,(19)Jo-Wilfried Tsonga[FRA] [yr|ev],d.,41,Benoit Paire[FRA] [yr|ev],6-4 6-3 6-4,2.10,13.5%,59.5%,88.6%,73.3%,0/0,9.5%,45.2%,63.2%,63.0%,4/7,,5
R16,9,(9)Marin Cilic[CRO] [yr|ev],d.,27,(27)Jeremy Chardy[FRA] [yr|ev],6-3 2-6 7-6(2) 6-1,1.17,19.7%,58.1%,83.8%,49.0%,5/7,11.3%,56.7%,80.0%,42.9%,2/5,,3
R16,5,(5)Stan Wawrinka[SUI] [yr|ev],d.,68,Donald Young[USA] [yr|ev],6-4 1-6 6-3 6-4,1.11,9.8%,52.0%,81.1%,53.1%,3/6,3.3%,58.7%,70.4%,55.3%,0/4,,3
R16,14,(15)Kevin Anderson[RSA] [yr|ev],d.,3,(3)Andy Murray[GBR] [yr|ev],7-6(5) 6-3 6-7(2) 7-6(0),1.08,15.2%,64.3%,79.1%,41.0%,8/11,12.8%,58.8%,75.9%,44.3%,5/9,,5
R16,12,(12)Richard Gasquet[FRA] [yr|ev],d.,6,(6)Tomas Berdych[CZE] [yr|ev],2-6 6-3 6-4 6-1,1.25,11.4%,64.8%,75.0%,54.1%,6/8,11.5%,58.7%,67.2%,48.8%,5/10,,7
R16,2,(2)Roger Federer[SUI] [yr|ev],d.,13,(13)John Isner[USA] [yr|ev],7-6(0) 7-6(6) 7-5,1.67,11.7%,58.6%,83.1%,71.7%,5/5,12.8%,68.4%,69.2%,52.4%,9/10,,1
R32,1,(1)Novak Djokovic[SRB] [yr|ev],d.,25,(25)Andreas Seppi[ITA] [yr|ev],6-3 7-5 7-5,1.33,12.1%,67.0%,77.0%,56.7%,5/7,4.6%,54.1%,67.8%,52.0%,7/12,,1
R32,23,(23)Roberto Bautista Agut[ESP] [yr|ev],d.,15,(14)David Goffin[BEL] [yr|ev],2-6 5-7 6-3 3-1 RET,0.97,8.7%,44.7%,71.7%,54.4%,3/6,10.7%,59.2%,77.0%,42.9%,6/10,,9
R32,19,(18)Feliciano Lopez[ESP] [yr|ev],d.,10,(10)Milos Raonic[CAN] [yr|ev],6-2 7-6(4) 6-3,1.49,16.8%,66.3%,81.0%,59.4%,4/4,10.9%,57.3%,71.4%,46.8%,10/13,,12
R32,32,(32)Fabio Fognini[ITA] [yr|ev],d.,8,(8)Rafael Nadal[ESP] [yr|ev],3-6 4-6 6-4 6-3 6-4,0.98,1.2%,61.1%,62.7%,47.7%,11/19,3.6%,66.9%,67.7%,37.0%,7/16,,9
R32,41,Benoit Paire[FRA] [yr|ev],d.,26,(26)Tommy Robredo[ESP] [yr|ev],7-6(3) 6-1 6-1,1.33,10.3%,45.3%,75.5%,57.8%,10/10,1.0%,62.1%,60.9%,43.6%,9/14,,18
R32,18,(19)Jo-Wilfried Tsonga[FRA] [yr|ev],d.,60,Sergiy Stakhovsky[UKR] [yr|ev],6-3 7-5 6-2,1.85,16.9%,68.7%,80.7%,69.2%,2/2,1.9%,59.4%,66.7%,44.2%,10/14,,5
R32,9,(9)Marin Cilic[CRO] [yr|ev],d.,56,Mikhail Kukushkin[KAZ] [yr|ev],6-7(5) 7-6(1) 6-3 6-7(3) 6-1,1.40,16.7%,53.2%,84.3%,54.8%,5/9,5.9%,46.5%,69.0%,50.0%,13/20,,3
R32,27,(27)Jeremy Chardy[FRA] [yr|ev],d.,7,(7)David Ferrer[ESP] [yr|ev],7-6(6) 4-6 6-3 6-1,1.18,8.9%,63.4%,70.4%,46.3%,3/8,0.9%,64.6%,61.6%,42.5%,4/12,,25
R32,5,(5)Stan Wawrinka[SUI] [yr|ev],d.,107,Ruben Bemelmans[BEL] [yr|ev],6-3 7-6(5) 6-4,1.20,7.8%,45.1%,80.4%,55.4%,8/11,5.0%,58.0%,65.5%,52.4%,6/12,,3
R32,68,Donald Young[USA] [yr|ev],d.,22,(22)Viktor Troicki[SRB] [yr|ev],4-6 0-6 7-6(3) 6-2 6-4,1.03,4.5%,59.9%,69.1%,50.8%,10/16,8.7%,66.9%,71.3%,38.6%,17/22,,38
R32,14,(15)Kevin Anderson[RSA] [yr|ev],d.,20,(20)Dominic Thiem[AUT] [yr|ev],6-3 7-6(3) 7-6(3),1.16,14.0%,66.7%,78.9%,63.2%,5/5,3.8%,51.4%,81.5%,56.9%,4/5,,5
R32,3,(3)Andy Murray[GBR] [yr|ev],d.,30,(30)Thomaz Bellucci[BRA] [yr|ev],6-3 6-2 7-5,1.41,7.0%,61.6%,81.1%,51.5%,1/2,3.2%,63.8%,65.0%,44.1%,8/13,,1
R32,6,(6)Tomas Berdych[CZE] [yr|ev],d.,31,(31)Guillermo Garcia Lopez[ESP] [yr|ev],6-7(2) 7-6(7) 6-3 6-3,1.29,8.5%,53.5%,79.7%,55.0%,3/6,6.9%,50.9%,75.3%,42.3%,8/14,,4
R32,12,(12)Richard Gasquet[FRA] [yr|ev],d.,24,(24)Bernard Tomic[AUS] [yr|ev],6-4 6-3 6-1,3.34,13.3%,73.3%,90.9%,75.0%,0/0,9.8%,67.4%,64.5%,36.7%,11/16,,7
R32,13,(13)John Isner[USA] [yr|ev],d.,48,Jiri Vesely[CZE] [yr|ev],6-3 6-4 RET,1.66,36.2%,63.8%,86.5%,52.4%,6/6,0.0%,63.9%,67.4%,38.5%,7/9,,8
R32,2,(2)Roger Federer[SUI] [yr|ev],d.,29,(29)Philipp Kohlschreiber[GER] [yr|ev],6-3 6-4 6-4,1.03,6.0%,60.2%,72.0%,54.5%,2/4,1.4%,61.1%,70.5%,53.6%,3/8,,1
R64,1,(1)Novak Djokovic[SRB] [yr|ev],d.,52,Andreas Haider Maurer[AUT] [yr|ev],6-4 6-1 6-2,2.55,7.8%,65.6%,83.3%,77.3%,0/0,4.3%,46.4%,59.4%,45.9%,5/10,,1
R64,25,(25)Andreas Seppi[ITA] [yr|ev],d.,53,Teymuraz Gabashvili[RUS] [yr|ev],3-6 6-3 7-6(3) 6-1,1.24,17.8%,51.7%,82.0%,50.9%,2/6,6.0%,61.5%,69.4%,42.2%,8/14,,18
R64,23,(23)Roberto Bautista Agut[ESP] [yr|ev],d.,54,Pablo Carreno Busta[ESP] [yr|ev],4-6 6-4 6-0 2-6 6-4,1.01,5.6%,59.6%,64.6%,47.7%,10/16,13.2%,44.2%,78.9%,40.3%,5/13,,9
R64,15,(14)David Goffin[BEL] [yr|ev],d.,78,Ricardas Berankis[LTU] [yr|ev],5-7 6-4 3-6 6-2 6-1,1.33,15.8%,48.2%,89.6%,51.4%,6/9,8.1%,53.5%,67.4%,51.2%,23/29,,7
R64,10,(10)Milos Raonic[CAN] [yr|ev],d.,42,Fernando Verdasco[ESP] [yr|ev],6-2 6-4 6-7(5) 7-6(1),1.32,12.6%,61.4%,80.8%,67.3%,4/4,11.8%,66.9%,72.9%,57.1%,4/7,,3
R64,19,(18)Feliciano Lopez[ESP] [yr|ev],d.,581,Mardy Fish[USA] [yr|ev],2-6 6-3 1-6 7-5 6-3,0.97,15.0%,57.1%,71.4%,44.4%,12/18,8.9%,55.3%,75.0%,43.6%,2/7,,12
R64,32,(32)Fabio Fognini[ITA] [yr|ev],d.,40,Pablo Cuevas[URU] [yr|ev],6-3 6-4 6-4,1.44,5.9%,58.8%,82.0%,57.1%,4/5,4.4%,64.8%,62.7%,53.1%,7/11,,9
R64,8,(8)Rafael Nadal[ESP] [yr|ev],d.,74,Diego Schwartzman[ARG] [yr|ev],7-6(5) 6-3 7-5,1.46,8.3%,67.7%,75.4%,51.6%,5/8,2.4%,60.2%,58.1%,44.9%,6/12,,1
R64,41,Benoit Paire[FRA] [yr|ev],d.,84,Marsel Ilhan[TUR] [yr|ev],6-3 3-6 6-4 6-3,1.31,9.3%,49.5%,83.0%,55.6%,4/7,5.0%,61.3%,69.9%,43.5%,2/7,,18
