Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,1,(1)Rafael Nadal[ESP] [yr|ev],d.,32,(28)Kevin Anderson[RSA] [yr|ev],6-3 6-3 6-4,2.00,1.4%,62.5%,84.4%,70.4%,0/0,9.3%,59.3%,73.4%,36.4%,5/9,2:27,1
SF,1,(1)Rafael Nadal[ESP] [yr|ev],d.,28,(24)Juan Martin del Potro[ARG] [yr|ev],4-6 6-0 6-3 6-2,1.77,5.6%,72.2%,76.9%,72.0%,1/2,7.4%,66.3%,71.4%,28.1%,7/13,2:30,1
SF,32,(28)Kevin Anderson[RSA] [yr|ev],d.,19,(12)Pablo Carreno Busta[ESP] [yr|ev],4-6 7-5 6-3 6-4,1.77,21.4%,68.9%,83.1%,65.6%,2/4,0.7%,70.8%,63.7%,52.4%,10/14,2:55,5
QF,1,(1)Rafael Nadal[ESP] [yr|ev],d.,53,Andrey Rublev[RUS] [yr|ev],6-1 6-2 6-2,2.16,6.3%,68.3%,83.7%,55.0%,3/4,1.2%,62.2%,54.9%,29.0%,11/18,1:36,1
QF,28,(24)Juan Martin del Potro[ARG] [yr|ev],d.,3,(3)Roger Federer[SUI] [yr|ev],7-5 3-6 7-6(8) 6-4,1.18,10.1%,67.2%,81.3%,51.3%,1/3,12.4%,61.3%,72.6%,56.6%,3/6,2:50,3
QF,32,(28)Kevin Anderson[RSA] [yr|ev],d.,21,(17)Sam Querrey[USA] [yr|ev],7-6(5) 6-7(9) 6-3 7-6(7),1.22,15.0%,67.3%,81.8%,60.4%,1/2,13.1%,54.9%,81.0%,55.1%,4/6,3:26,5
QF,19,(12)Pablo Carreno Busta[ESP] [yr|ev],d.,33,(29)Diego Schwartzman[ARG] [yr|ev],6-4 6-4 6-2,1.35,7.2%,63.9%,64.5%,62.9%,8/10,5.6%,62.5%,62.2%,33.3%,2/8,1:59,10
R16,1,(1)Rafael Nadal[ESP] [yr|ev],d.,64,Alexandr Dolgopolov[UKR] [yr|ev],6-2 6-4 6-1,2.32,6.3%,69.8%,81.8%,78.9%,2/2,8.1%,59.3%,64.7%,42.9%,7/13,1:41,1
R16,53,Andrey Rublev[RUS] [yr|ev],d.,14,(9)David Goffin[BEL] [yr|ev],7-5 7-6(5) 6-3,1.28,12.2%,57.1%,82.1%,47.6%,1/3,6.7%,55.0%,68.2%,46.3%,3/8,2:05,5
R16,3,(3)Roger Federer[SUI] [yr|ev],d.,37,(33)Philipp Kohlschreiber[GER] [yr|ev],6-4 6-2 7-5,2.34,14.7%,65.3%,87.8%,73.1%,0/0,4.2%,57.3%,67.3%,48.8%,3/7,1:49,1
R16,28,(24)Juan Martin del Potro[ARG] [yr|ev],d.,8,(6)Dominic Thiem[AUT] [yr|ev],1-6 2-6 6-1 7-6(1) 6-4,1.00,6.6%,57.4%,64.1%,56.9%,6/12,3.5%,63.2%,62.6%,58.5%,11/16,3:35,3
R16,21,(17)Sam Querrey[USA] [yr|ev],d.,27,(23)Mischa Zverev[GER] [yr|ev],6-2 6-2 6-1,2.21,29.0%,61.3%,92.1%,54.2%,0/0,7.5%,63.7%,56.9%,37.9%,6/12,1:16,11
R16,32,(28)Kevin Anderson[RSA] [yr|ev],d.,40,Paolo Lorenzi[ITA] [yr|ev],6-4 6-3 6-7(4) 6-4,1.56,16.8%,65.4%,84.3%,62.2%,0/2,4.8%,51.6%,73.8%,52.5%,4/9,2:57,5
R16,19,(12)Pablo Carreno Busta[ESP] [yr|ev],d.,69,(Q)Denis Shapovalov[CAN] [yr|ev],7-6(2) 7-6(4) 7-6(3),1.00,0.8%,62.4%,68.7%,60.0%,10/13,6.7%,59.7%,81.7%,41.7%,6/9,2:54,10
R16,33,(29)Diego Schwartzman[ARG] [yr|ev],d.,20,(16)Lucas Pouille[FRA] [yr|ev],7-6(3) 7-5 2-6 6-2,1.02,6.6%,62.5%,63.5%,52.9%,8/14,13.5%,63.1%,68.6%,41.5%,2/9,2:35,8
R32,1,(1)Rafael Nadal[ESP] [yr|ev],d.,59,(LL)Leonardo Mayer[ARG] [yr|ev],6-7(3) 6-3 6-1 6-4,1.44,3.7%,67.9%,73.0%,68.6%,2/3,7.9%,62.9%,60.0%,57.1%,19/25,3:15,1
R32,64,Alexandr Dolgopolov[UKR] [yr|ev],d.,52,Viktor Troicki[SRB] [yr|ev],6-1 6-0 6-4,1.71,4.0%,49.3%,81.1%,55.3%,3/4,4.8%,48.4%,50.0%,40.6%,3/10,1:22,13
R32,14,(9)David Goffin[BEL] [yr|ev],d.,22,(18)Gael Monfils[FRA] [yr|ev],7-5 5-1 RET,1.51,0.0%,60.4%,81.3%,57.1%,2/2,1.6%,44.3%,66.7%,50.0%,2/5,1:15,7
R32,53,Andrey Rublev[RUS] [yr|ev],d.,56,Damir Dzumhur[BIH] [yr|ev],6-4 6-4 5-7 6-4,1.05,4.7%,61.5%,60.4%,49.1%,13/20,4.0%,65.9%,60.2%,41.9%,6/15,2:46,5
R32,3,(3)Roger Federer[SUI] [yr|ev],d.,35,(31)Feliciano Lopez[ESP] [yr|ev],6-3 6-3 7-5,1.48,15.5%,54.8%,84.8%,57.9%,5/6,9.9%,53.8%,77.6%,38.1%,7/12,1:46,1
R32,37,(33)Philipp Kohlschreiber[GER] [yr|ev],d.,235,John Millman[AUS] [yr|ev],7-5 6-2 6-4,1.35,5.2%,55.7%,83.3%,48.8%,5/6,1.8%,61.3%,63.2%,46.5%,8/13,2:20,16
