Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,4,(3)Andy Murray[GBR] [yr|ev],d.,2,(2)Novak Djokovic[SRB] [yr|ev],7-6(10) 7-5 2-6 3-6 6-2,1.05,3.3%,66.0%,62.6%,47.1%,9/18,4.2%,62.4%,63.1%,41.9%,8/15,4:54,1
SF,4,(3)Andy Murray[GBR] [yr|ev],d.,7,(6)Tomas Berdych[CZE] [yr|ev],5-7 6-2 6-1 7-6(7),1.42,4.3%,73.9%,72.9%,56.7%,3/6,3.8%,61.4%,59.8%,49.2%,15/22,3:58,1
SF,2,(2)Novak Djokovic[SRB] [yr|ev],d.,5,(4)David Ferrer[ESP] [yr|ev],2-6 6-1 6-4 6-2,1.29,6.9%,59.4%,71.7%,58.5%,4/7,2.2%,59.8%,63.6%,45.9%,3/9,2:32,1
QF,7,(6)Tomas Berdych[CZE] [yr|ev],d.,1,(1)Roger Federer[SUI] [yr|ev],7-6(1) 6-4 3-6 6-3,1.20,12.7%,59.1%,80.0%,51.1%,2/6,6.1%,63.5%,71.2%,45.2%,6/11,2:42,4
QF,4,(3)Andy Murray[GBR] [yr|ev],d.,13,(12)Marin Cilic[CRO] [yr|ev],3-6 7-6(4) 6-2 6-0,1.23,10.0%,55.5%,70.5%,49.0%,5/9,2.5%,52.1%,67.7%,35.1%,11/19,3:00,1
QF,5,(4)David Ferrer[ESP] [yr|ev],d.,9,(8)Janko Tipsarevic[SRB] [yr|ev],6-3 6-7(5) 2-6 6-3 7-6(4),1.12,8.9%,62.5%,69.5%,66.7%,3/6,6.1%,57.9%,67.4%,60.9%,11/16,4:31,3
QF,2,(2)Novak Djokovic[SRB] [yr|ev],d.,8,(7)Juan Martin del Potro[ARG] [yr|ev],6-2 7-6(3) 6-4,1.48,8.0%,56.8%,84.0%,55.3%,2/3,6.7%,65.5%,65.4%,43.9%,9/13,3:06,1
R16,1,(1)Roger Federer[SUI] [yr|ev],d.,25,(23)Mardy Fish[USA] [yr|ev],W/O,,,,,,,,,,,,,1
R16,7,(6)Tomas Berdych[CZE] [yr|ev],d.,12,(11)Nicolas Almagro[ESP] [yr|ev],7-6(4) 6-4 6-1,1.81,21.3%,61.3%,89.8%,61.3%,2/2,9.4%,44.8%,74.4%,50.9%,5/9,2:00,4
R16,4,(3)Andy Murray[GBR] [yr|ev],d.,16,(15)Milos Raonic[CAN] [yr|ev],6-4 6-4 6-2,1.83,12.0%,64.0%,87.5%,59.3%,0/0,16.1%,70.1%,70.5%,30.8%,8/12,2:00,1
R16,13,(12)Marin Cilic[CRO] [yr|ev],d.,52,Martin Klizan[SVK] [yr|ev],7-5 6-4 6-0,1.32,8.3%,57.1%,72.9%,52.8%,5/7,6.0%,55.4%,58.7%,45.9%,3/10,2:03,3
R16,9,(8)Janko Tipsarevic[SRB] [yr|ev],d.,20,(19)Philipp Kohlschreiber[GER] [yr|ev],6-3 7-6(5) 6-2,1.48,10.6%,56.4%,81.1%,58.5%,5/6,11.3%,60.4%,70.3%,38.1%,3/7,2:23,8
