Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,1,(1)Roger Federer[SUI] [yr|ev],d.,7,(7)Andre Agassi[USA] [yr|ev],6-3 2-6 7-6(1) 6-1,1.45,17.8%,75.7%,74.1%,57.7%,3/6,4.6%,59.5%,57.7%,54.7%,14/18,2:19,1
SF,1,(1)Roger Federer[SUI] [yr|ev],d.,4,(3)Lleyton Hewitt[AUS] [yr|ev],6-3 7-6(0) 4-6 6-3,1.17,5.3%,60.7%,68.1%,57.6%,10/13,4.3%,49.3%,76.8%,39.4%,11/15,2:58,1
SF,7,(7)Andre Agassi[USA] [yr|ev],d.,46,Robby Ginepri[USA] [yr|ev],6-4 5-7 6-3 4-6 6-3,1.09,11.2%,57.9%,76.1%,53.1%,12/16,10.8%,62.7%,66.7%,57.6%,7/13,2:44,1
QF,1,(1)Roger Federer[SUI] [yr|ev],d.,11,(11)David Nalbandian[ARG] [yr|ev],6-2 6-4 6-1,1.69,14.9%,54.1%,80.0%,52.9%,3/5,0.0%,56.0%,54.8%,33.3%,4/11,1:39,1
QF,4,(3)Lleyton Hewitt[AUS] [yr|ev],d.,57,Jarkko Nieminen[FIN] [yr|ev],2-6 6-1 3-6 6-3 6-1,1.35,5.5%,59.6%,81.5%,52.3%,4/7,5.9%,64.4%,63.2%,52.1%,11/17,2:24,1
QF,46,Robby Ginepri[USA] [yr|ev],d.,8,(8)Guillermo Coria[ARG] [yr|ev],4-6 6-1 7-5 3-6 7-5,1.03,6.2%,61.6%,71.1%,48.2%,3/9,7.5%,59.2%,67.8%,51.7%,12/20,3:01,15
QF,7,(7)Andre Agassi[USA] [yr|ev],d.,49,(WC)James Blake[USA] [yr|ev],3-6 3-6 6-3 6-3 7-6(6),1.04,6.7%,64.4%,63.8%,53.4%,10/17,12.3%,58.7%,65.9%,48.4%,6/13,2:50,1
R16,1,(1)Roger Federer[SUI] [yr|ev],d.,38,Nicolas Kiefer[GER] [yr|ev],6-4 6-7(3) 6-3 6-4,1.15,5.3%,60.9%,71.6%,59.6%,4/6,9.2%,54.2%,73.2%,48.3%,6/11,3:00,1
R16,11,(11)David Nalbandian[ARG] [yr|ev],d.,59,Davide Sanguinetti[ITA] [yr|ev],4-6 7-6(4) 6-4 6-2,1.08,6.0%,59.4%,73.4%,48.1%,6/9,4.3%,58.7%,64.2%,54.4%,9/14,2:57,3
R16,4,(3)Lleyton Hewitt[AUS] [yr|ev],d.,17,(15)Dominik Hrbaty[SVK] [yr|ev],6-1 6-4 6-2,1.56,14.3%,57.1%,75.0%,47.2%,3/6,2.8%,53.5%,55.3%,27.3%,4/12,1:33,1
R16,57,Jarkko Nieminen[FIN] [yr|ev],d.,48,Fernando Verdasco[ESP] [yr|ev],6-2 7-6(6) 6-3,1.29,1.0%,66.0%,71.2%,67.6%,2/2,8.6%,72.0%,67.2%,46.2%,5/8,1:49,13
R16,8,(8)Guillermo Coria[ARG] [yr|ev],d.,58,Nicolas Massu[CHI] [yr|ev],6-4 2-6 6-7(5) 6-2 6-2,1.21,5.4%,60.8%,68.9%,51.7%,3/9,2.9%,54.3%,62.1%,45.0%,18/27,4:32,3
R16,46,Robby Ginepri[USA] [yr|ev],d.,13,(13)Richard Gasquet[FRA] [yr|ev],6-3 3-6 6-7(8) 6-4 6-0,1.28,10.6%,64.5%,75.8%,58.0%,3/5,2.5%,71.4%,60.0%,63.0%,10/16,2:57,15
R16,7,(7)Andre Agassi[USA] [yr|ev],d.,54,Xavier Malisse[BEL] [yr|ev],6-3 6-4 6-7(5) 4-6 6-2,1.11,7.5%,63.9%,75.5%,54.7%,4/6,17.1%,57.9%,71.6%,54.7%,7/12,2:54,1
R16,49,(WC)James Blake[USA] [yr|ev],d.,20,(19)Tommy Robredo[ESP] [yr|ev],4-6 7-5 6-2 6-3,1.43,4.6%,58.7%,76.6%,57.8%,3/6,2.4%,61.8%,61.8%,44.7%,8/15,2:20,4
R32,1,(1)Roger Federer[SUI] [yr|ev],d.,29,(27)Olivier Rochus[BEL] [yr|ev],6-3 7-6(6) 6-2,1.51,10.5%,69.5%,84.8%,44.8%,1/2,2.1%,63.9%,61.3%,54.3%,4/8,1:54,1
R32,38,Nicolas Kiefer[GER] [yr|ev],d.,91,(Q)Arnaud Clement[FRA] [yr|ev],6-4 6-7(5) 6-4 6-1,1.32,15.4%,57.7%,78.9%,50.0%,4/7,4.1%,56.1%,66.7%,42.6%,5/12,3:07,4
R32,11,(11)David Nalbandian[ARG] [yr|ev],d.,23,(21)Fernando Gonzalez[CHI] [yr|ev],7-5 6-3 6-0,1.50,5.6%,65.6%,71.2%,58.1%,7/9,3.5%,45.3%,59.0%,42.6%,5/12,1:54,3
R32,59,Davide Sanguinetti[ITA] [yr|ev],d.,51,Paradorn Srichaphan[THA] [yr|ev],6-3 4-6 6-7(2) 7-6(6) 7-6(5),1.07,4.7%,67.0%,71.1%,47.6%,11/17,6.0%,56.5%,70.2%,48.8%,7/14,4:23,42
R32,4,(3)Lleyton Hewitt[AUS] [yr|ev],d.,27,(25)Taylor Dent[USA] [yr|ev],6-3 3-6 6-7(2) 6-2 7-5,1.11,4.3%,49.7%,73.8%,50.6%,4/9,12.1%,54.1%,70.6%,43.1%,8/16,3:20,1
R32,17,(15)Dominik Hrbaty[SVK] [yr|ev],d.,15,(17)David Ferrer[ESP] [yr|ev],6-7(7) 7-5 7-5 7-5,1.27,9.4%,55.1%,78.9%,51.6%,3/7,1.8%,62.9%,62.6%,49.2%,13/20,3:07,12
R32,48,Fernando Verdasco[ESP] [yr|ev],d.,97,Novak Djokovic[SRB] [yr|ev],6-1 4-6 6-7(2) 6-4 6-4,1.19,8.8%,60.8%,76.7%,50.0%,7/11,3.2%,68.8%,62.3%,54.2%,6/14,3:04,7
R32,57,Jarkko Nieminen[FIN] [yr|ev],d.,32,(30)Max Mirnyi[BLR] [yr|ev],6-3 7-6(5) 3-6 6-3,1.26,2.6%,75.7%,74.7%,67.9%,4/5,16.7%,63.6%,71.4%,56.3%,9/12,2:26,13
R32,8,(8)Guillermo Coria[ARG] [yr|ev],d.,42,Robin Soderling[SWE] [yr|ev],6-2 6-7(4) 6-1 6-4,1.35,7.0%,74.2%,71.6%,57.6%,3/3,9.6%,63.0%,66.3%,40.7%,7/12,2:41,3
R32,58,Nicolas Massu[CHI] [yr|ev],d.,62,Stan Wawrinka[SUI] [yr|ev],6-4 6-3 6-0,1.32,1.0%,62.2%,65.6%,51.4%,12/14,5.0%,57.5%,50.0%,44.1%,5/13,2:24,9
R32,13,(13)Richard Gasquet[FRA] [yr|ev],d.,19,(18)Ivan Ljubicic[CRO] [yr|ev],3-6 7-6(6) 6-7(7) 6-3 6-2,1.05,3.5%,72.7%,72.0%,46.8%,7/10,12.7%,61.4%,67.6%,56.3%,8/13,3:47,7
R32,46,Robby Ginepri[USA] [yr|ev],d.,31,(29)Tommy Haas[GER] [yr|ev],7-5 6-7(3) 6-4 2-6 6-3,0.98,12.3%,56.4%,71.7%,50.7%,9/14,6.0%,53.3%,70.0%,55.7%,7/13,3:18,15
R32,7,(7)Andre Agassi[USA] [yr|ev],d.,34,(32)Tomas Berdych[CZE] [yr|ev],3-6 6-1 6-4 7-6(2),1.05,10.5%,56.4%,68.0%,60.3%,5/7,9.1%,59.5%,69.4%,53.1%,5/9,2:29,1
R32,54,Xavier Malisse[BEL] [yr|ev],d.,26,(24)Mikhail Youzhny[RUS] [yr|ev],5-7 1-6 6-1 7-5 7-6(1),1.05,9.2%,61.2%,77.4%,47.5%,7/12,4.0%,48.7%,71.2%,57.1%,9/14,2:57,19
R32,20,(19)Tommy Robredo[ESP] [yr|ev],d.,35,Sebastien Grosjean[FRA] [yr|ev],6-4 7-5 6-7(3) 7-6(3),1.09,4.6%,66.2%,73.0%,60.8%,6/8,4.8%,50.3%,78.1%,54.2%,4/8,3:21,5
R32,49,(WC)James Blake[USA] [yr|ev],d.,2,(2)Rafael Nadal[ESP] [yr|ev],6-4 4-6 6-3 6-1,1.31,8.7%,64.3%,75.7%,51.2%,8/10,2.9%,77.5%,60.8%,43.5%,1/7,2:25,4
R64,1,(1)Roger Federer[SUI] [yr|ev],d.,76,Fabrice Santoro[FRA] [yr|ev],7-5 7-5 7-6(2),1.39,8.1%,68.5%,80.3%,51.4%,4/6,4.2%,65.0%,61.5%,57.1%,6/10,2:17,1
R64,29,(27)Olivier Rochus[BEL] [yr|ev],d.,86,Albert Montanes[ESP] [yr|ev],4-6 6-2 6-1 6-3,1.45,5.3%,58.5%,74.5%,51.3%,4/8,9.2%,56.1%,65.5%,27.9%,3/12,1:56,24
R64,91,(Q)Arnaud Clement[FRA] [yr|ev],d.,122,(Q)Andy Murray[GBR] [yr|ev],6-2 7-6(2) 2-6 6-7(4) 6-0,1.13,4.7%,53.8%,71.4%,57.7%,6/9,16.6%,52.9%,74.7%,44.6%,13/19,4:01,10
R64,38,Nicolas Kiefer[GER] [yr|ev],d.,18,(16)Radek Stepanek[CZE] [yr|ev],4-6 4-6 6-4 6-3 6-3,1.09,9.5%,51.0%,76.0%,59.7%,7/9,6.7%,55.0%,74.4%,53.7%,13/17,3:29,4
R64,11,(11)David Nalbandian[ARG] [yr|ev],d.,103,Peter Wessels[NED] [yr|ev],7-6(4) 1-6 6-2 7-6(4),1.09,6.3%,56.3%,61.1%,60.7%,7/14,5.1%,50.0%,79.7%,34.8%,10/16,2:47,3
R64,23,(21)Fernando Gonzalez[CHI] [yr|ev],d.,138,Dmitry Tursunov[RUS] [yr|ev],6-4 3-6 6-4 6-3,1.23,11.1%,61.1%,78.8%,52.4%,2/5,5.0%,56.2%,64.7%,56.6%,6/11,2:12,5
R64,59,Davide Sanguinetti[ITA] [yr|ev],d.,33,(31)Carlos Moya[ESP] [yr|ev],3-6 6-1 6-2 6-4,1.22,9.5%,61.2%,67.6%,48.9%,7/11,2.6%,53.5%,59.0%,43.4%,6/14,2:14,42
R64,51,Paradorn Srichaphan[THA] [yr|ev],d.,6,(6)Nikolay Davydenko[RUS] [yr|ev],6-4 7-5 6-3,1.38,9.9%,64.8%,74.6%,59.4%,6/8,6.3%,69.4%,62.3%,47.1%,12/17,2:20,9
R64,4,(3)Lleyton Hewitt[AUS] [yr|ev],d.,44,Jose Acasuso[ARG] [yr|ev],7-6(6) 7-6(3) 6-2,1.26,8.7%,56.5%,83.1%,48.0%,5/7,9.9%,45.9%,72.5%,48.3%,4/8,2:30,1
R64,27,(25)Taylor Dent[USA] [yr|ev],d.,95,Nicolas Almagro[ESP] [yr|ev],6-3 6-2 4-6 7-5,1.36,15.0%,49.6%,76.8%,59.6%,1/4,7.3%,56.0%,65.5%,45.5%,10/16,2:33,21
R64,15,(17)David Ferrer[ESP] [yr|ev],d.,141,Karol Kucera[SVK] [yr|ev],6-3 6-0 6-2,1.87,3.8%,75.6%,71.2%,73.7%,10/10,3.9%,56.6%,44.2%,51.5%,13/19,1:38,3
R64,17,(15)Dominik Hrbaty[SVK] [yr|ev],d.,282,(Q)Michael Lammer[SUI] [yr|ev],6-1 6-1 6-3,1.96,9.5%,66.7%,81.0%,47.6%,2/3,1.3%,43.6%,44.1%,38.6%,4/12,1:32,12
R64,48,Fernando Verdasco[ESP] [yr|ev],d.,157,(Q)Paul Capdeville[CHI] [yr|ev],6-4 6-2 7-5,1.43,5.1%,70.4%,85.5%,31.0%,11/12,1.9%,57.9%,61.3%,48.9%,6/11,2:11,7
R64,97,Novak Djokovic[SRB] [yr|ev],d.,24,(22)Mario Ancic[CRO] [yr|ev],6-3 5-7 7-6(4) 6-3,1.06,4.3%,61.6%,75.3%,49.1%,3/7,6.0%,66.2%,72.7%,44.4%,8/13,3:27,1
R64,32,(30)Max Mirnyi[BLR] [yr|ev],d.,74,Florent Serra[FRA] [yr|ev],7-6(5) 6-7(4) 6-4 7-6(4),1.10,18.1%,52.1%,82.7%,53.6%,4/7,6.9%,60.0%,73.6%,53.4%,2/6,2:51,18
R64,57,Jarkko Nieminen[FIN] [yr|ev],d.,108,(LL)Bjorn Phau[GER] [yr|ev],6-2 6-4 5-7 6-4,1.23,0.0%,58.5%,72.5%,55.1%,3/7,4.1%,52.5%,76.6%,36.2%,7/14,2:31,13
