Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,
F,3,(1)Pete Sampras[USA] [yr|ev],d.,21,(12)Patrick Rafter[AUS] [yr|ev],6-7(10) 7-6(5) 6-4 6-2,1.53,18.2%,63.6%,88.1%,56.3%,2/2,6.0%,58.1%,75.3%,48.6%,11/14,2:58
SF,3,(1)Pete Sampras[USA] [yr|ev],d.,237,(Q)Vladimir Voltchkov[BLR] [yr|ev],7-6(4) 6-2 6-4,2.27,15.8%,57.9%,93.2%,71.9%,0/0,9.5%,61.1%,72.4%,51.4%,4/7,1:39
SF,21,(12)Patrick Rafter[AUS] [yr|ev],d.,1,(2)Andre Agassi[USA] [yr|ev],7-5 4-6 7-5 4-6 6-3,1.00,8.4%,61.7%,68.9%,59.4%,5/9,3.9%,63.2%,69.8%,57.1%,7/12,3:18
QF,3,(1)Pete Sampras[USA] [yr|ev],d.,56,Jan Michael Gambill[USA] [yr|ev],6-4 6-7(4) 6-4 6-4,1.13,16.7%,70.5%,79.6%,51.3%,3/3,16.3%,60.7%,72.0%,60.4%,8/11,2:46
QF,237,(Q)Vladimir Voltchkov[BLR] [yr|ev],d.,52,Byron Black[ZIM] [yr|ev],7-6(2) 7-6(2) 6-4,1.14,6.1%,59.6%,72.1%,45.7%,7/13,0.9%,62.4%,61.8%,46.3%,2/9,2:25
QF,21,(12)Patrick Rafter[AUS] [yr|ev],d.,114,Alexander Popp[GER] [yr|ev],6-3 6-2 7-6(1),1.84,8.6%,69.1%,76.8%,72.0%,0/1,4.6%,61.1%,62.1%,42.9%,3/7,1:47
QF,1,(2)Andre Agassi[USA] [yr|ev],d.,18,(10)Mark Philippoussis[AUS] [yr|ev],7-6(4) 6-3 6-4,0.90,6.3%,69.6%,78.2%,47.1%,5/5,25.9%,65.9%,83.9%,48.3%,2/4,1:58
R16,3,(1)Pete Sampras[USA] [yr|ev],d.,78,Jonas Bjorkman[SWE] [yr|ev],6-3 6-2 7-5,1.66,18.3%,58.5%,89.6%,55.9%,1/1,6.0%,69.0%,62.1%,53.8%,3/7,1:35
R16,56,Jan Michael Gambill[USA] [yr|ev],d.,8,(9)Thomas Enqvist[SWE] [yr|ev],7-6(5) 3-6 6-3 6-4,1.03,27.6%,51.2%,87.3%,56.7%,4/5,20.3%,50.4%,82.3%,60.7%,3/5,2:40
R16,52,Byron Black[ZIM] [yr|ev],d.,64,Gianluca Pozzi[ITA] [yr|ev],4-6 7-6(5) 6-2 6-4,1.02,3.8%,66.4%,69.0%,59.1%,7/10,13.7%,50.4%,84.7%,44.8%,4/9,2:44
R16,237,(Q)Vladimir Voltchkov[BLR] [yr|ev],d.,37,Wayne Ferreira[RSA] [yr|ev],6-3 6-4 7-6(0),1.38,1.1%,80.9%,78.9%,61.1%,1/1,6.7%,76.4%,75.0%,38.1%,5/7,1:47
R16,21,(12)Patrick Rafter[AUS] [yr|ev],d.,57,Thomas Johansson[SWE] [yr|ev],6-3 6-4 6-7(4) 6-1,1.58,16.4%,63.6%,81.4%,65.0%,4/5,5.6%,56.5%,74.3%,44.4%,7/12,2:34
R16,114,Alexander Popp[GER] [yr|ev],d.,33,Marc Rosset[SUI] [yr|ev],6-1 6-4 3-6 4-6 6-1,1.14,5.3%,62.7%,79.8%,42.9%,16/19,12.1%,69.4%,72.1%,36.8%,4/10,2:25
R16,18,(10)Mark Philippoussis[AUS] [yr|ev],d.,14,(8)Tim Henman[GBR] [yr|ev],6-1 5-7 6-7(9) 6-3 6-4,1.16,20.3%,58.2%,82.6%,57.6%,4/6,10.3%,66.2%,78.9%,45.7%,6/11,3:12
