Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,2,(2)Rafael Nadal[ESP] [yr|ev],d.,1,(1)Roger Federer[SUI] [yr|ev],6-1 6-3 6-0,1.91,0.0%,74.6%,70.0%,64.7%,3/4,2.6%,68.8%,49.1%,20.8%,9/17,1:48,1
SF,1,(1)Roger Federer[SUI] [yr|ev],d.,59,Gael Monfils[FRA] [yr|ev],6-2 5-7 6-3 7-5,1.22,1.5%,71.3%,69.1%,51.3%,10/13,6.7%,59.3%,69.7%,36.1%,8/15,3:05,1
SF,2,(2)Rafael Nadal[ESP] [yr|ev],d.,3,(3)Novak Djokovic[SRB] [yr|ev],6-4 6-2 7-6(3),1.29,0.0%,72.4%,66.2%,70.4%,4/6,2.0%,54.0%,57.4%,58.7%,9/14,2:49,1
QF,1,(1)Roger Federer[SUI] [yr|ev],d.,25,(24)Fernando Gonzalez[CHI] [yr|ev],2-6 6-2 6-3 6-4,1.47,11.5%,64.6%,71.0%,70.6%,3/6,3.0%,72.0%,55.6%,60.7%,8/13,2:01,1
QF,59,Gael Monfils[FRA] [yr|ev],d.,5,(5)David Ferrer[ESP] [yr|ev],6-3 3-6 6-3 6-1,1.32,10.0%,55.0%,80.0%,53.3%,5/7,1.0%,64.4%,59.7%,54.1%,7/13,2:27,6
QF,3,(3)Novak Djokovic[SRB] [yr|ev],d.,80,Ernests Gulbis[LAT] [yr|ev],7-5 7-6(3) 7-5,1.18,4.8%,65.6%,70.7%,55.8%,4/6,8.7%,61.6%,68.2%,45.3%,12/16,3:07,1
QF,2,(2)Rafael Nadal[ESP] [yr|ev],d.,20,(19)Nicolas Almagro[ESP] [yr|ev],6-1 6-1 6-1,2.11,1.5%,67.7%,81.8%,52.4%,5/5,4.6%,38.5%,52.0%,35.0%,5/13,1:44,1
R16,1,(1)Roger Federer[SUI] [yr|ev],d.,55,Julien Benneteau[FRA] [yr|ev],6-4 7-5 7-5,1.35,6.1%,53.1%,76.9%,56.5%,7/10,4.2%,62.7%,51.4%,63.6%,10/16,2:26,1
R16,25,(24)Fernando Gonzalez[CHI] [yr|ev],d.,88,Robby Ginepri[USA] [yr|ev],7-6(4) 6-3 6-1,1.52,11.4%,72.7%,68.8%,66.7%,4/6,2.0%,61.6%,50.8%,52.6%,8/14,1:53,5
R16,59,Gael Monfils[FRA] [yr|ev],d.,30,(28)Ivan Ljubicic[CRO] [yr|ev],7-6(1) 4-6 6-3 6-2,1.25,10.5%,56.1%,82.8%,50.0%,1/4,8.5%,59.8%,70.0%,46.8%,5/10,2:51,6
R16,5,(5)David Ferrer[ESP] [yr|ev],d.,22,(21)Radek Stepanek[CZE] [yr|ev],4-6 6-2 1-6 6-3 6-3,1.15,1.6%,74.0%,59.3%,59.4%,8/16,3.4%,44.9%,67.9%,41.5%,2/11,2:52,3
R16,80,Ernests Gulbis[LAT] [yr|ev],d.,41,Michael Llodra[FRA] [yr|ev],6-4 7-6(4) 6-3,1.56,11.6%,57.9%,80.0%,65.0%,3/4,2.0%,60.8%,64.5%,50.0%,7/10,2:09,10
R16,3,(3)Novak Djokovic[SRB] [yr|ev],d.,19,(18)Paul Henri Mathieu[FRA] [yr|ev],6-4 6-3 6-4,1.59,18.2%,70.1%,83.3%,47.8%,7/8,7.2%,56.8%,71.4%,37.5%,7/12,2:20,1
R16,20,(19)Nicolas Almagro[ESP] [yr|ev],d.,145,(WC)Jeremy Chardy[FRA] [yr|ev],7-6(0) 7-6(7) 7-5,1.34,15.3%,55.6%,79.7%,58.2%,6/7,6.3%,57.5%,72.8%,42.6%,15/17,2:48,9
R16,2,(2)Rafael Nadal[ESP] [yr|ev],d.,23,(22)Fernando Verdasco[ESP] [yr|ev],6-1 6-0 6-2,1.77,1.4%,63.8%,68.2%,60.0%,3/5,1.4%,67.1%,42.6%,30.4%,6/15,1:54,1
