Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,1,(1)Novak Djokovic[SRB] [yr|ev],d.,2,(2)Roger Federer[SUI] [yr|ev],7-6(1) 6-7(10) 6-4 6-3,1.10,9.0%,65.5%,73.7%,60.0%,6/7,9.9%,66.7%,74.5%,48.9%,6/10,2:56,1
SF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,20,(21)Richard Gasquet[FRA] [yr|ev],7-6(2) 6-4 6-4,1.35,12.2%,75.5%,78.4%,45.8%,3/4,5.3%,51.3%,65.5%,54.5%,5/8,,1
SF,2,(2)Roger Federer[SUI] [yr|ev],d.,3,(3)Andy Murray[GBR] [yr|ev],7-5 7-5 6-4,1.50,22.0%,75.8%,84.1%,54.5%,1/1,11.2%,73.8%,70.9%,50.0%,7/10,,1
QF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,9,(9)Marin Cilic[CRO] [yr|ev],6-4 6-4 6-4,1.63,4.9%,71.6%,79.3%,73.9%,0/0,9.6%,55.4%,76.1%,48.6%,2/5,,1
QF,20,(21)Richard Gasquet[FRA] [yr|ev],d.,4,(4)Stan Wawrinka[SUI] [yr|ev],6-4 4-6 3-6 6-4 11-9,1.09,3.8%,66.9%,73.8%,66.0%,5/9,13.5%,60.7%,77.8%,54.7%,4/9,,7
QF,3,(3)Andy Murray[GBR] [yr|ev],d.,56,Vasek Pospisil[CAN] [yr|ev],6-4 7-5 6-4,1.32,4.4%,64.4%,84.5%,56.3%,1/1,9.8%,58.7%,79.6%,47.4%,5/8,,1
QF,2,(2)Roger Federer[SUI] [yr|ev],d.,13,(12)Gilles Simon[FRA] [yr|ev],6-3 7-5 6-2,1.66,14.7%,73.3%,80.0%,60.0%,0/1,1.2%,57.8%,60.4%,54.3%,3/8,,1
R16,1,(1)Novak Djokovic[SRB] [yr|ev],d.,14,(14)Kevin Anderson[RSA] [yr|ev],6-7(6) 6-7(6) 6-1 6-4 7-5,1.25,7.6%,68.2%,74.1%,68.5%,7/8,23.8%,58.3%,82.7%,41.4%,3/8,,1
R16,9,(9)Marin Cilic[CRO] [yr|ev],d.,105,(WC)Denis Kudla[USA] [yr|ev],6-4 4-6 6-3 7-5,1.26,16.8%,63.2%,77.2%,54.3%,7/9,7.3%,56.7%,72.9%,44.6%,8/12,,3
R16,4,(4)Stan Wawrinka[SUI] [yr|ev],d.,15,(16)David Goffin[BEL] [yr|ev],7-6(3) 7-6(7) 6-4,1.10,11.3%,56.5%,83.1%,48.0%,2/4,3.5%,56.6%,73.4%,53.1%,2/5,,3
R16,20,(21)Richard Gasquet[FRA] [yr|ev],d.,29,(26)Nick Kyrgios[AUS] [yr|ev],7-5 6-1 6-7(7) 7-6(6),1.45,14.1%,60.0%,86.4%,53.7%,4/6,14.8%,61.9%,72.9%,42.4%,9/14,,7
R16,56,Vasek Pospisil[CAN] [yr|ev],d.,24,(22)Viktor Troicki[SRB] [yr|ev],4-6 6-7(4) 6-4 6-3 6-3,1.34,9.5%,70.6%,86.5%,59.5%,0/1,14.4%,59.0%,79.3%,59.6%,4/8,,25
R16,3,(3)Andy Murray[GBR] [yr|ev],d.,25,(23)Ivo Karlovic[CRO] [yr|ev],7-6(7) 6-4 5-7 6-4,1.25,5.9%,73.5%,80.0%,58.3%,4/5,20.7%,69.3%,76.3%,48.8%,10/12,,1
R16,13,(12)Gilles Simon[FRA] [yr|ev],d.,6,(6)Tomas Berdych[CZE] [yr|ev],6-3 6-3 6-2,1.65,4.1%,60.3%,79.5%,65.5%,1/1,13.0%,58.4%,75.6%,31.3%,8/13,,6
R16,2,(2)Roger Federer[SUI] [yr|ev],d.,22,(20)Roberto Bautista Agut[ESP] [yr|ev],6-2 6-2 6-3,3.25,12.5%,67.9%,92.1%,72.2%,0/0,2.4%,66.7%,53.6%,53.6%,7/13,,1
R32,1,(1)Novak Djokovic[SRB] [yr|ev],d.,26,(27)Bernard Tomic[AUS] [yr|ev],6-3 6-3 6-3,1.77,18.5%,71.6%,81.0%,65.2%,3/3,11.0%,65.9%,61.1%,53.6%,9/13,,1
R32,14,(14)Kevin Anderson[RSA] [yr|ev],d.,21,(24)Leonardo Mayer[ARG] [yr|ev],6-4 7-6(6) 6-3,1.61,25.0%,60.2%,86.8%,60.0%,2/3,2.8%,68.8%,68.0%,47.1%,8/11,,5
R32,9,(9)Marin Cilic[CRO] [yr|ev],d.,17,(17)John Isner[USA] [yr|ev],7-6(4) 6-7(6) 6-4 6-7(4) 12-10,1.45,17.9%,64.1%,88.0%,57.1%,4/5,15.3%,72.3%,76.0%,41.8%,7/10,,3
R32,105,(WC)Denis Kudla[USA] [yr|ev],d.,60,Santiago Giraldo[COL] [yr|ev],6-2 6-7(3) 2-6 6-1 6-3,1.21,12.5%,53.9%,76.8%,55.9%,4/7,4.0%,72.2%,63.7%,51.4%,2/9,,53
R32,4,(4)Stan Wawrinka[SUI] [yr|ev],d.,43,Fernando Verdasco[ESP] [yr|ev],6-4 6-3 6-4,1.51,16.1%,63.2%,87.3%,53.1%,4/4,6.2%,53.6%,73.1%,48.9%,13/16,,3
R32,15,(16)David Goffin[BEL] [yr|ev],d.,54,Marcos Baghdatis[CYP] [yr|ev],6-3 6-4 6-2,1.42,8.1%,62.8%,87.0%,34.4%,5/7,9.0%,57.7%,62.2%,42.4%,4/10,,7
R32,20,(21)Richard Gasquet[FRA] [yr|ev],d.,11,(11)Grigor Dimitrov[BUL] [yr|ev],6-3 6-4 6-4,1.02,3.0%,56.0%,83.9%,52.3%,5/5,15.3%,65.3%,74.5%,60.0%,1/4,,7
R32,29,(26)Nick Kyrgios[AUS] [yr|ev],d.,8,(7)Milos Raonic[CAN] [yr|ev],5-7 7-5 7-6(3) 6-3,1.24,26.6%,66.4%,83.5%,60.5%,6/7,13.5%,68.4%,75.8%,57.1%,5/7,,13
R32,56,Vasek Pospisil[CAN] [yr|ev],d.,111,(WC)James Ward[GBR] [yr|ev],6-4 3-6 2-6 6-3 8-6,1.21,14.8%,59.4%,89.5%,51.9%,1/4,7.4%,58.1%,76.7%,58.1%,5/8,,25
R32,24,(22)Viktor Troicki[SRB] [yr|ev],d.,102,(Q)Dustin Brown[JAM] [yr|ev],6-4 7-6(3) 4-6 6-3,1.43,19.8%,70.2%,85.9%,44.4%,5/7,10.6%,68.9%,69.2%,46.8%,12/16,,12
R32,25,(23)Ivo Karlovic[CRO] [yr|ev],d.,12,(13)Jo-Wilfried Tsonga[FRA] [yr|ev],7-6(3) 4-6 7-6(2) 7-6(9),1.44,31.3%,75.6%,89.9%,65.6%,0/1,9.5%,70.1%,82.5%,63.6%,2/2,,14
R32,3,(3)Andy Murray[GBR] [yr|ev],d.,27,(25)Andreas Seppi[ITA] [yr|ev],6-2 6-2 1-6 6-1,1.34,10.6%,63.8%,70.0%,52.9%,7/10,4.4%,61.5%,55.4%,45.7%,5/12,,1
R32,6,(6)Tomas Berdych[CZE] [yr|ev],d.,37,Pablo Andujar[ESP] [yr|ev],4-6 6-0 6-3 7-6(3),1.48,12.2%,58.3%,77.6%,56.3%,4/8,2.4%,68.3%,63.1%,33.3%,11/18,,4
R32,13,(12)Gilles Simon[FRA] [yr|ev],d.,18,(18)Gael Monfils[FRA] [yr|ev],3-6 6-3 7-6(6) 2-6 6-2,1.02,1.3%,66.2%,63.5%,54.7%,7/12,12.6%,70.4%,67.0%,42.6%,7/12,,6
R32,22,(20)Roberto Bautista Agut[ESP] [yr|ev],d.,153,(Q)Nikoloz Basilashvili[GEO] [yr|ev],7-6(4) 6-0 6-1,1.97,3.9%,76.6%,76.3%,66.7%,4/4,5.8%,76.7%,51.5%,40.0%,3/9,,9
R32,2,(2)Roger Federer[SUI] [yr|ev],d.,69,Sam Groth[AUS] [yr|ev],6-4 6-4 6-7(5) 6-2,1.87,15.7%,62.0%,89.6%,68.3%,0/0,16.2%,64.6%,72.6%,52.2%,4/8,,1
R64,1,(1)Novak Djokovic[SRB] [yr|ev],d.,92,Jarkko Nieminen[FIN] [yr|ev],6-4 6-2 6-3,1.92,11.0%,68.5%,78.0%,73.9%,0/1,2.3%,67.8%,61.0%,42.9%,9/14,,1
R64,26,(27)Bernard Tomic[AUS] [yr|ev],d.,151,(Q)Pierre Hugues Herbert[FRA] [yr|ev],7-6(3) 6-4 7-6(5),1.30,8.8%,71.6%,82.2%,69.0%,4/4,19.6%,54.2%,81.0%,61.2%,0/1,,17
R64,21,(24)Leonardo Mayer[ARG] [yr|ev],d.,72,Marcel Granollers[ESP] [yr|ev],6-3 7-6(4) 6-3,1.70,9.9%,61.5%,89.3%,68.6%,3/3,7.3%,64.6%,75.5%,55.2%,5/7,,21
R64,14,(14)Kevin Anderson[RSA] [yr|ev],d.,82,Marsel Ilhan[TUR] [yr|ev],6-7(5) 7-6(6) 6-4 6-4,1.57,28.6%,58.0%,85.5%,70.0%,0/0,4.5%,58.6%,73.1%,58.2%,1/3,,5
R64,9,(9)Marin Cilic[CRO] [yr|ev],d.,90,Ricardas Berankis[LTU] [yr|ev],6-3 4-6 7-6(6) 4-6 7-5,1.08,17.1%,64.0%,80.0%,55.9%,8/11,8.2%,59.7%,76.8%,57.8%,5/8,,3
R64,17,(17)John Isner[USA] [yr|ev],d.,148,(WC)Matthew Ebden[AUS] [yr|ev],6-2 7-6(8) 6-4,1.50,26.7%,72.1%,79.0%,62.5%,1/2,11.1%,61.6%,72.1%,44.7%,3/7,,8
R64,105,(WC)Denis Kudla[USA] [yr|ev],d.,74,Alexander Zverev[GER] [yr|ev],6-3 3-6 7-6(2) 6-4,1.14,7.3%,58.1%,75.0%,53.8%,7/11,10.6%,54.5%,76.4%,43.3%,4/9,,53
R64,60,Santiago Giraldo[COL] [yr|ev],d.,5,(5)Kei Nishikori[JPN] [yr|ev],W/O,,,,,,,,,,,,,28
R64,4,(4)Stan Wawrinka[SUI] [yr|ev],d.,48,Victor Estrella[DOM] [yr|ev],6-3 6-4 7-5,1.16,16.1%,53.8%,82.0%,62.8%,2/2,5.0%,56.3%,75.6%,60.0%,3/6,,3
