Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,6,(6)Novak Djokovic[SRB] [yr|ev],d.,3,(3)Juan Martin del Potro[ARG] [yr|ev],6-3 7-6(4) 6-3,1.10,0.8%,62.7%,67.6%,59.1%,4/6,6.7%,64.0%,66.7%,50.0%,3/7,3:16,1
SF,3,(3)Juan Martin del Potro[ARG] [yr|ev],d.,1,(1)Rafael Nadal[ESP] [yr|ev],7-6(3) 6-2 RET,1.27,3.1%,66.2%,69.8%,54.5%,0/2,5.6%,74.6%,60.4%,38.9%,8/12,2:01,3
SF,6,(6)Novak Djokovic[SRB] [yr|ev],d.,19,(21)Kei Nishikori[JPN] [yr|ev],6-3 6-4 6-2,1.89,3.8%,64.1%,80.0%,71.4%,2/2,2.0%,61.4%,59.7%,51.3%,13/17,2:23,1
QF,1,(1)Rafael Nadal[ESP] [yr|ev],d.,9,(9)Dominic Thiem[AUT] [yr|ev],0-6 6-4 7-5 6-7(4) 7-6(5),0.97,1.8%,65.9%,67.3%,56.1%,7/13,10.6%,57.6%,71.4%,55.6%,12/17,4:49,1
QF,3,(3)Juan Martin del Potro[ARG] [yr|ev],d.,11,(11)John Isner[USA] [yr|ev],6-7(5) 6-3 7-6(4) 6-2,1.77,11.6%,62.8%,89.5%,64.4%,3/3,17.9%,61.4%,70.8%,55.4%,8/11,3:31,3
QF,19,(21)Kei Nishikori[JPN] [yr|ev],d.,7,(7)Marin Cilic[CRO] [yr|ev],2-6 6-4 7-6(5) 4-6 6-4,0.87,3.8%,55.3%,70.5%,52.1%,7/13,13.9%,58.4%,72.5%,59.6%,4/9,4:08,4
QF,6,(6)Novak Djokovic[SRB] [yr|ev],d.,55,John Millman[AUS] [yr|ev],6-3 6-4 6-4,1.47,1.2%,66.3%,73.7%,65.5%,1/2,2.6%,68.7%,64.6%,41.7%,16/20,2:49,1
R16,1,(1)Rafael Nadal[ESP] [yr|ev],d.,37,Nikoloz Basilashvili[GEO] [yr|ev],6-3 6-3 6-7(6) 6-4,1.32,5.9%,65.3%,75.3%,61.0%,5/7,6.3%,56.3%,69.4%,50.0%,10/16,3:19,1
R16,9,(9)Dominic Thiem[AUT] [yr|ev],d.,5,(5)Kevin Anderson[RSA] [yr|ev],7-5 6-2 7-6(2),1.69,7.7%,49.5%,91.1%,65.2%,0/0,6.5%,68.5%,71.6%,44.1%,6/9,2:37,3
R16,3,(3)Juan Martin del Potro[ARG] [yr|ev],d.,20,(20)Borna Coric[CRO] [yr|ev],6-4 6-3 6-1,1.72,13.0%,79.7%,80.0%,50.0%,0/1,7.7%,65.4%,56.9%,51.9%,9/15,2:05,3
