Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,4,(3)Rafael Nadal[ESP] [yr|ev],d.,5,(4)David Ferrer[ESP] [yr|ev],6-3 6-2 6-3,1.43,5.7%,70.1%,70.5%,42.3%,9/12,1.2%,62.4%,58.5%,25.0%,8/16,2:16,1
SF,4,(3)Rafael Nadal[ESP] [yr|ev],d.,1,(1)Novak Djokovic[SRB] [yr|ev],6-4 3-6 6-1 6-7(3) 9-7,1.21,3.8%,63.7%,71.6%,60.3%,4/9,2.9%,67.4%,64.4%,52.6%,8/16,4:37,1
SF,5,(4)David Ferrer[ESP] [yr|ev],d.,8,(6)Jo-Wilfried Tsonga[FRA] [yr|ev],6-1 7-6(3) 6-2,1.40,3.4%,60.2%,66.0%,65.7%,3/5,5.8%,58.3%,61.7%,39.5%,11/17,2:04,3
QF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,14,(12)Tommy Haas[GER] [yr|ev],6-3 7-6(5) 7-5,2.26,14.1%,64.1%,82.0%,78.6%,0/2,3.3%,59.8%,65.8%,42.9%,7/12,2:13,1
QF,4,(3)Rafael Nadal[ESP] [yr|ev],d.,10,(9)Stan Wawrinka[SUI] [yr|ev],6-2 6-3 6-1,1.72,6.8%,75.3%,72.7%,61.1%,4/5,3.4%,59.8%,57.7%,34.3%,5/12,1:56,1
QF,5,(4)David Ferrer[ESP] [yr|ev],d.,34,(32)Tommy Robredo[ESP] [yr|ev],6-2 6-1 6-1,2.25,1.6%,46.8%,86.2%,66.7%,1/1,2.9%,58.8%,55.0%,32.1%,5/12,1:25,3
QF,8,(6)Jo-Wilfried Tsonga[FRA] [yr|ev],d.,3,(2)Roger Federer[SUI] [yr|ev],7-5 6-3 6-3,1.79,2.6%,75.0%,80.7%,52.6%,1/3,0.0%,67.0%,58.2%,42.4%,8/14,1:51,5
R16,1,(1)Novak Djokovic[SRB] [yr|ev],d.,19,(16)Philipp Kohlschreiber[GER] [yr|ev],4-6 6-3 6-4 6-4,1.03,1.4%,74.5%,67.6%,63.9%,11/13,3.4%,55.2%,75.0%,53.8%,4/8,2:42,1
R16,14,(12)Tommy Haas[GER] [yr|ev],d.,31,(29)Mikhail Youzhny[RUS] [yr|ev],6-1 6-1 6-3,1.55,2.8%,60.6%,72.1%,50.0%,4/6,0.0%,63.1%,39.0%,50.0%,7/15,1:24,2
R16,4,(3)Rafael Nadal[ESP] [yr|ev],d.,15,(13)Kei Nishikori[JPN] [yr|ev],6-4 6-1 6-3,1.57,1.3%,69.2%,72.2%,66.7%,4/4,0.0%,65.4%,52.9%,55.6%,3/8,2:02,1
R16,10,(9)Stan Wawrinka[SUI] [yr|ev],d.,9,(7)Richard Gasquet[FRA] [yr|ev],6-7(5) 4-6 6-4 7-5 8-6,1.17,7.4%,63.4%,73.0%,64.1%,9/11,5.2%,60.3%,74.4%,49.4%,16/20,4:16,3
R16,34,(32)Tommy Robredo[ESP] [yr|ev],d.,13,(11)Nicolas Almagro[ESP] [yr|ev],6-7(5) 3-6 6-4 6-4 6-4,1.03,4.8%,62.9%,69.5%,50.0%,7/13,4.2%,63.5%,67.0%,50.8%,13/20,3:49,5
R16,5,(4)David Ferrer[ESP] [yr|ev],d.,25,(23)Kevin Anderson[RSA] [yr|ev],6-3 6-1 6-1,1.96,1.4%,52.1%,75.7%,70.6%,2/2,5.8%,70.9%,55.7%,28.0%,11/17,1:45,3
R16,8,(6)Jo-Wilfried Tsonga[FRA] [yr|ev],d.,57,Viktor Troicki[SRB] [yr|ev],6-3 6-3 6-3,1.68,1.2%,76.5%,72.6%,78.9%,3/3,5.7%,62.1%,63.0%,45.5%,8/12,1:45,5
R16,3,(2)Roger Federer[SUI] [yr|ev],d.,18,(15)Gilles Simon[FRA] [yr|ev],6-1 4-6 2-6 6-2 6-3,1.30,7.7%,64.1%,74.7%,54.8%,3/6,3.1%,60.9%,66.3%,44.4%,8/14,2:59,1
R32,1,(1)Novak Djokovic[SRB] [yr|ev],d.,28,(26)Grigor Dimitrov[BUL] [yr|ev],6-2 6-2 6-3,1.87,2.8%,67.6%,81.3%,56.5%,4/5,0.0%,69.0%,56.9%,34.6%,9/16,1:44,1
R32,19,(16)Philipp Kohlschreiber[GER] [yr|ev],d.,54,Victor Hanescu[ROU] [yr|ev],6-0 7-6(0) 6-1,1.54,6.3%,58.9%,76.8%,51.3%,13/14,1.2%,72.8%,52.5%,36.4%,3/9,1:49,16
R32,14,(12)Tommy Haas[GER] [yr|ev],d.,21,(19)John Isner[USA] [yr|ev],7-5 7-6(4) 4-6 6-7(10) 10-8,1.16,7.2%,62.5%,76.2%,66.7%,11/13,11.8%,77.7%,74.2%,47.1%,20/23,4:37,2
R32,31,(29)Mikhail Youzhny[RUS] [yr|ev],d.,12,(8)Janko Tipsarevic[SRB] [yr|ev],6-4 6-4 6-3,1.41,3.5%,63.5%,74.1%,67.7%,3/3,5.7%,48.9%,65.1%,55.6%,4/8,2:04,8
R32,4,(3)Rafael Nadal[ESP] [yr|ev],d.,29,(27)Fabio Fognini[ITA] [yr|ev],7-6(5) 6-4 6-4,1.19,4.8%,77.9%,64.2%,60.9%,8/11,2.3%,66.7%,54.7%,60.5%,13/18,2:45,1
R32,15,(13)Kei Nishikori[JPN] [yr|ev],d.,26,(24)Benoit Paire[FRA] [yr|ev],6-3 6-7(3) 6-4 6-1,1.23,0.8%,63.0%,70.7%,52.3%,5/9,4.4%,43.1%,67.8%,46.2%,11/19,2:41,4
R32,10,(9)Stan Wawrinka[SUI] [yr|ev],d.,23,(21)Jerzy Janowicz[POL] [yr|ev],6-3 6-7(2) 6-3 6-3,1.32,7.5%,58.3%,77.1%,62.0%,4/5,4.5%,60.6%,72.5%,44.2%,9/14,2:42,3
R32,9,(7)Richard Gasquet[FRA] [yr|ev],d.,48,Nikolay Davydenko[RUS] [yr|ev],6-4 6-4 6-3,1.35,5.7%,67.8%,67.8%,67.9%,1/3,3.1%,76.3%,62.2%,39.1%,5/10,2:04,7
R32,34,(32)Tommy Robredo[ESP] [yr|ev],d.,81,(WC)Gael Monfils[FRA] [yr|ev],2-6 6-7(5) 6-2 7-6(3) 6-2,1.16,2.5%,70.3%,66.7%,63.8%,8/12,1.2%,68.1%,64.6%,50.9%,11/17,3:46,5
R32,13,(11)Nicolas Almagro[ESP] [yr|ev],d.,22,(20)Andreas Seppi[ITA] [yr|ev],7-6(1) 6-0 6-4,1.77,22.6%,69.0%,86.2%,46.2%,4/5,6.2%,50.5%,69.4%,37.5%,8/13,1:44,9
R32,25,(23)Kevin Anderson[RSA] [yr|ev],d.,16,(14)Milos Raonic[CAN] [yr|ev],7-5 7-6(4) 6-3,1.64,8.2%,69.1%,80.6%,63.3%,3/4,12.2%,57.3%,65.3%,51.8%,9/12,2:24,5
R32,5,(4)David Ferrer[ESP] [yr|ev],d.,43,Feliciano Lopez[ESP] [yr|ev],6-1 7-5 6-4,1.53,1.1%,65.5%,71.9%,56.7%,2/5,4.8%,63.5%,56.1%,36.8%,12/19,2:05,3
R32,8,(6)Jo-Wilfried Tsonga[FRA] [yr|ev],d.,27,(25)Jeremy Chardy[FRA] [yr|ev],6-1 6-2 7-5,1.88,8.3%,66.7%,83.3%,70.8%,2/2,4.1%,64.9%,72.9%,38.5%,5/10,1:42,5
R32,57,Viktor Troicki[SRB] [yr|ev],d.,11,(10)Marin Cilic[CRO] [yr|ev],7-6(12) 6-4 7-5,1.12,5.6%,65.1%,74.4%,45.5%,7/9,5.1%,59.0%,62.3%,56.3%,6/10,2:43,12
R32,18,(15)Gilles Simon[FRA] [yr|ev],d.,20,(18)Sam Querrey[USA] [yr|ev],2-6 6-3 2-6 7-6(2) 6-2,0.97,2.2%,59.9%,63.4%,58.2%,7/14,6.9%,58.5%,78.9%,38.9%,4/10,2:53,6
R32,3,(2)Roger Federer[SUI] [yr|ev],d.,32,(30)Julien Benneteau[FRA] [yr|ev],6-3 6-4 7-5,2.16,8.9%,64.6%,82.4%,78.6%,2/3,2.4%,81.9%,60.3%,53.3%,0/4,1:31,1
R64,1,(1)Novak Djokovic[SRB] [yr|ev],d.,83,Guido Pella[ARG] [yr|ev],6-2 6-0 6-2,1.84,1.5%,72.1%,77.6%,52.6%,1/1,1.2%,56.6%,55.3%,33.3%,9/16,1:26,1
R64,28,(26)Grigor Dimitrov[BUL] [yr|ev],d.,324,(WC)Lucas Pouille[FRA] [yr|ev],6-1 7-6(4) 6-1,1.60,5.4%,48.9%,82.2%,61.7%,5/6,1.2%,59.8%,63.3%,42.4%,5/10,1:48,3
R64,54,Victor Hanescu[ROU] [yr|ev],d.,60,Dmitry Tursunov[RUS] [yr|ev],6-4 6-6 RET,1.09,9.4%,67.2%,76.7%,42.9%,0/2,9.4%,59.4%,81.6%,34.6%,2/5,1:18,26
R64,19,(16)Philipp Kohlschreiber[GER] [yr|ev],d.,76,Yen Hsun Lu[TPE] [yr|ev],W/O,,,,,,,,,,,,,16
R64,14,(12)Tommy Haas[GER] [yr|ev],d.,118,(Q)Jack Sock[USA] [yr|ev],7-6(3) 6-2 7-5,1.25,9.8%,74.1%,74.7%,51.7%,6/7,4.0%,54.0%,72.2%,47.8%,12/16,2:17,2
R64,21,(19)John Isner[USA] [yr|ev],d.,92,Ryan Harrison[USA] [yr|ev],5-7 6-7(7) 6-3 6-1 8-6,1.39,9.5%,64.6%,79.4%,66.1%,6/7,4.9%,64.3%,73.9%,48.5%,13/18,3:50,8
R64,31,(29)Mikhail Youzhny[RUS] [yr|ev],d.,125,Federico Delbonis[ARG] [yr|ev],6-3 6-7(5) 7-5 6-4,1.15,3.4%,69.0%,70.0%,53.3%,8/11,1.4%,57.3%,67.1%,49.2%,9/15,3:14,8
