Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
,Yen Hsun Lu,TPE,2,135,90.9%,33.3%,4,7.5%,0,0.0%,77.4%,78.0%,75.0%,77.4%,1,0.0%,45.1%,11,36.4%,57.8%,1.99,1:38
10,Marin Cilic,CRO,3,538,88.1%,33.3%,19,7.7%,8,3.3%,54.5%,75.4%,62.5%,69.5%,15,66.7%,43.8%,28,50.0%,55.6%,1.44,5:53
6,Jo-Wilfried Tsonga,FRA,6,1026,88.1%,32.5%,28,5.7%,6,1.2%,64.8%,76.5%,58.4%,70.1%,30,66.7%,42.1%,58,46.6%,55.6%,1.41,11:05
2,Roger Federer,SUI,5,894,85.3%,34.7%,29,6.9%,5,1.2%,65.0%,73.3%,61.9%,69.3%,29,62.1%,42.8%,42,61.9%,55.3%,1.39,9:03
4,David Ferrer,ESP,7,1174,78.3%,51.1%,13,2.4%,22,4.0%,57.9%,70.0%,54.5%,63.5%,40,50.0%,50.6%,103,43.7%,56.6%,1.38,13:08
3,Rafael Nadal,ESP,7,1514,85.8%,35.8%,29,4.1%,12,1.7%,73.0%,72.0%,56.5%,67.8%,52,67.3%,44.3%,88,48.9%,55.4%,1.38,19:14
7,Richard Gasquet,FRA,4,843,87.0%,30.9%,27,6.5%,9,2.2%,62.9%,74.7%,56.5%,68.0%,30,70.0%,41.4%,44,47.7%,54.4%,1.29,9:19
1,Novak Djokovic,SRB,6,1311,86.4%,29.8%,26,4.1%,6,0.9%,69.4%,72.3%,60.8%,68.8%,39,64.1%,40.3%,72,43.1%,54.1%,1.29,14:55
18,Sam Querrey,USA,3,627,79.2%,34.0%,27,8.9%,14,4.6%,59.6%,80.0%,44.3%,65.6%,19,42.1%,41.8%,33,54.5%,53.3%,1.22,6:25
23,Kevin Anderson,RSA,4,857,87.5%,19.4%,40,9.9%,11,2.7%,68.1%,75.0%,51.9%,67.7%,28,71.4%,38.7%,37,32.4%,52.4%,1.20,9:16
