Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,
F,1,(1)Gustavo Kuerten[BRA] [yr|ev],d.,13,(13)Alex Corretja[ESP] [yr|ev],6-7(3) 7-5 6-2 6-0,1.30,8.1%,58.5%,69.4%,52.9%,8/11,4.1%,52.9%,65.6%,35.1%,14/23,3:12
SF,1,(1)Gustavo Kuerten[BRA] [yr|ev],d.,4,(4)Juan Carlos Ferrero[ESP] [yr|ev],6-4 6-4 6-3,1.27,10.0%,62.0%,66.1%,60.5%,14/16,1.0%,65.7%,60.9%,41.7%,15/20,2:10
SF,13,(13)Alex Corretja[ESP] [yr|ev],d.,10,(10)Sebastien Grosjean[FRA] [yr|ev],7-6(2) 6-4 6-4,1.30,3.1%,44.9%,70.5%,61.1%,7/10,3.6%,54.1%,60.0%,49.0%,10/15,2:39
QF,1,(1)Gustavo Kuerten[BRA] [yr|ev],d.,7,(7)Yevgeny Kafelnikov[RUS] [yr|ev],6-1 3-6 7-6(3) 6-4,1.25,10.1%,48.1%,75.8%,59.7%,11/13,6.8%,44.9%,67.9%,52.3%,6/10,2:32
QF,4,(4)Juan Carlos Ferrero[ESP] [yr|ev],d.,6,(6)Lleyton Hewitt[AUS] [yr|ev],6-4 6-2 6-1,1.53,5.7%,69.3%,67.2%,63.0%,6/7,2.2%,62.0%,54.4%,37.1%,15/22,2:09
QF,10,(10)Sebastien Grosjean[FRA] [yr|ev],d.,3,(3)Andre Agassi[USA] [yr|ev],1-6 6-1 6-1 6-3,1.36,10.8%,57.0%,75.5%,52.5%,6/9,0.0%,70.4%,68.1%,17.2%,6/13,1:49
QF,13,(13)Alex Corretja[ESP] [yr|ev],d.,18,Roger Federer[SUI] [yr|ev],7-5 6-4 7-5,1.06,0.8%,64.6%,61.0%,51.1%,12/16,1.9%,66.3%,60.9%,42.9%,10/17,2:41
R16,1,(1)Gustavo Kuerten[BRA] [yr|ev],d.,122,(Q)Michael Russell[USA] [yr|ev],3-6 4-6 7-6(3) 6-3 6-1,1.13,7.1%,59.4%,71.7%,49.2%,16/22,1.2%,63.2%,59.2%,55.0%,16/23,3:25
R16,7,(7)Yevgeny Kafelnikov[RUS] [yr|ev],d.,83,Tommy Robredo[ESP] [yr|ev],6-3 6-4 1-6 6-4,1.01,1.7%,52.1%,74.6%,39.7%,9/14,5.1%,65.3%,63.6%,46.3%,10/16,2:31
R16,4,(4)Juan Carlos Ferrero[ESP] [yr|ev],d.,14,(14)Thomas Enqvist[SWE] [yr|ev],6-2 6-4 6-2,1.61,9.5%,60.8%,80.0%,58.6%,6/7,12.7%,48.1%,68.4%,41.5%,6/12,1:39
R16,6,(6)Lleyton Hewitt[AUS] [yr|ev],d.,82,Guillermo Canas[ARG] [yr|ev],3-6 6-7(3) 6-2 6-3 6-3,1.10,2.9%,57.0%,68.4%,51.4%,17/22,5.3%,60.0%,62.7%,48.5%,18/26,4:12
R16,10,(10)Sebastien Grosjean[FRA] [yr|ev],d.,76,Galo Blanco[ESP] [yr|ev],6-3 6-4 6-1,1.49,13.0%,50.0%,73.9%,54.3%,4/6,2.2%,51.1%,52.2%,40.9%,12/19,2:02
R16,3,(3)Andre Agassi[USA] [yr|ev],d.,16,(16)Franco Squillari[ARG] [yr|ev],4-6 6-2 6-4 1-6 6-0,1.19,3.2%,67.2%,69.0%,46.3%,7/12,9.1%,49.4%,67.9%,41.0%,21/29,2:59
R16,18,Roger Federer[SUI] [yr|ev],d.,59,Wayne Arthurs[AUS] [yr|ev],3-6 6-3 6-4 6-2,1.44,4.7%,53.8%,78.9%,59.2%,3/5,8.2%,50.3%,71.6%,41.1%,19/24,2:27
R16,13,(13)Alex Corretja[ESP] [yr|ev],d.,43,Fabrice Santoro[FRA] [yr|ev],6-2 6-3 6-4,1.47,1.2%,36.1%,70.0%,64.2%,1/3,2.1%,60.8%,52.5%,47.4%,13/19,2:28
R32,1,(1)Gustavo Kuerten[BRA] [yr|ev],d.,109,Karim Alami[MAR] [yr|ev],6-3 6-7(3) 7-6(5) 6-2,0.99,7.1%,62.7%,65.1%,55.6%,11/15,4.8%,57.3%,73.2%,47.2%,10/17,3:11
R32,122,(Q)Michael Russell[USA] [yr|ev],d.,63,Xavier Malisse[BEL] [yr|ev],3-6 6-4 6-1 1-6 6-4,0.95,1.3%,72.4%,60.0%,54.8%,20/25,8.5%,53.8%,74.3%,45.0%,9/15,2:58
R32,83,Tommy Robredo[ESP] [yr|ev],d.,45,Bohdan Ulihrach[CZE] [yr|ev],6-2 6-2 6-2,1.74,6.7%,64.0%,75.0%,59.3%,5/6,2.9%,50.5%,58.5%,34.6%,15/22,1:41
R32,7,(7)Yevgeny Kafelnikov[RUS] [yr|ev],d.,70,Olivier Rochus[BEL] [yr|ev],7-6(1) 6-4 6-3,1.10,8.9%,52.5%,71.7%,43.8%,6/10,5.1%,57.1%,55.4%,52.4%,4/11,2:05
R32,4,(4)Juan Carlos Ferrero[ESP] [yr|ev],d.,79,(Q)Jacobo Diaz[ESP] [yr|ev],6-1 6-7(2) 6-1 6-2,1.40,6.7%,57.1%,66.7%,57.8%,10/13,3.3%,62.0%,56.0%,34.8%,10/21,2:32
R32,14,(14)Thomas Enqvist[SWE] [yr|ev],d.,55,Jiri Novak[CZE] [yr|ev],6-2 6-3 6-7(5) 2-6 8-6,1.11,6.9%,57.9%,71.7%,52.2%,8/13,5.6%,56.9%,74.7%,39.1%,12/19,3:04
R32,82,Guillermo Canas[ARG] [yr|ev],d.,11,(11)Tim Henman[GBR] [yr|ev],4-6 6-4 6-4 3-6 7-5,1.19,2.8%,68.8%,71.7%,62.2%,7/11,0.0%,58.3%,72.5%,49.2%,11/16,3:26
R32,6,(6)Lleyton Hewitt[AUS] [yr|ev],d.,48,Andy Roddick[USA] [yr|ev],6-7(6) 6-4 2-2 RET,1.04,14.9%,60.4%,67.2%,57.5%,5/6,0.0%,56.5%,76.9%,42.5%,14/16,2:18
R32,76,Galo Blanco[ESP] [yr|ev],d.,92,Lars Burgsmuller[GER] [yr|ev],7-5 6-2 6-3,1.73,5.7%,58.6%,78.0%,69.0%,1/3,2.2%,53.3%,61.2%,48.8%,4/11,1:54
R32,10,(10)Sebastien Grosjean[FRA] [yr|ev],d.,75,Antony Dupuis[FRA] [yr|ev],6-4 2-6 3-6 6-4 6-2,1.04,2.7%,61.0%,65.2%,40.4%,14/22,2.9%,50.7%,60.6%,46.4%,20/29,3:10
R32,16,(16)Franco Squillari[ARG] [yr|ev],d.,124,(Q)Albert Montanes[ESP] [yr|ev],6-3 6-3 5-7 6-3,1.24,6.3%,57.1%,78.1%,52.1%,4/7,1.6%,62.1%,68.8%,42.6%,12/19,2:29
R32,3,(3)Andre Agassi[USA] [yr|ev],d.,99,Fernando Meligeni[BRA] [yr|ev],6-3 2-6 6-1 6-3,1.10,1.7%,62.2%,54.1%,53.3%,18/24,3.4%,54.2%,56.3%,40.7%,15/25,2:25
R32,59,Wayne Arthurs[AUS] [yr|ev],d.,184,(WC)Nicolas Coutelot[FRA] [yr|ev],7-6(5) 6-7(5) 7-6(5) 7-6(4),0.97,13.3%,54.5%,83.3%,56.0%,9/11,1.3%,70.4%,72.3%,70.2%,8/10,3:13
R32,18,Roger Federer[SUI] [yr|ev],d.,89,David Sanchez[ESP] [yr|ev],6-4 6-3 1-6 6-3,1.11,3.6%,64.3%,75.0%,40.0%,14/18,1.7%,60.9%,58.6%,57.8%,10/15,2:19
R32,13,(13)Alex Corretja[ESP] [yr|ev],d.,493,Magnus Larsson[SWE] [yr|ev],6-0 6-3 6-4,1.64,6.0%,44.6%,78.4%,60.9%,5/6,2.7%,58.1%,60.5%,32.3%,7/13,1:48
R32,43,Fabrice Santoro[FRA] [yr|ev],d.,2,(2)Marat Safin[RUS] [yr|ev],6-4 6-4 4-6 0-6 6-1,0.94,0.8%,54.1%,56.9%,49.2%,14/23,5.2%,58.2%,65.4%,42.9%,15/24,3:12
R64,1,(1)Gustavo Kuerten[BRA] [yr|ev],d.,74,Agustin Calleri[ARG] [yr|ev],6-4 6-4 6-4,1.28,5.2%,55.2%,75.5%,53.5%,4/6,12.2%,58.2%,68.4%,39.0%,6/11,2:03
R64,109,Karim Alami[MAR] [yr|ev],d.,40,Harel Levy[ISR] [yr|ev],6-4 RET,1.76,10.3%,69.0%,75.0%,77.8%,2/2,7.5%,60.0%,79.2%,25.0%,6/7,0:43
R64,122,(Q)Michael Russell[USA] [yr|ev],d.,65,Sergi Bruguera[ESP] [yr|ev],4-6 5-7 6-3 RET,0.96,4.7%,67.1%,56.1%,50.0%,8/15,6.5%,43.9%,74.5%,41.7%,5/12,2:00
R64,63,Xavier Malisse[BEL] [yr|ev],d.,118,(Q)Kristian Pless[DEN] [yr|ev],4-0 RET,1.83,16.7%,41.7%,80.0%,57.1%,0/0,0.0%,50.0%,44.4%,33.3%,4/6,0:15
R64,45,Bohdan Ulihrach[CZE] [yr|ev],d.,93,Mariano Puerta[ARG] [yr|ev],2-6 6-3 6-3 6-3,1.23,8.7%,49.5%,72.5%,61.5%,3/6,2.7%,65.8%,68.5%,42.1%,7/12,2:07
R64,83,Tommy Robredo[ESP] [yr|ev],d.,205,(WC)Jean Rene Lisnard[MON] [yr|ev],6-3 6-3 6-0,1.80,5.6%,66.2%,70.2%,66.7%,0/1,0.0%,41.4%,58.6%,34.1%,9/16,1:24
R64,70,Olivier Rochus[BEL] [yr|ev],d.,21,Dominik Hrbaty[SVK] [yr|ev],2-6 6-4 6-4 6-4,1.04,2.5%,63.6%,64.0%,41.9%,9/16,11.9%,51.7%,72.1%,35.1%,12/20,2:27
R64,7,(7)Yevgeny Kafelnikov[RUS] [yr|ev],d.,112,(LL)Cecil Mamiit[PHI] [yr|ev],7-6(3) 3-6 6-3 7-6(2),1.06,5.9%,52.3%,67.5%,39.7%,13/21,4.0%,58.0%,62.1%,36.5%,12/20,3:18
R64,4,(4)Juan Carlos Ferrero[ESP] [yr|ev],d.,220,(Q)Marcos Ondruska[RSA] [yr|ev],6-2 6-2 6-0,2.68,5.1%,55.9%,81.8%,73.1%,1/1,1.4%,53.5%,55.3%,24.2%,17/24,1:39
R64,79,(Q)Jacobo Diaz[ESP] [yr|ev],d.,160,(Q)Fernando Gonzalez[CHI] [yr|ev],3-6 7-5 6-3 6-4,1.22,1.7%,76.1%,69.7%,57.1%,9/13,9.2%,59.2%,72.7%,39.6%,10/16,2:42
R64,55,Jiri Novak[CZE] [yr|ev],d.,53,Cedric Pioline[FRA] [yr|ev],2-6 6-4 6-2 7-5,1.09,3.8%,60.8%,67.1%,47.1%,5/10,7.0%,43.7%,64.5%,48.8%,12/19,2:53
R64,14,(14)Thomas Enqvist[SWE] [yr|ev],d.,91,Jose Acasuso[ARG] [yr|ev],4-6 6-3 6-4 7-5,1.09,5.7%,55.0%,77.9%,44.4%,10/15,11.9%,37.3%,87.2%,43.0%,10/17,2:52
R64,11,(11)Tim Henman[GBR] [yr|ev],d.,31,Sjeng Schalken[NED] [yr|ev],6-4 6-2 6-2,1.23,7.4%,57.4%,72.2%,47.5%,8/10,0.0%,59.7%,58.1%,44.8%,2/9,2:01
R64,82,Guillermo Canas[ARG] [yr|ev],d.,37,Alberto Martin[ESP] [yr|ev],6-2 4-6 6-2 2-6 6-4,1.16,7.1%,55.1%,62.9%,56.1%,8/15,1.4%,63.5%,55.3%,50.0%,16/25,3:26
R64,48,Andy Roddick[USA] [yr|ev],d.,35,Michael Chang[USA] [yr|ev],5-7 6-3 6-4 6-7(5) 7-5,1.03,19.7%,60.1%,74.3%,53.3%,14/17,9.8%,60.7%,73.7%,51.6%,12/17,3:50
R64,6,(6)Lleyton Hewitt[AUS] [yr|ev],d.,116,(Q)Nikolay Davydenko[RUS] [yr|ev],6-0 6-1 6-3,1.93,1.4%,50.7%,77.1%,61.8%,7/8,2.7%,65.3%,46.9%,30.8%,9/17,1:40
R64,76,Galo Blanco[ESP] [yr|ev],d.,5,(5)Pete Sampras[USA] [yr|ev],7-6(4) 6-3 6-2,1.56,8.3%,44.8%,79.1%,67.9%,5/5,10.6%,53.8%,71.4%,41.7%,11/14,2:05
R64,92,Lars Burgsmuller[GER] [yr|ev],d.,72,Younes El Aynaoui[MAR] [yr|ev],7-5 6-4 7-5,1.15,3.8%,63.1%,72.0%,43.8%,11/14,4.1%,62.3%,59.2%,50.0%,9/15,3:05
R64,75,Antony Dupuis[FRA] [yr|ev],d.,22,Tommy Haas[GER] [yr|ev],6-4 6-0 6-3,1.72,11.7%,51.9%,77.5%,62.2%,9/10,3.9%,47.4%,55.6%,42.5%,7/14,1:42
R64,10,(10)Sebastien Grosjean[FRA] [yr|ev],d.,200,(Q)Jan Frode Andersen[NOR] [yr|ev],6-2 6-2 6-2,1.74,15.1%,47.9%,71.4%,71.1%,3/3,0.0%,71.4%,48.0%,55.0%,9/15,1:37
R64,16,(16)Franco Squillari[ARG] [yr|ev],d.,38,Andreas Vinciguerra[SWE] [yr|ev],2-6 6-3 6-3 6-1,1.38,5.9%,51.5%,75.0%,59.2%,3/6,1.1%,49.5%,63.0%,46.8%,13/19,2:06
R64,124,(Q)Albert Montanes[ESP] [yr|ev],d.,98,Andrei Stoliarov[RUS] [yr|ev],6-2 6-3 6-2,1.63,5.1%,41.8%,75.8%,63.0%,4/5,3.0%,48.5%,68.8%,29.4%,9/15,1:32
R64,99,Fernando Meligeni[BRA] [yr|ev],d.,26,Nicolas Lapentti[ECU] [yr|ev],6-0 6-1 6-3,1.65,7.5%,55.0%,75.0%,58.3%,8/8,7.5%,50.7%,55.9%,36.4%,6/13,1:42
R64,3,(3)Andre Agassi[USA] [yr|ev],d.,73,Julien Boutter[FRA] [yr|ev],6-3 6-2 6-2,1.80,0.0%,68.1%,67.3%,78.3%,4/5,9.1%,50.5%,62.0%,32.7%,20/27,1:54
R64,59,Wayne Arthurs[AUS] [yr|ev],d.,61,Juan Balcells[ESP] [yr|ev],7-6(4) 6-4 6-4,1.54,25.5%,64.9%,83.6%,66.7%,6/7,6.1%,84.8%,66.7%,60.0%,4/7,1:44
R64,184,(WC)Nicolas Coutelot[FRA] [yr|ev],d.,39,Marcelo Rios[CHI] [yr|ev],6-3 6-4 6-4,1.36,7.2%,56.6%,78.7%,52.8%,5/7,1.1%,64.8%,54.4%,58.1%,5/10,1:33
R64,18,Roger Federer[SUI] [yr|ev],d.,115,Sargis Sargsian[ARM] [yr|ev],4-6 3-6 6-2 6-4 9-7,1.17,6.1%,66.0%,72.2%,60.0%,7/10,1.2%,61.5%,64.4%,60.0%,5/10,3:17
