Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
1,Lleyton Hewitt,AUS,7,1372,89.7%,38.9%,73,11.3%,19,2.9%,54.0%,78.2%,59.6%,69.7%,40,72.5%,45.2%,110,38.2%,56.7%,1.49,15:44
23,Greg Rusedski,GBR,4,846,91.5%,25.0%,48,12.3%,17,4.4%,65.3%,79.5%,61.5%,73.3%,23,73.9%,38.7%,44,38.6%,54.6%,1.45,7:50
17,Rainer Schuettler,GER,3,580,85.4%,31.9%,17,6.0%,8,2.8%,58.8%,76.6%,59.0%,69.4%,20,65.0%,41.6%,29,51.7%,55.2%,1.36,5:46
11,Andy Roddick,USA,3,352,87.1%,30.0%,22,12.9%,9,5.3%,64.3%,82.7%,50.8%,71.3%,8,50.0%,38.1%,16,56.3%,54.3%,1.33,3:06
WC,Mark Philippoussis,AUS,4,1005,90.0%,21.8%,109,22.4%,46,9.5%,50.0%,86.0%,55.6%,70.8%,30,73.3%,38.5%,36,47.2%,54.1%,1.32,10:42
18,Sjeng Schalken,NED,5,1173,84.1%,29.9%,29,5.5%,30,5.7%,70.7%,74.9%,49.7%,67.5%,38,63.2%,42.4%,65,40.0%,53.7%,1.30,12:28
,Wayne Arthurs,AUS,4,966,98.7%,10.8%,113,24.2%,18,3.9%,61.2%,83.5%,64.1%,76.0%,14,92.9%,31.2%,23,34.8%,52.8%,1.30,8:15
,Arnaud Clement,FRA,4,847,88.2%,30.8%,29,6.6%,12,2.7%,62.5%,72.9%,57.9%,67.3%,29,72.4%,42.0%,37,54.1%,55.0%,1.28,9:24
15,Andrei Pavel,ROU,3,809,83.6%,25.0%,20,5.4%,14,3.8%,63.3%,74.0%,55.1%,67.1%,24,58.3%,41.6%,48,31.3%,53.3%,1.26,8:48
Q,Konstantinos Economidis,GRE,1,355,90.0%,10.0%,11,6.6%,7,4.2%,59.6%,81.8%,62.7%,74.1%,7,57.1%,32.3%,10,30.0%,51.8%,1.25,2:57
,Marc Rosset,SUI,2,417,80.6%,20.6%,39,19.7%,17,8.6%,56.1%,76.6%,57.5%,68.2%,13,46.2%,39.3%,20,35.0%,53.0%,1.23,3:53
4,Tim Henman,GBR,6,1469,83.6%,26.5%,34,5.0%,12,1.8%,63.0%,73.7%,55.3%,66.9%,49,63.3%,40.3%,80,37.5%,52.7%,1.22,17:02
5,Yevgeny Kafelnikov,RUS,3,627,82.2%,24.4%,47,15.9%,20,6.8%,50.2%,80.4%,53.1%,66.8%,21,61.9%,39.5%,27,40.7%,52.3%,1.19,6:00
,Nicolas Kiefer,GER,3,670,84.2%,21.4%,39,12.3%,14,4.4%,59.8%,77.2%,54.3%,68.0%,18,50.0%,37.3%,39,30.8%,51.8%,1.17,6:50
Q,Gregory Carraz,FRA,2,447,86.1%,16.7%,29,13.6%,22,10.3%,63.1%,85.2%,41.8%,69.2%,11,54.5%,36.1%,18,33.3%,51.9%,1.17,4:46
,Adrian Voinea,ROU,3,674,82.0%,24.0%,33,10.5%,12,3.8%,58.4%,73.9%,52.7%,65.1%,14,35.7%,40.4%,42,28.6%,51.9%,1.16,5:58
27,Xavier Malisse,BEL,6,1397,88.6%,27.4%,91,12.6%,24,3.3%,55.8%,78.4%,52.7%,67.0%,57,77.2%,38.3%,69,44.9%,53.1%,1.16,13:24
29,James Blake,USA,2,453,89.2%,18.9%,15,6.9%,9,4.1%,62.2%,77.0%,52.4%,67.7%,10,60.0%,36.9%,18,38.9%,51.7%,1.14,4:01
,Raemon Sluiter,NED,2,405,72.7%,27.3%,15,8.5%,5,2.8%,61.6%,72.5%,52.9%,65.0%,14,35.7%,39.9%,24,37.5%,50.9%,1.14,3:41
24,Gaston Gaudio,ARG,2,470,73.0%,36.8%,20,9.0%,13,5.9%,62.9%,67.6%,46.3%,59.7%,22,54.5%,45.8%,37,37.8%,52.3%,1.14,4:20
LL,Jeff Morrison,USA,3,609,77.8%,26.7%,20,6.8%,16,5.5%,63.0%,77.2%,40.7%,63.7%,24,58.3%,40.7%,34,35.3%,51.7%,1.12,5:52
6,Pete Sampras,USA,2,534,84.6%,16.2%,35,13.1%,22,8.2%,57.5%,79.2%,44.7%,64.6%,31,80.6%,39.1%,21,28.6%,51.9%,1.10,5:30
2,Marat Safin,RUS,2,444,88.6%,15.2%,34,15.7%,13,6.0%,60.6%,83.2%,47.1%,69.0%,12,66.7%,34.2%,16,31.3%,51.1%,1.10,4:32
12,Jiri Novak,CZE,2,412,83.9%,18.2%,10,5.3%,9,4.8%,70.1%,74.0%,50.0%,66.8%,10,50.0%,36.4%,19,31.6%,50.2%,1.10,3:33
,Jan Vacek,CZE,4,771,84.1%,24.2%,29,7.2%,9,2.2%,57.7%,75.1%,53.8%,66.1%,36,72.2%,37.3%,25,60.0%,52.4%,1.10,7:20
