Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,1,(1)Lleyton Hewitt[AUS] [yr|ev],d.,32,(28)David Nalbandian[ARG] [yr|ev],6-1 6-3 6-2,1.59,6.3%,53.2%,78.6%,48.6%,8/10,2.2%,57.3%,52.9%,31.6%,12/20,1:56,1
SF,1,(1)Lleyton Hewitt[AUS] [yr|ev],d.,5,(4)Tim Henman[GBR] [yr|ev],7-5 6-1 7-5,1.47,4.4%,54.4%,73.5%,65.9%,3/5,2.2%,64.5%,66.7%,36.4%,9/15,2:19,1
SF,32,(28)David Nalbandian[ARG] [yr|ev],d.,35,(27)Xavier Malisse[BEL] [yr|ev],7-6(2) 6-4 1-6 2-6 6-2,1.13,0.7%,59.0%,65.9%,54.2%,11/17,14.9%,50.0%,70.2%,41.7%,13/18,3:18,3
QF,1,(1)Lleyton Hewitt[AUS] [yr|ev],d.,23,(18)Sjeng Schalken[NED] [yr|ev],6-2 6-2 6-7(5) 1-6 7-5,1.19,13.1%,58.8%,72.2%,49.2%,5/10,2.3%,75.7%,64.1%,28.6%,19/27,3:51,1
QF,5,(4)Tim Henman[GBR] [yr|ev],d.,90,Andre Sa[BRA] [yr|ev],6-3 5-7 6-4 6-3,1.17,5.1%,61.0%,79.5%,45.3%,10/12,2.2%,58.2%,69.2%,48.2%,10/15,3:10,4
QF,35,(27)Xavier Malisse[BEL] [yr|ev],d.,1093,Richard Krajicek[NED] [yr|ev],6-1 4-6 6-2 3-6 9-7,1.43,11.6%,57.2%,86.1%,54.2%,6/9,11.6%,54.4%,77.5%,40.3%,8/14,2:27,19
QF,32,(28)David Nalbandian[ARG] [yr|ev],d.,27,(22)Nicolas Lapentti[ECU] [yr|ev],6-4 6-4 4-6 4-6 6-4,1.05,2.7%,51.0%,57.9%,54.8%,3/12,6.2%,58.4%,69.1%,32.8%,9/19,3:43,3
R16,1,(1)Lleyton Hewitt[AUS] [yr|ev],d.,61,Mikhail Youzhny[RUS] [yr|ev],6-3 6-3 7-5,1.35,10.3%,51.5%,80.0%,55.3%,5/6,2.1%,65.3%,64.5%,42.4%,9/14,2:13,1
R16,23,(18)Sjeng Schalken[NED] [yr|ev],d.,80,Jan Vacek[CZE] [yr|ev],6-2 7-5 7-5,2.36,6.7%,72.0%,92.6%,57.1%,0/1,1.8%,51.8%,66.7%,50.9%,8/13,1:54,11
R16,5,(4)Tim Henman[GBR] [yr|ev],d.,45,Michel Kratochvil[SUI] [yr|ev],7-6(5) 6-7(2) 4-6 6-3 6-2,1.22,5.1%,60.3%,73.4%,56.5%,5/10,2.6%,61.7%,69.4%,42.7%,15/22,4:12,4
