Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,5,(4)Roger Federer[SUI] [yr|ev],d.,48,Mark Philippoussis[AUS] [yr|ev],7-6(5) 6-2 7-6(3),1.63,22.6%,57.0%,88.7%,67.5%,0/0,13.7%,68.6%,77.1%,43.8%,3/5,1:56,1
SF,5,(4)Roger Federer[SUI] [yr|ev],d.,6,(5)Andy Roddick[USA] [yr|ev],7-6(6) 6-3 6-3,1.80,20.2%,60.7%,82.4%,75.8%,2/2,4.0%,57.6%,73.7%,50.0%,5/8,1:43,1
SF,48,Mark Philippoussis[AUS] [yr|ev],d.,14,(13)Sebastien Grosjean[FRA] [yr|ev],7-6(3) 6-3 6-3,1.51,12.9%,55.3%,89.4%,63.2%,2/2,5.6%,52.8%,74.5%,57.1%,5/8,1:56,8
QF,6,(5)Andy Roddick[USA] [yr|ev],d.,79,Jonas Bjorkman[SWE] [yr|ev],6-4 6-2 6-4,1.88,20.0%,71.4%,88.0%,55.0%,0/1,4.3%,60.9%,71.4%,41.7%,6/11,1:32,1
QF,5,(4)Roger Federer[SUI] [yr|ev],d.,12,(8)Sjeng Schalken[NED] [yr|ev],6-3 6-4 6-4,1.50,14.1%,67.4%,80.6%,50.0%,3/4,1.0%,72.5%,60.8%,42.9%,7/11,1:38,1
QF,14,(13)Sebastien Grosjean[FRA] [yr|ev],d.,29,(10)Tim Henman[GBR] [yr|ev],7-6(8) 3-6 6-3 6-4,1.23,9.7%,55.6%,75.4%,52.7%,6/11,1.4%,59.4%,59.8%,53.6%,3/9,3:14,4
QF,48,Mark Philippoussis[AUS] [yr|ev],d.,198,Alexander Popp[GER] [yr|ev],4-6 4-6 6-3 6-3 8-6,1.53,24.8%,65.7%,88.9%,53.2%,5/7,8.0%,61.4%,76.9%,44.1%,15/19,3:27,8
R16,79,Jonas Bjorkman[SWE] [yr|ev],d.,43,Max Mirnyi[BLR] [yr|ev],6-4 3-6 6-3 7-6(4),1.03,6.5%,67.4%,74.2%,44.4%,6/9,10.4%,59.0%,73.4%,49.1%,8/12,2:56,4
R16,6,(5)Andy Roddick[USA] [yr|ev],d.,11,(12)Paradorn Srichaphan[THA] [yr|ev],6-4 3-6 6-3 6-2,1.46,13.7%,62.7%,87.5%,52.6%,6/7,5.7%,67.6%,69.0%,50.0%,4/8,1:54,1
R16,5,(4)Roger Federer[SUI] [yr|ev],d.,52,Feliciano Lopez[ESP] [yr|ev],7-6(5) 6-4 6-4,1.09,8.7%,66.3%,69.6%,48.6%,3/6,10.2%,63.0%,63.7%,51.1%,13/18,2:06,1
