Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,2,(2)Roger Federer[SUI] [yr|ev],d.,86,Marat Safin[RUS] [yr|ev],7-6(3) 6-4 6-2,1.39,8.9%,53.3%,75.0%,59.5%,1/3,2.6%,49.1%,63.2%,47.5%,13/18,2:15,1
SF,86,Marat Safin[RUS] [yr|ev],d.,4,(4)Andre Agassi[USA] [yr|ev],7-6(6) 7-6(6) 5-7 1-6 6-3,1.05,20.5%,54.7%,77.3%,56.2%,4/8,5.6%,59.4%,75.7%,52.1%,5/7,3:42,1
SF,2,(2)Roger Federer[SUI] [yr|ev],d.,3,(3)Juan Carlos Ferrero[ESP] [yr|ev],6-4 6-1 6-4,1.42,13.3%,72.3%,83.3%,43.5%,4/4,8.5%,57.7%,65.9%,53.3%,2/6,1:29,1
QF,86,Marat Safin[RUS] [yr|ev],d.,1,(1)Andy Roddick[USA] [yr|ev],2-6 6-3 7-5 6-7(0) 6-4,0.94,12.5%,53.9%,74.4%,55.7%,4/7,12.0%,63.3%,74.7%,56.4%,9/14,3:23,1
QF,4,(4)Andre Agassi[USA] [yr|ev],d.,10,(9)Sebastien Grosjean[FRA] [yr|ev],6-2 2-0 RET,1.78,13.3%,66.7%,75.0%,60.0%,0/0,8.9%,55.6%,64.0%,25.0%,5/8,0:44,1
QF,3,(3)Juan Carlos Ferrero[ESP] [yr|ev],d.,51,Hicham Arazi[MAR] [yr|ev],6-1 7-6(6) 7-6(5),1.13,14.0%,56.6%,75.3%,53.6%,8/10,1.9%,65.1%,71.0%,43.2%,4/8,2:36,1
QF,2,(2)Roger Federer[SUI] [yr|ev],d.,8,(8)David Nalbandian[ARG] [yr|ev],7-5 6-4 5-7 6-3,1.03,15.7%,59.8%,82.9%,43.1%,8/11,4.3%,65.0%,68.4%,61.0%,7/12,2:41,1
R16,1,(1)Andy Roddick[USA] [yr|ev],d.,17,(16)Sjeng Schalken[NED] [yr|ev],6-1 6-2 6-3,1.92,20.3%,63.8%,88.6%,48.0%,4/4,1.6%,76.6%,59.2%,20.0%,0/6,1:19,1
R16,86,Marat Safin[RUS] [yr|ev],d.,39,James Blake[USA] [yr|ev],7-6(3) 6-3 6-7(6) 6-3,1.06,13.5%,53.4%,78.5%,49.3%,8/11,1.5%,63.4%,69.9%,50.0%,8/13,3:08,1
R16,4,(4)Andre Agassi[USA] [yr|ev],d.,15,(13)Paradorn Srichaphan[THA] [yr|ev],7-6(3) 6-3 6-4,1.57,5.4%,59.1%,89.1%,52.6%,7/8,6.6%,63.2%,68.7%,43.6%,11/14,2:06,1
R16,10,(9)Sebastien Grosjean[FRA] [yr|ev],d.,33,(32)Robby Ginepri[USA] [yr|ev],6-4 3-6 6-4 6-1,1.36,4.0%,57.6%,77.2%,57.1%,2/5,2.9%,64.1%,60.6%,51.4%,2/8,2:06,4
R16,51,Hicham Arazi[MAR] [yr|ev],d.,9,(10)Mark Philippoussis[AUS] [yr|ev],6-2 6-2 6-4,1.44,8.0%,63.2%,78.2%,53.1%,10/10,9.2%,65.5%,70.2%,26.7%,5/10,1:44,22
R16,3,(3)Juan Carlos Ferrero[ESP] [yr|ev],d.,67,Andrei Pavel[ROU] [yr|ev],6-4 3-6 6-3 6-2,1.29,9.6%,60.0%,75.4%,60.9%,2/3,12.6%,60.0%,61.7%,59.3%,9/13,2:43,1
R16,8,(8)David Nalbandian[ARG] [yr|ev],d.,248,Guillermo Canas[ARG] [yr|ev],6-4 6-2 6-1,1.99,11.9%,61.2%,80.5%,65.4%,2/3,5.4%,57.0%,62.3%,32.5%,8/15,1:44,3
R16,2,(2)Roger Federer[SUI] [yr|ev],d.,11,(15)Lleyton Hewitt[AUS] [yr|ev],4-6 6-3 6-0 6-4,1.19,12.0%,59.0%,73.9%,56.3%,6/7,4.4%,65.5%,66.2%,48.7%,8/13,2:18,1
R32,1,(1)Andy Roddick[USA] [yr|ev],d.,28,(27)Taylor Dent[USA] [yr|ev],6-2 6-0 6-2,2.04,6.6%,60.7%,86.5%,45.8%,0/1,2.9%,51.5%,51.4%,27.3%,3/11,1:11,1
R32,17,(16)Sjeng Schalken[NED] [yr|ev],d.,78,Jurgen Melzer[AUT] [yr|ev],7-6(1) 6-4 6-1,1.39,0.9%,74.8%,71.3%,51.9%,9/11,3.2%,51.1%,58.3%,47.8%,9/14,2:03,11
R32,86,Marat Safin[RUS] [yr|ev],d.,66,Todd Martin[USA] [yr|ev],7-5 1-6 4-6 6-0 7-5,1.01,5.9%,54.2%,74.7%,54.3%,4/7,6.8%,61.6%,76.7%,46.4%,4/9,3:25,1
R32,39,James Blake[USA] [yr|ev],d.,171,(Q)Olivier Patience[FRA] [yr|ev],6-1 6-3 6-2,1.96,10.3%,64.7%,79.5%,58.3%,0/1,3.7%,64.6%,54.7%,27.6%,6/13,1:15,4
R32,4,(4)Andre Agassi[USA] [yr|ev],d.,96,Thomas Enqvist[SWE] [yr|ev],6-0 6-3 6-3,1.64,11.4%,59.5%,83.0%,43.8%,4/5,7.7%,46.2%,60.0%,34.3%,2/9,1:29,1
R32,15,(13)Paradorn Srichaphan[THA] [yr|ev],d.,19,(19)Gustavo Kuerten[BRA] [yr|ev],6-3 7-5 6-4,1.42,7.0%,62.8%,75.9%,65.6%,1/3,8.1%,61.6%,73.6%,39.4%,5/10,1:48,9
R32,10,(9)Sebastien Grosjean[FRA] [yr|ev],d.,44,Dominik Hrbaty[SVK] [yr|ev],2-6 6-4 6-1 6-3,1.25,11.1%,56.7%,80.4%,46.2%,0/3,0.9%,65.1%,63.4%,44.7%,6/12,2:11,4
R32,33,(32)Robby Ginepri[USA] [yr|ev],d.,59,(WC)Nicolas Escude[FRA] [yr|ev],6-2 6-3 6-4,1.14,10.8%,61.3%,71.9%,55.6%,6/7,9.5%,66.2%,73.5%,36.0%,5/10,1:35,15
R32,51,Hicham Arazi[MAR] [yr|ev],d.,27,(26)Albert Costa[ESP] [yr|ev],2-6 7-6(2) 6-2 6-1,1.07,6.7%,59.1%,72.7%,47.5%,15/18,11.0%,56.9%,72.6%,42.6%,1/6,2:57,22
R32,9,(10)Mark Philippoussis[AUS] [yr|ev],d.,73,Mario Ancic[CRO] [yr|ev],6-4 7-6(2) 6-2,1.44,9.1%,49.5%,81.6%,58.0%,6/8,10.4%,58.3%,60.7%,50.0%,4/9,2:17,8
R32,67,Andrei Pavel[ROU] [yr|ev],d.,14,(14)Jiri Novak[CZE] [yr|ev],4-6 3-6 7-5 7-6(3) 6-4,1.02,8.7%,66.9%,69.6%,43.9%,8/14,3.7%,58.0%,68.8%,48.1%,9/15,3:27,13
R32,3,(3)Juan Carlos Ferrero[ESP] [yr|ev],d.,90,Joachim Johansson[SWE] [yr|ev],6-1 7-6(4) 6-7(5) 6-4,1.33,11.3%,63.7%,83.5%,51.1%,3/4,14.5%,69.5%,69.2%,47.5%,8/12,2:28,1
R32,8,(8)David Nalbandian[ARG] [yr|ev],d.,25,(31)Wayne Ferreira[RSA] [yr|ev],6-2 6-4 7-5,1.48,3.6%,57.1%,79.2%,61.1%,1/2,3.5%,61.2%,65.4%,45.5%,2/7,1:44,3
R32,248,Guillermo Canas[ARG] [yr|ev],d.,12,(11)Tim Henman[GBR] [yr|ev],6-7(5) 5-7 7-6(3) 7-5 9-7,1.01,1.9%,73.0%,66.9%,63.2%,12/16,4.3%,68.4%,72.7%,50.0%,5/10,4:51,8
R32,11,(15)Lleyton Hewitt[AUS] [yr|ev],d.,41,Rafael Nadal[ESP] [yr|ev],7-6(2) 7-6(5) 6-2,1.17,8.3%,53.2%,72.4%,60.8%,4/6,1.0%,70.4%,65.2%,51.7%,6/10,2:29,1
R32,2,(2)Roger Federer[SUI] [yr|ev],d.,148,(WC)Todd Reid[AUS] [yr|ev],6-3 6-0 6-1,2.03,8.8%,54.4%,74.2%,65.4%,0/1,1.4%,57.7%,43.9%,33.3%,6/14,1:14,1
R64,1,(1)Andy Roddick[USA] [yr|ev],d.,205,Bohdan Ulihrach[CZE] [yr|ev],6-2 6-2 6-3,2.46,30.3%,65.2%,93.0%,60.9%,3/3,2.6%,51.3%,66.7%,43.2%,4/9,1:13,1
R64,28,(27)Taylor Dent[USA] [yr|ev],d.,40,Juan Ignacio Chela[ARG] [yr|ev],3-6 6-4 4-6 7-6(4) 7-5,0.98,9.1%,56.3%,61.6%,48.1%,8/18,1.7%,59.5%,64.1%,45.7%,13/22,3:30,21
R64,78,Jurgen Melzer[AUT] [yr|ev],d.,99,Galo Blanco[ESP] [yr|ev],6-3 6-4 6-3,1.20,10.0%,61.8%,79.4%,42.9%,10/10,3.4%,58.6%,68.6%,44.4%,4/8,1:55,8
R64,17,(16)Sjeng Schalken[NED] [yr|ev],d.,74,David Ferrer[ESP] [yr|ev],6-3 6-2 5-7 6-1,1.29,1.8%,73.5%,68.7%,36.7%,5/10,0.0%,61.6%,53.2%,41.7%,11/21,2:44,11
R64,86,Marat Safin[RUS] [yr|ev],d.,37,Jarkko Nieminen[FIN] [yr|ev],7-6(5) 6-4 4-6 6-4,1.16,18.0%,60.9%,83.3%,52.0%,11/13,0.7%,67.1%,72.3%,54.3%,6/9,2:39,1
R64,66,Todd Martin[USA] [yr|ev],d.,72,Ivo Karlovic[CRO] [yr|ev],7-6(4) 7-6(4) 7-6(7),1.07,8.4%,66.4%,74.7%,68.2%,3/3,26.8%,64.2%,83.5%,47.7%,3/3,2:45,4
R64,171,(Q)Olivier Patience[FRA] [yr|ev],d.,52,Nikolay Davydenko[RUS] [yr|ev],7-6(2) 6-7(7) 6-3 6-2,1.17,5.6%,68.1%,72.4%,50.0%,6/9,2.9%,72.1%,62.4%,51.3%,9/15,2:56,87
R64,39,James Blake[USA] [yr|ev],d.,55,Nicolas Lapentti[ECU] [yr|ev],6-3 7-6(4) 2-6 6-1,1.08,8.5%,61.5%,72.5%,54.0%,8/10,8.5%,64.4%,69.7%,50.0%,13/16,2:39,4
R64,4,(4)Andre Agassi[USA] [yr|ev],d.,116,(Q)Tomas Berdych[CZE] [yr|ev],6-0 6-2 6-4,1.71,9.5%,73.0%,75.9%,60.0%,3/3,17.1%,60.0%,61.9%,35.7%,2/8,1:22,1
R64,96,Thomas Enqvist[SWE] [yr|ev],d.,63,Karol Beck[SVK] [yr|ev],7-5 4-6 6-3 6-4,1.07,5.5%,54.1%,72.2%,49.3%,7/11,12.9%,50.0%,77.3%,40.9%,9/15,2:49,4
R64,19,(19)Gustavo Kuerten[BRA] [yr|ev],d.,36,Ivan Ljubicic[CRO] [yr|ev],7-5 6-7(5) 6-4 6-3,1.15,5.9%,58.1%,72.2%,52.6%,3/8,12.8%,57.1%,69.7%,43.9%,5/13,3:03,1
R64,15,(13)Paradorn Srichaphan[THA] [yr|ev],d.,310,(Q)Jerome Golmard[FRA] [yr|ev],6-3 RET,1.00,10.3%,69.2%,77.8%,41.7%,4/4,12.5%,45.8%,81.8%,53.8%,0/1,0:34,9
R64,10,(9)Sebastien Grosjean[FRA] [yr|ev],d.,62,Jan Michael Gambill[USA] [yr|ev],6-4 6-3 6-2,1.72,10.4%,41.6%,93.8%,60.0%,4/4,8.5%,54.3%,66.7%,41.9%,7/12,2:00,4
R64,44,Dominik Hrbaty[SVK] [yr|ev],d.,34,Gaston Gaudio[ARG] [yr|ev],6-1 7-5 6-0,1.79,3.9%,61.0%,78.7%,50.0%,5/7,1.5%,58.2%,51.3%,28.6%,6/14,1:27,12
R64,33,(32)Robby Ginepri[USA] [yr|ev],d.,395,(WC)Chris Guccione[AUS] [yr|ev],6-4 6-3 6-3,2.15,16.2%,66.2%,88.9%,69.6%,0/0,13.9%,62.0%,77.6%,36.7%,4/8,1:11,15
