Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,2,(2)Andre Agassi[USA] [yr|ev],d.,36,(31)Rainer Schuettler[GER] [yr|ev],6-2 6-2 6-1,2.20,12.1%,67.2%,74.4%,73.7%,0/1,6.2%,50.8%,57.6%,28.1%,5/13,1:16,1
SF,36,(31)Rainer Schuettler[GER] [yr|ev],d.,10,(9)Andy Roddick[USA] [yr|ev],7-5 2-6 6-3 6-3,1.34,5.9%,52.9%,75.9%,62.5%,3/6,8.9%,61.8%,68.4%,44.7%,8/13,2:19,5
SF,2,(2)Andre Agassi[USA] [yr|ev],d.,39,Wayne Ferreira[RSA] [yr|ev],6-2 6-2 6-3,1.75,8.5%,73.2%,84.6%,42.1%,3/3,9.9%,60.5%,63.3%,37.5%,5/11,1:28,1
QF,10,(9)Andy Roddick[USA] [yr|ev],d.,22,(18)Younes El Aynaoui[MAR] [yr|ev],4-6 7-6(5) 4-6 6-4 21-19,1.22,11.7%,61.9%,79.7%,69.3%,6/9,9.9%,70.8%,78.8%,50.0%,10/13,5:00,1
QF,36,(31)Rainer Schuettler[GER] [yr|ev],d.,12,(10)David Nalbandian[ARG] [yr|ev],6-3 5-7 6-1 6-0,1.47,2.9%,50.5%,75.5%,59.6%,5/7,2.8%,57.0%,54.1%,50.0%,2/10,2:18,5
QF,39,Wayne Ferreira[RSA] [yr|ev],d.,4,(4)Juan Carlos Ferrero[ESP] [yr|ev],7-6(4) 7-6(5) 6-1,1.26,11.8%,52.9%,79.6%,54.2%,3/6,5.2%,60.9%,67.1%,46.7%,8/14,2:11,6
QF,2,(2)Andre Agassi[USA] [yr|ev],d.,16,(12)Sebastien Grosjean[FRA] [yr|ev],6-3 6-2 6-2,1.80,4.0%,65.3%,77.6%,61.5%,2/2,4.5%,46.8%,67.3%,33.9%,12/18,2:00,1
R16,22,(18)Younes El Aynaoui[MAR] [yr|ev],d.,1,(1)Lleyton Hewitt[AUS] [yr|ev],6-7(4) 7-6(4) 7-6(5) 6-4,1.07,22.8%,69.7%,82.2%,56.8%,3/3,9.5%,46.9%,88.4%,59.0%,3/4,3:30,14
R16,10,(9)Andy Roddick[USA] [yr|ev],d.,31,(25)Mikhail Youzhny[RUS] [yr|ev],6-7(4) 3-6 7-5 6-3 6-2,1.23,14.1%,64.7%,80.2%,49.1%,5/7,8.4%,54.8%,65.9%,57.3%,7/12,3:14,1
R16,36,(31)Rainer Schuettler[GER] [yr|ev],d.,28,(23)James Blake[USA] [yr|ev],6-3 6-4 1-6 6-3,1.25,1.1%,61.7%,75.9%,47.2%,1/6,4.0%,56.0%,64.3%,45.5%,2/8,1:55,5
