Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,2,(2)Rafael Nadal[ESP] [yr|ev],d.,7,(5)Robin Soderling[SWE] [yr|ev],6-4 6-2 6-4,1.37,7.8%,76.7%,73.9%,61.9%,8/8,7.7%,56.0%,64.7%,55.0%,8/12,2:18,1
SF,7,(5)Robin Soderling[SWE] [yr|ev],d.,17,(15)Tomas Berdych[CZE] [yr|ev],6-3 3-6 5-7 6-3 6-3,1.16,12.4%,62.8%,75.8%,50.0%,8/12,14.0%,50.0%,74.7%,46.7%,7/13,3:27,4
SF,2,(2)Rafael Nadal[ESP] [yr|ev],d.,27,(22)Jurgen Melzer[AUT] [yr|ev],6-2 6-3 7-6(6),1.65,4.7%,76.5%,75.4%,55.0%,1/3,3.0%,72.7%,56.9%,37.0%,3/8,2:09,1
QF,7,(5)Robin Soderling[SWE] [yr|ev],d.,1,(1)Roger Federer[SUI] [yr|ev],3-6 6-3 7-5 6-4,1.01,11.1%,64.3%,72.8%,55.6%,5/7,10.1%,63.9%,73.7%,53.5%,5/9,2:30,4
QF,17,(15)Tomas Berdych[CZE] [yr|ev],d.,14,(11)Mikhail Youzhny[RUS] [yr|ev],6-3 6-1 6-2,1.98,11.6%,52.2%,86.1%,63.6%,3/3,1.2%,64.6%,58.5%,37.9%,6/12,1:54,4
QF,27,(22)Jurgen Melzer[AUT] [yr|ev],d.,3,(3)Novak Djokovic[SRB] [yr|ev],3-6 2-6 6-2 7-6(3) 6-4,1.13,6.2%,50.3%,71.2%,56.9%,4/8,2.0%,64.5%,66.9%,45.7%,20/24,4:15,8
QF,2,(2)Rafael Nadal[ESP] [yr|ev],d.,21,(19)Nicolas Almagro[ESP] [yr|ev],7-6(2) 7-6(3) 6-4,1.16,3.6%,73.0%,72.8%,56.7%,1/2,4.5%,63.4%,71.8%,48.8%,4/6,2:35,1
R16,1,(1)Roger Federer[SUI] [yr|ev],d.,24,(20)Stan Wawrinka[SUI] [yr|ev],6-3 7-6(5) 6-2,1.25,7.9%,66.3%,72.9%,63.3%,3/4,5.7%,55.2%,79.2%,41.0%,3/8,1:56,1
R16,7,(5)Robin Soderling[SWE] [yr|ev],d.,12,(10)Marin Cilic[CRO] [yr|ev],6-4 6-4 6-2,1.37,8.3%,72.2%,67.3%,60.0%,2/5,5.1%,57.7%,62.2%,39.4%,7/14,1:41,4
R16,17,(15)Tomas Berdych[CZE] [yr|ev],d.,4,(4)Andy Murray[GBR] [yr|ev],6-4 7-5 6-3,1.48,12.0%,45.8%,92.1%,53.3%,0/1,13.3%,51.4%,66.7%,47.1%,9/14,2:16,4
R16,14,(11)Mikhail Youzhny[RUS] [yr|ev],d.,10,(8)Jo-Wilfried Tsonga[FRA] [yr|ev],6-2 RET,2.97,0.0%,70.6%,83.3%,60.0%,0/1,0.0%,55.0%,45.5%,11.1%,2/5,0:30,8
R16,27,(22)Jurgen Melzer[AUT] [yr|ev],d.,114,(Q)Teymuraz Gabashvili[RUS] [yr|ev],7-6(6) 4-6 6-1 6-4,1.20,8.6%,53.9%,78.3%,57.6%,6/8,7.3%,56.9%,67.1%,56.6%,9/13,2:54,8
R16,3,(3)Novak Djokovic[SRB] [yr|ev],d.,98,Robby Ginepri[USA] [yr|ev],6-4 2-6 6-1 6-2,1.06,1.8%,69.7%,68.4%,54.5%,6/8,3.4%,73.6%,68.8%,43.5%,4/9,2:17,1
R16,21,(19)Nicolas Almagro[ESP] [yr|ev],d.,9,(7)Fernando Verdasco[ESP] [yr|ev],6-1 4-6 6-1 6-4,1.75,6.8%,51.1%,80.0%,69.8%,0/1,2.1%,76.0%,57.5%,52.2%,6/12,2:12,9
R16,2,(2)Rafael Nadal[ESP] [yr|ev],d.,29,(24)Thomaz Bellucci[BRA] [yr|ev],6-2 7-5 6-4,1.43,2.3%,73.9%,63.1%,65.2%,5/9,2.0%,54.9%,51.8%,43.5%,3/11,2:33,1
R32,1,(1)Roger Federer[SUI] [yr|ev],d.,165,(Q)Julian Reister[GER] [yr|ev],6-4 6-0 6-4,2.06,8.3%,56.9%,87.8%,61.3%,0/0,1.3%,76.3%,52.5%,47.4%,8/13,1:33,1
R32,24,(20)Stan Wawrinka[SUI] [yr|ev],d.,92,Fabio Fognini[ITA] [yr|ev],6-3 6-4 6-1,1.40,8.9%,58.2%,69.6%,60.6%,3/4,1.1%,57.8%,61.5%,39.5%,5/11,1:52,3
R32,12,(10)Marin Cilic[CRO] [yr|ev],d.,57,Leonardo Mayer[ARG] [yr|ev],6-4 3-6 7-5 6-7(5) 6-4,0.99,7.0%,52.6%,72.2%,60.5%,11/14,14.1%,58.3%,78.9%,50.0%,6/11,4:13,3
R32,7,(5)Robin Soderling[SWE] [yr|ev],d.,34,(29)Albert Montanes[ESP] [yr|ev],6-4 7-5 2-6 6-3,1.30,17.7%,63.7%,79.2%,58.5%,5/7,6.6%,66.4%,67.9%,53.7%,8/11,2:29,4
R32,4,(4)Andy Murray[GBR] [yr|ev],d.,30,(25)Marcos Baghdatis[CYP] [yr|ev],6-2 6-3 0-6 6-2,1.12,4.0%,62.0%,69.4%,34.2%,4/9,4.3%,42.2%,59.2%,44.8%,10/18,2:33,1
R32,17,(15)Tomas Berdych[CZE] [yr|ev],d.,19,(17)John Isner[USA] [yr|ev],6-2 6-2 6-1,2.84,16.4%,54.5%,93.3%,68.0%,0/0,9.9%,73.6%,55.2%,29.2%,5/12,1:33,4
R32,14,(11)Mikhail Youzhny[RUS] [yr|ev],d.,41,Viktor Troicki[SRB] [yr|ev],2-6 7-6(4) 6-2 6-3,1.15,3.0%,63.4%,70.3%,48.6%,1/6,6.8%,66.9%,60.8%,48.7%,7/14,2:50,8
R32,10,(8)Jo-Wilfried Tsonga[FRA] [yr|ev],d.,50,Thiemo De Bakker[NED] [yr|ev],6-7(6) 7-6(4) 6-3 6-4,1.20,11.2%,65.7%,80.9%,57.1%,2/3,5.6%,60.4%,72.4%,59.6%,7/10,3:06,5
R32,114,(Q)Teymuraz Gabashvili[RUS] [yr|ev],d.,8,(6)Andy Roddick[USA] [yr|ev],6-4 6-4 6-2,1.70,10.5%,53.5%,78.3%,72.5%,3/3,4.5%,71.9%,62.5%,48.0%,7/11,1:54,43
R32,27,(22)Jurgen Melzer[AUT] [yr|ev],d.,11,(9)David Ferrer[ESP] [yr|ev],6-4 6-0 7-6(1),1.76,8.5%,68.3%,80.4%,65.4%,4/4,4.0%,64.0%,54.7%,61.1%,9/13,1:56,8
R32,98,Robby Ginepri[USA] [yr|ev],d.,18,(16)Juan Carlos Ferrero[ESP] [yr|ev],7-5 6-3 3-6 2-6 6-4,0.96,3.3%,69.7%,58.5%,60.9%,8/15,3.6%,76.4%,61.7%,57.6%,5/12,3:16,15
R32,3,(3)Novak Djokovic[SRB] [yr|ev],d.,37,(31)Victor Hanescu[ROU] [yr|ev],6-3 3-6 6-3 6-2,1.27,2.0%,67.0%,74.6%,48.5%,1/5,4.2%,72.0%,60.0%,48.5%,9/16,2:38,1
R32,9,(7)Fernando Verdasco[ESP] [yr|ev],d.,35,(30)Philipp Kohlschreiber[GER] [yr|ev],2-6 6-3 6-3 6-7(1) 6-4,1.07,2.9%,75.3%,66.4%,35.7%,9/16,1.9%,58.7%,68.1%,39.1%,8/17,4:02,7
R32,21,(19)Nicolas Almagro[ESP] [yr|ev],d.,56,Alexandr Dolgopolov[UKR] [yr|ev],6-3 6-3 6-4,1.35,6.7%,46.7%,73.8%,62.5%,5/6,6.5%,57.6%,52.8%,61.5%,5/10,1:53,9
R32,29,(24)Thomaz Bellucci[BRA] [yr|ev],d.,16,(14)Ivan Ljubicic[CRO] [yr|ev],7-6(4) 6-2 6-4,1.20,7.4%,57.9%,69.1%,47.5%,4/8,6.9%,62.7%,64.1%,31.6%,6/13,2:20,21
R32,2,(2)Rafael Nadal[ESP] [yr|ev],d.,33,(28)Lleyton Hewitt[AUS] [yr|ev],6-3 6-4 6-3,1.41,1.3%,75.9%,70.0%,52.6%,3/6,4.5%,53.6%,64.4%,37.3%,9/16,2:28,1
R64,1,(1)Roger Federer[SUI] [yr|ev],d.,70,Alejandro Falla[COL] [yr|ev],7-6(4) 6-2 6-4,1.20,5.8%,62.5%,75.4%,53.8%,7/8,3.2%,68.1%,64.1%,53.3%,5/9,2:00,1
R64,165,(Q)Julian Reister[GER] [yr|ev],d.,62,Olivier Rochus[BEL] [yr|ev],6-2 6-2 7-6(5),1.44,3.2%,71.6%,67.6%,59.3%,3/5,0.0%,63.0%,53.4%,44.1%,4/10,2:13,83
R64,24,(20)Stan Wawrinka[SUI] [yr|ev],d.,74,Andreas Beck[GER] [yr|ev],6-1 6-4 6-4,1.77,17.9%,55.1%,83.7%,65.7%,1/1,3.2%,63.2%,56.7%,57.1%,7/11,1:46,3
R64,92,Fabio Fognini[ITA] [yr|ev],d.,15,(13)Gael Monfils[FRA] [yr|ev],2-6 4-6 7-5 6-4 9-7,1.08,1.8%,65.9%,67.3%,43.9%,8/16,7.5%,64.5%,62.0%,45.1%,11/19,4:16,9
R64,12,(10)Marin Cilic[CRO] [yr|ev],d.,86,Daniel Gimeno Traver[ESP] [yr|ev],6-3 7-6(4) 6-2,1.31,4.6%,51.9%,73.2%,67.3%,6/6,7.4%,58.9%,66.1%,53.8%,6/9,2:17,3
R64,57,Leonardo Mayer[ARG] [yr|ev],d.,38,Julien Benneteau[FRA] [yr|ev],6-7(4) 6-3 6-4 6-4,1.22,6.3%,63.3%,77.8%,42.6%,5/9,1.5%,71.0%,60.2%,50.0%,7/14,3:12,21
R64,34,(29)Albert Montanes[ESP] [yr|ev],d.,157,(Q)Tobias Kamke[GER] [yr|ev],6-3 6-2 6-1,1.64,2.4%,59.5%,82.0%,47.1%,8/8,1.4%,63.9%,54.3%,34.6%,6/12,1:45,22
R64,7,(5)Robin Soderling[SWE] [yr|ev],d.,102,Taylor Dent[USA] [yr|ev],6-0 6-1 6-1,2.24,12.5%,59.4%,84.2%,53.8%,4/4,3.7%,53.7%,37.9%,36.0%,4/12,1:11,4
R64,4,(4)Andy Murray[GBR] [yr|ev],d.,54,Juan Ignacio Chela[ARG] [yr|ev],6-2 6-7(5) 6-3 6-2,1.26,6.2%,56.8%,78.3%,44.4%,8/10,0.0%,59.2%,59.1%,46.9%,9/16,3:30,1
R64,30,(25)Marcos Baghdatis[CYP] [yr|ev],d.,87,Marcel Granollers[ESP] [yr|ev],4-6 6-1 7-5 6-2,1.41,8.7%,51.0%,73.6%,68.6%,6/8,5.6%,64.8%,64.3%,50.0%,3/9,2:40,8
R64,19,(17)John Isner[USA] [yr|ev],d.,68,Marco Chiudinelli[SUI] [yr|ev],6-7(3) 7-6(3) 7-6(7) 6-4,1.08,26.0%,69.9%,78.4%,59.1%,2/4,3.3%,62.5%,75.8%,61.4%,8/11,3:11,8
R64,17,(15)Tomas Berdych[CZE] [yr|ev],d.,124,(WC)Edouard Roger-Vasselin[FRA] [yr|ev],7-5 6-1 6-4,1.61,5.9%,60.0%,84.3%,52.9%,5/7,3.1%,67.0%,61.5%,40.6%,6/12,2:05,4
R64,14,(11)Mikhail Youzhny[RUS] [yr|ev],d.,81,Lukas Lacko[SVK] [yr|ev],6-7(8) 6-3 6-3 6-2,1.31,8.3%,65.9%,69.0%,64.4%,10/12,2.4%,55.6%,65.2%,47.3%,11/18,3:04,8
R64,41,Viktor Troicki[SRB] [yr|ev],d.,132,(WC)Carsten Ball[AUS] [yr|ev],6-4 6-3 6-3,1.66,12.5%,62.5%,78.0%,63.3%,5/6,7.9%,65.3%,66.7%,31.4%,11/16,1:45,12
R64,50,Thiemo De Bakker[NED] [yr|ev],d.,40,(32)Guillermo Garcia Lopez[ESP] [yr|ev],6-3 3-6 7-6(5) 7-5,1.10,11.9%,64.3%,81.5%,44.4%,6/9,3.0%,67.2%,73.3%,47.7%,3/7,2:52,40
R64,10,(8)Jo-Wilfried Tsonga[FRA] [yr|ev],d.,128,(WC)Josselin Ouanna[FRA] [yr|ev],6-0 6-1 6-4,2.29,14.1%,59.4%,92.1%,57.7%,4/4,3.0%,53.0%,62.9%,35.5%,4/10,1:19,5
R64,8,(6)Andy Roddick[USA] [yr|ev],d.,112,Blaz Kavcic[SLO] [yr|ev],6-3 5-7 6-4 6-2,1.19,10.7%,64.5%,66.7%,41.9%,6/13,0.0%,76.6%,52.6%,41.4%,9/19,2:57,1
R64,114,(Q)Teymuraz Gabashvili[RUS] [yr|ev],d.,141,(Q)Grega Zemlja[SLO] [yr|ev],6-3 6-1 6-1,2.60,5.4%,53.6%,76.7%,84.6%,0/0,7.1%,62.2%,59.0%,32.4%,10/17,1:27,43
R64,27,(22)Jurgen Melzer[AUT] [yr|ev],d.,154,(WC)Nicolas Mahut[FRA] [yr|ev],6-1 3-6 7-6(7) 6-4,1.48,4.9%,56.3%,79.3%,66.7%,0/2,6.6%,66.1%,62.5%,58.5%,2/6,2:40,8
R64,11,(9)David Ferrer[ESP] [yr|ev],d.,84,Xavier Malisse[BEL] [yr|ev],6-2 6-2 2-0 RET,2.19,8.7%,58.7%,85.2%,57.9%,2/3,1.6%,49.2%,54.8%,31.3%,5/11,1:16,3
R64,18,(16)Juan Carlos Ferrero[ESP] [yr|ev],d.,96,Pere Riba[ESP] [yr|ev],7-6(5) 6-7(13) 6-2 6-2,1.27,1.4%,73.6%,70.9%,43.2%,7/11,7.3%,49.7%,64.0%,43.4%,7/15,3:31,1
R64,98,Robby Ginepri[USA] [yr|ev],d.,60,Potito Starace[ITA] [yr|ev],3-6 6-4 6-3 6-3,1.26,5.1%,66.9%,72.2%,59.0%,4/6,4.1%,69.9%,62.8%,51.4%,9/13,2:33,15
R64,37,(31)Victor Hanescu[ROU] [yr|ev],d.,175,(Q)Yuri Schukin[KAZ] [yr|ev],6-3 6-4 6-2,2.07,14.9%,77.0%,80.7%,70.6%,0/0,2.3%,50.6%,63.6%,46.5%,4/8,1:40,26
R64,3,(3)Novak Djokovic[SRB] [yr|ev],d.,246,Kei Nishikori[JPN] [yr|ev],6-1 6-4 6-4,1.16,2.6%,63.2%,71.6%,34.9%,7/9,1.1%,60.0%,56.1%,44.7%,8/14,2:40,1
R64,9,(7)Fernando Verdasco[ESP] [yr|ev],d.,67,Florent Serra[FRA] [yr|ev],6-2 6-2 0-6 6-4,1.34,3.5%,66.3%,71.9%,44.8%,1/6,1.9%,58.3%,52.4%,46.7%,11/18,2:15,7
R64,35,(30)Philipp Kohlschreiber[GER] [yr|ev],d.,66,Andreas Seppi[ITA] [yr|ev],7-6(5) 6-3 7-5,1.07,6.3%,48.2%,72.2%,62.1%,4/6,5.1%,50.5%,66.0%,63.3%,5/9,2:37,16
R64,21,(19)Nicolas Almagro[ESP] [yr|ev],d.,106,Steve Darcis[BEL] [yr|ev],6-3 6-0 7-5,1.96,21.9%,56.3%,91.7%,53.6%,0/1,4.3%,44.7%,57.1%,46.2%,6/13,1:40,9
R64,56,Alexandr Dolgopolov[UKR] [yr|ev],d.,13,(12)Fernando Gonzalez[CHI] [yr|ev],6-3 6-4 6-3,1.20,9.1%,48.5%,72.9%,51.0%,5/7,5.1%,58.2%,59.6%,46.3%,6/12,1:49,13
R64,16,(14)Ivan Ljubicic[CRO] [yr|ev],d.,97,Mardy Fish[USA] [yr|ev],6-2 6-7(8) 4-6 6-2 10-8,1.17,10.0%,58.9%,79.2%,50.0%,7/10,5.2%,55.0%,78.1%,41.9%,13/20,4:38,3
R64,29,(24)Thomaz Bellucci[BRA] [yr|ev],d.,146,(Q)Pablo Andujar[ESP] [yr|ev],1-6 6-3 2-6 6-4 6-2,1.03,11.4%,53.0%,72.2%,40.0%,7/14,1.5%,58.2%,62.8%,46.4%,7/14,3:27,21
R64,33,(28)Lleyton Hewitt[AUS] [yr|ev],d.,72,Denis Istomin[UZB] [yr|ev],1-6 6-3 6-4 2-6 6-2,1.00,4.4%,48.1%,75.4%,48.6%,7/12,3.6%,70.3%,64.9%,53.7%,12/17,3:08,1
R64,2,(2)Rafael Nadal[ESP] [yr|ev],d.,44,Horacio Zeballos[ARG] [yr|ev],6-2 6-2 6-3,1.90,1.4%,79.7%,79.7%,46.7%,5/6,2.6%,63.2%,50.0%,46.4%,4/10,1:45,1
R128,1,(1)Roger Federer[SUI] [yr|ev],d.,71,Peter Luczak[AUS] [yr|ev],6-4 6-1 6-2,2.10,10.1%,71.0%,79.6%,75.0%,1/1,7.4%,56.8%,58.7%,48.6%,7/12,1:48,1
R128,70,Alejandro Falla[COL] [yr|ev],d.,43,Janko Tipsarevic[SRB] [yr|ev],6-1 6-2 6-3,1.97,9.7%,59.7%,75.7%,64.0%,2/4,3.9%,55.8%,48.8%,35.3%,6/14,1:16,50
R128,62,Olivier Rochus[BEL] [yr|ev],d.,216,(Q)Benoit Paire[FRA] [yr|ev],3-6 7-6(4) 6-4 7-5,1.18,2.3%,59.1%,70.5%,61.1%,6/9,15.7%,54.9%,75.0%,43.5%,7/11,3:18,24
R128,165,(Q)Julian Reister[GER] [yr|ev],d.,31,(27)Feliciano Lopez[ESP] [yr|ev],6-1 7-6(5) 6-2,1.47,3.1%,64.9%,79.4%,52.9%,5/5,10.2%,56.1%,70.9%,37.2%,6/10,2:14,83
R128,24,(20)Stan Wawrinka[SUI] [yr|ev],d.,75,Jan Hajek[CZE] [yr|ev],6-1 6-3 6-3,2.72,15.2%,59.1%,92.3%,66.7%,3/3,0.0%,75.9%,57.6%,28.6%,8/13,1:34,3
R128,74,Andreas Beck[GER] [yr|ev],d.,95,Paolo Lorenzi[ITA] [yr|ev],4-6 6-3 6-2 6-2,1.45,4.8%,69.2%,76.4%,59.4%,5/6,13.3%,56.2%,71.2%,41.3%,5/10,2:39,33
R128,92,Fabio Fognini[ITA] [yr|ev],d.,91,Nicolas Massu[CHI] [yr|ev],6-1 3-6 2-6 6-3 6-3,1.15,3.9%,63.6%,72.0%,40.4%,4/9,5.6%,63.6%,62.6%,40.4%,13/20,3:34,9
R128,15,(13)Gael Monfils[FRA] [yr|ev],d.,162,(LL)Dieter Kindlmann[GER] [yr|ev],6-3 7-5 6-7(5) 6-2,1.19,8.5%,63.6%,69.5%,51.1%,6/10,2.1%,63.4%,60.0%,48.1%,9/18,2:45,6
R128,12,(10)Marin Cilic[CRO] [yr|ev],d.,90,Ricardo Mello[BRA] [yr|ev],6-1 3-6 6-3 6-1,1.40,5.3%,53.7%,74.5%,52.3%,8/11,1.0%,59.0%,55.9%,41.5%,4/12,2:16,3
R128,86,Daniel Gimeno Traver[ESP] [yr|ev],d.,143,Dmitry Tursunov[RUS] [yr|ev],6-1 6-1 6-1,2.43,7.8%,57.8%,78.4%,74.1%,3/3,0.0%,61.5%,40.0%,48.0%,11/18,1:18,48
R128,57,Leonardo Mayer[ARG] [yr|ev],d.,63,Sergiy Stakhovsky[UKR] [yr|ev],7-6(4) 6-3 6-2,1.69,12.6%,57.5%,82.0%,70.3%,0/0,5.3%,63.2%,71.7%,42.9%,2/5,2:07,21
R128,38,Julien Benneteau[FRA] [yr|ev],d.,28,(23)Ernests Gulbis[LAT] [yr|ev],6-4 6-2 1-0 RET,1.38,5.2%,62.1%,69.4%,59.1%,3/4,6.2%,46.2%,66.7%,40.0%,5/10,1:42,25
R128,34,(29)Albert Montanes[ESP] [yr|ev],d.,281,(Q)Stefano Galvani[ITA] [yr|ev],6-3 6-3 6-3,1.33,7.9%,54.5%,74.5%,54.3%,6/7,2.2%,55.9%,65.4%,39.0%,6/11,2:02,22
R128,157,(Q)Tobias Kamke[GER] [yr|ev],d.,65,Stephane Robert[FRA] [yr|ev],6-0 6-4 6-3,1.51,5.6%,41.7%,63.3%,57.1%,3/7,1.1%,58.4%,46.2%,29.7%,7/17,1:44,64
R128,102,Taylor Dent[USA] [yr|ev],d.,129,Nicolas Lapentti[ECU] [yr|ev],6-3 6-4 7-6(3),1.66,9.9%,52.7%,87.5%,55.8%,2/4,0.0%,65.9%,63.0%,38.1%,9/14,2:14,21
