Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
,Mikhail Kukushkin,KAZ,4,833,68.6%,33.8%,15,3.7%,5,1.2%,64.5%,62.4%,54.5%,59.6%,40,45.0%,43.5%,57,40.4%,51.4%,1.08,10:00
,Ricardo Mello,BRA,2,410,71.9%,28.1%,5,2.7%,11,5.9%,59.6%,66.1%,53.9%,61.2%,19,52.6%,41.9%,18,50.0%,50.7%,1.08,4:34
14,Gael Monfils,FRA,3,754,76.8%,36.4%,24,6.2%,22,5.7%,61.6%,67.1%,45.3%,58.7%,47,72.3%,44.7%,42,47.6%,51.9%,1.08,8:47
,Tommy Haas,GER,2,416,76.5%,20.6%,28,14.1%,5,2.5%,66.7%,72.7%,53.0%,66.2%,13,38.5%,36.2%,20,35.0%,50.5%,1.07,4:53
30,Kevin Anderson,RSA,3,618,89.4%,21.7%,38,11.8%,13,4.0%,68.0%,74.4%,47.6%,65.8%,20,75.0%,36.5%,26,38.5%,51.8%,1.07,7:15
26,Marcel Granollers,ESP,2,553,80.0%,18.2%,31,11.4%,10,3.7%,61.4%,77.8%,43.8%,64.7%,22,59.1%,37.4%,22,36.4%,50.8%,1.06,6:51
27,Juan Ignacio Chela,ARG,3,589,59.1%,41.9%,7,2.3%,5,1.7%,65.0%,57.9%,49.5%,55.0%,36,50.0%,47.1%,35,51.4%,51.1%,1.05,7:38
,Ryan Sweeting,USA,2,465,81.1%,18.9%,13,5.8%,14,6.2%,66.4%,71.3%,50.0%,64.2%,13,46.2%,37.7%,18,38.9%,50.5%,1.05,5:15
WC,Tatsuma Ito,JPN,2,461,75.0%,29.7%,13,5.5%,8,3.4%,59.9%,70.4%,49.5%,62.0%,23,60.9%,39.7%,20,55.0%,51.2%,1.05,5:14
,Jeremy Chardy,FRA,1,296,83.3%,12.5%,19,13.6%,8,5.7%,55.0%,83.1%,46.0%,66.4%,15,73.3%,35.3%,22,13.6%,50.0%,1.05,3:17
,Pablo Andujar,ESP,2,362,55.6%,51.9%,4,2.3%,9,5.1%,59.4%,62.5%,39.4%,53.1%,22,45.5%,48.7%,26,53.8%,50.8%,1.04,4:36
Q,Lukas Lacko,SVK,3,614,81.5%,18.5%,43,14.0%,8,2.6%,64.5%,72.2%,58.7%,67.4%,25,60.0%,33.6%,28,35.7%,50.5%,1.03,7:27
,Thomaz Bellucci,BRA,2,442,71.0%,25.0%,11,5.3%,6,2.9%,51.9%,70.4%,50.0%,60.6%,22,59.1%,40.6%,22,36.4%,50.0%,1.03,5:09
,Michael Llodra,FRA,3,637,69.2%,33.3%,25,8.0%,13,4.1%,63.7%,69.0%,41.2%,58.9%,38,57.9%,42.4%,39,43.6%,50.5%,1.03,7:22
18,Feliciano Lopez,ESP,4,930,86.1%,21.1%,40,8.1%,29,5.9%,56.5%,73.8%,53.0%,64.8%,41,75.6%,36.2%,37,40.5%,51.4%,1.03,11:34
,Santiago Giraldo,COL,2,280,66.7%,28.0%,3,2.2%,4,3.0%,56.3%,69.7%,47.5%,60.0%,16,50.0%,40.7%,17,41.2%,50.0%,1.02,3:23
,Marcos Baghdatis,CYP,2,429,76.5%,32.4%,19,8.7%,9,4.1%,51.8%,69.0%,50.5%,60.1%,20,60.0%,40.8%,20,55.0%,50.6%,1.02,4:59
,Sergiy Stakhovsky,UKR,2,601,82.2%,18.2%,23,7.5%,13,4.2%,60.1%,68.6%,53.7%,62.7%,22,63.6%,38.2%,22,36.4%,50.7%,1.02,7:01
,Alejandro Falla,COL,3,646,77.6%,28.3%,11,3.3%,5,1.5%,63.9%,66.0%,50.8%,60.5%,26,57.7%,40.1%,20,65.0%,50.6%,1.02,7:48
,Donald Young,USA,2,450,75.7%,27.0%,7,3.2%,9,4.1%,60.5%,67.7%,49.4%,60.5%,21,57.1%,40.4%,22,45.5%,50.2%,1.02,5:01
,Julien Benneteau,FRA,3,778,75.4%,30.0%,20,5.0%,12,3.0%,64.6%,63.4%,51.8%,59.3%,32,53.1%,40.5%,37,48.6%,50.1%,1.00,9:37
,Flavio Cipolla,ITA,2,476,60.5%,36.8%,2,0.9%,8,3.4%,80.3%,54.8%,54.3%,54.7%,23,34.8%,44.6%,29,48.3%,49.6%,0.99,5:46
19,Viktor Troicki,SRB,2,617,79.6%,22.0%,34,10.8%,5,1.6%,56.3%,73.0%,50.7%,63.3%,27,63.0%,35.9%,23,47.8%,49.9%,0.98,7:25
,Albert Montanes,ESP,1,288,76.2%,28.6%,2,1.3%,7,4.5%,65.6%,66.3%,49.1%,60.4%,14,64.3%,38.8%,14,42.9%,50.3%,0.98,3:13
WC,Lleyton Hewitt,AUS,4,927,78.1%,21.9%,29,6.2%,17,3.6%,54.9%,74.7%,47.4%,62.4%,35,54.3%,36.8%,37,43.2%,49.7%,0.98,12:12
,Ivo Karlovic,CRO,3,694,86.5%,14.8%,59,16.6%,8,2.3%,70.7%,74.5%,49.0%,67.0%,25,72.0%,32.2%,21,38.1%,50.0%,0.98,7:44
16,John Isner,USA,3,862,82.9%,11.6%,91,21.0%,9,2.1%,67.2%,74.9%,49.3%,66.5%,32,62.5%,32.4%,22,36.4%,49.5%,0.97,10:11
,Carlos Berlocq,ARG,2,519,80.0%,21.1%,10,3.8%,5,1.9%,70.9%,72.9%,40.3%,63.4%,22,63.6%,35.4%,24,33.3%,49.7%,0.97,6:49
,Mikhail Youzhny,RUS,1,385,61.5%,25.9%,7,3.7%,6,3.2%,61.9%,62.4%,43.1%,55.0%,20,50.0%,43.4%,22,31.8%,49.1%,0.96,4:53
