Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,1,(1)Andre Agassi[USA] [yr|ev],d.,2,(2)Yevgeny Kafelnikov[RUS] [yr|ev],3-6 6-3 6-2 6-4,1.16,7.8%,66.4%,67.5%,59.0%,4/7,11.5%,53.3%,64.6%,52.6%,11/17,2:19,1
SF,1,(1)Andre Agassi[USA] [yr|ev],d.,3,(3)Pete Sampras[USA] [yr|ev],6-4 3-6 6-7(0) 7-6(5) 6-1,1.11,8.8%,68.2%,74.3%,68.1%,8/9,23.7%,63.5%,80.8%,49.1%,10/13,2:55,1
SF,2,(2)Yevgeny Kafelnikov[RUS] [yr|ev],d.,11,(12)Magnus Norman[SWE] [yr|ev],6-1 6-2 6-4,1.64,6.9%,58.3%,78.6%,60.0%,0/1,10.1%,62.3%,67.4%,26.9%,6/12,1:30,1
QF,1,(1)Andre Agassi[USA] [yr|ev],d.,41,Hicham Arazi[MAR] [yr|ev],6-4 6-4 6-2,2.14,8.8%,66.2%,84.4%,69.6%,1/2,9.9%,52.7%,72.9%,37.2%,5/10,1:33,1
QF,3,(3)Pete Sampras[USA] [yr|ev],d.,56,Chris Woodruff[USA] [yr|ev],7-5 6-3 6-3,1.93,20.3%,64.9%,85.4%,69.2%,0/1,11.8%,62.7%,75.0%,36.8%,8/13,1:49,1
QF,11,(12)Magnus Norman[SWE] [yr|ev],d.,4,(4)Nicolas Kiefer[GER] [yr|ev],3-6 6-3 6-1 7-6(4),1.03,8.3%,63.9%,78.8%,45.8%,9/10,12.8%,55.6%,76.9%,51.9%,7/11,2:56,2
QF,2,(2)Yevgeny Kafelnikov[RUS] [yr|ev],d.,29,Younes El Aynaoui[MAR] [yr|ev],6-0 6-3 7-6(4),1.98,10.1%,62.0%,85.7%,66.7%,0/0,14.6%,65.2%,62.1%,48.4%,4/8,1:41,1
R16,1,(1)Andre Agassi[USA] [yr|ev],d.,19,(16)Mark Philippoussis[AUS] [yr|ev],6-4 7-6(4) 5-7 6-3,1.01,5.8%,69.1%,75.0%,53.5%,7/9,20.5%,52.5%,82.8%,51.7%,3/6,2:45,1
R16,41,Hicham Arazi[MAR] [yr|ev],d.,34,Nicolas Escude[FRA] [yr|ev],6-4 6-3 7-6(7),1.07,4.8%,53.2%,72.7%,43.1%,16/19,10.8%,47.1%,72.9%,40.7%,4/10,2:14,22
R16,3,(3)Pete Sampras[USA] [yr|ev],d.,64,Slava Dosedel[CZE] [yr|ev],6-1 6-2 3-6 6-1,1.64,20.8%,67.7%,84.6%,41.9%,4/5,0.0%,69.6%,57.8%,39.3%,3/9,1:36,1
R16,56,Chris Woodruff[USA] [yr|ev],d.,13,(11)Tim Henman[GBR] [yr|ev],7-5 1-6 6-4 3-6 7-5,0.92,1.7%,52.3%,63.0%,51.2%,17/25,6.4%,54.5%,76.5%,42.3%,11/18,3:46,29
R16,11,(12)Magnus Norman[SWE] [yr|ev],d.,17,Lleyton Hewitt[AUS] [yr|ev],6-3 6-1 7-6(6),1.17,14.3%,61.6%,78.3%,41.9%,5/6,7.0%,62.8%,70.4%,37.5%,2/7,2:09,2
R16,4,(4)Nicolas Kiefer[GER] [yr|ev],d.,53,Wayne Ferreira[RSA] [yr|ev],6-3 6-4 6-2,1.42,9.1%,46.8%,88.9%,56.1%,2/3,2.5%,48.1%,71.1%,48.8%,6/11,1:46,4
R16,29,Younes El Aynaoui[MAR] [yr|ev],d.,54,Arnaud Clement[FRA] [yr|ev],3-6 6-3 6-4 3-6 10-8,1.12,11.6%,66.7%,78.6%,46.9%,0/3,7.1%,62.5%,72.2%,50.7%,15/20,3:29,14
R16,2,(2)Yevgeny Kafelnikov[RUS] [yr|ev],d.,120,(Q)Christophe Rochus[BEL] [yr|ev],6-1 6-3 7-5,1.36,13.7%,58.8%,75.0%,54.8%,12/12,3.2%,56.8%,64.8%,41.5%,5/10,1:42,1
