Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,2,(2)Daniil Medvedev[RUS] [yr|ev],d.,1,(1)Novak Djokovic[SRB] [yr|ev],6-4 6-4 6-4,1.32,17.8%,57.8%,80.8%,57.9%,5/6,6.5%,54.3%,80.0%,40.5%,4/8,2:16,1
SF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,4,(4)Alexander Zverev[GER] [yr|ev],4-6 6-2 6-4 4-6 6-2,1.00,8.0%,66.0%,76.8%,43.1%,9/12,12.9%,62.1%,75.3%,48.9%,3/9,3:34,1
SF,2,(2)Daniil Medvedev[RUS] [yr|ev],d.,15,(12)Felix Auger Aliassime[CAN] [yr|ev],6-4 7-5 6-2,1.65,14.0%,68.6%,81.4%,51.9%,2/3,4.4%,62.6%,64.9%,35.3%,0/5,2:04,1
QF,1,(1)Novak Djokovic[SRB] [yr|ev],d.,8,(6)Matteo Berrettini[ITA] [yr|ev],5-7 6-2 6-2 6-3,1.50,10.3%,61.5%,73.6%,66.7%,4/5,11.6%,61.9%,60.4%,50.0%,11/16,3:27,1
QF,4,(4)Alexander Zverev[GER] [yr|ev],d.,46,Lloyd Harris[RSA] [yr|ev],7-6(6) 6-3 6-4,1.29,22.1%,68.4%,81.5%,46.7%,1/3,14.1%,68.5%,74.6%,34.5%,5/9,2:06,2
QF,15,(12)Felix Auger Aliassime[CAN] [yr|ev],d.,55,Carlos Alcaraz[ESP] [yr|ev],6-3 3-1 RET,1.52,18.6%,65.1%,78.6%,60.0%,3/3,2.1%,61.7%,65.5%,44.4%,5/7,1:08,6
QF,2,(2)Daniil Medvedev[RUS] [yr|ev],d.,117,(Q)Botic Van De Zandschulp[NED] [yr|ev],6-3 6-0 4-6 7-5,1.60,13.1%,65.7%,83.1%,55.9%,3/5,3.5%,66.7%,60.5%,52.6%,5/12,2:23,1
R16,1,(1)Novak Djokovic[SRB] [yr|ev],d.,99,(WC)Jenson Brooksby[USA] [yr|ev],1-6 6-3 6-2 6-2,1.29,8.6%,62.9%,72.7%,53.8%,8/11,3.8%,73.6%,61.5%,39.3%,6/12,2:59,1
R16,8,(6)Matteo Berrettini[ITA] [yr|ev],d.,144,(Q)Oscar Otte[GER] [yr|ev],6-4 3-6 6-3 6-2,1.35,11.9%,61.4%,88.7%,48.7%,1/2,6.0%,63.0%,71.4%,51.4%,1/5,2:24,6
R16,4,(4)Alexander Zverev[GER] [yr|ev],d.,16,(13)Jannik Sinner[ITA] [yr|ev],6-4 6-4 7-6(7),1.13,15.9%,68.2%,72.6%,58.8%,6/7,4.7%,60.4%,73.4%,50.0%,8/11,2:25,2
R16,46,Lloyd Harris[RSA] [yr|ev],d.,24,(22)Reilly Opelka[USA] [yr|ev],6-7(6) 6-4 6-1 6-3,1.97,36.0%,76.0%,92.1%,37.5%,1/2,17.4%,65.2%,72.2%,33.3%,11/17,2:31,31
R16,15,(12)Felix Auger Aliassime[CAN] [yr|ev],d.,50,Frances Tiafoe[USA] [yr|ev],4-6 6-2 7-6(6) 6-4,1.25,18.9%,62.2%,83.5%,52.1%,4/5,7.4%,60.3%,70.7%,55.6%,12/15,3:24,6
R16,55,Carlos Alcaraz[ESP] [yr|ev],d.,141,(Q)Peter Gojowczyk[GER] [yr|ev],5-7 6-1 5-7 6-2 6-0,1.25,4.9%,65.5%,60.2%,53.1%,11/18,2.0%,53.7%,50.0%,43.5%,13/26,3:31,1
R16,117,(Q)Botic Van De Zandschulp[NED] [yr|ev],d.,14,(11)Diego Schwartzman[ARG] [yr|ev],6-3 6-4 5-7 5-7 6-1,1.12,9.1%,66.1%,77.1%,41.1%,9/13,0.7%,67.3%,66.7%,47.9%,12/19,4:20,22
R16,2,(2)Daniil Medvedev[RUS] [yr|ev],d.,27,(24)Daniel Evans[GBR] [yr|ev],6-3 6-4 6-3,1.82,16.7%,71.8%,83.9%,50.0%,1/2,0.0%,66.2%,62.7%,34.6%,3/8,1:43,1
R32,1,(1)Novak Djokovic[SRB] [yr|ev],d.,56,Kei Nishikori[JPN] [yr|ev],6-7(4) 6-3 6-3 6-2,1.32,11.5%,62.6%,76.8%,51.0%,11/13,4.2%,65.0%,63.4%,44.0%,9/16,3:32,1
R32,99,(WC)Jenson Brooksby[USA] [yr|ev],d.,25,(21)Aslan Karatsev[RUS] [yr|ev],6-2 3-6 2-6 6-3 6-3,1.02,6.2%,61.4%,66.3%,44.6%,5/12,6.3%,53.2%,59.7%,54.2%,8/16,3:50,33
R32,144,(Q)Oscar Otte[GER] [yr|ev],d.,89,Andreas Seppi[ITA] [yr|ev],6-3 6-4 2-6 7-5,1.19,13.8%,55.0%,81.7%,53.1%,2/5,3.7%,58.3%,71.4%,51.1%,4/8,2:29,36
R32,8,(6)Matteo Berrettini[ITA] [yr|ev],d.,53,Ilya Ivashka[BLR] [yr|ev],6-7(5) 6-2 6-4 2-6 6-3,1.00,17.0%,59.7%,84.2%,46.9%,10/12,7.9%,61.2%,70.6%,66.7%,4/8,3:46,6
R32,4,(4)Alexander Zverev[GER] [yr|ev],d.,184,(WC)Jack Sock[USA] [yr|ev],3-6 6-2 6-3 2-1 RET,1.69,22.2%,69.4%,80.0%,68.2%,0/1,11.6%,71.6%,66.2%,44.4%,6/10,1:58,2
R32,16,(13)Jannik Sinner[ITA] [yr|ev],d.,20,(17)Gael Monfils[FRA] [yr|ev],7-6(1) 6-2 4-6 4-6 6-4,1.12,3.0%,56.0%,68.8%,54.8%,12/18,12.4%,58.8%,73.0%,37.1%,7/14,3:42,1
R32,24,(22)Reilly Opelka[USA] [yr|ev],d.,39,Nikoloz Basilashvili[GEO] [yr|ev],7-6(5) 6-3 6-4,1.20,20.6%,67.6%,73.9%,54.5%,3/5,7.4%,45.3%,72.1%,51.9%,5/10,2:15,17
R32,46,Lloyd Harris[RSA] [yr|ev],d.,10,(7)Denis Shapovalov[CAN] [yr|ev],6-4 6-4 6-4,1.37,11.2%,71.9%,75.0%,52.0%,6/8,7.5%,67.7%,68.3%,33.3%,4/9,2:12,31
R32,50,Frances Tiafoe[USA] [yr|ev],d.,7,(5)Andrey Rublev[RUS] [yr|ev],4-6 6-3 7-6(6) 4-6 6-1,0.92,12.4%,56.7%,74.5%,42.9%,10/14,17.4%,61.1%,77.3%,42.9%,9/14,3:45,10
R32,15,(12)Felix Auger Aliassime[CAN] [yr|ev],d.,21,(18)Roberto Bautista Agut[ESP] [yr|ev],6-3 6-4 4-6 3-6 6-3,1.19,18.8%,62.5%,82.2%,44.4%,7/10,1.2%,64.6%,74.0%,40.4%,11/15,3:55,6
R32,141,(Q)Peter Gojowczyk[GER] [yr|ev],d.,130,(Q)Henri Laaksonen[SUI] [yr|ev],3-6 6-3 6-1 6-4,1.24,7.3%,51.4%,78.6%,54.7%,5/7,9.5%,50.5%,69.8%,48.1%,6/11,2:08,39
R32,55,Carlos Alcaraz[ESP] [yr|ev],d.,3,(3)Stefanos Tsitsipas[GRE] [yr|ev],6-3 4-6 7-6(2) 0-6 7-6(5),0.91,1.2%,63.5%,60.2%,59.7%,9/17,9.6%,59.6%,74.2%,47.6%,7/13,4:07,1
