Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
2,Daniil Medvedev,RUS,7,1214,92.9%,39.2%,86,15.6%,23,4.2%,64.6%,82.0%,56.9%,73.1%,23,69.6%,46.0%,76,52.6%,58.3%,1.71,14:07
4,Alexander Zverev,GER,6,1128,89.6%,26.0%,99,18.9%,23,4.4%,68.4%,80.8%,54.2%,72.4%,20,50.0%,39.1%,67,37.3%,54.6%,1.42,12:57
5,Andrey Rublev,RUS,3,755,90.0%,20.0%,51,14.6%,9,2.6%,64.8%,81.4%,52.0%,71.1%,24,75.0%,38.9%,31,38.7%,53.8%,1.34,8:13
,Ilya Ivashka,BLR,3,695,89.5%,16.4%,32,9.8%,7,2.2%,59.4%,75.1%,68.2%,72.3%,17,64.7%,35.7%,29,31.0%,52.8%,1.29,8:35
1,Novak Djokovic,SRB,7,1543,87.0%,32.2%,84,11.0%,29,3.8%,62.4%,77.6%,50.9%,67.5%,56,71.4%,41.3%,83,47.0%,54.3%,1.27,19:42
10,Hubert Hurkacz,POL,2,417,88.2%,22.9%,41,21.1%,5,2.6%,61.9%,81.7%,51.4%,70.1%,9,55.6%,37.7%,22,36.4%,52.8%,1.26,4:33
WC,Brandon Nakashima,USA,2,511,85.0%,18.4%,28,12.1%,11,4.8%,55.8%,81.4%,54.9%,69.7%,16,62.5%,37.9%,15,46.7%,52.3%,1.25,5:45
7,Denis Shapovalov,CAN,3,498,85.4%,31.0%,30,12.2%,23,9.4%,64.1%,79.6%,43.2%,66.5%,11,45.5%,41.1%,28,46.4%,53.6%,1.23,6:08
,Lloyd Harris,RSA,5,1030,86.0%,26.4%,100,20.5%,13,2.7%,68.4%,81.4%,42.2%,69.1%,30,60.0%,38.2%,58,39.7%,52.8%,1.23,11:55
3,Stefanos Tsitsipas,GRE,3,856,85.9%,23.9%,61,14.9%,13,3.2%,60.5%,78.2%,54.3%,68.8%,25,60.0%,38.1%,34,47.1%,52.8%,1.22,11:37
18,Roberto Bautista Agut,ESP,3,593,87.5%,33.3%,17,5.5%,7,2.3%,65.0%,74.1%,50.0%,65.7%,21,71.4%,41.2%,30,53.3%,54.0%,1.20,7:24
11,Diego Schwartzman,ARG,4,894,83.1%,27.5%,9,2.1%,19,4.5%,65.3%,74.9%,48.6%,65.8%,34,64.7%,40.6%,45,42.2%,52.5%,1.19,11:59
8,Casper Ruud,NOR,2,383,87.5%,22.6%,23,12.0%,6,3.1%,66.1%,74.0%,56.9%,68.2%,13,69.2%,37.7%,24,29.2%,53.0%,1.19,4:54
,Marton Fucsovics,HUN,1,320,88.0%,19.2%,9,5.7%,9,5.7%,56.1%,78.4%,56.5%,68.8%,6,50.0%,36.8%,9,55.6%,52.5%,1.18,4:04
17,Gael Monfils,FRA,3,736,83.1%,27.1%,44,12.4%,19,5.4%,58.6%,79.3%,49.0%,66.8%,22,54.5%,38.8%,45,35.6%,52.3%,1.17,8:09
WC,Ernesto Escobedo,MEX,2,321,80.8%,28.0%,12,7.5%,4,2.5%,67.3%,72.0%,50.0%,64.8%,17,70.6%,40.7%,14,50.0%,52.6%,1.16,3:28
,Carlos Alcaraz,ESP,5,1108,77.3%,31.1%,24,4.4%,12,2.2%,63.4%,67.7%,58.3%,64.3%,46,56.5%,40.7%,63,44.4%,52.3%,1.14,13:38
12,Felix Auger Aliassime,CAN,6,1318,88.6%,15.4%,89,14.2%,40,6.4%,63.2%,78.3%,49.4%,67.7%,28,57.1%,36.4%,55,29.1%,51.3%,1.13,16:44
,Nikoloz Basilashvili,GEO,3,460,82.1%,23.7%,18,7.9%,11,4.8%,55.7%,76.4%,54.5%,66.7%,14,50.0%,37.5%,15,60.0%,52.0%,1.12,5:14
15,Grigor Dimitrov,BUL,2,377,83.9%,21.4%,17,9.1%,12,6.4%,61.0%,74.6%,53.4%,66.3%,11,54.5%,37.4%,16,37.5%,51.7%,1.11,4:22
13,Jannik Sinner,ITA,4,1078,83.1%,23.2%,30,5.6%,14,2.6%,56.4%,73.9%,52.6%,64.6%,46,69.6%,39.4%,53,35.8%,51.9%,1.11,12:14
,Dusan Lajovic,SRB,2,569,75.0%,30.2%,19,6.9%,7,2.6%,70.4%,66.3%,51.9%,62.0%,23,52.2%,41.7%,36,36.1%,51.5%,1.10,5:42
,Lorenzo Musetti,ITA,2,429,88.9%,18.4%,17,7.9%,10,4.7%,61.9%,75.2%,59.8%,69.3%,7,42.9%,33.6%,16,43.8%,51.5%,1.10,4:53
,Mackenzie Mcdonald,USA,2,540,77.5%,31.7%,27,10.3%,10,3.8%,70.3%,63.8%,56.4%,61.6%,24,62.5%,42.2%,34,38.2%,51.7%,1.10,6:05
31,Alexander Bublik,KAZ,2,521,79.5%,33.3%,58,21.3%,21,7.7%,57.4%,79.5%,42.2%,63.6%,30,70.0%,40.2%,27,51.9%,52.4%,1.10,5:28
24,Daniel Evans,GBR,4,934,82.7%,18.2%,20,4.4%,11,2.4%,62.5%,75.3%,54.7%,67.5%,29,51.7%,35.3%,40,35.0%,51.0%,1.09,12:05
,Marcos Giron,USA,2,425,85.7%,22.2%,20,9.6%,9,4.3%,63.0%,74.0%,55.8%,67.3%,10,50.0%,35.5%,19,42.1%,51.1%,1.09,5:14
,Alexei Popyrin,AUS,3,740,88.7%,22.0%,43,11.4%,26,6.9%,57.1%,79.6%,50.6%,67.2%,22,68.2%,35.6%,28,46.4%,51.8%,1.09,8:57
Q,Oscar Otte,GER,4,935,83.3%,21.1%,46,9.7%,21,4.4%,59.8%,76.1%,49.2%,65.3%,27,51.9%,37.4%,35,45.7%,51.6%,1.08,10:56
21,Aslan Karatsev,RUS,3,856,73.4%,27.7%,25,6.1%,22,5.4%,59.4%,69.1%,50.6%,61.6%,43,60.5%,40.7%,45,40.0%,50.7%,1.06,11:37
,Frances Tiafoe,USA,4,1030,86.7%,21.8%,60,11.3%,15,2.8%,62.3%,76.1%,47.5%,65.3%,33,66.7%,36.9%,48,35.4%,51.6%,1.06,11:55
6,Matteo Berrettini,ITA,5,1244,87.8%,17.0%,90,14.2%,17,2.7%,63.8%,77.3%,51.7%,68.0%,43,72.1%,33.7%,38,44.7%,51.2%,1.05,15:29
16,Cristian Garin,CHI,2,495,76.2%,22.0%,11,4.4%,5,2.0%,64.8%,72.8%,48.9%,64.4%,22,54.5%,37.6%,15,60.0%,51.1%,1.05,6:19
,Miomir Kecmanovic,SRB,1,340,85.2%,7.7%,21,12.7%,4,2.4%,57.6%,76.8%,57.1%,68.5%,19,78.9%,33.1%,8,25.0%,50.3%,1.05,4:20
Q,Botic Van De Zandschulp,NED,5,1274,79.4%,26.5%,57,8.8%,32,4.9%,62.4%,75.1%,44.1%,63.4%,62,66.1%,37.9%,65,41.5%,50.9%,1.04,15:52
Q,Maxime Cressy,USA,2,503,85.7%,11.4%,64,26.7%,18,7.5%,61.3%,81.0%,52.7%,70.0%,10,40.0%,31.2%,17,29.4%,49.7%,1.04,5:44
,Facundo Bagnis,ARG,3,613,76.0%,24.5%,20,6.4%,12,3.8%,61.7%,71.0%,48.3%,62.3%,28,57.1%,39.0%,26,46.2%,50.9%,1.03,7:31
,Jan Lennard Struff,GER,1,341,88.9%,15.4%,25,15.5%,16,9.9%,48.4%,80.8%,54.2%,67.1%,7,57.1%,33.9%,19,21.1%,49.6%,1.03,3:38
WC,Jack Sock,USA,3,736,83.9%,21.3%,35,9.5%,13,3.5%,63.2%,74.4%,51.5%,65.9%,28,64.3%,35.0%,30,43.3%,50.5%,1.03,8:22
Q,Quentin Halys,FRA,1,318,83.3%,12.5%,24,15.8%,9,5.9%,64.5%,78.6%,38.9%,64.5%,15,73.3%,36.7%,16,18.8%,50.0%,1.03,3:31
LL,Bernabe Zapata Miralles,ESP,2,484,83.3%,9.8%,15,6.4%,6,2.6%,69.4%,69.9%,66.7%,68.9%,15,53.3%,31.7%,9,44.4%,49.8%,1.02,5:28
Q,Alex Molcan,SVK,3,680,75.5%,27.5%,22,6.2%,13,3.7%,64.4%,67.5%,49.2%,61.0%,27,51.9%,39.9%,35,40.0%,50.9%,1.02,7:44
WC,Zachary Svajda,USA,2,569,86.7%,11.1%,16,5.9%,8,2.9%,62.6%,75.4%,50.0%,65.9%,17,64.7%,34.8%,15,33.3%,49.7%,1.02,6:36
Q,Henri Laaksonen,SUI,3,671,81.8%,22.2%,30,9.1%,13,3.9%,55.8%,73.9%,53.4%,64.8%,19,47.4%,35.8%,24,50.0%,50.1%,1.02,7:44
,Carlos Taberner,ESP,1,287,75.0%,25.0%,13,9.0%,7,4.9%,55.6%,68.8%,56.3%,63.2%,11,45.5%,37.1%,16,37.5%,50.2%,1.01,3:34
LL,Mikhail Kukushkin,KAZ,1,298,75.0%,17.4%,12,8.3%,4,2.8%,61.1%,75.0%,46.4%,63.9%,12,50.0%,36.4%,18,22.2%,49.7%,1.01,4:14
,Jordan Thompson,AUS,2,654,78.8%,20.0%,32,9.8%,8,2.5%,58.9%,74.5%,50.0%,64.4%,31,64.5%,36.0%,29,34.5%,50.2%,1.01,8:10
,Tommy Paul,USA,1,249,72.2%,21.1%,6,4.9%,3,2.4%,66.7%,67.1%,46.3%,60.2%,11,54.5%,39.7%,7,57.1%,49.8%,1.00,3:05
22,Reilly Opelka,USA,4,841,88.4%,14.3%,109,24.7%,12,2.7%,68.6%,77.6%,48.9%,68.6%,28,71.4%,31.6%,20,50.0%,51.0%,1.00,9:21
,Philipp Kohlschreiber,GER,2,442,79.4%,22.9%,26,11.9%,6,2.8%,54.6%,68.1%,55.6%,62.4%,21,66.7%,37.5%,18,44.4%,49.8%,1.00,5:44
25,Karen Khachanov,RUS,1,247,77.3%,18.2%,13,10.4%,4,3.2%,56.8%,71.8%,57.4%,65.6%,14,64.3%,34.4%,7,57.1%,50.2%,1.00,3:07
,Corentin Moutet,FRA,2,478,78.4%,20.0%,9,3.8%,10,4.3%,62.6%,64.6%,60.2%,63.0%,21,61.9%,37.0%,18,44.4%,49.8%,1.00,6:01
WC,Jenson Brooksby,USA,4,1078,71.3%,32.9%,20,3.6%,9,1.6%,65.5%,65.0%,45.8%,58.4%,50,54.0%,41.3%,66,40.9%,50.0%,0.99,14:55
