Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
20,Marat Safin,RUS,4,1234,74.2%,29.7%,56,9.8%,14,2.4%,56.4%,72.8%,45.6%,60.9%,52,55.8%,41.3%,74,36.5%,50.4%,1.06,14:08
,Nicolas Kiefer,GER,2,393,72.4%,37.0%,9,4.5%,12,6.0%,51.7%,70.2%,46.4%,58.7%,19,57.9%,43.8%,22,45.5%,51.4%,1.06,4:15
23,Feliciano Lopez,ESP,4,913,82.9%,24.0%,50,10.9%,18,3.9%,53.0%,74.4%,54.4%,65.0%,39,66.7%,37.1%,38,47.4%,51.0%,1.06,10:17
,Thomas Enqvist,SWE,3,678,73.1%,28.8%,22,6.5%,9,2.7%,51.6%,76.6%,45.7%,61.7%,35,60.0%,40.7%,32,46.9%,51.2%,1.06,7:39
14,Jiri Novak,CZE,2,586,75.6%,31.1%,26,8.4%,8,2.6%,59.1%,68.1%,49.2%,60.4%,32,65.6%,41.7%,25,56.0%,51.5%,1.05,6:44
LL,Hyung Taik Lee,KOR,3,732,80.0%,19.3%,21,6.0%,13,3.7%,67.8%,71.6%,49.1%,64.4%,39,71.8%,37.2%,32,34.4%,50.1%,1.05,7:20
,Jurgen Melzer,AUT,2,517,76.3%,28.2%,15,5.8%,11,4.2%,55.2%,73.4%,46.6%,61.4%,21,57.1%,40.7%,23,47.8%,51.1%,1.05,5:20
Q,Daniel Elsner,GER,2,247,80.0%,25.0%,7,5.6%,7,5.6%,64.0%,68.8%,51.1%,62.4%,12,66.7%,39.3%,9,55.6%,51.0%,1.05,2:28
,Mikhail Youzhny,RUS,3,789,68.4%,32.8%,19,4.9%,15,3.9%,59.1%,65.6%,48.4%,58.6%,48,62.5%,43.0%,47,40.4%,50.6%,1.04,8:28
,Xavier Malisse,BEL,4,854,66.7%,36.9%,25,6.0%,5,1.2%,53.2%,64.1%,49.5%,57.3%,40,45.0%,44.6%,51,47.1%,50.8%,1.04,10:26
Q,Guillermo Garcia Lopez,ESP,2,477,81.6%,27.8%,5,1.9%,9,3.5%,68.0%,69.3%,47.0%,62.2%,24,70.8%,39.4%,24,41.7%,51.8%,1.04,5:15
,Christophe Rochus,BEL,2,332,64.0%,38.5%,2,1.3%,4,2.5%,62.7%,66.7%,37.3%,55.7%,22,59.1%,46.0%,22,45.5%,50.6%,1.04,3:58
Q,Julien Jeanpierre,FRA,3,566,72.1%,33.3%,4,1.4%,11,3.8%,68.3%,64.6%,44.6%,58.3%,40,70.0%,43.1%,36,38.9%,50.9%,1.03,6:08
,Stefan Koubek,AUT,3,811,71.0%,37.1%,9,2.3%,21,5.3%,63.4%,64.7%,45.1%,57.5%,38,52.6%,43.8%,40,57.5%,50.4%,1.03,8:38
,Mario Ancic,CRO,3,670,61.5%,32.7%,30,8.5%,14,4.0%,58.0%,71.1%,38.5%,57.4%,45,55.6%,43.4%,26,65.4%,50.7%,1.02,7:50
2,Andy Roddick,USA,2,526,75.0%,22.0%,29,11.2%,7,2.7%,57.1%,69.6%,53.2%,62.5%,25,60.0%,37.5%,20,45.0%,49.8%,1.00,5:11
4,Juan Carlos Ferrero,ESP,2,426,67.7%,27.3%,3,1.5%,9,4.4%,66.0%,61.8%,50.0%,57.8%,24,58.3%,41.8%,24,37.5%,49.5%,0.99,4:48
WC,Olivier Patience,FRA,2,360,72.4%,29.6%,14,7.4%,9,4.8%,55.9%,65.7%,54.2%,60.6%,20,60.0%,39.0%,19,42.1%,50.3%,0.99,3:33
Q,Juan Monaco,ARG,2,426,50.0%,50.0%,5,2.5%,16,8.0%,56.0%,59.8%,38.6%,50.5%,32,50.0%,49.1%,33,48.5%,49.8%,0.99,4:44
