Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,
F,17,(17)Pete Sampras[USA] [yr|ev],d.,6,(6)Andre Agassi[USA] [yr|ev],6-3 6-4 5-7 6-4,1.19,21.7%,57.2%,80.5%,52.3%,10/12,5.6%,65.6%,67.1%,53.5%,4/8,2:52
SF,6,(6)Andre Agassi[USA] [yr|ev],d.,1,(1)Lleyton Hewitt[AUS] [yr|ev],6-4 7-6(5) 6-7(1) 6-2,1.12,5.3%,64.1%,65.5%,53.2%,7/13,5.1%,40.2%,63.8%,51.4%,5/14,2:57
SF,17,(17)Pete Sampras[USA] [yr|ev],d.,25,(24)Sjeng Schalken[NED] [yr|ev],7-6(6) 7-6(4) 6-2,1.39,20.8%,71.7%,82.9%,50.0%,4/4,4.4%,65.8%,72.0%,46.2%,4/6,2:21
QF,1,(1)Lleyton Hewitt[AUS] [yr|ev],d.,20,(20)Younes El Aynaoui[MAR] [yr|ev],6-1 7-6(6) 4-6 6-2,1.23,6.7%,51.3%,77.0%,55.2%,5/7,12.0%,68.4%,65.9%,42.9%,9/15,2:37
QF,6,(6)Andre Agassi[USA] [yr|ev],d.,34,(32)Max Mirnyi[BLR] [yr|ev],6-7(5) 6-3 7-5 6-3,1.32,6.3%,64.1%,76.8%,58.7%,0/2,13.1%,64.1%,67.7%,48.1%,11/17,2:51
QF,17,(17)Pete Sampras[USA] [yr|ev],d.,11,(11)Andy Roddick[USA] [yr|ev],6-3 6-2 6-4,1.51,17.3%,45.3%,85.3%,68.3%,1/1,11.6%,68.1%,72.3%,45.5%,2/6,1:29
QF,25,(24)Sjeng Schalken[NED] [yr|ev],d.,28,(28)Fernando Gonzalez[CHI] [yr|ev],6-7(5) 6-3 6-3 6-7(5) 7-6(2),1.21,6.8%,71.0%,75.2%,58.8%,6/7,7.0%,52.0%,74.2%,53.7%,8/12,3:40
R16,1,(1)Lleyton Hewitt[AUS] [yr|ev],d.,14,(14)Jiri Novak[CZE] [yr|ev],6-4 6-2 7-5,1.53,21.1%,57.8%,84.6%,55.3%,4/5,3.3%,67.4%,66.1%,40.0%,4/9,1:44
R16,20,(20)Younes El Aynaoui[MAR] [yr|ev],d.,39,Wayne Ferreira[RSA] [yr|ev],3-6 7-5 7-5 7-6(3),1.10,5.7%,57.1%,71.3%,56.7%,14/17,9.6%,54.1%,65.8%,56.7%,6/10,3:01
R16,34,(32)Max Mirnyi[BLR] [yr|ev],d.,13,(13)Roger Federer[SUI] [yr|ev],6-3 7-6(5) 6-4,1.30,10.9%,66.3%,83.6%,58.8%,5/5,4.3%,51.6%,72.9%,62.2%,5/7,1:52
