Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
,Jan Michael Gambill,USA,4,489,82.9%,45.0%,39,16.4%,12,5.0%,51.7%,75.6%,55.7%,66.0%,16,56.3%,46.6%,32,56.3%,56.0%,1.37,5:18
17,Pete Sampras,USA,7,1583,95.4%,18.1%,144,18.3%,60,7.6%,58.4%,82.6%,60.6%,73.4%,29,79.3%,35.6%,55,41.8%,54.4%,1.34,16:19
6,Andre Agassi,USA,7,1389,87.3%,38.7%,44,6.5%,20,3.0%,65.2%,72.0%,58.7%,67.4%,37,62.2%,43.3%,87,49.4%,55.0%,1.33,14:19
11,Andy Roddick,USA,5,935,88.5%,21.5%,51,11.6%,11,2.5%,64.4%,75.7%,64.3%,71.7%,24,62.5%,37.4%,41,41.5%,53.6%,1.32,10:02
29,Thomas Enqvist,SWE,3,617,82.7%,34.0%,39,12.1%,21,6.5%,46.4%,81.9%,54.1%,67.0%,27,66.7%,41.9%,35,48.6%,54.9%,1.27,6:44
1,Lleyton Hewitt,AUS,6,1398,84.9%,29.9%,68,10.4%,43,6.6%,48.3%,79.5%,54.6%,66.6%,46,65.2%,42.0%,78,41.0%,53.6%,1.26,15:14
19,Xavier Malisse,BEL,3,625,78.4%,34.6%,31,10.8%,16,5.6%,52.1%,76.7%,54.3%,66.0%,22,50.0%,42.4%,41,43.9%,53.3%,1.25,6:17
26,Juan Ignacio Chela,ARG,4,832,84.1%,32.3%,25,6.0%,12,2.9%,56.8%,71.3%,57.2%,65.2%,39,74.4%,42.9%,43,46.5%,54.1%,1.23,8:56
,Paradorn Srichaphan,THA,2,519,89.7%,28.9%,22,8.5%,7,2.7%,55.2%,76.9%,58.6%,68.7%,13,69.2%,38.5%,26,42.3%,53.6%,1.23,5:15
,Guillermo Coria,ARG,3,643,83.7%,30.6%,16,5.1%,7,2.2%,58.1%,71.4%,56.5%,65.2%,21,61.9%,42.4%,35,42.9%,53.5%,1.22,6:54
18,Alex Corretja,ESP,3,550,86.0%,27.5%,13,5.0%,11,4.3%,57.4%,75.0%,56.4%,67.1%,15,60.0%,40.1%,40,27.5%,52.7%,1.22,6:15
13,Roger Federer,SUI,4,808,86.6%,27.3%,32,8.2%,22,5.6%,57.0%,76.2%,57.7%,68.3%,21,57.1%,38.4%,42,42.9%,52.8%,1.21,7:46
,Michael Llodra,FRA,2,320,80.8%,30.8%,15,9.4%,6,3.8%,54.7%,72.4%,58.3%,66.0%,12,58.3%,40.4%,20,40.0%,53.1%,1.19,3:17
20,Younes El Aynaoui,MAR,5,1133,87.6%,22.1%,41,7.3%,18,3.2%,64.7%,73.4%,55.3%,67.0%,53,79.2%,38.5%,50,38.0%,52.7%,1.17,11:17
,Gustavo Kuerten,BRA,4,808,91.9%,23.1%,40,10.2%,13,3.3%,55.5%,79.7%,54.6%,68.5%,13,61.5%,36.9%,34,44.1%,52.2%,1.17,9:30
5,Tim Henman,GBR,3,509,80.0%,34.2%,15,6.1%,9,3.7%,57.3%,68.8%,53.3%,62.2%,16,50.0%,43.7%,31,41.9%,52.7%,1.16,5:30
,Wayne Ferreira,RSA,4,953,84.6%,26.3%,51,11.1%,16,3.5%,52.8%,73.3%,58.1%,66.1%,38,68.4%,39.4%,48,41.7%,52.3%,1.16,9:36
,Hicham Arazi,MAR,2,275,82.6%,25.0%,9,7.1%,7,5.5%,67.7%,76.7%,46.3%,66.9%,6,33.3%,38.5%,19,31.6%,51.6%,1.16,2:35
10,Sebastien Grosjean,FRA,2,523,77.5%,28.2%,16,6.5%,4,1.6%,46.1%,66.4%,60.6%,63.3%,19,52.6%,41.7%,34,32.4%,51.8%,1.14,5:49
14,Jiri Novak,CZE,4,616,78.7%,32.6%,22,7.2%,10,3.3%,63.4%,70.1%,50.0%,62.7%,23,56.5%,42.3%,34,44.1%,52.4%,1.13,5:45
8,Albert Costa,ESP,2,564,86.4%,18.6%,20,7.2%,10,3.6%,50.9%,72.5%,60.6%,66.7%,15,60.0%,37.5%,25,32.0%,52.0%,1.13,6:15
24,Sjeng Schalken,NED,6,1534,89.9%,19.0%,30,3.9%,21,2.7%,70.0%,73.6%,53.2%,67.5%,45,73.3%,36.3%,52,42.3%,52.0%,1.12,16:50
,Alexander Popp,GER,2,523,82.5%,19.5%,15,6.0%,14,5.6%,63.6%,73.6%,52.7%,66.0%,13,46.2%,38.1%,19,42.1%,51.4%,1.12,5:13
32,Max Mirnyi,BLR,5,1114,86.2%,16.1%,77,14.1%,24,4.4%,63.1%,76.2%,53.5%,67.8%,33,63.6%,35.6%,40,35.0%,51.4%,1.11,11:03
,Kristian Pless,DEN,2,418,84.8%,23.5%,21,10.0%,10,4.8%,55.0%,71.3%,59.6%,66.0%,18,72.2%,37.8%,19,42.1%,51.9%,1.11,3:52
,Paul Henri Mathieu,FRA,1,314,91.7%,16.0%,14,9.6%,8,5.5%,49.3%,75.0%,60.8%,67.8%,3,33.3%,35.7%,19,21.1%,50.6%,1.11,3:10
,Fernando Vicente,ESP,3,602,80.4%,26.1%,10,3.3%,8,2.7%,51.0%,70.6%,55.8%,63.3%,27,66.7%,40.4%,36,33.3%,51.8%,1.10,5:54
33,Greg Rusedski,GBR,3,914,86.5%,18.1%,57,12.5%,26,5.7%,53.3%,82.7%,54.5%,69.5%,27,63.0%,33.4%,34,38.2%,51.4%,1.10,9:23
7,Juan Carlos Ferrero,ESP,3,712,83.9%,19.3%,30,8.3%,13,3.6%,56.9%,73.7%,57.4%,66.7%,24,62.5%,36.4%,23,47.8%,51.7%,1.09,8:13
,Bohdan Ulihrach,CZE,1,339,88.5%,11.5%,10,6.4%,4,2.5%,58.0%,70.3%,63.6%,67.5%,7,57.1%,35.2%,12,25.0%,50.1%,1.08,3:30
,Dominik Hrbaty,SVK,3,740,73.7%,37.0%,12,3.0%,21,5.2%,57.1%,69.6%,46.8%,59.8%,46,67.4%,43.3%,37,54.1%,52.3%,1.08,7:17
Q,Gaston Etlis,ARG,2,480,68.6%,23.5%,20,9.3%,8,3.7%,60.6%,67.9%,48.2%,60.2%,22,50.0%,42.4%,33,24.2%,50.4%,1.07,5:04
30,Andrei Pavel,ROU,1,322,80.0%,21.7%,11,6.9%,3,1.9%,64.8%,68.9%,51.8%,62.9%,10,50.0%,39.9%,14,35.7%,51.2%,1.07,3:03
,Francisco Clavet,ESP,1,294,68.2%,33.3%,5,3.4%,7,4.8%,61.6%,68.9%,50.0%,61.6%,15,53.3%,40.5%,18,38.9%,51.0%,1.06,3:18
,Antony Dupuis,FRA,2,352,80.0%,23.3%,20,12.0%,18,10.8%,56.0%,80.6%,43.8%,64.5%,14,57.1%,37.6%,19,36.8%,50.3%,1.06,3:33
,Sargis Sargsian,ARM,3,698,86.0%,17.9%,27,7.8%,17,4.9%,50.9%,77.4%,55.0%,66.4%,20,60.0%,35.7%,26,38.5%,51.0%,1.06,7:29
Q,Robin Soderling,SWE,2,447,75.8%,28.1%,13,5.5%,14,5.9%,54.6%,75.4%,44.4%,61.3%,19,57.9%,40.7%,24,37.5%,51.7%,1.05,4:22
25,James Blake,USA,3,869,77.8%,30.2%,18,3.9%,14,3.0%,62.0%,66.8%,50.3%,60.5%,37,62.2%,40.7%,34,55.9%,51.2%,1.03,8:53
,Mariano Zabaleta,ARG,1,365,74.1%,18.5%,8,4.6%,11,6.4%,58.4%,67.3%,56.9%,63.0%,13,46.2%,38.0%,22,22.7%,49.9%,1.03,0:59
22,Marcelo Rios,CHI,3,546,76.7%,29.5%,16,5.9%,11,4.0%,60.4%,69.7%,49.1%,61.5%,25,60.0%,39.6%,27,48.1%,50.5%,1.03,5:23
,Feliciano Lopez,ESP,2,462,82.4%,17.1%,20,9.0%,11,5.0%,62.4%,76.1%,44.6%,64.3%,21,71.4%,36.9%,20,30.0%,50.0%,1.03,4:30
,Fernando Meligeni,BRA,2,558,71.4%,25.0%,10,3.8%,15,5.7%,58.7%,72.3%,45.0%,61.0%,34,64.7%,39.8%,37,29.7%,49.8%,1.02,5:46
28,Fernando Gonzalez,CHI,5,1270,88.7%,15.5%,72,11.2%,43,6.7%,56.8%,76.1%,51.6%,65.5%,47,76.6%,35.1%,41,36.6%,50.5%,1.02,14:13
,Arnaud Clement,FRA,4,1001,76.6%,25.0%,20,3.9%,19,3.7%,64.8%,69.0%,45.6%,60.7%,54,66.7%,40.1%,40,47.5%,50.6%,1.02,11:08
Q,Slimane Saoudi,ALG,1,331,69.2%,36.0%,5,3.1%,10,6.3%,48.4%,62.3%,50.0%,56.0%,14,42.9%,44.8%,20,45.0%,50.2%,1.02,4:05
LL,Mario Ancic,CRO,1,330,69.6%,32.0%,6,4.3%,6,4.3%,49.3%,69.6%,47.9%,58.6%,11,36.4%,42.1%,28,28.6%,49.1%,1.02,3:34
,Nicolas Massu,CHI,3,643,79.2%,28.6%,14,4.1%,18,5.3%,60.3%,70.2%,49.6%,62.1%,37,73.0%,38.3%,28,50.0%,50.9%,1.01,8:56
,Nikolay Davydenko,RUS,2,485,65.7%,24.3%,6,2.7%,6,2.7%,69.4%,65.1%,43.3%,58.4%,24,50.0%,41.4%,22,40.9%,49.1%,1.00,4:50
,Ramon Delgado,PAR,3,768,69.5%,19.6%,22,5.9%,20,5.3%,63.9%,68.2%,48.9%,61.2%,34,47.1%,38.6%,36,30.6%,49.6%,1.00,7:28
2,Marat Safin,RUS,2,548,78.0%,16.7%,31,11.8%,6,2.3%,55.7%,74.0%,46.6%,61.8%,23,60.9%,37.8%,23,30.4%,49.3%,0.99,6:42
Q,Noam Okun,ISR,2,479,69.4%,29.4%,17,7.3%,10,4.3%,55.1%,61.2%,54.3%,58.1%,23,52.2%,41.6%,23,43.5%,49.7%,0.99,5:41
Q,John Van Lottum,NED,2,506,62.9%,30.6%,19,7.9%,13,5.4%,46.4%,66.7%,47.7%,56.5%,29,55.2%,43.1%,24,45.8%,49.4%,0.99,4:58
,Flavio Saretta,BRA,1,346,85.7%,17.9%,8,4.5%,5,2.8%,70.5%,71.0%,51.9%,65.3%,14,71.4%,33.5%,12,41.7%,49.7%,0.97,4:17
3,Tommy Haas,GER,4,1046,78.2%,22.1%,46,8.7%,30,5.7%,56.7%,72.1%,52.6%,63.7%,53,64.2%,35.4%,40,47.5%,49.6%,0.97,11:43
,Ivan Ljubicic,CRO,2,484,78.4%,16.2%,23,9.7%,10,4.2%,54.6%,73.8%,51.9%,63.9%,14,42.9%,35.0%,18,33.3%,49.2%,0.97,5:05
,Kenneth Carlsen,DEN,2,593,84.4%,11.1%,50,17.0%,13,4.4%,62.2%,76.5%,45.9%,65.0%,22,68.2%,33.8%,21,23.8%,49.2%,0.96,6:52
,Jurgen Melzer,AUT,2,439,76.5%,26.5%,15,6.4%,10,4.3%,65.0%,68.4%,46.3%,60.7%,23,65.2%,37.6%,23,39.1%,49.9%,0.96,4:42
,Radek Stepanek,CZE,1,322,60.9%,22.7%,2,1.4%,10,6.8%,44.5%,63.1%,50.6%,56.2%,16,43.8%,42.0%,20,25.0%,48.4%,0.96,3:42
23,Rainer Schuettler,GER,1,252,61.1%,29.4%,4,3.1%,9,7.0%,48.4%,75.8%,36.4%,55.5%,12,41.7%,42.7%,10,50.0%,49.2%,0.96,2:40
,Vincent Spadea,USA,2,486,71.8%,25.6%,14,5.4%,13,5.0%,52.9%,73.0%,45.9%,60.2%,31,64.5%,37.9%,15,66.7%,49.8%,0.95,5:06
,David Sanchez,ESP,1,311,76.9%,26.9%,6,3.6%,9,5.4%,56.3%,71.3%,53.4%,63.5%,14,57.1%,34.7%,11,63.6%,50.2%,0.95,3:24
21,Gaston Gaudio,ARG,3,559,68.9%,23.9%,28,9.8%,7,2.4%,61.0%,66.9%,48.2%,59.6%,29,51.7%,38.2%,23,47.8%,49.2%,0.95,5:46
,Karol Kucera,SVK,2,500,65.7%,32.4%,13,5.1%,21,8.2%,52.9%,65.2%,43.3%,54.9%,30,60.0%,42.9%,27,44.4%,49.0%,0.95,5:43
WC,Mardy Fish,USA,2,472,82.9%,13.9%,29,12.3%,12,5.1%,52.8%,80.6%,48.6%,65.5%,18,66.7%,32.9%,16,31.3%,49.2%,0.95,4:58
WC,Alex Bogomolov Jr,RUS,1,306,75.0%,24.0%,8,5.3%,5,3.3%,63.8%,69.1%,50.9%,62.5%,16,62.5%,35.1%,9,66.7%,48.7%,0.94,3:20
,Mark Philippoussis,AUS,1,254,78.9%,15.0%,18,14.1%,7,5.5%,56.3%,77.8%,44.6%,63.3%,8,50.0%,34.1%,8,37.5%,48.8%,0.93,3:06
,Nicolas Kiefer,GER,1,348,73.1%,24.0%,11,5.8%,12,6.3%,51.3%,72.2%,41.3%,57.1%,21,66.7%,39.6%,16,37.5%,49.1%,0.92,4:32
27,Nicolas Lapentti,ECU,1,279,63.6%,19.0%,12,9.5%,6,4.8%,61.9%,66.7%,47.9%,59.5%,11,27.3%,37.3%,17,23.5%,47.3%,0.92,3:59
Q,Jean Rene Lisnard,MON,2,416,60.0%,29.0%,3,1.5%,9,4.5%,64.2%,60.5%,43.1%,54.2%,21,42.9%,41.9%,17,52.9%,47.8%,0.91,4:21
31,Tommy Robredo,ESP,3,794,71.4%,28.1%,16,3.8%,14,3.4%,73.4%,66.0%,38.7%,58.8%,48,62.5%,37.7%,40,45.0%,48.7%,0.91,5:18
,Raemon Sluiter,NED,2,397,70.6%,23.5%,14,6.7%,17,8.1%,51.4%,71.3%,48.0%,60.0%,24,58.3%,36.4%,11,72.7%,48.9%,0.91,3:45
,Michel Kratochvil,SUI,1,270,59.1%,33.3%,5,3.6%,11,8.0%,54.0%,68.9%,39.7%,55.5%,17,47.1%,40.6%,20,35.0%,48.1%,0.91,2:52
,Agustin Calleri,ARG,1,282,71.4%,21.1%,10,6.8%,15,10.1%,48.0%,74.6%,44.2%,58.8%,23,73.9%,37.3%,18,22.2%,48.6%,0.91,2:57
9,Carlos Moya,ESP,2,397,71.9%,15.2%,8,4.1%,9,4.6%,56.6%,73.0%,47.1%,61.7%,21,57.1%,34.3%,13,38.5%,47.9%,0.90,3:56
4,Yevgeny Kafelnikov,RUS,2,388,51.6%,35.5%,9,4.3%,18,8.5%,47.9%,63.4%,40.9%,51.7%,38,60.5%,42.9%,14,78.6%,47.7%,0.89,3:31
,Adrian Voinea,ROU,1,251,80.0%,15.0%,6,4.8%,7,5.6%,56.3%,64.8%,60.0%,62.7%,11,63.6%,32.8%,10,30.0%,47.8%,0.88,2:21
,Harel Levy,ISR,2,627,79.5%,19.1%,22,6.8%,13,4.0%,55.4%,69.3%,47.9%,59.8%,27,66.7%,35.5%,21,42.9%,48.0%,0.88,5:42
