Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
3,Roger Federer,SUI,5,1022,94.3%,23.3%,68,14.0%,3,0.6%,69.2%,82.1%,63.8%,76.4%,25,80.0%,38.5%,39,51.3%,56.5%,1.63,11:06
6,Tomas Berdych,CZE,4,641,94.4%,32.1%,45,14.7%,6,2.0%,55.2%,83.4%,62.0%,73.9%,8,62.5%,41.5%,33,51.5%,56.9%,1.59,7:16
31,Milos Raonic,CAN,2,202,100.0%,17.6%,30,29.7%,0,0.0%,67.3%,80.9%,72.7%,78.2%,2,100.0%,33.7%,6,50.0%,55.9%,1.55,2:00
24,Juan Martin del Potro,ARG,4,885,95.8%,21.7%,67,16.1%,8,1.9%,68.3%,82.5%,57.6%,74.6%,16,81.3%,38.2%,35,42.9%,55.4%,1.50,10:55
2,Novak Djokovic,SRB,7,1386,90.6%,31.3%,61,9.2%,16,2.4%,68.5%,77.4%,59.0%,71.6%,28,60.7%,41.1%,74,47.3%,55.8%,1.45,16:26
8,Andy Roddick,USA,3,576,95.7%,16.7%,68,25.7%,7,2.6%,66.8%,84.2%,54.5%,74.3%,8,75.0%,35.4%,21,38.1%,53.3%,1.38,6:25
14,Stan Wawrinka,SUI,2,410,87.1%,19.4%,24,13.7%,3,1.7%,60.0%,81.9%,55.7%,71.4%,8,50.0%,39.1%,31,19.4%,52.9%,1.37,4:15
1,Rafael Nadal,ESP,7,1412,89.0%,25.2%,49,7.4%,7,1.1%,70.7%,77.7%,58.0%,71.9%,27,51.9%,37.8%,61,49.2%,53.8%,1.35,18:41
19,Michael Llodra,FRA,4,752,91.7%,21.1%,60,16.5%,15,4.1%,66.5%,81.0%,49.2%,70.3%,23,78.3%,38.7%,32,37.5%,54.0%,1.30,7:34
4,Andy Murray,GBR,6,1172,91.0%,24.0%,76,13.1%,21,3.6%,59.9%,81.2%,54.3%,70.4%,22,59.1%,38.2%,54,42.6%,54.1%,1.29,14:05
7,David Ferrer,ESP,4,846,86.8%,26.9%,20,5.0%,13,3.3%,65.9%,76.0%,55.1%,68.9%,24,62.5%,39.8%,46,39.1%,53.5%,1.28,9:31
10,Mardy Fish,USA,5,1110,91.8%,14.3%,85,16.7%,8,1.6%,61.0%,83.0%,53.8%,71.6%,22,68.2%,35.7%,43,27.9%,52.2%,1.25,12:27
17,Richard Gasquet,FRA,4,701,83.1%,29.8%,37,10.5%,7,2.0%,68.6%,72.0%,55.0%,66.7%,23,56.5%,40.6%,31,54.8%,53.8%,1.22,7:30
Q,Bernard Tomic,AUS,5,1081,88.9%,24.1%,46,8.1%,5,0.9%,71.3%,71.2%,60.5%,68.1%,35,71.4%,38.4%,46,45.7%,53.9%,1.20,10:30
,Xavier Malisse,BEL,4,664,85.7%,29.8%,46,14.0%,9,2.7%,61.7%,77.8%,50.8%,67.5%,28,71.4%,39.1%,26,65.4%,53.2%,1.20,5:59
,Fernando Gonzalez,CHI,3,592,88.2%,14.0%,34,12.1%,2,0.7%,61.0%,79.1%,62.7%,72.7%,15,60.0%,32.3%,19,36.8%,51.5%,1.18,5:27
9,Gael Monfils,FRA,3,667,77.8%,24.5%,46,14.3%,13,4.0%,68.2%,76.7%,46.1%,67.0%,24,50.0%,39.0%,30,43.3%,52.5%,1.18,6:20
,Alex Bogomolov Jr,RUS,3,576,82.6%,27.3%,14,5.1%,12,4.4%,75.3%,70.5%,48.5%,65.1%,19,57.9%,40.5%,32,37.5%,52.3%,1.16,6:05
,Radek Stepanek,CZE,1,349,85.2%,17.9%,6,3.8%,4,2.5%,69.8%,78.4%,47.9%,69.2%,5,20.0%,35.8%,17,29.4%,51.0%,1.16,3:56
,Feliciano Lopez,ESP,5,1211,91.5%,15.5%,107,18.5%,22,3.8%,60.6%,81.8%,51.8%,69.9%,30,73.3%,35.0%,41,36.6%,51.7%,1.16,13:17
28,David Nalbandian,ARG,3,603,81.3%,23.4%,21,7.4%,15,5.3%,59.9%,72.8%,57.5%,66.7%,19,52.6%,38.0%,31,35.5%,51.4%,1.14,6:09
,Philipp Petzschner,GER,1,297,75.0%,25.0%,6,4.7%,3,2.3%,66.4%,71.8%,46.5%,63.3%,11,54.5%,40.8%,21,23.8%,50.5%,1.11,3:14
