Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,3,(3)Juan Carlos Ferrero[ESP] [yr|ev],d.,46,Martin Verkerk[NED] [yr|ev],6-1 6-3 6-2,1.77,2.9%,55.7%,82.1%,54.8%,3/4,12.0%,47.0%,66.0%,30.2%,15/22,2:09,1
SF,3,(3)Juan Carlos Ferrero[ESP] [yr|ev],d.,9,(9)Albert Costa[ESP] [yr|ev],6-3 7-6(5) 6-4,1.25,7.2%,55.7%,75.9%,51.2%,2/4,5.2%,54.3%,66.7%,43.4%,8/13,2:44,1
SF,46,Martin Verkerk[NED] [yr|ev],d.,7,(7)Guillermo Coria[ARG] [yr|ev],7-6(4) 6-4 7-6(0),1.21,17.6%,63.9%,78.3%,48.7%,2/4,0.9%,76.8%,62.8%,53.8%,7/10,2:40,14
QF,9,(9)Albert Costa[ESP] [yr|ev],d.,31,(28)Tommy Robredo[ESP] [yr|ev],2-6 3-6 6-4 7-5 6-2,1.07,2.8%,67.6%,66.7%,47.8%,10/17,2.7%,76.9%,61.9%,44.1%,9/16,3:29,6
QF,3,(3)Juan Carlos Ferrero[ESP] [yr|ev],d.,20,(19)Fernando Gonzalez[CHI] [yr|ev],6-1 3-6 6-1 5-7 6-4,1.33,9.2%,57.4%,67.9%,61.7%,3/8,3.0%,48.2%,63.7%,44.2%,21/29,3:29,1
QF,46,Martin Verkerk[NED] [yr|ev],d.,4,(4)Carlos Moya[ESP] [yr|ev],6-3 6-4 5-7 4-6 8-6,0.93,14.1%,59.7%,77.2%,49.4%,10/12,7.6%,53.2%,78.6%,56.8%,6/9,3:52,14
QF,7,(7)Guillermo Coria[ARG] [yr|ev],d.,2,(2)Andre Agassi[USA] [yr|ev],4-6 6-3 6-2 6-4,1.11,2.3%,77.5%,58.0%,48.3%,8/14,0.9%,65.2%,58.9%,35.9%,6/15,2:32,3
R16,31,(28)Tommy Robredo[ESP] [yr|ev],d.,16,(15)Gustavo Kuerten[BRA] [yr|ev],6-4 1-6 7-6(2) 6-4,1.12,0.0%,73.0%,65.2%,54.5%,4/9,3.4%,55.1%,66.7%,47.0%,14/19,2:46,5
R16,9,(9)Albert Costa[ESP] [yr|ev],d.,36,(32)Arnaud Clement[FRA] [yr|ev],6-2 7-5 7-5,1.20,9.6%,64.3%,70.3%,48.8%,12/14,3.4%,49.2%,62.1%,48.3%,9/15,3:07,6
R16,3,(3)Juan Carlos Ferrero[ESP] [yr|ev],d.,21,(20)Felix Mantilla[ESP] [yr|ev],6-2 6-1 6-1,2.49,8.8%,52.6%,86.7%,66.7%,1/2,1.1%,55.7%,53.1%,30.8%,9/17,1:40,1
R16,20,(19)Fernando Gonzalez[CHI] [yr|ev],d.,34,(30)Jarkko Nieminen[FIN] [yr|ev],6-3 6-3 6-2,1.57,7.1%,55.7%,76.9%,61.3%,0/1,4.7%,71.8%,55.7%,45.8%,3/9,1:32,5
R16,46,Martin Verkerk[NED] [yr|ev],d.,11,(11)Rainer Schuettler[GER] [yr|ev],6-3 6-3 7-5,1.38,23.7%,61.3%,82.5%,44.4%,8/10,0.0%,61.1%,69.1%,34.3%,9/15,2:01,14
R16,4,(4)Carlos Moya[ESP] [yr|ev],d.,14,(13)Jiri Novak[CZE] [yr|ev],7-5 6-3 6-2,1.38,13.4%,49.5%,81.3%,53.1%,8/9,2.1%,55.7%,61.1%,46.5%,7/12,1:43,1
R16,7,(7)Guillermo Coria[ARG] [yr|ev],d.,39,Mariano Zabaleta[ARG] [yr|ev],6-4 7-6(4) 5-7 6-7(4) 6-3,1.01,0.0%,66.7%,61.0%,52.9%,12/20,4.0%,54.9%,65.3%,48.7%,4/14,4:41,3
R16,2,(2)Andre Agassi[USA] [yr|ev],d.,78,Flavio Saretta[BRA] [yr|ev],6-2 6-1 7-5,1.59,6.9%,68.1%,75.5%,47.8%,1/3,0.0%,71.3%,53.2%,32.0%,9/17,1:44,1
R32,31,(28)Tommy Robredo[ESP] [yr|ev],d.,1,(1)Lleyton Hewitt[AUS] [yr|ev],4-6 1-6 6-3 6-2 6-3,1.00,3.0%,70.1%,60.6%,47.5%,4/10,2.1%,47.6%,71.0%,43.4%,14/22,3:24,5
R32,16,(15)Gustavo Kuerten[BRA] [yr|ev],d.,22,(21)Gaston Gaudio[ARG] [yr|ev],7-6(1) 7-5 5-7 6-3,1.08,7.5%,45.3%,79.2%,48.3%,7/11,2.9%,62.3%,72.1%,38.5%,7/12,3:36,1
R32,9,(9)Albert Costa[ESP] [yr|ev],d.,58,Nicolas Lapentti[ECU] [yr|ev],4-6 4-6 6-3 6-4 6-4,0.94,1.1%,62.1%,69.4%,48.5%,12/16,6.0%,56.4%,65.5%,61.5%,11/16,4:39,6
