Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
13,John Isner,USA,3,684,100.0%,11.1%,99,31.9%,5,1.6%,69.4%,84.2%,70.5%,80.0%,6,100.0%,32.6%,32,18.8%,54.1%,1.63,7:05
1,Novak Djokovic,SRB,6,1118,86.0%,40.9%,54,9.7%,11,2.0%,64.4%,75.7%,52.5%,67.4%,36,63.9%,46.3%,68,52.9%,56.8%,1.42,12:57
14,Marin Cilic,CRO,7,1383,90.1%,25.9%,98,14.6%,32,4.8%,55.9%,82.6%,54.2%,70.1%,37,70.3%,40.5%,72,38.9%,54.8%,1.35,16:43
WC,Bernard Tomic,AUS,2,234,100.0%,5.9%,21,18.1%,1,0.9%,65.5%,84.2%,55.0%,74.1%,3,100.0%,34.7%,9,11.1%,54.3%,1.34,1:54
2,Roger Federer,SUI,6,1249,84.7%,30.3%,56,9.6%,13,2.2%,61.3%,77.2%,54.2%,68.3%,43,65.1%,42.4%,73,41.1%,54.4%,1.34,12:54
7,Grigor Dimitrov,BUL,4,733,83.3%,33.9%,33,9.4%,17,4.8%,54.1%,77.9%,55.9%,67.8%,28,64.3%,42.4%,48,41.7%,54.6%,1.32,8:18
,David Goffin,BEL,3,512,73.2%,50.0%,22,9.1%,10,4.1%,60.5%,72.1%,47.9%,62.6%,23,52.2%,48.3%,43,46.5%,55.1%,1.29,5:36
,Blaz Kavcic,SLO,3,411,83.9%,36.7%,15,7.4%,9,4.4%,68.6%,76.4%,43.8%,66.2%,19,73.7%,43.0%,34,32.4%,54.5%,1.27,4:35
11,Ernests Gulbis,LAT,2,443,83.8%,25.7%,30,13.3%,16,7.1%,57.5%,79.2%,51.0%,67.3%,20,70.0%,40.6%,18,50.0%,54.2%,1.24,5:19
