Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,2,(2)Rafael Nadal[ESP] [yr|ev],d.,1,(1)Roger Federer[SUI] [yr|ev],6-3 4-6 6-3 6-4,1.14,1.5%,77.4%,69.8%,54.8%,16/17,7.6%,64.4%,65.8%,54.8%,6/10,3:10,1
SF,1,(1)Roger Federer[SUI] [yr|ev],d.,4,(4)Nikolay Davydenko[RUS] [yr|ev],7-5 7-6(5) 7-6(7),1.08,7.2%,51.4%,78.9%,46.3%,14/17,1.4%,67.9%,63.2%,53.3%,11/15,3:01,1
SF,2,(2)Rafael Nadal[ESP] [yr|ev],d.,6,(6)Novak Djokovic[SRB] [yr|ev],7-5 6-4 6-2,1.60,3.5%,70.9%,73.8%,60.0%,4/6,3.2%,71.6%,57.4%,37.0%,3/9,2:28,1
QF,1,(1)Roger Federer[SUI] [yr|ev],d.,9,(9)Tommy Robredo[ESP] [yr|ev],7-5 1-6 6-1 6-2,1.54,9.2%,58.6%,82.4%,52.8%,5/9,2.0%,76.5%,55.1%,50.0%,4/11,2:02,1
QF,4,(4)Nikolay Davydenko[RUS] [yr|ev],d.,22,(19)Guillermo Canas[ARG] [yr|ev],7-5 6-4 6-4,1.13,5.6%,69.2%,68.9%,48.5%,4/6,6.9%,52.6%,62.3%,52.7%,12/17,3:00,3
QF,6,(6)Novak Djokovic[SRB] [yr|ev],d.,125,Igor Andreev[RUS] [yr|ev],6-3 6-3 6-3,1.17,3.0%,67.3%,70.6%,48.5%,5/6,2.4%,67.1%,61.8%,48.1%,5/10,2:12,1
QF,2,(2)Rafael Nadal[ESP] [yr|ev],d.,26,(23)Carlos Moya[ESP] [yr|ev],6-4 6-3 6-0,1.65,0.0%,75.0%,70.4%,66.7%,3/4,2.2%,56.2%,58.0%,38.5%,5/12,2:02,1
R16,1,(1)Roger Federer[SUI] [yr|ev],d.,15,(13)Mikhail Youzhny[RUS] [yr|ev],7-6(3) 6-4 6-4,1.31,1.0%,50.0%,70.0%,66.0%,6/8,2.7%,49.1%,61.1%,55.4%,4/8,2:25,1
R16,9,(9)Tommy Robredo[ESP] [yr|ev],d.,34,(29)Filippo Volandri[ITA] [yr|ev],6-2 7-5 6-1,1.69,2.9%,62.9%,70.5%,61.5%,0/3,0.0%,74.4%,46.3%,39.1%,4/13,1:48,5
R16,4,(4)Nikolay Davydenko[RUS] [yr|ev],d.,18,(15)David Nalbandian[ARG] [yr|ev],6-3 7-6(1) 3-6 7-6(2),1.18,2.0%,68.7%,70.9%,46.8%,15/19,0.6%,66.2%,58.7%,52.8%,7/12,3:24,3
R16,22,(19)Guillermo Canas[ARG] [yr|ev],d.,35,Juan Monaco[ARG] [yr|ev],6-0 6-4 6-2,1.74,4.5%,46.3%,80.6%,52.8%,2/4,1.3%,59.7%,32.6%,51.6%,4/12,2:04,8
R16,6,(6)Novak Djokovic[SRB] [yr|ev],d.,51,Fernando Verdasco[ESP] [yr|ev],6-3 6-3 7-6(1),1.22,8.0%,71.7%,67.9%,59.4%,6/7,2.6%,74.1%,64.0%,40.0%,15/19,2:45,1
R16,125,Igor Andreev[RUS] [yr|ev],d.,19,(16)Marcos Baghdatis[CYP] [yr|ev],2-6 6-1 6-3 6-4,1.16,0.0%,73.6%,65.4%,57.1%,3/7,3.6%,48.2%,71.7%,43.9%,5/12,2:28,18
R16,26,(23)Carlos Moya[ESP] [yr|ev],d.,39,Jonas Bjorkman[SWE] [yr|ev],7-6(5) 6-2 7-5,1.30,2.7%,53.6%,72.9%,54.9%,11/14,2.7%,51.3%,58.6%,49.1%,7/13,2:38,1
R16,2,(2)Rafael Nadal[ESP] [yr|ev],d.,16,(14)Lleyton Hewitt[AUS] [yr|ev],6-3 6-1 7-6(5),1.48,4.6%,71.3%,77.4%,44.0%,4/6,9.8%,57.3%,66.0%,34.3%,3/9,2:21,1
R32,1,(1)Roger Federer[SUI] [yr|ev],d.,57,Potito Starace[ITA] [yr|ev],6-2 6-3 6-0,1.75,6.6%,61.8%,83.0%,51.7%,3/3,1.4%,58.0%,50.0%,48.3%,5/11,1:31,1
R32,15,(13)Mikhail Youzhny[RUS] [yr|ev],d.,20,(17)Juan Carlos Ferrero[ESP] [yr|ev],6-7(3) 7-6(3) 6-2 6-2,1.28,8.8%,62.8%,72.1%,49.0%,4/9,1.4%,63.6%,58.2%,44.2%,9/18,3:27,8
R32,9,(9)Tommy Robredo[ESP] [yr|ev],d.,80,Janko Tipsarevic[SRB] [yr|ev],6-3 6-4 6-0,1.95,4.2%,65.3%,74.5%,76.0%,0/0,3.8%,61.3%,57.1%,41.9%,1/6,1:42,5
R32,34,(29)Filippo Volandri[ITA] [yr|ev],d.,7,(7)Ivan Ljubicic[CRO] [yr|ev],6-4 6-7(4) 4-6 6-3 6-4,1.04,0.0%,80.1%,62.8%,58.8%,4/9,10.2%,59.2%,65.6%,53.1%,8/15,3:51,25
R32,4,(4)Nikolay Davydenko[RUS] [yr|ev],d.,87,Michael Llodra[FRA] [yr|ev],6-4 6-2 6-4,1.97,4.2%,79.2%,82.5%,53.3%,0/1,6.1%,65.7%,55.4%,50.0%,9/14,1:53,3
R32,18,(15)David Nalbandian[ARG] [yr|ev],d.,52,Gael Monfils[FRA] [yr|ev],7-6(5) 5-7 6-4 7-6(5),1.05,1.8%,59.6%,74.7%,56.7%,8/10,15.8%,64.6%,72.5%,53.6%,8/10,3:34,3
R32,22,(19)Guillermo Canas[ARG] [yr|ev],d.,74,Kristof Vliegen[BEL] [yr|ev],6-2 6-2 2-6 6-3,1.35,3.4%,56.3%,81.6%,52.6%,1/4,2.0%,64.0%,64.1%,47.2%,6/13,2:25,8
R32,35,Juan Monaco[ARG] [yr|ev],d.,144,(WC)Edouard Roger-Vasselin[FRA] [yr|ev],6-4 6-2 6-4,1.49,10.3%,66.7%,76.9%,61.5%,1/2,3.2%,68.8%,64.1%,44.8%,4/9,1:43,10
R32,6,(6)Novak Djokovic[SRB] [yr|ev],d.,129,(WC)Olivier Patience[FRA] [yr|ev],7-6(2) 2-6 3-6 7-6(4) 6-3,1.04,6.9%,59.1%,70.2%,63.1%,7/12,4.7%,56.1%,70.8%,60.0%,14/16,4:04,1
R32,51,Fernando Verdasco[ESP] [yr|ev],d.,14,(12)David Ferrer[ESP] [yr|ev],4-6 7-6(2) 6-3 6-3,1.17,2.9%,68.6%,65.6%,54.5%,8/12,4.0%,71.5%,60.2%,44.2%,12/18,3:16,7
R32,19,(16)Marcos Baghdatis[CYP] [yr|ev],d.,100,Jan Hajek[CZE] [yr|ev],6-2 6-2 RET,1.64,14.6%,43.8%,95.2%,44.4%,3/4,0.0%,64.3%,40.7%,53.3%,1/6,0:58,8
R32,125,Igor Andreev[RUS] [yr|ev],d.,40,Paul Henri Mathieu[FRA] [yr|ev],7-6(4) 6-0 6-3,1.37,3.1%,70.4%,60.9%,72.4%,9/11,3.8%,55.0%,59.1%,41.7%,5/11,2:10,18
R32,39,Jonas Bjorkman[SWE] [yr|ev],d.,61,Oscar Hernandez[ESP] [yr|ev],6-7(3) 6-3 6-0 6-1,1.44,5.0%,57.9%,71.4%,56.9%,8/10,2.9%,62.5%,56.9%,38.5%,4/13,2:34,4
R32,26,(23)Carlos Moya[ESP] [yr|ev],d.,134,(Q)Juan Pablo Brzezicki[ARG] [yr|ev],6-1 6-3 7-5,1.55,5.0%,61.3%,81.6%,48.4%,2/4,1.1%,75.3%,52.9%,47.8%,10/17,1:50,1
R32,16,(14)Lleyton Hewitt[AUS] [yr|ev],d.,23,(20)Jarkko Nieminen[FIN] [yr|ev],1-6 6-3 7-5 6-2,1.01,8.7%,52.0%,86.4%,36.1%,6/9,3.5%,60.2%,69.1%,51.1%,6/11,2:58,1
