Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
2,Rafael Nadal,ESP,7,1300,88.9%,44.0%,17,2.8%,10,1.6%,72.1%,73.5%,53.8%,68.0%,55,80.0%,47.9%,89,49.4%,57.4%,1.50,16:34
20,Jarkko Nieminen,FIN,3,576,84.4%,31.1%,10,3.8%,5,1.9%,63.9%,75.0%,58.9%,69.2%,17,58.8%,42.5%,33,42.4%,54.7%,1.38,6:32
4,Nikolay Davydenko,RUS,6,1280,85.1%,33.7%,20,3.3%,28,4.6%,67.6%,72.6%,53.1%,66.3%,46,69.6%,44.9%,83,38.6%,55.0%,1.33,14:53
1,Roger Federer,SUI,7,1457,87.3%,28.7%,45,6.5%,8,1.2%,59.9%,75.5%,56.2%,67.7%,51,72.5%,41.6%,94,33.0%,53.9%,1.29,15:45
9,Tommy Robredo,ESP,5,873,79.5%,41.7%,11,2.6%,8,1.9%,65.1%,65.4%,63.7%,64.8%,24,37.5%,44.8%,58,51.7%,54.4%,1.27,9:41
19,Guillermo Canas,ARG,5,910,84.5%,37.5%,36,8.0%,6,1.3%,56.1%,75.5%,51.5%,65.0%,40,72.5%,44.2%,53,50.9%,54.5%,1.26,11:44
,Kristof Vliegen,BEL,3,530,77.3%,34.1%,16,6.0%,2,0.7%,67.2%,70.0%,54.5%,64.9%,23,56.5%,42.7%,27,55.6%,54.0%,1.22,6:18
16,Marcos Baghdatis,CYP,4,658,81.8%,34.0%,21,6.4%,13,3.9%,46.1%,76.3%,56.2%,65.5%,21,52.4%,42.1%,36,50.0%,53.8%,1.22,7:18
22,Marat Safin,RUS,2,347,74.1%,39.3%,13,8.2%,7,4.4%,53.8%,71.8%,50.7%,62.0%,12,41.7%,46.0%,26,42.3%,53.3%,1.21,4:02
,Radek Stepanek,CZE,2,453,82.4%,32.4%,15,7.0%,5,2.3%,60.6%,67.4%,58.3%,63.8%,16,62.5%,43.3%,30,36.7%,53.0%,1.20,4:59
,Simone Bolelli,ITA,2,338,78.6%,22.2%,13,8.0%,3,1.8%,68.1%,76.6%,46.2%,66.9%,16,62.5%,39.4%,19,31.6%,52.7%,1.19,3:47
23,Carlos Moya,ESP,5,1000,79.2%,33.3%,19,3.9%,20,4.1%,59.3%,71.5%,52.0%,63.6%,49,67.3%,43.4%,60,41.7%,53.2%,1.19,11:07
,Igor Andreev,RUS,5,1072,79.5%,29.3%,17,3.3%,13,2.5%,68.9%,66.6%,58.5%,64.1%,47,63.8%,42.3%,57,42.1%,52.7%,1.18,12:31
32,Nicolas Almagro,ESP,2,503,84.6%,17.9%,41,18.1%,5,2.2%,54.9%,72.6%,60.8%,67.3%,9,33.3%,38.3%,25,28.0%,51.3%,1.17,4:58
,Gael Monfils,FRA,3,847,85.5%,25.8%,43,10.8%,11,2.8%,62.5%,72.6%,53.7%,65.5%,26,65.4%,40.4%,50,32.0%,52.2%,1.17,9:32
12,David Ferrer,ESP,3,635,76.6%,39.1%,14,4.3%,6,1.9%,71.9%,63.9%,52.7%,60.8%,26,57.7%,45.3%,35,51.4%,53.2%,1.16,7:05
,Fernando Verdasco,ESP,4,905,83.3%,28.8%,20,4.5%,16,3.6%,69.1%,69.7%,51.5%,64.1%,40,72.5%,41.7%,45,42.2%,52.6%,1.16,10:23
Q,Juan Pablo Brzezicki,ARG,3,544,72.1%,40.5%,5,1.8%,2,0.7%,66.9%,63.6%,53.8%,60.4%,29,58.6%,45.7%,33,51.5%,53.1%,1.15,6:09
13,Mikhail Youzhny,RUS,4,631,81.6%,33.3%,22,6.9%,4,1.3%,59.2%,72.0%,53.1%,64.3%,18,50.0%,41.0%,33,48.5%,52.8%,1.15,7:30
,Oscar Hernandez,ESP,3,568,74.4%,32.6%,15,5.5%,8,2.9%,66.5%,67.2%,55.4%,63.3%,21,47.6%,42.3%,28,50.0%,52.5%,1.15,6:26
,Kristian Pless,DEN,2,360,80.0%,20.0%,6,3.4%,6,3.4%,69.1%,68.6%,61.1%,66.3%,15,60.0%,38.9%,15,40.0%,52.2%,1.15,3:37
LL,Mariano Zabaleta,ARG,2,668,76.6%,27.7%,15,5.0%,12,4.0%,65.1%,70.4%,49.5%,63.1%,23,52.2%,42.0%,42,31.0%,51.5%,1.14,7:06
,Ivo Karlovic,CRO,2,559,93.5%,12.8%,54,20.4%,5,1.9%,69.4%,78.8%,55.6%,71.7%,17,82.4%,32.0%,26,23.1%,50.8%,1.13,5:54
7,Ivan Ljubicic,CRO,3,768,85.5%,21.7%,43,11.3%,5,1.3%,57.4%,73.4%,56.8%,66.3%,22,59.1%,38.1%,28,46.4%,52.1%,1.13,9:49
,Juan Monaco,ARG,4,702,78.3%,30.5%,17,4.9%,7,2.0%,61.3%,64.9%,63.2%,64.2%,26,50.0%,39.9%,37,48.6%,51.9%,1.12,7:54
,Paul Henri Mathieu,FRA,3,652,76.1%,28.3%,13,4.2%,4,1.3%,60.6%,71.3%,45.9%,61.3%,32,65.6%,42.4%,38,34.2%,51.4%,1.10,7:43
,Jonas Bjorkman,SWE,4,1059,82.9%,26.8%,34,6.3%,5,0.9%,60.3%,70.9%,54.9%,64.6%,49,71.4%,38.3%,54,40.7%,51.7%,1.08,11:50
11,Richard Gasquet,FRA,2,349,70.4%,34.6%,11,6.8%,8,4.9%,59.3%,67.7%,48.5%,59.9%,16,50.0%,43.3%,23,39.1%,51.0%,1.08,4:05
15,David Nalbandian,ARG,4,1045,87.0%,22.4%,10,1.9%,17,3.2%,63.6%,68.5%,57.3%,64.4%,37,73.0%,38.3%,52,32.7%,51.5%,1.08,11:28
Q,Bohdan Ulihrach,CZE,2,628,79.2%,27.7%,28,9.0%,19,6.1%,62.2%,71.6%,50.8%,63.8%,31,67.7%,38.6%,38,34.2%,51.1%,1.07,5:42
,Ernests Gulbis,LAT,2,390,80.6%,26.7%,20,10.3%,9,4.6%,66.7%,75.4%,41.5%,64.1%,16,62.5%,38.5%,24,33.3%,51.3%,1.07,3:48
6,Novak Djokovic,SRB,6,1344,83.5%,23.2%,38,5.5%,15,2.2%,66.6%,68.3%,53.7%,63.4%,49,65.3%,39.1%,73,31.5%,51.5%,1.07,15:55
18,Juan Ignacio Chela,ARG,2,482,77.1%,28.6%,4,1.7%,10,4.2%,54.9%,66.2%,54.2%,60.8%,27,70.4%,41.6%,28,35.7%,51.0%,1.06,5:45
14,Lleyton Hewitt,AUS,4,842,82.1%,26.9%,43,10.1%,12,2.8%,57.3%,74.5%,48.1%,63.2%,31,61.3%,39.0%,39,46.2%,51.2%,1.06,10:31
,Jan Hajek,CZE,3,666,72.3%,22.4%,30,9.9%,10,3.3%,57.9%,70.5%,53.9%,63.5%,32,59.4%,38.4%,42,26.2%,49.8%,1.05,6:09
,Potito Starace,ITA,3,557,81.8%,20.5%,2,0.7%,3,1.1%,71.7%,64.6%,62.8%,64.1%,18,55.6%,37.7%,23,39.1%,50.8%,1.05,6:03
17,Juan Carlos Ferrero,ESP,3,738,70.9%,35.7%,11,3.1%,4,1.1%,68.7%,63.5%,52.3%,60.0%,31,48.4%,41.5%,44,45.5%,50.4%,1.04,8:32
,Guillermo Garcia Lopez,ESP,2,376,65.5%,27.6%,5,2.9%,3,1.7%,63.8%,67.6%,44.4%,59.2%,20,50.0%,42.1%,20,40.0%,50.0%,1.03,4:26
WC,Thierry Ascione,FRA,2,359,80.0%,28.0%,5,2.5%,7,3.5%,69.2%,65.0%,52.5%,61.1%,30,83.3%,39.1%,14,50.0%,51.3%,1.01,3:24
