Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,2,(2)Roger Federer[SUI] [yr|ev],d.,6,(6)Marin Cilic[CRO] [yr|ev],6-2 6-7(5) 6-3 3-6 6-1,1.31,17.3%,60.4%,79.8%,58.2%,7/9,11.3%,62.4%,69.3%,50.9%,7/13,3:03,1
SF,6,(6)Marin Cilic[CRO] [yr|ev],d.,49,Kyle Edmund[GBR] [yr|ev],6-2 7-6(4) 6-2,1.64,12.4%,56.2%,90.0%,56.4%,2/2,6.9%,67.3%,64.7%,48.5%,4/8,2:18,3
SF,2,(2)Roger Federer[SUI] [yr|ev],d.,58,Hyeon Chung[KOR] [yr|ev],6-1 5-2 RET,2.69,24.3%,43.2%,93.8%,71.4%,1/1,1.9%,56.6%,56.7%,39.1%,7/11,1:02,1
QF,6,(6)Marin Cilic[CRO] [yr|ev],d.,1,(1)Rafael Nadal[ESP] [yr|ev],3-6 6-3 6-7(5) 6-2 2-0 RET,1.17,14.5%,67.4%,77.4%,37.8%,8/10,1.8%,75.0%,67.5%,31.7%,14/19,3:47,3
QF,49,Kyle Edmund[GBR] [yr|ev],d.,3,(3)Grigor Dimitrov[BUL] [yr|ev],6-4 3-6 6-3 6-4,1.02,10.5%,64.5%,75.0%,43.2%,6/9,6.0%,62.9%,68.5%,53.5%,10/15,2:49,14
QF,58,Hyeon Chung[KOR] [yr|ev],d.,97,Tennys Sandgren[USA] [yr|ev],6-4 7-6(5) 6-3,1.27,6.5%,75.7%,70.4%,61.5%,6/8,11.5%,54.8%,71.9%,44.7%,9/13,2:28,19
QF,2,(2)Roger Federer[SUI] [yr|ev],d.,20,(19)Tomas Berdych[CZE] [yr|ev],7-6(1) 6-3 6-4,1.36,15.6%,62.5%,83.3%,52.8%,3/5,4.3%,56.4%,69.8%,51.2%,4/8,2:14,1
R16,1,(1)Rafael Nadal[ESP] [yr|ev],d.,26,(24)Diego Schwartzman[ARG] [yr|ev],6-3 6-7(4) 6-3 6-3,1.16,4.8%,68.5%,63.0%,60.9%,15/18,8.2%,53.7%,67.1%,44.1%,11/18,3:51,1
R16,6,(6)Marin Cilic[CRO] [yr|ev],d.,11,(10)Pablo Carreno Busta[ESP] [yr|ev],6-7(2) 6-3 7-6(0) 7-6(3),1.28,15.0%,62.4%,80.7%,50.0%,2/6,5.9%,70.4%,62.6%,55.6%,8/14,3:27,3
R16,3,(3)Grigor Dimitrov[BUL] [yr|ev],d.,17,(17)Nick Kyrgios[AUS] [yr|ev],7-6(3) 7-6(4) 4-6 7-6(4),1.00,10.1%,70.3%,81.1%,40.4%,2/5,23.2%,65.2%,79.2%,50.0%,7/9,3:26,3
