Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
F,8,(8)Stan Wawrinka[SUI] [yr|ev],d.,1,(1)Rafael Nadal[ESP] [yr|ev],6-3 6-2 3-6 6-3,1.52,19.8%,55.2%,86.8%,51.2%,4/6,0.9%,77.8%,59.5%,41.7%,10/15,2:21,3
SF,1,(1)Rafael Nadal[ESP] [yr|ev],d.,6,(6)Roger Federer[SUI] [yr|ev],7-6(4) 6-3 6-3,1.50,3.5%,65.1%,73.2%,73.3%,1/2,7.6%,65.7%,65.2%,50.0%,10/14,2:24,1
SF,8,(8)Stan Wawrinka[SUI] [yr|ev],d.,7,(7)Tomas Berdych[CZE] [yr|ev],6-3 6-7(1) 7-6(3) 7-6(4),0.99,12.4%,60.7%,81.8%,56.1%,1/1,15.0%,62.1%,81.6%,56.6%,3/4,3:31,3
QF,1,(1)Rafael Nadal[ESP] [yr|ev],d.,22,(22)Grigor Dimitrov[BUL] [yr|ev],3-6 7-6(3) 7-6(7) 6-2,1.31,2.4%,73.4%,72.5%,66.7%,3/6,11.6%,58.1%,71.1%,49.2%,7/11,3:37,1
QF,6,(6)Roger Federer[SUI] [yr|ev],d.,4,(4)Andy Murray[GBR] [yr|ev],6-3 6-4 6-7(6) 6-3,1.47,8.2%,63.9%,76.9%,65.9%,1/2,6.2%,61.0%,67.4%,49.1%,13/17,3:20,1
QF,7,(7)Tomas Berdych[CZE] [yr|ev],d.,3,(3)David Ferrer[ESP] [yr|ev],6-1 6-4 2-6 6-4,1.07,7.8%,51.9%,77.6%,43.5%,9/12,1.7%,61.0%,63.9%,50.0%,8/13,3:04,4
QF,8,(8)Stan Wawrinka[SUI] [yr|ev],d.,2,(2)Novak Djokovic[SRB] [yr|ev],2-6 6-4 6-2 3-6 9-7,0.86,10.0%,57.6%,72.4%,50.0%,3/7,4.9%,72.9%,71.4%,59.0%,5/10,4:00,3
R16,1,(1)Rafael Nadal[ESP] [yr|ev],d.,17,(16)Kei Nishikori[JPN] [yr|ev],7-6(3) 7-5 7-6(3),1.20,9.7%,71.0%,76.1%,38.9%,6/10,2.6%,66.1%,67.1%,41.0%,3/8,3:17,1
R16,22,(22)Grigor Dimitrov[BUL] [yr|ev],d.,62,Roberto Bautista Agut[ESP] [yr|ev],6-3 3-6 6-2 6-4,1.16,9.8%,59.8%,85.1%,46.7%,4/5,4.9%,63.7%,67.7%,59.5%,1/5,2:24,3
R16,4,(4)Andy Murray[GBR] [yr|ev],d.,119,(LL)Stephane Robert[FRA] [yr|ev],6-1 6-2 6-7(6) 6-2,1.39,5.6%,61.1%,75.3%,53.1%,5/6,2.6%,51.8%,67.8%,38.2%,7/14,2:42,1
R16,6,(6)Roger Federer[SUI] [yr|ev],d.,10,(10)Jo-Wilfried Tsonga[FRA] [yr|ev],6-3 7-5 6-4,1.85,8.3%,57.1%,87.5%,69.4%,1/1,9.1%,52.3%,69.6%,54.8%,4/7,1:52,1
R16,7,(7)Tomas Berdych[CZE] [yr|ev],d.,21,(19)Kevin Anderson[RSA] [yr|ev],6-2 6-2 6-3,1.82,9.9%,52.1%,89.2%,61.8%,0/0,19.5%,71.3%,62.9%,40.0%,12/17,1:58,4
R16,3,(3)David Ferrer[ESP] [yr|ev],d.,37,Florian Mayer[GER] [yr|ev],6-7(5) 7-5 6-2 6-1,1.46,2.5%,64.4%,73.7%,54.8%,8/11,2.6%,61.4%,55.3%,45.8%,10/19,2:55,3
R16,8,(8)Stan Wawrinka[SUI] [yr|ev],d.,18,(17)Tommy Robredo[ESP] [yr|ev],6-3 7-6(3) 7-6(5),1.38,13.1%,57.9%,87.1%,53.3%,3/4,0.9%,71.0%,69.7%,45.2%,3/5,2:23,3
R16,2,(2)Novak Djokovic[SRB] [yr|ev],d.,16,(15)Fabio Fognini[ITA] [yr|ev],6-3 6-0 6-2,3.03,13.3%,71.7%,88.4%,70.6%,0/0,3.3%,59.3%,59.3%,35.1%,16/22,1:33,1
R32,1,(1)Rafael Nadal[ESP] [yr|ev],d.,32,(25)Gael Monfils[FRA] [yr|ev],6-1 6-2 6-3,1.88,2.5%,65.8%,73.1%,74.1%,6/6,10.2%,68.4%,56.7%,35.5%,6/12,2:04,1
R32,17,(16)Kei Nishikori[JPN] [yr|ev],d.,91,Donald Young[USA] [yr|ev],7-5 6-1 6-0,1.72,3.9%,53.9%,70.7%,60.0%,3/4,1.4%,64.4%,48.9%,26.9%,4/12,1:47,4
R32,22,(22)Grigor Dimitrov[BUL] [yr|ev],d.,11,(11)Milos Raonic[CAN] [yr|ev],6-3 3-6 6-4 7-6(10),1.60,13.6%,60.9%,83.6%,74.4%,2/3,16.8%,59.2%,74.3%,58.8%,2/4,2:36,3
R32,62,Roberto Bautista Agut[ESP] [yr|ev],d.,28,(27)Benoit Paire[FRA] [yr|ev],6-2 6-1 6-4,1.62,5.1%,83.3%,70.8%,53.8%,5/7,16.9%,57.8%,62.5%,28.6%,13/20,1:30,9
R32,4,(4)Andy Murray[GBR] [yr|ev],d.,27,(26)Feliciano Lopez[ESP] [yr|ev],7-6(2) 6-4 6-2,1.47,6.6%,63.7%,86.2%,48.5%,0/1,8.1%,57.6%,70.2%,45.2%,7/11,2:15,1
R32,119,(LL)Stephane Robert[FRA] [yr|ev],d.,106,(LL)Martin Klizan[SVK] [yr|ev],6-0 7-6(2) 6-4,1.70,8.0%,72.4%,85.7%,45.8%,3/3,6.5%,52.7%,65.3%,47.7%,6/10,1:45,50
R32,10,(10)Jo-Wilfried Tsonga[FRA] [yr|ev],d.,19,(18)Gilles Simon[FRA] [yr|ev],7-6(5) 6-4 6-2,1.23,18.5%,65.2%,80.0%,65.6%,3/3,8.6%,53.1%,79.1%,57.9%,3/6,1:53,5
R32,6,(6)Roger Federer[SUI] [yr|ev],d.,79,Teymuraz Gabashvili[RUS] [yr|ev],6-2 6-2 6-3,1.92,8.2%,61.6%,86.7%,57.1%,5/5,3.3%,69.2%,60.3%,35.7%,9/14,1:41,1
R32,7,(7)Tomas Berdych[CZE] [yr|ev],d.,188,(Q)Damir Dzumhur[BIH] [yr|ev],6-4 6-2 6-2,2.11,18.1%,56.9%,90.2%,61.3%,2/2,6.3%,44.3%,71.4%,38.6%,4/9,1:45,4
R32,21,(19)Kevin Anderson[RSA] [yr|ev],d.,40,Edouard Roger-Vasselin[FRA] [yr|ev],3-6 4-6 6-3 7-6(5) 7-5,1.10,17.9%,66.9%,76.2%,52.0%,4/7,4.6%,73.7%,72.1%,45.7%,9/12,3:54,5
R32,37,Florian Mayer[GER] [yr|ev],d.,20,(20)Jerzy Janowicz[POL] [yr|ev],7-5 6-2 6-2,2.73,25.0%,66.2%,91.1%,69.6%,1/1,3.2%,51.6%,70.8%,40.0%,6/11,1:38,18
R32,3,(3)David Ferrer[ESP] [yr|ev],d.,31,(29)Jeremy Chardy[FRA] [yr|ev],6-2 7-6(5) 6-2,1.51,2.3%,72.4%,69.8%,70.8%,2/3,8.1%,57.7%,68.8%,36.2%,6/11,2:12,3
R32,8,(8)Stan Wawrinka[SUI] [yr|ev],d.,30,(28)Vasek Pospisil[CAN] [yr|ev],W/O,,,,,,,,,,,,,3
R32,18,(17)Tommy Robredo[ESP] [yr|ev],d.,9,(9)Richard Gasquet[FRA] [yr|ev],2-6 7-5 6-4 7-6(6),1.03,11.5%,64.7%,77.8%,42.9%,6/9,2.2%,62.3%,72.1%,51.9%,4/7,3:19,5
R32,16,(15)Fabio Fognini[ITA] [yr|ev],d.,51,Sam Querrey[USA] [yr|ev],7-5 6-4 6-4,1.51,9.9%,59.3%,74.1%,73.0%,3/4,9.7%,63.1%,66.2%,50.0%,6/10,1:55,9
R32,2,(2)Novak Djokovic[SRB] [yr|ev],d.,49,Denis Istomin[UZB] [yr|ev],6-3 6-3 7-5,1.59,7.7%,61.5%,77.1%,70.0%,0/1,5.8%,66.3%,71.9%,34.5%,3/8,1:59,1
R64,1,(1)Rafael Nadal[ESP] [yr|ev],d.,570,(WC)Thanasi Kokkinakis[AUS] [yr|ev],6-2 6-4 6-2,1.84,9.5%,75.7%,82.1%,55.6%,3/3,5.1%,66.7%,63.5%,38.5%,5/10,1:53,1
R64,32,(25)Gael Monfils[FRA] [yr|ev],d.,95,Jack Sock[USA] [yr|ev],7-6(2) 7-5 6-2,1.73,14.3%,61.5%,83.9%,65.7%,0/1,4.2%,58.5%,69.6%,46.9%,7/11,2:03,6
