Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
R32,3,(3)Roger Federer[SUI] [yr|ev],d.,89,Nicolas Mahut[FRA] [yr|ev],6-3 4-6 6-2 7-5,1.69,6.7%,57.7%,81.7%,65.9%,1/3,1.6%,65.6%,63.1%,47.7%,9/14,2:37,1
R32,109,(LL)David Goffin[BEL] [yr|ev],d.,49,Lukasz Kubot[POL] [yr|ev],7-6(4) 7-5 6-1,1.42,2.1%,61.7%,77.6%,58.3%,5/7,5.2%,68.0%,65.2%,41.9%,7/12,2:32,7
R32,9,(9)Juan Martin del Potro[ARG] [yr|ev],d.,24,(21)Marin Cilic[CRO] [yr|ev],6-3 7-6(7) 6-1,1.48,4.9%,72.0%,78.0%,47.8%,0/1,7.7%,51.0%,52.8%,56.9%,8/14,2:32,3
R32,7,(7)Tomas Berdych[CZE] [yr|ev],d.,34,(31)Kevin Anderson[RSA] [yr|ev],6-4 3-6 6-7(4) 6-4 6-4,0.98,6.4%,60.9%,74.7%,60.7%,4/6,15.4%,69.9%,80.0%,46.5%,2/6,3:52,4
R32,6,(6)David Ferrer[ESP] [yr|ev],d.,30,(27)Mikhail Youzhny[RUS] [yr|ev],6-0 6-2 6-2,1.90,2.7%,77.0%,73.7%,58.8%,6/6,0.0%,55.1%,57.9%,25.8%,4/11,1:41,3
R32,23,(20)Marcel Granollers[ESP] [yr|ev],d.,261,(WC)Paul Henri Mathieu[FRA] [yr|ev],6-4 6-4 1-6 4-6 6-1,1.03,5.1%,65.9%,68.1%,51.1%,12/17,0.7%,59.7%,60.0%,63.0%,10/16,3:56,19
R32,20,(17)Richard Gasquet[FRA] [yr|ev],d.,112,(Q)Tommy Haas[GER] [yr|ev],6-7(3) 6-3 6-0 6-0,1.77,10.9%,66.3%,73.8%,74.2%,2/3,6.5%,57.4%,61.3%,43.5%,7/16,2:25,7
R32,4,(4)Andy Murray[GBR] [yr|ev],d.,50,Santiago Giraldo[COL] [yr|ev],6-3 6-4 6-4,1.91,11.8%,69.7%,84.9%,73.9%,1/1,4.3%,74.5%,68.6%,54.2%,4/7,2:02,1
R32,8,(8)Janko Tipsarevic[SRB] [yr|ev],d.,31,(29)Julien Benneteau[FRA] [yr|ev],6-3 7-5 6-4,1.26,15.7%,53.9%,81.8%,55.3%,6/7,4.3%,71.3%,70.1%,40.7%,8/12,2:35,8
R32,13,(12)Nicolas Almagro[ESP] [yr|ev],d.,62,Leonardo Mayer[ARG] [yr|ev],6-4 6-1 6-2,2.80,12.3%,67.7%,90.9%,66.7%,1/1,2.6%,61.8%,48.9%,58.6%,5/10,1:51,9
